label,cityLabel,countryLabel
埃利赞,Relizane,Algeria
姆西拉,M'Sila,Algeria
德雷安,Dréan,Algeria
比斯克拉,Biskra,Algeria
瓦赫蘭,Oran,Algeria
阿巴莱萨,Abalessa,Algeria
阿尔泽,Arzew,Algeria
盖尔达耶,Ghardaia,Algeria
古莱阿,El Goléa,Algeria
穆阿斯凯尔,Mascara,Algeria
君士坦丁,Constantine,Algeria
贝贾亚,Béjaïa,Algeria
艾因贝达,"Aïn Beïda, Oum El Bouaghi",Algeria
塔里夫,El Taref,Algeria
艾因泰穆尚特,Aïn Témouchent,Algeria
博爾馬,El Borma,Algeria
布萨达,Bou Saâda,Algeria
艾格瓦特,Laghouat,Algeria
苏格艾赫拉斯,Souk Ahras,Algeria
因萨拉赫,In Salah,Algeria
泰贝萨,Tébessa,Algeria
歇爾謝爾,Cherchell,Algeria
凱比爾港,Mers El Kébir,Algeria
安纳巴,Annaba,Algeria
因阿迈纳斯,In Amenas,Algeria
達爾貝達,Dar El Beïda,Algeria
斯提迪耶,Stidia,Algeria
呒染挖啊嗯啊,Merouana,Algeria
伊利济,Illizi,Algeria
巴亚兹,El Bayadh,Algeria
阿夫卢,Aflou,Algeria
贾奈特,Djanet,Algeria
提亚雷特,Tiaret,Algeria
巴特纳,Batna,Algeria
哈西迈萨乌德,Hassi Messaoud,Algeria
汉舍莱,Khenchela,Algeria
盖勒马,Guelma,Algeria
提帕薩,Tipaza,Algeria
烏姆布瓦吉,Oum El Bouaghi,Algeria
提米蒙,Timimoun,Algeria
瓦德,El Oued,Algeria
迈萨德,Messaâd,Algeria
塞伊达,Saïda,Algeria
欧勒马,El Eulma,Algeria
阿德拉尔,Adrar,Algeria
堡巴傑莫赫塔爾,Bordj Badji Mokhtar,Algeria
塔曼拉塞特,Tamanrasset,Algeria
图古尔特,Touggourt,Algeria
西迪贝勒阿巴斯,Sidi Bel Abbès,Algeria
巴里卡,Barika,Algeria
杰勒法,Djelfa,Algeria
瓦尔格拉,Ouargla,Algeria
吉杰勒,Jijel,Algeria
塞提夫,Sétif,Algeria
蓋馬 (阿爾及利亞),Guemar,Algeria
谢利夫,Chlef,Algeria
艾因迪夫拉,Aïn Defla,Algeria
斯基克达,Skikda,Algeria
巴布瓦德,Bab El Oued,Algeria
廷杜夫,Tindouf,Algeria
比阿尔,El Biar,Algeria
巴拉基,Baraki,Algeria
卜利达,Blida,Algeria
提塞姆西勒特,Tissemsilt,Algeria
提济乌祖,Tizi Ouzou,Algeria
贝沙尔,Béchar,Algeria
