label,cityLabel,city
齐皮·利夫尼,Tzipi Livni,http://www.wikidata.org/entity/Q151796
周吉平,Zhou Jiping,http://www.wikidata.org/entity/Q9631179
黃循財,Lawrence Wong,http://www.wikidata.org/entity/Q6504758
薩帝亞·納德拉,Satya Nadella,http://www.wikidata.org/entity/Q7426870
齐南·沃拉齐,Yochanan Vollach,http://www.wikidata.org/entity/Q171962
沈望傅,Sim Wong Hoo,http://www.wikidata.org/entity/Q4419447
羅傑·凱斯,Roger M. Kyes,http://www.wikidata.org/entity/Q7358565
馬克·菲爾德斯,Mark Fields,http://www.wikidata.org/entity/Q6767603
亞提·莫雷諾,Arte Moreno,http://www.wikidata.org/entity/Q4797381
高次軒,Ken Kao,http://www.wikidata.org/entity/Q6387921
史蒂夫·博科,Steve Burke,http://www.wikidata.org/entity/Q3498872
克里斯·貝爾德,Chris Beard,http://www.wikidata.org/entity/Q16334560
提姆·科斯特洛,Tim Costello,http://www.wikidata.org/entity/Q7803359
马克·扎克伯格,Mark Zuckerberg,http://www.wikidata.org/entity/Q36215
伊恩·艾爾,Ian Ayre,http://www.wikidata.org/entity/Q4530081
霍嘉治,Sandy Flockhart,http://www.wikidata.org/entity/Q7417257
沃伦·巴菲特,Warren Buffett,http://www.wikidata.org/entity/Q47213
道格·莫里斯,Doug Morris,http://www.wikidata.org/entity/Q3638496
玛丽·特蕾莎·芭拉,Mary Barra,http://www.wikidata.org/entity/Q6779013
馬特·赫林,Matt Hullum,http://www.wikidata.org/entity/Q6788826
梅爾·卡梅金,Mel Karmazin,http://www.wikidata.org/entity/Q6810747
张欣,Zhang Xin,http://www.wikidata.org/entity/Q8070360
艾琳·羅森費爾德,Irene Rosenfeld,http://www.wikidata.org/entity/Q449120
约翰·沙希迪,John Shahidi,http://www.wikidata.org/entity/Q18385491
程守宗,John S. Chen,http://www.wikidata.org/entity/Q6256206
伊隆·马斯克,Elon Musk,http://www.wikidata.org/entity/Q317521
弗雷德里克·W·史密斯,Frederick W. Smith,http://www.wikidata.org/entity/Q324086
杰克·多西,Jack Dorsey,http://www.wikidata.org/entity/Q335552
沙米爾汗,Samir Khan,http://www.wikidata.org/entity/Q3470843
鈴木修 (企業家),Suzuki Osamu,http://www.wikidata.org/entity/Q11648574
鮑達民,Dominic Barton,http://www.wikidata.org/entity/Q5290463
韋達誠,Jay Walder,http://www.wikidata.org/entity/Q8421760
羅伯特·艾格,Bob Iger,http://www.wikidata.org/entity/Q532423
郭炳湘,Walter Kwok,http://www.wikidata.org/entity/Q380602
