label,cityLabel,city
莉爾莎·列基美,Larissa Riquelme,http://www.wikidata.org/entity/Q153040
亞倫·強森,Aaron Johnson,http://www.wikidata.org/entity/Q45923
祖利安·麥馬漢,Julian McMahon,http://www.wikidata.org/entity/Q4223
卡洛斯·佩尼亞 (歌手),Carlos Pena Jr,http://www.wikidata.org/entity/Q26053
有岡大貴,Daiki Arioka,http://www.wikidata.org/entity/Q26780
艾莉尔·温特,Ariel Winter,http://www.wikidata.org/entity/Q26378
羅伯·卡戴珊,Rob Kardashian,http://www.wikidata.org/entity/Q26318
琳達·拉芙蕾絲,Linda Lovelace,http://www.wikidata.org/entity/Q407
赛日·甘斯布,Serge Gainsbourg,http://www.wikidata.org/entity/Q1698
蕾哈娜,Rihanna,http://www.wikidata.org/entity/Q36844
差利·卓別靈,Charlie Chaplin,http://www.wikidata.org/entity/Q882
碧玉,Björk,http://www.wikidata.org/entity/Q42455
保羅·紐曼,Paul Newman,http://www.wikidata.org/entity/Q41871
克莱夫·邓恩,Clive Dunn,http://www.wikidata.org/entity/Q46053
安塔拉·马里,Antara Mali,http://www.wikidata.org/entity/Q45889
尼古拉斯·凯奇,Nicolas Cage,http://www.wikidata.org/entity/Q42869
傑克·克萊頓,Jack Clayton,http://www.wikidata.org/entity/Q17887
卡麗·羅斯·塞尼克萊爾,Carly Rose Sonenclar,http://www.wikidata.org/entity/Q8160
卡特丽娜·卡芙,Katrina Kaif,http://www.wikidata.org/entity/Q9550
艾德·奥尼尔,Ed O'Neill,http://www.wikidata.org/entity/Q16758
阿米爾·罕,Aamir Khan,http://www.wikidata.org/entity/Q9557
雪兒,Cher,http://www.wikidata.org/entity/Q12003
克莱尔·霍尔特,Claire Holt,http://www.wikidata.org/entity/Q4189
鲍勃·迪伦,Bob Dylan,http://www.wikidata.org/entity/Q392
卡罗·里査尼,Carlo Lizzani,http://www.wikidata.org/entity/Q26208
北野武,Takeshi Kitano,http://www.wikidata.org/entity/Q26372
大衛·君圖力,David Giuntoli,http://www.wikidata.org/entity/Q26636
夏菜,Natsuna Watanabe,http://www.wikidata.org/entity/Q26962
布萊恩·德拉蒙德,Brian Drummond,http://www.wikidata.org/entity/Q26741
李默然,李默然,http://www.wikidata.org/entity/Q26673
詹姆斯·大衛馬斯洛,James Maslow,http://www.wikidata.org/entity/Q26058
昆汀·塔伦蒂诺,Quentin Tarantino,http://www.wikidata.org/entity/Q3772
汤姆·汉克斯,Tom Hanks,http://www.wikidata.org/entity/Q2263
泰拉·史壯,Tara Strong,http://www.wikidata.org/entity/Q4029
萊赫·卡欽斯基,Lech Kaczyński,http://www.wikidata.org/entity/Q2757
賈斯汀·喬維克,Justin Chadwick,http://www.wikidata.org/entity/Q3671
路易·德菲内斯,Louis de Funès,http://www.wikidata.org/entity/Q2737
路易斯·阿姆斯特朗,Louis Armstrong,http://www.wikidata.org/entity/Q1779
埃爾維斯·皮禮士利,Elvis Presley,http://www.wikidata.org/entity/Q303
Q堤 (音樂家),Q-Tip,http://www.wikidata.org/entity/Q42025
史黛芬妮·紹姿塔克,Stephanie Szostak,http://www.wikidata.org/entity/Q45827
季马·比兰,Dima Bilan,http://www.wikidata.org/entity/Q42904
曉高·韋榮,Hugo Weaving,http://www.wikidata.org/entity/Q42204
约翰·列侬,John Lennon,http://www.wikidata.org/entity/Q1203
劉德華,Andy Lau,http://www.wikidata.org/entity/Q16766
尼爾·楊,Neil Young,http://www.wikidata.org/entity/Q633
A·J·伯克利,A. J. Buckley,http://www.wikidata.org/entity/Q18219
亨弗莱·鲍嘉,Humphrey Bogart,http://www.wikidata.org/entity/Q16390
小韋恩,Lil Wayne,http://www.wikidata.org/entity/Q15615
威廉·夏特纳,William Shatner,http://www.wikidata.org/entity/Q16297
斯蒂芬·斯皮尔伯格,Steven Spielberg,http://www.wikidata.org/entity/Q8877
瑪莉安·歌迪雅,Marion Cotillard,http://www.wikidata.org/entity/Q8927
郭富城,Aaron Kwok,http://www.wikidata.org/entity/Q16872
A·J·库克,A. J. Cook,http://www.wikidata.org/entity/Q18222
弗拉基米尔·维索茨基,Vladimir Vysotsky,http://www.wikidata.org/entity/Q512
杰西卡·詹姆斯,Jessica Jaymes,http://www.wikidata.org/entity/Q26103
泰勒·斯威夫特,Taylor Swift,http://www.wikidata.org/entity/Q26876
莱昂纳尔·里奇,Lionel Richie,http://www.wikidata.org/entity/Q26695
瑪杜芭拉,Madhubala,http://www.wikidata.org/entity/Q36881
莎拉·瓊斯,Sarah Jones,http://www.wikidata.org/entity/Q26968
三船敏郎,Toshirō Mifune,http://www.wikidata.org/entity/Q37001
奧黛麗·霍蘭德,Audrey Hollander,http://www.wikidata.org/entity/Q36434
安珀·芮恩,Amber Rayne,http://www.wikidata.org/entity/Q36226
羅伯·派汀森,Robert Pattinson,http://www.wikidata.org/entity/Q36767
莉瑪·森,Raima Sen,http://www.wikidata.org/entity/Q46018
「怪人奧爾」揚科維奇,"""Weird Al"" Yankovic",http://www.wikidata.org/entity/Q8349
威廉·莎士比亚,William Shakespeare,http://www.wikidata.org/entity/Q692
詹姆士·柯本,James Coburn,http://www.wikidata.org/entity/Q4227
安德烈·塔尔科夫斯基,Andrei Tarkovsky,http://www.wikidata.org/entity/Q853
標·馬艾,Bill Maher,http://www.wikidata.org/entity/Q489
珍娜·詹姆森,Jenna Jameson,http://www.wikidata.org/entity/Q400
辛蒂·羅波,Cyndi Lauper,http://www.wikidata.org/entity/Q1545
里奥纳德·科恩,Leonard Cohen,http://www.wikidata.org/entity/Q1276
凱文·施密特,Kevin Schmidt,http://www.wikidata.org/entity/Q26091
罗纳德·里根,Ronald Reagan,http://www.wikidata.org/entity/Q9960
亚特·加芬克尔,Art Garfunkel,http://www.wikidata.org/entity/Q4039
乔治·哈里森,George Harrison,http://www.wikidata.org/entity/Q2643
保罗·西蒙,Paul Simon,http://www.wikidata.org/entity/Q4028
凱拉·伊威爾,Kayla Ewell,http://www.wikidata.org/entity/Q4058
奈德·畢提,Ned Beatty,http://www.wikidata.org/entity/Q4212
查克·羅禮士,Chuck Norris,http://www.wikidata.org/entity/Q2673
艾瑞克·巴納,Eric Bana,http://www.wikidata.org/entity/Q4440
萊娜·邁爾-蘭德魯特,Lena Meyer-Landrut,http://www.wikidata.org/entity/Q7013
莎夏·葛蕾,Sasha Grey,http://www.wikidata.org/entity/Q2709
马克·安东尼,Marc Anthony,http://www.wikidata.org/entity/Q26625
西千住車站,Victoria Jackson,http://www.wikidata.org/entity/Q46080
格蕾丝·凯利,Grace Kelly,http://www.wikidata.org/entity/Q3925
凯文·科斯特纳,Kevin Costner,http://www.wikidata.org/entity/Q11930
凯莉·米洛,Kylie Minogue,http://www.wikidata.org/entity/Q11998
塞斯·梅耶斯,Seth Meyers,http://www.wikidata.org/entity/Q14536
比爾·哈德,Bill Hader,http://www.wikidata.org/entity/Q14537
米克·佛利,Mick Foley,http://www.wikidata.org/entity/Q10731
大卫·林奇,David Lynch,http://www.wikidata.org/entity/Q2071
王子,Prince,http://www.wikidata.org/entity/Q7542
傑克·霍金斯,Jack Hawkins,http://www.wikidata.org/entity/Q26118
艾莉娅,Aaliyah,http://www.wikidata.org/entity/Q11617
沙萊曼·罕,Salman Khan shaikh,http://www.wikidata.org/entity/Q9543
李小龍,Bruce Lee,http://www.wikidata.org/entity/Q16397
丹尼·德维托,Danny DeVito,http://www.wikidata.org/entity/Q26806
安东·拉维,Anton LaVey,http://www.wikidata.org/entity/Q26168
羅伯特·鮑特,Robert Bolt,http://www.wikidata.org/entity/Q26062
里昂·懷特,Big Van Vader,http://www.wikidata.org/entity/Q26848
黎明,Leon Lai,http://www.wikidata.org/entity/Q16836
劳伦斯先生,Mr. Lawrence,http://www.wikidata.org/entity/Q4408
喬安娜·布蘭迪,Johanna Braddy,http://www.wikidata.org/entity/Q2597
布鲁斯·威利斯,Bruce Willis,http://www.wikidata.org/entity/Q2680
希洛·格林,CeeLo Green,http://www.wikidata.org/entity/Q4042
米哈伊尔·布尔加科夫,Mikhail Bulgakov,http://www.wikidata.org/entity/Q835
史提夫·馬丁,Steve Martin,http://www.wikidata.org/entity/Q16473
卢奇亚诺·帕瓦罗蒂,Luciano Pavarotti,http://www.wikidata.org/entity/Q37615
德斯汀·荷夫曼,Dustin Hoffman,http://www.wikidata.org/entity/Q42930
成龍,Jackie Chan,http://www.wikidata.org/entity/Q36970
湯姆·克魯斯,Tom Cruise,http://www.wikidata.org/entity/Q37079
碧姬·芭杜,Brigitte Bardot,http://www.wikidata.org/entity/Q36268
莫里哀,Molière,http://www.wikidata.org/entity/Q687
伦纳德·尼莫伊,Leonard Nimoy,http://www.wikidata.org/entity/Q16345
凯莉·库柯,Kaley Cuoco,http://www.wikidata.org/entity/Q16759
"原田眞人,",Masato Harada,http://www.wikidata.org/entity/Q11330
巨石強森,Dwayne Johnson,http://www.wikidata.org/entity/Q10738
德佛瑞斯特·凱利,DeForest Kelley,http://www.wikidata.org/entity/Q16349
張學友,Jacky Cheung,http://www.wikidata.org/entity/Q16781
戈特弗里德·莱布尼茨,Gottfried Wilhelm Leibniz,http://www.wikidata.org/entity/Q9047
朱迪·加兰,Judy Garland,http://www.wikidata.org/entity/Q11637
约翰·里斯·戴维斯,John Rhys-Davies,http://www.wikidata.org/entity/Q16455
菲比·凯茨,Phoebe Cates Kline,http://www.wikidata.org/entity/Q14439
詹森．斯德基斯,Jason Sudeikis,http://www.wikidata.org/entity/Q14539
蒂娜·菲,Tina Fey,http://www.wikidata.org/entity/Q14540
路易斯·金,Louis King,http://www.wikidata.org/entity/Q11322
查爾斯·阿茲納弗,Charles Aznavour,http://www.wikidata.org/entity/Q1785
赫诺·塞尚,Renaud Séchan,http://www.wikidata.org/entity/Q1716
雅克·布雷尔,Jacques Brel,http://www.wikidata.org/entity/Q1666
約翰尼·卡什,Johnny Cash,http://www.wikidata.org/entity/Q42775
罗伯特·德尼罗,Robert De Niro,http://www.wikidata.org/entity/Q36949
尤里·揚諾夫,Yuri Stoyanov,http://www.wikidata.org/entity/Q26688
迈克尔·杰克逊,Michael Jackson,http://www.wikidata.org/entity/Q2831
傑佛瑞·賈西亞,Jeffrey Garcia,http://www.wikidata.org/entity/Q3990
基斯·洛克,Chris Rock,http://www.wikidata.org/entity/Q4109
林格·斯塔,Ringo Starr,http://www.wikidata.org/entity/Q2632
沙·魯克·罕,Shah Rukh Khan,http://www.wikidata.org/entity/Q9535
阿米塔布·巴沙坎,Amitabh Bachchan,http://www.wikidata.org/entity/Q9570
阿诺·施瓦辛格,Arnold Schwarzenegger,http://www.wikidata.org/entity/Q2685
小林夕岐子,Yukiko Kobayashi,http://www.wikidata.org/entity/Q3319
保羅·卡斯坦佐,Paulo Costanzo,http://www.wikidata.org/entity/Q14450
保羅·科爾賀,Paulo Coelho,http://www.wikidata.org/entity/Q12881
塞雷娜·威廉姆斯,Serena Williams,http://www.wikidata.org/entity/Q11459
弗雷德·阿米森,Fred Armisen,http://www.wikidata.org/entity/Q14535
特雷西·摩根,Tracy Morgan,http://www.wikidata.org/entity/Q14542
