label,cityLabel,city
三石琴乃,Kotono Mitsuishi,http://www.wikidata.org/entity/Q18735
亨弗莱·鲍嘉,Humphrey Bogart,http://www.wikidata.org/entity/Q16390
小韋恩,Lil Wayne,http://www.wikidata.org/entity/Q15615
威廉·夏特纳,William Shatner,http://www.wikidata.org/entity/Q16297
杰西卡·詹姆斯,Jessica Jaymes,http://www.wikidata.org/entity/Q26103
李善雄,Tablo,http://www.wikidata.org/entity/Q18800
泰勒·斯威夫特,Taylor Swift,http://www.wikidata.org/entity/Q26876
真理翰,Jin I-han,http://www.wikidata.org/entity/Q27652
莱昂纳尔·里奇,Lionel Richie,http://www.wikidata.org/entity/Q26695
安东·拉维,Anton LaVey,http://www.wikidata.org/entity/Q26168
斯特法妮·奧德朗,Stéphane Audran,http://www.wikidata.org/entity/Q32439
水木一郎,Ichirō Mizuki,http://www.wikidata.org/entity/Q34580
迭戈·阿巴塔托诺,Diego Abatantuono,http://www.wikidata.org/entity/Q34922
阿蒂庫斯·沙弗爾,Atticus Shaffer,http://www.wikidata.org/entity/Q32754
惠特妮·休斯顿,Whitney Houston,http://www.wikidata.org/entity/Q34389
畢·彼特,Brad Pitt,http://www.wikidata.org/entity/Q35332
莎拉·瓊斯,Sarah Jones,http://www.wikidata.org/entity/Q26968
琳達·拉芙蕾絲,Linda Lovelace,http://www.wikidata.org/entity/Q407
赛日·甘斯布,Serge Gainsbourg,http://www.wikidata.org/entity/Q1698
詹姆士·布朗,James Brown,http://www.wikidata.org/entity/Q5950
巴赫曼·戈巴迪,Bahman Ghobadi,http://www.wikidata.org/entity/Q31923
珍妮佛·安妮斯顿,Jennifer Aniston,http://www.wikidata.org/entity/Q32522
威廉·莎士比亚,William Shakespeare,http://www.wikidata.org/entity/Q692
河智苑,Ha Ji-won,http://www.wikidata.org/entity/Q44260
詹姆士·蘭森,James Ransone,http://www.wikidata.org/entity/Q44273
西恩·潘,Sean Penn,http://www.wikidata.org/entity/Q44221
艾莉娅,Aaliyah,http://www.wikidata.org/entity/Q11617
艾倫·卡爾,Alan Carr,http://www.wikidata.org/entity/Q32795
贾森·李,Jason Lee,http://www.wikidata.org/entity/Q4960
卡特丽娜·卡芙,Katrina Kaif,http://www.wikidata.org/entity/Q9550
阿米爾·罕,Aamir Khan,http://www.wikidata.org/entity/Q9557
巴帝斯塔,Dave Bautista,http://www.wikidata.org/entity/Q44158
麗絲·韋花絲潘,Reese Witherspoon,http://www.wikidata.org/entity/Q44063
基斯·洛克,Chris Rock,http://www.wikidata.org/entity/Q4109
查爾斯·阿茲納弗,Charles Aznavour,http://www.wikidata.org/entity/Q1785
林格·斯塔,Ringo Starr,http://www.wikidata.org/entity/Q2632
瑪蓮·德烈治,Marlene Dietrich,http://www.wikidata.org/entity/Q4612
阿诺·施瓦辛格,Arnold Schwarzenegger,http://www.wikidata.org/entity/Q2685
赫诺·塞尚,Renaud Séchan,http://www.wikidata.org/entity/Q1716
雅克·布雷尔,Jacques Brel,http://www.wikidata.org/entity/Q1666
德雷克,Drake,http://www.wikidata.org/entity/Q33240
傑克·霍金斯,Jack Hawkins,http://www.wikidata.org/entity/Q26118
彼得·德路易斯,Peter DeLuise,http://www.wikidata.org/entity/Q18953
