label,cityLabel,countryLabel
倫敦盧頓機場,Luton Airport,United Kingdom
乔莫·肯雅塔国际机场,Jomo Kenyatta International Airport,Kenya
爱德华·劳伦斯·洛根将军国际机场,Logan International Airport,United States of America
Málaga（AGP）,Málaga Airport,Spain
洞海機場,Dong Hoi Airport,Vietnam
科托卡国际机场,Kotoka International Airport,Ghana
阿德萊德機場,Adelaide Airport,Australia
比萨－圣朱斯托机场,Pisa International Airport,Italy
墨爾本機場,Melbourne Airport,Australia
阿伯丁机场,Aberdeen Airport,United Kingdom
南安普敦機場,Southampton Airport,United Kingdom
布拉奧機場,Burao Airport,Somalia
愛丁堡機場,Edinburgh Airport,United Kingdom
聖皮埃爾機場,Pierrefonds Airport,France
巴里,Bari Karol Wojtyła Airport,Italy
奧爾伯里機場,Albury Airport,Australia
布羅肯希爾機場,Broken Hill Airport,Australia
科巴機場,Cobar Airport,Australia
科拉雷內布賴機場,Collarenebri Airport,Australia
考拉機場,Cowra Airport,Australia
霍巴特國際機場,Hobart International Airport,Australia
根西機場,Guernsey Airport,Guernsey
拉奥罗拉国际机场,La Aurora International Airport,Guatemala
科隆/波恩機場,Cologne Bonn Airport,Germany
迪拜国际机场,Dubai International Airport,United Arab Emirates
蘇凡納布機場,Suvarnabhumi Airport,Thailand
約翰·菲茨傑拉德·甘迺迪國際機場,John F. Kennedy International Airport,United States of America
普爾科沃機場,Pulkovo Airport,Russia
東京國際機場,Tokyo International Airport,Japan
伦敦盖特威克机场,Gatwick Airport,United Kingdom
格拉斯哥普雷斯蒂克国际机场,Glasgow Prestwick Airport,United Kingdom
阿姆斯特丹史基浦機場,Amsterdam Airport Schiphol,Netherlands
阿卜杜勒-阿齐兹国王国际机场,King Abdulaziz International Airport,Saudi Arabia
雅典埃莱夫塞里奥斯·韦尼泽洛斯国际机场,Athens International Airport,Greece
喬治·布什洲際機場,George Bush Intercontinental Airport,United States of America
重庆江北国际机场,Chongqing Jiangbei International Airport,People's Republic of China
馬丁尼克-亞米-凱薩國際機場,Martinique Aimé Césaire International Airport,France
泰德·史蒂文斯安克雷奇國際機場,Ted Stevens Anchorage International Airport,United States of America
罗斯托克－拉格机场,Rostock Airport,Germany
波特兰国际机场,Portland International Airport,United States of America
门格洛尔国际机场,Mangalore Airport,India
埃斯特角城,Capitán de Corbeta Carlos A. Curbelo International Airport,Uruguay
埃加勒国际机场,Hargeisa International Airport,Somalia
埃里加博機場,Erigavo Airport,Somalia
