label,cityLabel,performer
My Cup of Tea,My Cup of Tea,http://www.wikidata.org/entity/Q698567
看我72變,Magic,http://www.wikidata.org/entity/Q51101
Something About You,Something About You,http://www.wikidata.org/entity/Q2246720
Glow (容祖兒專輯),Glow,http://www.wikidata.org/entity/Q2246720
Di-Dar,Di-Dar,http://www.wikidata.org/entity/Q464650
Free love,free {love},http://www.wikidata.org/entity/Q3269718
Sammi,Lost Memory,http://www.wikidata.org/entity/Q701039
Listen To Eason Chan,Q10851441,http://www.wikidata.org/entity/Q704041
Shall We Dance? Shall We Talk!,Q10852541,http://www.wikidata.org/entity/Q704041
Led Zeppelin IV,Led Zeppelin IV,http://www.wikidata.org/entity/Q2331
Moment (容祖兒專輯),Q10851705,http://www.wikidata.org/entity/Q2246720
J-POP,J-Pop,http://www.wikidata.org/entity/Q2246720
Holiday,Holiday,http://www.wikidata.org/entity/Q701039
顫慄,Thriller,http://www.wikidata.org/entity/Q2831
Lucky Number,Lucky Number,http://www.wikidata.org/entity/Q51101
Give Love A Break,Give Love a Break,http://www.wikidata.org/entity/Q2246720
No Name,No Name,http://www.wikidata.org/entity/Q9079113
改變,Reform,http://www.wikidata.org/entity/Q51169
Nothing Really Matters,Q10851934,http://www.wikidata.org/entity/Q704041
Virgin Snow,Virgin Snow,http://www.wikidata.org/entity/Q313596
我的快樂時代,Q11074927,http://www.wikidata.org/entity/Q704041
故事的感覺,Q11079013,http://www.wikidata.org/entity/Q711092
Make it Happen,Make it Happen,http://www.wikidata.org/entity/Q10846741
壞孩子①,Warugaki 1,http://www.wikidata.org/entity/Q583214
抉擇,Q11076402,http://www.wikidata.org/entity/Q717829
誰來愛我,Who Will Love Me,http://www.wikidata.org/entity/Q2246720
Nin9 2 5ive,Nin9 2 5ive,http://www.wikidata.org/entity/Q2246720
A Love Supreme,A Love Supreme,http://www.wikidata.org/entity/Q7346
特務J,Agent J,http://www.wikidata.org/entity/Q51101
小小,Little Little,http://www.wikidata.org/entity/Q2246720
新生活,Q11083366,http://www.wikidata.org/entity/Q704041
HOT SUMMER (張國榮),Hot Summer,http://www.wikidata.org/entity/Q313596
SET LIST～Greatest Songs 2006-2007～,Set List: Greatest Songs 2006–2007,http://www.wikidata.org/entity/Q51118
梦里人 (音乐专辑),Q11115653,http://www.wikidata.org/entity/Q718123
18...,18...,http://www.wikidata.org/entity/Q665090
Shocking Pink,Shocking Pink,http://www.wikidata.org/entity/Q701039
樂譜 - 史詩之旅,The Score – An Epic Journey,http://www.wikidata.org/entity/Q76244
am/pm,am/pm,http://www.wikidata.org/entity/Q709800
J-game,J-game,http://www.wikidata.org/entity/Q51101
"Reise, Reise","Reise, Reise",http://www.wikidata.org/entity/Q25177
1830m,1830m,http://www.wikidata.org/entity/Q51118
Elodia,Elodia,http://www.wikidata.org/entity/Q625529
說謊,Q15927094,http://www.wikidata.org/entity/Q718136
鄭秀文的快樂迷宮,Happy Maze,http://www.wikidata.org/entity/Q701039
猶豫,Q15928664,http://www.wikidata.org/entity/Q853266
1019,1019,http://www.wikidata.org/entity/Q51101
遊音俱樂部～1st Grade～,Yūon Club: 1st Grade,http://www.wikidata.org/entity/Q239348
