label,cityLabel,countryLabel
Marinpia日本海,Q11502898,Japan
海湾水族馆,Aquarium of the Bay,United States of America
上海海洋水族馆,Shanghai Ocean Aquarium,People's Republic of China
凯莉塔尔敦海洋生物水族馆（Kelly Tarlton's Sea Life Aquarium),Kelly Tarlton's Antarctic Encounter and Underwater World,New Zealand
墨田水族館,Sumida Aquarium,Japan
墨爾本海洋生物水族館,Melbourne Aquarium,Australia
下關水族館,Q11361443,Japan
螃蟹兒童博物館,Tottori Karo Crab Aquarium,Japan
橫濱八景島海洋公園,Yokohama Hakkeijima Sea Paradise,Japan
新加坡海底世界,"Underwater World, Singapore",Singapore
新江之島水族館,Q11502657,Japan
陽光城水族館,Q11250698,Japan
佩里代扎,Pairi Daiza,Belgium
神戶市立須磨海浜水族園,Q11590110,Japan
城崎海洋世界,Q11426136,Japan
加利福尼亚州科学院,California Academy of Sciences,United States of America
足立區生物園,Q11636941,Japan
埼玉水族館,Q11267523,Japan
水東條,Q11282873,Japan
聖地牙哥海洋世界,SeaWorld San Diego,United States of America
吉隆坡城中城水族館,Aquaria KLCC,Malaysia
鴨川海洋世界,Kamogawa Seaworld,Japan
溫哥華水族館,Vancouver Aquarium,Canada
蒙特雷灣水族館,Monterey Bay Aquarium,United States of America
暹羅海洋世界,Siam Ocean World,Thailand
京都水族館,Kyoto Aquarium,Japan
热那亚水族馆,Aquarium of Genoa,Italy
Aqua Park 品川,Aqua Park Shinagawa,Japan
喬治亞水族館,Georgia Aquarium,United States of America
克林顿城堡,Castle Clinton,United States of America
品川水族館,Shinagawa Aquarium,Japan
里斯本海洋水族馆,Lisbon Oceanarium,Portugal
冒險大世界,Adventure World,Japan
阿提斯,Artis,Netherlands
悉尼水族館,Sydney Aquarium,Australia
寫第水族館,Shedd Aquarium,United States of America
國立海洋生物博物館,National Museum of Marine Biology and Aquarium,Taiwan
沖繩美麗海水族館,Okinawa Churaumi Aquarium,Japan
瑞普利水族館,Ripley's Aquarium of Canada,Canada
曼谷水族館,Bangkok Aquarium,Thailand
鳥羽水族館,Toba Aquarium,Japan
海遊館,Osaka Aquarium Kaiyukan,Japan
釜山水族馆,Busan Aquarium,South Korea
海之中道海洋世界,Marine World Uminonakamichi,Japan
西澳水族館,Aquarium of Western Australia,Australia
山之水族館,Q11465797,Japan
