label,cityLabel,countryLabel
爪村遗址,Zhaocun,People's Republic of China
乌尔,Ur,Iraq
崩密列,Beng Mealea,Cambodia
拉斯科洞窟壁画,Lascaux,France
朱拜勒,Byblos,Lebanon
安菲波利斯,Amphipolis,Greece
扒村窑址,Q798609,People's Republic of China
恰高·占比尔,Chogha Zanbil,Iran
米斯特拉斯,Mystras,Greece
加泰土丘,Çatalhöyük,Turkey
左塞爾金字塔,Pyramid of Djoser,Egypt
薩卡拉,Saqqara,Egypt
易卜拉清真寺,Cave of the Patriarchs,State of Palestine
阿努拉德普勒,Anuradhapura,Sri Lanka
唐昭陵,Zhao Mausoleum,People's Republic of China
雷吉亚,Regia,Italy
周原,Zhouyuan Site,People's Republic of China
阿萊西亞,Alesia,France
米利都,Miletus,Ionia
巴黎地下墓穴,Catacombs of Paris,France
烏魯克,Uruk,Iraq
君士坦丁凱旋門,Arch of Constantine,Italy
措迪洛山,Tsodilo,Botswana
陶寺遺址,Taosi,People's Republic of China
培爾—拉美西斯,Pi-Ramesses,Egypt
帝王谷,Valley of the Kings,Egypt
佩特拉,Petra,Jordan
阿卡德帝国,Akkad,Iraq
杰里科,Jericho,Palestinian National Authority
比爾卡,Birka,Sweden
那卜魯德,Yabrud,Syria
農牧神之家,House of the Faun,Italy
奧林匹亞宙斯神廟,Temple of Zeus in Olympia,Greece
安多宁长城,Antonine Wall,United Kingdom
尼科米底亞,Nicomedia,Turkey
图拉真广场,Trajan's Forum,Italy
羅馬中心原點,Umbilicus urbis Romae,Italy
阿勒颇城堡,Citadel of Aleppo,Syria
拜达里文化,Badari culture,Egypt
克爾納韋,Kernavė,Lithuania
克勞蒂亞·阿格里皮娜的殖民地,Colonia Claudia Ara Agrippinensium,Germany
麦罗埃,Meroë,Sudan
洛塔,Lothal,India
雅典娜·波麗亞斯神廟,Priene,Ionia
八连城遗址,Baliancheng,People's Republic of China
帕加马,Pergamon,Turkey
北石窟寺,Q814874,People's Republic of China
巴孔寺,Bakong,Cambodia
卡夫拉金字塔,Pyramid of Khafre,Egypt
赫里奥波里斯,Heliopolis,Egypt
安条克,Antioch,Turkey
殖民地 (羅馬),Camulodunum,United Kingdom
大莱普提斯,Leptis Magna,Libya
琼戈尼岩石艺术区,Chongoni Rock Art Area,Malawi
戴克里先浴场,Baths of Diocletian,Italy
福斯塔特,Fustat,Egypt
毕士大池,Pool of Bethesda,Israel
奥古斯都陵墓,Mausoleum of Augustus,Italy
梅尔夫,Merv,Turkmenistan
富維耶山古羅馬劇場,Ancient Theatre of Fourvière,France
基什,Kish,Iraq
日耳曼長城,Limes Germanicus,Netherlands
日耳曼長城,Limes Germanicus,Germany
米吉多,Tel Megiddo,Israel
高句丽王城、王陵及贵族墓葬,Capital Cities and Tombs of the Ancient Koguryo Kingdom,People's Republic of China
安提諾波利斯,Antinopolis,Egypt
拉格什,Lagash,Iraq
阿布·萨拉比克,Abu Salabikh,Iraq
乐山大佛,Leshan Giant Buddha,People's Republic of China
钟山石窟,Zhongshan Grottoes,People's Republic of China
西代,Side,Turkey
阿布米那,Abu Mena,Egypt
巴巴神殿,Barbar Temple,Bahrain
金宫,Domus Aurea,Italy
八十垱遗址,Bashidang,People's Republic of China
北首岭遗址,Beishouling,People's Republic of China
白羊村遗址,Baiyangcun,People's Republic of China
佩拉,Pella,Greece
卡米,Khami,Zimbabwe
走马楼简牍,Zoumalou,People's Republic of China
吴哥古迹,Angkor,Cambodia
波斯波利斯,Persepolis,Iran
金沙遗址,Jinsha,People's Republic of China
女王宫,Banteay Srei,Cambodia
尼尼微,Nineveh,Iraq
帕德嫩神廟,Parthenon,Greece
西墙,Western Wall,Israel
西墙,Western Wall,State of Palestine
佩斯利洞窟,Paisley Caves,United States of America
塞维鲁凯旋门,Arch of Septimius Severus,Italy
霍奇卡爾科,Xochicalco,Mexico
亚述古城,Assur,Iraq
摩亨佐-达罗,Mohenjo-daro,Pakistan
奇琴伊察,Chichen Itza,Mexico
斯庫皮,Scupi,Republic of Macedonia
阿布西爾,Busiris,Egypt
宝镜湾遗址,Baojingwan,People's Republic of China
白莲洞古人类遗址博物馆,Bailiandong site,People's Republic of China
紅金字塔,Red Pyramid,Egypt
大马士革,Damascus,Syria
巴比伦,Babylon,Iraq
法老王島,Pharaoh's Island,Egypt
克诺索斯,Knossos,Greece
奧爾巴 (古代城市),Olba,Turkey
