label,cityLabel,countryLabel
基諾特卡電影檔案館,Yugoslav Film Archive,Serbia
哈利蘭塞姆中心,Harry Ransom Center,United States of America
愛沙尼亞國家檔案館,National Archives of Estonia,Estonia
新加坡國家檔案館,National Archives of Singapore,Singapore
互联网档案馆,Internet Archive,United States of America
名古屋市市政資料館,Nagoya City Archives,Japan
香港電影資料館,Hong Kong Film Archive,People's Republic of China
包豪斯設計博物館,Bauhaus Archive,Germany
罗纳德·里根总统图书馆,Ronald Reagan Presidential Library,United States of America
史密森學會檔案館,Smithsonian Institution Archives,United States of America
國家影片登記部,National Film Registry,United States of America
德國電影資料館,Deutsche Kinemathek,Germany
維多利亞公共紀錄辦公室,Public Record Office Victoria,Australia
加拿大圖書及檔案館,Library and Archives Canada,Canada
法國電影園,Cinémathèque Française,France
城市故事館,Q1664997,Germany
英國國家檔案館,The National Archives,United Kingdom
澳洲國家檔案館,National Archives of Australia,Australia
國立公文書館,National Archives of Japan,Japan
国家档案和记录管理局,National Archives and Records Administration,United States of America
梵蒂岡機密檔案館,Vatican Secret Archives,Vatican City
澳洲國立影片與聲音檔案館,National Film and Sound Archive,Australia
中央档案馆,State Archives Administration,People's Republic of China
亞美尼亞國家檔案館,National Archives of Armenia,Armenia
瑞典电影学院,Swedish Film Institute,Sweden
韓國電影資料館,Korean Film Archive,South Korea
以色列猶太大屠殺紀念館,Yad Vashem,Israel
邱吉爾檔案中心,Churchill Archives Centre,United Kingdom
葡萄牙國家檔案館,National Archive of Torre do Tombo,Portugal
國立威爾斯圖書館,National Library of Wales,United Kingdom
泰国电影资料馆,Thai Film Archive,Thailand
丹麥國家檔案館,Danish National Archives,Denmark
德國聯邦史塔西檔案局,Stasi Records Agency,Germany
國立電影博物館,National Museum of Cinema,Italy
寒蝉效应,Chilling Effects,United States of America
美国华人历史学会,Chinese Historical Society of America,United States of America
保加利亞國家圖書館,SS. Cyril and Methodius National Library,Bulgaria
大韓民國國家紀錄院,National Archives of Korea,South Korea
格林堡博物館,Glenbow Museum,Canada
耶路撒冷电影资料馆,Jerusalem Cinematheque,Israel
蘇格蘭國家檔案處,National Archives of Scotland,United Kingdom
德國聯邦檔案館,German Federal Archives,Germany
西印度群岛综合档案馆,General Archive of the Indies,Spain
澳洲動態影像中心,Australian Centre for the Moving Image,Australia
京都府立綜合資料館,Kyoto Prefectural Library and Achives,Japan
高雄市電影館,Kaohsiung Film Archive,People's Republic of China
丹麥電影學院,Danish Film Institute,Denmark
Corbis公司,Corbis,United States of America
