label,cityLabel,countryLabel
第二次赫尔戈兰海战,Second Battle of Heligoland Bight,Germany
特倫頓戰役,Battle of Trenton,United States of America
顺化战役,Battle of Hue,Vietnam
恩斯維爾之役,Battle of Dranesville,United States of America
第二次科林斯戰役,Second Battle of Corinth,United States of America
菲什加德戰役,Battle of Fishguard,United Kingdom
埃克爾斯之役,Battle of Eccles Hill,Canada
奔向大海,Race to the Sea,France
胡赫斯特戰役,Battle of Höchstädt,Germany
莱比锡战役,Battle of Leipzig,Kingdom of Saxony
弗勒呂斯戰役,Battle of Fleurus,Belgium
米苏拉塔之战,Battle of Misrata,Libya
新奥尔良战役,Battle of New Orleans,United States of America
圖爾戰役,Battle of Tours,France
泰拉蒙战役,Battle of Telamon,Italy
第一次阿拉曼戰役,First Battle of El Alamein,Egypt
班诺克本之战,Battle of Bannockburn,United Kingdom
賤岳之戰,Battle of Shizugatake,Japan
伊麗莎白市之役,Battle of Elizabeth City,United States of America
帕提戰役,Battle of Patay,France
都柏林战役,Battle of Dublin,Ireland
高加米拉戰役,Battle of Gaugamela,Iraq
基普灣登陸戰,Landing at Kip's Bay,United States of America
维多利亚战役,Battle of Vitoria,Spain
亞伯拉罕平原戰役,Battle of the Plains of Abraham,Canada
雷斯蒂古什海戰,Battle of Restigouche,Canada
滑铁卢战役,Battle of Waterloo,Belgium
格伦瓦德之战,Battle of Grunwald,Poland
明尼星克戰役,Battle of Minisink,United States of America
布伦汉姆战役,Battle of Blenheim,Germany
第二次阿拉曼战役,Second Battle of El Alamein,Egypt
洗劫巴格達,Siege of Baghdad,Iraq
斯特拉斯堡围困战,Siege of Strasbourg,France
摩加迪休之戰,Battle of Mogadishu,Somalia
解放巴黎,Liberation of Paris,France
邊境戰役,Battle of the Frontiers,Belgium
斯坦姆福德桥战役,Battle of Stamford Bridge,United Kingdom
瓦尔纳战役,Battle of Varna,Bulgaria
加里波利之战,Gallipoli campaign,Turkey
沛爾岬之戰,Battle of Pell's Point,United States of America
塞佩達戰役 (1859年),Battle of Cepeda,Argentina
