label,cityLabel
左传,Zuo Zhuan
堂吉诃德,Don Quixote
博物志,Natural History
傲慢與偏見,Pride and Prejudice
金銀島,Treasure Island
白牙,White Fang
麥田捕手,The Catcher in the Rye
洞,Holes
罪与罚,Crime and Punishment
西方哲学史,A History of Western Philosophy
野獸家園,Where the Wild Things Are
孙子兵法,The Art of War
安娜·卡列尼娜,Anna Karenina
罗莉塔,Lolita
卡拉馬佐夫兄弟,The Brothers Karamazov
查拉图斯特拉如是说,Thus Spoke Zarathustra
卡勒瓦拉,Kalevala
伊拉龙（小说）,Eragon
母親 (高爾基小說),The Mother
一個都不留,And Then There Were None
黃金傳說,Golden Legend
我，克劳迪亚斯,"I, Claudius"
大設計,The Grand Design
牛津英語詞典,The Oxford English Dictionary
曼谷的發條女孩,The Windup Girl
高盧戰記,Commentarii de Bello Gallico
論人類不平等的起源與基礎,Discourse on Inequality
問題兒童都來自異世界？,Mondai-Ji-tachi ga Isekai Kara Kuru Sō Desu yo?
如果折斷她的旗,Kanojo ga Flag o Oraretara
大部無害,Mostly Harmless
禅与摩托车维修艺术,Zen and the Art of Motorcycle Maintenance
西番雅書,Book of Zephaniah
羅傑·艾克洛命案,The Murder of Roger Ackroyd
飢餓遊戲,The Hunger Games
愛的教育,Heart
汤姆叔叔的小屋,Uncle Tom's Cabin
夏洛特的网,Charlotte's Web
吉尼斯世界纪录大全,Guinness World Records
春宮電影,Porno
魔幻城堡,Howl's Moving Castle
黑暗的心,Heart of Darkness
萌芽,Germinal
大間諜,Archangel
Zodiac (書籍),Zodiac
土生子,Native Son
安妮日記,Diary of Anne Frank
包法利夫人,Madame Bovary
社会契约论,The Social Contract
源氏物語,The Tale of Genji
十日談,The Decameron
第101隻斑點狗,The Hundred and One Dalmatians
智慧的七柱,Seven Pillars of Wisdom
禁書目錄,Index Librorum Prohibitorum
訓民正音,Hunminjeongeum
牧師五部曲,The Cleric Quintet
夜柔吠陀,Yajurveda
印卡王室述評,Comentarios Reales de los Incas
寄生前夜,Parasite Eve
聊齋志異,Strange Stories from a Chinese Studio
灼眼的夏娜,Shakugan no Shana
大西洋古抄本,Codex Atlanticus
綠皮書,The Green Book
克歇尔目录,Köchel catalogue
千面英雄,The Hero with a Thousand Faces
善終方式,Ars moriendi
我的青春恋爱喜剧果然有问题,Yahari Ore no Seishun Love Come wa Machigatteiru.
糖果屋,Hansel and Gretel
红樓夢,Dream of the Red Chamber
巴斯克維爾的獵犬,The Hound of the Baskervilles
古兰经,Quran
复活,Resurrection
黃金羅盤,Northern Lights
大师与玛格丽特,The Master and Margarita
蘇絲黃的世界,The World of Suzie Wong
喧嘩與騷動,The Sound and the Fury
大卫·科波菲尔,David Copperfield
叢林奇譚,The Jungle Book
哈利·波特与火焰杯,Harry Potter and the Goblet of Fire
上尉的女儿,The Captain's Daughter
物种起源,On the origin of species
上帝不伟大,God Is Not Great
武经总要,Wujing Zongyao
我女友與青梅竹馬的慘烈修羅場,Ore no Kanojo to Osananajimi ga Shuraba Sugiru
自私的基因,The Selfish Gene
我们,We
星際飆客 (漫畫),Cowboys & Aliens
哈利·波特与密室,Harry Potter and the Chamber of Secrets
雾都孤儿,Oliver Twist
戰爭與和平,War and Peace
暮光之城：暮色,Twilight
几何原本,Elements
生命、宇宙及萬事萬物,"Life, the Universe and Everything"
活着,To Live
简·爱,Jane Eyre
大墓地,Necropolis
普通语言学教程,Course in General Linguistics
绿野仙踪,The Wonderful Wizard of Oz
風之聖痕,Stigma of the Wind
坎特伯雷故事集,The Canterbury Tales
哈利·波特与死亡圣器,Harry Potter and the Deathly Hallows
爱丽丝梦游仙境,Alice's Adventures in Wonderland
哈利·波特与魔法石,Harry Potter and the Philosopher's Stone
一個孤獨漫步者的遐想,Reveries of a Solitary Walker
密碼,N or M?
尼希米記,Nehemiah
琥珀望遠鏡,The Amber Spyglass
末日逼近,The Stand
玫瑰之名,The Name of the Rose
吟遊詩人皮陀故事集,The Tales of Beedle the Bard
死前必聽的1001張專輯,1001 Albums You Must Hear Before You Die
天使与魔鬼,Angels & Demons
九三年,Ninety-Three
尤利西斯,Ulysses
夜访吸血鬼,Interview with the Vampire
了不起的盖茨比,The Great Gatsby
列王紀,Shahnameh
百科全书，或科学、艺术和工艺详解词典,Encyclopédie
聖經,Bible
芬尼根守靈夜,Finnegans Wake
飄,Gone with the Wind
MLA格式手冊,The MLA Style Manual
世界概况,The World Factbook
伊凡·杰尼索维奇的一天,One Day in the Life of Ivan Denisovich
塵之書,The Book of Dust
老人与海,The Old Man and the Sea
共产党宣言,The Communist Manifesto
荒野庄园的房客,The Tenant of Wildfell Hall
飢餓遊戲：自由幻夢,Mockingjay
哈利·波特与“混血王子”,Harry Potter and the Half-Blood Prince
理想国,The Republic
正多胞形 (書籍),Regular Polytopes
看得见风景的房间,A Room with a View
以斯帖記,Book of Esther
科學和藝術的進步對改良風俗是否有益,Discourse on the Arts and Sciences
草葉集,Leaves of Grass
雨果·卡布雷的发明,The Invention of Hugo Cabret
奇幻馬和傳說,The Horse and His Boy
数学原理,Principia Mathematica
科學怪人,Frankenstein
異鄉人,The Stranger
只为欢乐,Just for Fun
海底两万里,Twenty Thousand Leagues Under the Sea
白鯨記,Moby-Dick
空中村落,The Village in the Treetops
利维坦,Leviathan
暮光之城：新月,New Moon
格雷氏解剖學,Gray's Anatomy
星际战争,The War of the Worlds
賈思潘王子,Prince Caspian
湯姆的午夜花園,Tom's Midnight Garden
足球熱,Fever Pitch
鐘形曲線：美國社會中的智力與階層結構,The Bell Curve
發條橘子,A Clockwork Orange
萊斯特手稿,codex Leicester
東觀漢記,Dongguan Han Ji
一九八四,Nineteen Eighty-Four
小氣財神,A Christmas Carol
格列佛遊記,Gulliver's Travels
秘密花園,The Torture Garden
审判,The Trial
水滸傳,Water Margin
小小克星!,Little Busters!
血字的研究,A Study in Scarlet
打鬼戰士II：檔案Z,World War Z
Another,Another
2666,2666
華氏451度,Fahrenheit 451
臨時空缺,The Casual Vacancy
战争风云,The Winds of War
借鏡殺人,They Do It with Mirrors
Dirk Gently's Holistic Detective Agency,Dirk Gently's Holistic Detective Agency
纯粹理性批判,Critique of Pure Reason
明实录,Ming Shilu
猶太人賢士議定書,The Protocols of the Elders of Zion
搜神记,In Search of the Supernatural
中国大百科全书,Encyclopedia of China
21世紀議程,Agenda 21
愛麗絲鏡中奇遇,Through the Looking-Glass
两种文化,The Two Cultures
中國農民調查,Will the Boat Sink the Water
道德譜系學,On the Genealogy of Morality
窄門,Strait is the Gate
作为意志和表象的世界,The World as Will and Representation
宇宙盡頭的餐廳,The Restaurant at the End of the Universe
自由選擇,Free to Choose
超级魔鬼经济学,SuperFreakonomics
百年孤独,One Hundred Years of Solitude
战争与回忆,War and Remembrance
兒子與情人,Sons and Lovers
荒原,The Waste Land
资本论,Das Kapital
兔子四部曲,"Rabbit, Run"
云图,Cloud Atlas
沙丘系列小說,Dune
蘇菲的世界,Sophie's World
騎士蒂朗：少女陰謀,Tirant lo Blanch
城堡,The Castle
完美的間諜,A Perfect Spy
