label,cityLabel,countryLabel
第二通道,Malaysia–Singapore Second Link,Malaysia
皮埃尔桥,Pont de pierre,France
費爾法克斯橋,Fairfax Bridge,United States of America
甸斯摩橋,Dinsmore Bridge,Canada
路易-菲利普橋,Pont Louis-Philippe,France
红桥,Red Bridge,Russia
死者桥,Q3114749,France
港珠澳大橋,Hong Kong–Zhuhai–Macau Bridge,People's Republic of China
鹤见翼桥,Tsurumi Tsubasa Bridge,Japan
加陽大橋,Gayang Bridge,South Korea
广津桥,Gwangjin Bridge,South Korea
楊花大橋,Yanghwa Bridge,South Korea
重庆石板坡长江大桥,Shibanpo Bridge,People's Republic of China
西江大桥,Seogang Bridge,South Korea
爱迪生桥,Edison Bridge,United States of America
上游橋,pont amont,France
善竹橋,Sonjuk Bridge,North Korea
葵青橋,Duplicate Tsing Yi South Bridge,People's Republic of China
安顺桥,Anshun Bridge,People's Republic of China
崇海大橋,Chonghai Bridge,People's Republic of China
約翰·弗羅斯特大橋,John Frost Bridge,Netherlands
南京长江第二大桥,Second Nanjing Yangtze Bridge,People's Republic of China
塞哥维亚输水道,Aqueduct of Segovia,Spain
科伊勒倍嘉橋,Kierbedzia Bridge,Poland
澳門友誼大橋,Amizade Bridge,People's Republic of China
餘部橋,Amarube Viaduct,Japan
奉节长江大桥,Fengjie Bridge,People's Republic of China
西津桥,Xijin Bridge,People's Republic of China
法比亚尼桥,Fabiani Bridge,Slovenia
澎湖跨海大橋,Penghu Great Bridge,Taiwan
万维泰利桥,Bridge Vanvitelli,Italy
塞哥维亚桥,Bridge of Segovia,Spain
马普尔渡槽,Marple Aqueduct,United Kingdom
金门大桥,Golden Gate Bridge,United States of America
戈迪·豪國際大橋,Gordie Howe International Bridge,Canada
阿倫比大橋,Allenby Bridge,Jordan
阿倫比大橋,Allenby Bridge,West Bank
广济桥,Guangji Bridge,People's Republic of China
塔波特紀念橋,Talbot Memorial Bridge,Ireland
戈迪·豪國際大橋,Gordie Howe International Bridge,United States of America
斯拉科-東布羅夫斯基橋,Śląsko-Dąbrowski Bridge,Poland
兑换桥,Pont au Change,France
路易一世大橋,Dom Luís I Bridge,Portugal
八堂大橋,Paldang Bridge,South Korea
千户大桥,Cheonho Bridge,South Korea
沃邦拦河坝,Barrage Vauban,France
三條大橋,Sanjō Ōhashi Bridge,Japan
通润桥,Tsūjun Bridge,Japan
麦杆桥,Ponte della Paglia,Italy
潛水橋,Jamsu Bridge,South Korea
萬維泰利水道橋,Aqueduct of Vanvitelli,Italy
迈杰里桥,Megyeri Bridge,Hungary
青荃橋,Tsing Yi North Bridge,People's Republic of China
比斯開橋,Vizcaya Bridge,Spain
心齋橋,Shinsaibashi,Japan
克利夫頓吊橋,Clifton Suspension Bridge,United Kingdom
無花果樹橋,Fig Tree Bridge,Australia
碼頭大橋,Bryggebroen,Denmark
罗蒙诺索夫桥,Lomonosov Bridge,Russia
中桥,Q449659,Switzerland
含龙桥,Thanh Hoa Bridge,Vietnam
新柔长堤,Johor–Singapore Causeway,Singapore
卡鲁塞尔桥,Pont du Carrousel,France
新柔长堤,Johor–Singapore Causeway,Malaysia
關渡大橋,Guandu Bridge,Taiwan
加爾橋,Pont du Gard,France
大宁河大桥,Daning River Bridge,People's Republic of China
詹姆斯·喬伊斯橋,James Joyce Bridge,Ireland
爱之桥,Q3397356,France
維爾戈水道,Aqua Virgo,Italy
瑪利橋,Pont Marie,France
斯科普里水道橋,Skopje Aqueduct,Republic of Macedonia
木龙桥,Q3920945,People's Republic of China
兩國橋,Ryōgoku Bridge,Japan
熊山大桥,Bear Mountain Bridge,United States of America
伊良部大桥,Irabu Bridge,Japan
地维长江大桥,Diwei Bridge,People's Republic of China
太湖大桥,Taihu Bridge,People's Republic of China
拉瑪六世大橋,Rama VI Bridge,Thailand
滑铁卢桥,Waterloo Bridge,United Kingdom
跨海公路,Overseas Highway,United States of America
城山大橋,Seongsan Bridge,South Korea
東湖大橋,Dongho Bridge,South Korea
西海大桥,Seohae Bridge,South Korea
六广河大桥,Liuguanghe Bridge,People's Republic of China
荔枝角大橋,Lai Chi Kok Bridge,People's Republic of China
夏爾·戴高樂橋,pont Charles-de-Gaulle,France
蘇利橋,Pont de Sully,France
来远桥,Q1091054,Vietnam
賢良橋,Hien Luong Bridge,Vietnam
玛丽亚·克里斯蒂娜桥,María Cristina Bridge,Spain
瑪麗亞·皮亞橋,Maria Pia Bridge,Portugal
铸币广场,Muntplein,Netherlands
青衣南橋,Tsing Yi Bridge,People's Republic of China
堂山鐵橋,Dangsan Railway Bridge,South Korea
巨加跨海大桥,Busan-Geoje Fixed Link,South Korea
瓦倫斯水道橋,Valens Aqueduct,Turkey
不归桥,Bridge of No Return,North Korea
巽他海峡大桥,Sunda Strait Bridge,Indonesia
深港西部通道,Hong Kong–Shenzhen Western Corridor,People's Republic of China
屋我地大橋,Yagaji Bridge,Japan
威尔逊桥,Q3396789,France
麻风桥,Q3396620,Italy
云阳长江大桥,Yunyang Bridge,People's Republic of China
傍花大橋,Banghwa Bridge,South Korea
元曉大橋,Wonhyo Bridge,South Korea
奥林匹克大桥,Olympic Bridge,South Korea
漢南大橋,Hannam Bridge,South Korea
渼沙大橋,Misa Bridge,South Korea
嘉樂庇總督大橋,Governador Nobre de Carvalho Bridge,People's Republic of China
布魯克林大橋,Brooklyn Bridge,United States of America
鎮線隧道,Townline Tunnel,Canada
蓮花大橋,Lotus Bridge,People's Republic of China
阿爾伯特·L·邁爾斯大橋,Albertus L. Meyers Bridge,United States of America
爱琴桥,Elgin Bridge,Singapore
洞庭湖大桥,Dongting Lake Bridge,People's Republic of China
廷素拉暖大桥,Tinsulanonda bridge,Thailand
舊金山-奧克蘭海灣大橋,San Francisco–Oakland Bay Bridge,United States of America
武汉军山长江大桥,Wuhan Junshan Yangtze River Bridge,People's Republic of China
荣军院桥,Pont des Invalides,France
