label,cityLabel,city
泰雅·賓絲,Tyra Banks,http://www.wikidata.org/entity/Q172303
胡安·安东尼奥·萨马兰奇,Juan Antonio Samaranch,http://www.wikidata.org/entity/Q171166
阿里·代伊,Ali Daei,http://www.wikidata.org/entity/Q159622
田北辰,Michael Tien,http://www.wikidata.org/entity/Q80332
盧雷爾．奧格爾,Vural Öger,http://www.wikidata.org/entity/Q77675
麻生千賀子,Chikako Asō,http://www.wikidata.org/entity/Q73942
史提芬·安特,Stefan Arndt,http://www.wikidata.org/entity/Q98319
祖安·甘伯,Joan Gamper,http://www.wikidata.org/entity/Q115500
瓦尔特·施艾拉,Wally Schirra,http://www.wikidata.org/entity/Q110450
蘇海文,Helmut Sohmen,http://www.wikidata.org/entity/Q113635
大衛·德賴爾,David Dreier,http://www.wikidata.org/entity/Q174264
約翰內斯·克萊曼,Johannes Kleiman,http://www.wikidata.org/entity/Q177270
珍妮佛·安妮斯顿,Jennifer Aniston,http://www.wikidata.org/entity/Q32522
比尔·盖茨,Bill Gates,http://www.wikidata.org/entity/Q5284
安迪·鲁宾,Andy Rubin,http://www.wikidata.org/entity/Q49826
尤莉婭·弗拉基米羅芙娜·季莫申科,Yulia Tymoshenko,http://www.wikidata.org/entity/Q48283
賈斯汀·史特林,Jay Grdina,http://www.wikidata.org/entity/Q40263
傑哈·德巴狄厄,Gérard Depardieu,http://www.wikidata.org/entity/Q106508
傑夫·霍金,Jeff Hawkins,http://www.wikidata.org/entity/Q92993
柯克·道格拉斯,Kirk Douglas,http://www.wikidata.org/entity/Q104027
马克斯·列夫琴,Max Levchin,http://www.wikidata.org/entity/Q93014
贾森·李,Jason Lee,http://www.wikidata.org/entity/Q4960
施至成,Henry Sy,http://www.wikidata.org/entity/Q176679
安德雷亚·阿涅利,Andrea Agnelli,http://www.wikidata.org/entity/Q138351
奧花·雲費,Oprah Winfrey,http://www.wikidata.org/entity/Q55800
狄恩·德夫林,Dean Devlin,http://www.wikidata.org/entity/Q119849
穆罕默德·本·拉希德·阿勒马克图姆,Mohammed bin Rashid Al Maktoum,http://www.wikidata.org/entity/Q57655
羅伯特·路易斯-德瑞弗斯,Robert Louis-Dreyfus,http://www.wikidata.org/entity/Q123101
麗絲·韋花絲潘,Reese Witherspoon,http://www.wikidata.org/entity/Q44063
史蒂夫·巴爾默,Steve Ballmer,http://www.wikidata.org/entity/Q181162
阿诺·施瓦辛格,Arnold Schwarzenegger,http://www.wikidata.org/entity/Q2685
勞勃·瑞福,Robert Redford,http://www.wikidata.org/entity/Q59215
彼得·波罗申科,Petro Poroshenko,http://www.wikidata.org/entity/Q58077
毕齐纳·伊万尼什维利,Bidzina Ivanishvili,http://www.wikidata.org/entity/Q57794
迪特爾·蔡澈,Dieter Zetsche,http://www.wikidata.org/entity/Q65445
大衛·葛芬,David Geffen,http://www.wikidata.org/entity/Q115055
希拉里·达夫,Hilary Duff,http://www.wikidata.org/entity/Q122020
查尔斯·杜克,Charles Duke,http://www.wikidata.org/entity/Q112284
莱伊曼·古博薇,Leymah Gbowee,http://www.wikidata.org/entity/Q107037
黃志祥,Robert Ng,http://www.wikidata.org/entity/Q126488
大卫·洛克菲勒,David Rockefeller,http://www.wikidata.org/entity/Q11239
女神卡卡,Lady Gaga,http://www.wikidata.org/entity/Q19848
李嘉诚,Li ka shing,http://www.wikidata.org/entity/Q20151
朱镕基,Zhu Rongji,http://www.wikidata.org/entity/Q18285
梅麗莎·梅爾,Marissa Mayer,http://www.wikidata.org/entity/Q14086
董建華,Tung Chee Hwa,http://www.wikidata.org/entity/Q15027
吉恩·阿姆達爾,Gene Amdahl,http://www.wikidata.org/entity/Q62890
安迪·貝托爾斯海姆,Andy Bechtolsheim,http://www.wikidata.org/entity/Q65344
金·達康,Kim Dotcom,http://www.wikidata.org/entity/Q60543
塞雷娜·威廉姆斯,Serena Williams,http://www.wikidata.org/entity/Q11459
50 Cent,50 Cent,http://www.wikidata.org/entity/Q6060
小湯瑪士·華生,Thomas Watson,http://www.wikidata.org/entity/Q46000
阿尔·戈尔,Al Gore Jr.,http://www.wikidata.org/entity/Q19673
比爾·弗利斯特,Bill Frist,http://www.wikidata.org/entity/Q31112
沙奎尔·奥尼尔,Shaquille O'Neal,http://www.wikidata.org/entity/Q169452
費蘭·阿德里亞,Ferran Adrià,http://www.wikidata.org/entity/Q170317
肯伊·威斯特,Kanye West,http://www.wikidata.org/entity/Q15935
贾斯汀·韦尔比,Justin Welby,http://www.wikidata.org/entity/Q26419
約翰·貝林罕,John Bellingham,http://www.wikidata.org/entity/Q155344
阿克巴尔·哈什米·拉夫桑贾尼,Hashemi Rafsanjani,http://www.wikidata.org/entity/Q186111
鲁伯特·默多克,Rupert Murdoch,http://www.wikidata.org/entity/Q53944
詹姆士·威尔森,James Wilson,http://www.wikidata.org/entity/Q94765
贝尔纳·阿尔诺,Bernard Arnault,http://www.wikidata.org/entity/Q32055
马克·扎克伯格,Mark Zuckerberg,http://www.wikidata.org/entity/Q36215
海因里希·施利曼,Heinrich Schliemann,http://www.wikidata.org/entity/Q57106
迈克尔·杰克逊,Michael Jackson,http://www.wikidata.org/entity/Q2831
吉迪昂·森貝克,Gideon Sundback,http://www.wikidata.org/entity/Q186261
埃迪·乔丹,Eddie Jordan,http://www.wikidata.org/entity/Q173175
金·卡戴珊,Kim Kardashian,http://www.wikidata.org/entity/Q186304
沃伦·巴菲特,Warren Buffett,http://www.wikidata.org/entity/Q47213
潔西卡·艾巴,Jessica Alba,http://www.wikidata.org/entity/Q44077
約翰·邁克菲,John McAfee,http://www.wikidata.org/entity/Q45864
霍克·霍肯,Hulk Hogan,http://www.wikidata.org/entity/Q44176
姬蒂·佩芮,Katy Perry,http://www.wikidata.org/entity/Q42493
海因斯·利多富,Heinz Nixdorf,http://www.wikidata.org/entity/Q67464
安德鲁斯·安西普,Andrus Ansip,http://www.wikidata.org/entity/Q57640
保罗·艾伦,Paul Allen,http://www.wikidata.org/entity/Q162005
漢斯·黎格,Hans Riegel,http://www.wikidata.org/entity/Q85918
Jay-Z,Jay Z,http://www.wikidata.org/entity/Q62766
梅格·惠特曼,Meg Whitman,http://www.wikidata.org/entity/Q55174
苏珊·沃西基,Susan Wojcicki,http://www.wikidata.org/entity/Q55183
約翰·卡西奇,John Kasich,http://www.wikidata.org/entity/Q69319
博马舍,Pierre Beaumarchais,http://www.wikidata.org/entity/Q70326
戴蒙·希爾,Damon Hill,http://www.wikidata.org/entity/Q10505
阿曼西奥·奥尔特加,Amancio Ortegaiknsc sd,http://www.wikidata.org/entity/Q29279
埃里克·施密特,Eric Schmidt,http://www.wikidata.org/entity/Q92747
李彦宏,Robin Li,http://www.wikidata.org/entity/Q92985
班汉·西巴阿差,Banharn Silpa-archa,http://www.wikidata.org/entity/Q111980
吉米·威爾斯,Jimmy Wales,http://www.wikidata.org/entity/Q181
弗兰克·阿巴内尔,Frank Abagnale,http://www.wikidata.org/entity/Q116774
讓-米歇爾·奧拉斯,Jean-Michel Aulas,http://www.wikidata.org/entity/Q4245
辛迪拉拿,Santillana,http://www.wikidata.org/entity/Q32763
保羅·杜洛夫,Pavel Durov,http://www.wikidata.org/entity/Q149067
紀堯姆·佩皮,Guillaume Pepy,http://www.wikidata.org/entity/Q136392
萨基斯·鲁瓦斯,Sakis Rouvas,http://www.wikidata.org/entity/Q60970
史蒂夫·乔布斯,Steve Jobs,http://www.wikidata.org/entity/Q19837
櫻內幸雄,Yukio Sakurauchi,http://www.wikidata.org/entity/Q73283
塞巴斯蒂安·皮涅拉,Sebastián Piñera,http://www.wikidata.org/entity/Q306
