label,cityLabel,countryLabel
南水北调工程,South–North Water Transfer Project,People's Republic of China
莫斯科運河,Moscow Canal,Russia
威蘭運河,Welland Canal,Canada
北横引河,Q10903156,People's Republic of China
侨德仕街,Geldersekade,Netherlands
後村圳,Q21041607,Taiwan
伏爾加─波羅的海水路,Volga–Baltic Waterway,Russia
曼徹斯特博爾頓和貝利運河,Manchester Bolton & Bury Canal,United Kingdom
中部运河 (法国),Canal du Centre,France
肯尼特與雅芳運河,Kennet and Avon Canal,United Kingdom
卑南大圳,Q17164594,Taiwan
葫蘆墩圳,Q17164665,Taiwan
伏爾加-頓河運河,Volga–Don Canal,Russia
大安圳,Q10934853,Taiwan
红旗渠,Red Flag Canal,People's Republic of China
蘭德韋爾運河,Landwehr Canal,Germany
八堡圳,Q10892050,Taiwan
第聶伯河－布格河運河,Dnieper–Bug Canal,Belarus
中德运河,Mittelland Canal,Germany
竹東圳,Zhudong Canal,Taiwan
都江堰,Dujiangyan,People's Republic of China
攝政運河,Regent's Canal,United Kingdom
大治河,Q10936311,People's Republic of China
黑川清流公園,Q11634133,Japan
辛厄爾運河,Singelgracht,Netherlands
米迪运河,Canal du Midi,France
肯辛頓運河,Kensington Canal,United Kingdom
關山大圳,Q18668946,Taiwan
大坡圳,Q19852241,Taiwan
美和圳,Q19853329,Taiwan
萬安圳,Q19853616,Taiwan
豐源圳,Q19853733,Taiwan
白海-波羅的海運河,White Sea – Baltic Canal,Russia
利吉圳,Q19851927,Taiwan
稻生川,Q11596736,Japan
兩總用水,Q11362673,Japan
六鄉用水,Q11392603,Japan
卡拉庫姆運河,Karakum Canal,Turkmenistan
阿姆斯特爾河,Amstel,Netherlands
萬朝圳,Q19853617,Taiwan
圣马丁运河,Canal Saint-Martin,France
千鳥淵,Chidoriga-fuchi moat,Japan
高沼用水路西緣,Q11671766,Japan
阿姆斯特丹运河,canals of Amsterdam,Netherlands
聖羅倫斯海道,Saint Lawrence Seaway,United States of America
隆恩圳,Q17035090,Taiwan
辛厄爾,Singel,Netherlands
莱顿拖船运河,Leidsevaart,Netherlands
羅金街,Rokin,Netherlands
波塔基特運河,Pawtucket Canal,United States of America
阿卜杜勒運河,King Abdullah Canal,Jordan
玉川上水,Tamagawa Aqueduct,Japan
東勢本圳,Q11103078,Taiwan
布里奇沃特運河,Bridgewater Canal,United Kingdom
吉安圳,Q17164606,Taiwan
福斯和克萊德運河,Forth and Clyde Canal,United Kingdom
川杨河,Q11055308,People's Republic of China
聯盟運河,Union Canal,United Kingdom
尼加拉瓜運河,Nicaragua Canal,Nicaragua
科林斯运河,Corinth Canal,Greece
東橫堀川,Higashi-Yokobori River,Japan
卡昂運河,Canal de Caen à la Mer,France
曼徹斯特運河,Manchester Ship Canal,United Kingdom
備前堀 (茨城縣),Q11387325,Japan
北運河與穆迪街電力饋線工程,Lowell Power Canal System and Pawtucket Gatehouse,United States of America
阿夫拉贾灌溉体系,Faladsch,Oman
达姆拉克大街,Damrak,Netherlands
約塔運河,Göta Canal,Sweden
聖丹尼斯運河,Canal Saint-Denis,France
巴拿马运河,Panama Canal,Panama
新港,Nyhavn,Denmark
房總導水路,Q11496701,Japan
烏爾克運河,Canal de l'Ourcq,France
大运河,Grand Canal,Italy
基爾運河,Kiel Canal,Germany
新苏伊士运河,New Suez Canal,Egypt
京杭大运河,Grand Canal,People's Republic of China
稻付川,Q11596452,Japan
苏北灌溉总渠,North Jiangsu Irrigation Main Channel,People's Republic of China
多瑙-黑海運河,Danube – Black Sea Canal,Romania
龐特卡薩魯岧水道,Pontcysyllte Aqueduct,United Kingdom
莱茵河-美因河-多瑙河运河,Rhine-Main-Danube Canal,Germany
苏伊士运河,Suez Canal,Egypt
永定河引水渠,Yongding River diversion canal,People's Republic of China
小樽運河,Otaru Canal,Japan
格里博耶多夫运河,Griboyedov Canal,Russia
大費爾干納運河,Great Fergana Canal,Tajikistan
大費爾干納運河,Great Fergana Canal,Uzbekistan
新水道,Nieuwe Waterweg,Netherlands
栟茶运河,Bingcha Yunhe,People's Republic of China
杜勒河,Deûle,France
切萨皮克和俄亥俄运河,Chesapeake and Ohio Canal,United States of America
马格德堡水桥,Magdeburg Water Bridge,Germany
加尔希普克塔,Garhi Pūkhta Drain,India
丽都运河,Rideau Canal,Canada
白冷圳,Q15908452,Taiwan
八寶圳,Q9411100,Taiwan
伊利諾伊和密歇根運河,Illinois and Michigan Canal,United States of America
郑国渠,Zhengguo Canal,People's Republic of China
曹公圳,Q10323065,Taiwan
黄金转弯,Gouden Bocht,Netherlands
塞馬運河,Saimaa Canal,Russia
塞馬運河,Saimaa Canal,Finland
恆河運河,Gangeskanalen,India
支流運河,Obvodny Canal,Russia
亨內平運河大道州立公園,Hennepin Canal Parkway State Park,United States of America
卑南上圳,Q18651911,Taiwan
知本圳,Q18657602,Taiwan
伊利運河,Erie Canal,United States of America
池上圳,Q18654170,Taiwan
石山圳,Q18657626,Taiwan
道將圳,Q15940156,Taiwan
波波隧道,Paw Paw Tunnel,United States of America
科德角運河,Cape Cod Canal,United States of America
