label,entityLabel,countryLabel
佩利萊奧縣,Pelileo Canton,Ecuador
布埃納費縣,Buena Fé Canton,Ecuador
奧塔瓦洛縣,Otavalo Canton,Ecuador
帕塔特縣,Patate Canton,Ecuador
拉孔科爾迪亞縣,La Concordia Canton,Ecuador
蘇庫阿縣,Sucúa Canton,Ecuador
賓塞斯縣,Vinces Canton,Ecuador
阿塔卡梅斯縣,Atacames Canton,Ecuador
瓦莱州,Canton of Valais,Switzerland
沃州,Canton of Vaud,Switzerland
波科西縣,Pococí,Costa Rica
皮利亞羅縣,Píllaro Canton,Ecuador
蒂薩萊奧縣,Tisaleo Canton,Ecuador
比布利安縣,Biblián Canton,Ecuador
巴尼奧斯縣,Baños Canton,Ecuador
哈馬縣,Jama Canton,Ecuador
本塔納斯縣,Ventanas Canton,Ecuador
莫卡切縣,Mocache Canton,Ecuador
烏里州,Uri,Switzerland
伯恩州,Canton of Bern,Switzerland
巴塞爾鄉村州,Basel-Land,Switzerland
日內瓦州,Canton of Geneva,Switzerland
索洛圖恩州,Canton of Solothurn,Switzerland
烏納-薩納州,Una-Sana Canton,Bosnia and Herzegovina
第十州,Canton 10,Bosnia and Herzegovina
皮尼亞斯縣,Piñas Canton,Ecuador
莫拉縣,Mora,Costa Rica
瓜圖索縣,Guatuso,Costa Rica
利韋里亞縣,Liberia Canton,Costa Rica
基托縣,Quito Metro,Ecuador
薩爾塞多縣,Salcedo Canton,Ecuador
貢薩納馬縣,Gonzanamá Canton,Ecuador
巴塞爾州,canton of Basel,Switzerland
博利瓦爾縣,Bolívar Canton,Ecuador
烏爾達內塔縣,Urdaneta,Ecuador
弗里堡州,Canton of Fribourg,Switzerland
沙夫豪森州,Canton of Schaffhausen,Switzerland
納沙泰爾州,Canton of Neuchâtel,Switzerland
聖加侖州,Canton of St. Gallen,Switzerland
中波斯尼亞州,Central Bosnia Canton,Bosnia and Herzegovina
圖茲拉州,Tuzla Canton,Bosnia and Herzegovina
薩拉熱窩州,Sarajevo Canton,Bosnia and Herzegovina
西黑塞哥維納州,West Herzegovina Canton,Bosnia and Herzegovina
埃爾潘縣,El Pan Canton,Ecuador
