label,cityLabel,countryLabel
死亡之城,City of the Dead,Egypt
少林寺塔林,Pagoda Forest at Shaolin Temple,People's Republic of China
英雄公墓,Libingan ng mga Bayani,Philippines
雜司谷靈園,Zōshigaya Cemetery,Japan
少昊陵,Shaohao Tomb,People's Republic of China
唐昭陵,Zhao Mausoleum,People's Republic of China
英格爾伍德公園公墓,Inglewood Park Cemetery,United States of America
森林草坪紀念公園（荷里活山）,Forest Lawn Memorial Park,United States of America
圣玛洛公墓,École régionale des Beaux-Arts de Rouen,France
Bellu公墓,Bellu cemetery,Romania
万松老人塔,Pagoda of Monk Wansong,People's Republic of China
瑪德蓮墳場,Madeleine Cemetery,France
新教公墓,Protestant Cemetery,Italy
羅滕曼,Rottenmann,Austria
大城山革命烈士陵園,Revolutionary Martyrs' Cemetery,North Korea
荣誉谷,Alley of Honor,Azerbaijan
聖熱訥維耶沃-德布瓦俄羅斯公墓,Sainte-Geneviève-des-Bois Russian Cemetery,France
周公庙遗址,Q991847,People's Republic of China
浙南石棚墓群,Q1479926,People's Republic of China
瓦甘科夫公墓,Vagankovo Cemetery,Russia
洋海墓群,Yanghai tombs,People's Republic of China
桑德魏勒城德国战争墓地,Sandweiler German war cemetery,Luxembourg
马王堆汉墓,Mawangdui,People's Republic of China
倫敦萬靈公墓,Kensal Green Cemetery,United Kingdom
圣罗格公墓,St. Rochus Cemetery,Germany
银雀山汉墓,Yinqueshan Han Slips,People's Republic of China
中山王墓,Q1500653,People's Republic of China
桑马尔拉赫登麦基青铜时代墓地遗址,Sammallahdenmäki,Finland
关陵,Guanling Mausoleum,People's Republic of China
頓河修道院墓園,Donskoy Monastery,Russia
善家堡墓群,Q18233730,People's Republic of China
皇家禮拜堂 (德勒),Chapelle royale de Dreux,France
芬克里夫墓園,Ferncliff Cemetery,United States of America
滕公栅栏,Zhalan Cemetery,People's Republic of China
克里姆林宮紅場墓園,Kremlin Wall Necropolis,Russia
阿斯塔那古墓群,Astana Cemetery,People's Republic of China
孔林,Cemetery of Confucius,People's Republic of China
海格特公墓,Highgate Cemetery,United Kingdom
贾瑞普公墓,Jairampur cemetery,India
马尼拉北部公墓,Manila North Cemetery,Philippines
莱克星顿公墓,Lexington Cemetery,United States of America
维也纳中央公墓,Zentralfriedhof,Austria
西灣國殤紀念墳場,Sai Wan War Cemetery,People's Republic of China
三位一體墓地,Trinitatis Cemetery,Germany
奧本山公墓,Mount Auburn Cemetery,United States of America
東芬奇利公墓,East Finchley Cemetery,United Kingdom
大堡子山遗址及墓群,Dabuzi,People's Republic of China
加理多墓窟,Catacomb of Callixtus,Italy
青山靈園,Aoyama Cemetery,Japan
绿荫公墓,Green-Wood Cemetery,United States of America
吉堆吐蕃墓群,Q1558010,People's Republic of China
所药村壁画墓,Q1574082,People's Republic of China
汉中山王墓,Q1574091,People's Republic of China
紐約大理石公墓,New York Marble Cemetery,United States of America
特洛耶庫羅夫斯科耶公墓,Troyekurovskoye Cemetery,Russia
森林草坪纪念公园,Forest Lawn Memorial Park,United States of America
小河墓地,Xiaohe Cemetery,People's Republic of China
山景公墓,Mountain View Cemetery,United States of America
邦希爾墓園,Bunhill Fields,United Kingdom
吐虎鲁克·铁木尔汗麻扎,Tughluq Timur Mausoleum,People's Republic of China
罗泊湾一号墓,Q1877548,People's Republic of China
斯普林菲爾德 (伊利諾伊州),Oak Ridge Cemetery,United States of America
北部公墓 (慕尼黑),Nordfriedhof,Germany
霍梅尼陵,Mausoleum of Khomeini,Iran
聖皮埃爾公墓,Cimetière Saint-Pierre,France
红军英雄纪念碑,Soviet War Memorial,Austria
基督教墳場,Old Protestant Cemetery,People's Republic of China
特歐馬,Teouma,Vanuatu
非洲人墓地國家紀念碑,African Burial Ground National Monument,United States of America
洋墓亭,Foochow Mission Cemetery,People's Republic of China
施塔恩斯多夫西南教堂墓地,Südwestkirchhof Stahnsdorf,Germany
烏姆·卡伯,Umm el-Qa'ab,Egypt
洞山公墓,Cave Hill Cemetery,United States of America
沙嶺墳場,Sandy Ridge Cemetery,People's Republic of China
千鳥淵戰歿者墓苑,Chidorigafuchi National Cemetery,Japan
希耶塔涅米公墓,Hietaniemi cemetery,Finland
斯科特堡國家墓園,Fort Scott National Cemetery,United States of America
请输入标签,Old Calton Cemetery,United Kingdom
柏林荣军公墓,Invalids' Cemetery,Germany
方山永固陵,Yonggu Mausoleum,People's Republic of China
万忠墓,Q2548563,People's Republic of China
橡樹丘公墓,Oak Hill Cemetery,United States of America
