label,riverLabel,countryLabel
愛德華茲縣,Edwards County,United States of America
尚佩恩縣,Champaign County,United States of America
斯托本縣,Steuben County,United States of America
什罗普郡,Shropshire,United Kingdom
諾森伯蘭郡,Northumberland,United Kingdom
兰开夏郡,Lancashire,United Kingdom
莱斯特郡,Leicestershire,United Kingdom
諾丁漢郡,Nottinghamshire,United Kingdom
德黑蘭縣,Tehran County,Iran
伊朗沙赫尔县,Iranshahr County,Iran
巴姆郡,Bam County,Iran
坎伯蘭縣,Cumberland County,United States of America
康特拉科斯塔县,Contra Costa County,United States of America
杜佩奇縣,DuPage County,United States of America
聖貝納迪諾縣,San Bernardino County,United States of America
阿靈頓縣,Arlington County,United States of America
哈勒哈勒县,Khalkhal County,Iran
格洛斯特縣,Gloucester County,United States of America
奧古斯塔縣,Augusta County,United States of America
林肯郡,Lincolnshire,United Kingdom
德比郡,Derbyshire,United Kingdom
克里斯蒂安縣,Christian County,United States of America
波普縣,Pope County,United States of America
丹佛,Denver,United States of America
斯塔福德郡,Staffordshire,United Kingdom
卡拉季县,Karaj County,Iran
南塔克特,Nantucket,United States of America
布朗縣,Brown County,United States of America
奧西耶克-巴拉尼亞縣,Osijek-Baranja County,Croatia
梅吉穆列縣,Međimurje County,Croatia
波熱加-斯拉沃尼亞縣,Požega-Slavonia County,Croatia
赫曼德县,Hirmand County,Iran
卡里布縣 (愛達荷州),Caribou County,United States of America
斯瓦尔巴群岛,Svalbard,Norway
劍橋郡,Cambridgeshire,United Kingdom
克拉克縣,Clark County,United States of America
華盛頓縣,Washington County,United States of America
馬里科帕縣,Maricopa County,United States of America
埃芬漢縣,Effingham County,United States of America
埃爾克哈特縣,Elkhart County,United States of America
拉格蘭奇縣,LaGrange County,United States of America
拉波特縣,LaPorte County,United States of America
威廉王縣,King William County,United States of America
馬修斯縣,Mathews County,United States of America
揚馬延島,Jan Mayen,Norway
哈什县,Khash County,Iran
坎布里亞郡,Cumbria,United Kingdom
葛蘭姆縣,Graham County,United States of America
泰恩-威爾郡,Tyne and Wear,United Kingdom
肯塔基郡,"Kentucky County, Virginia",United States of America
伊斯特拉縣,Istria County,Croatia
克拉皮納-扎戈列縣,Krapina-Zagorje County,Croatia
利卡-塞尼縣,Lika-Senj County,Croatia
布羅德-波薩維納縣,Brod-Posavina County,Croatia
扎達爾縣,Zadar County,Croatia
杜布羅夫斯克-內雷特瓦縣,Dubrovnik-Neretva County,Croatia
濱海和山區縣,Primorje-Gorski Kotar County,Croatia
科普里夫尼察-克里熱夫齊縣,Koprivnica-Križevci County,Croatia
东约克郡,East Riding of Yorkshire,United Kingdom
南约克郡,South Yorkshire,United Kingdom
北约克郡,North Yorkshire,United Kingdom
威廉王子縣,Prince William County,United States of America
溫納貝戈縣,Winnebago County,United States of America
聖克魯斯縣,Santa Cruz County,United States of America
亞瓦派縣,Yavapai County,United States of America
希拉縣,Gila County,United States of America
皮马县,Pima County,United States of America
阿可麥克縣,Accomack County,United States of America
烏爾米耶郡,Urmia County,Iran
拉塔縣,Latah County,United States of America
亞當斯縣,Adams County,United States of America
亞歷山大縣,Alexander County,United States of America
克林頓縣,Clinton County,United States of America
卡斯縣,Cass County,United States of America
卡爾霍恩縣,Calhoun County,United States of America
埃達縣,Ada County,United States of America
布尤特縣,Butte County,United States of America
德威特縣,DeWitt County,United States of America
比羅縣,Bureau County,United States of America
橙縣,Orange County,United States of America
班諾克縣,Bannock County,United States of America
河濱縣,Riverside County,United States of America
肯德爾縣,Kendall County,United States of America
邦德縣,Bond County,United States of America
道格拉斯縣,Douglas County,United States of America
金县,King County,United States of America
清水縣,Clearwater County,United States of America
戴維斯縣,Daviess County,United States of America
達勒姆郡,County Durham,United Kingdom
別洛瓦爾-比洛戈拉縣,Bjelovar-Bilogora County,Croatia
瓦拉日丁縣,Varaždin County,Croatia
維羅維蒂察-波德拉維納縣,Virovitica-Podravina County,Croatia
薩格勒布縣,Zagreb County,Croatia
洛杉矶县,Los Angeles County,United States of America
北安普頓縣,Northampton County,United States of America
可可尼諾縣,Coconino County,United States of America
格林利縣,Greenlee County,United States of America
考爱县,Kauai County,United States of America
國王與王后縣,King and Queen County,United States of America
克勞福德縣,Crawford County,United States of America
博伊西縣 (愛達荷州),Boise County,United States of America
布恩縣,Boone County,United States of America
迪卡尔布县,DeKalb County,United States of America
馬里昂縣,Marion County,United States of America
克莱县,Clay County,United States of America
庫克縣,Cook County,United States of America
弗洛伊德縣,Floyd County,United States of America
格林縣,Greene County,United States of America
約翰遜縣,Johnson County,United States of America
喀細亞縣 (愛達荷州),Cassia County,United States of America
貝爾萊克縣 (愛達荷州),Bear Lake County,United States of America
納瓦霍縣,Navajo County,United States of America
舊金山,San Francisco,United States of America
卡爾洛瓦茨縣,Karlovac County,Croatia
武科瓦爾-斯里耶姆縣,Vukovar-Syrmia County,Croatia
索诺马县,Sonoma County,United States of America
蒙特雷縣,Monterey County,United States of America
席林堡,Qasr-e Shirin,Iran
聖路易斯-奧比斯波縣,San Luis Obispo County,United States of America
莫哈維縣,Mohave County,United States of America
阿帕契縣,Apache County,United States of America
西约克郡,West Yorkshire,United Kingdom
北安普敦郡,Northamptonshire,United Kingdom
阿卜耶克縣,Abyek County,Iran
阿尔达比勒县,Ardabil County,Iran
愛塞克斯郡,Essex County,United States of America
皮奥里亚县,Peoria County,United States of America
茂宜郡,Maui County,United States of America
薩福克郡,Suffolk,United Kingdom
利穆赞,Limousin,France
拉巴斯縣,La Paz County,United States of America
利文斯頓縣,Livingston County,United States of America
安佐郡,Asa,Japan
