label,riverLabel,countryLabel
盧特沙漠,Dasht-e Lut,Iran
阿拉善沙漠,Alashan,People's Republic of China
科尔沁沙地,Q1628858,People's Republic of China
佩恩蒂德沙漠,Painted Desert,United States of America
莫哈韦沙漠,Mojave Desert,United States of America
chinesisch,Q398398,Russia
薩基爾沙漠,Sakhir,Bahrain
納米比沙漠,Namib,Namibia
納米比沙漠,Namib,South Africa
納米比沙漠,Namib,Angola
叙利亚沙漠,Syrian Desert,Syria
塔克拉玛干沙漠,Taklamakan Desert,People's Republic of China
美大荒,Great American Desert,Mexico
黑岩石沙漠,Black Rock Desert,United States of America
內蓋夫,Negev,Israel
大维多利亚沙漠,Great Victoria Desert,Australia
巴丹吉林沙漠,Badain Jaran Desert,People's Republic of China
達哈拉沙漠,Ad-Dahna Desert,Saudi Arabia
加州高地沙漠,High Desert,United States of America
吉布森沙漠,Gibson Desert,Australia
大漠,Gobi Desert,Mongolia
克孜勒库姆沙漠,Kyzyl Kum,Kazakhstan
利比亚沙漠,Libyan Desert,Libya
利比亚沙漠,Libyan Desert,Sudan
利比亚沙漠,Libyan Desert,Egypt
阿拉爾庫姆沙漠,Aralkum,Kazakhstan
大漠,Gobi Desert,People's Republic of China
東部沙漠,Eastern Desert,Egypt
阿拉爾庫姆沙漠,Aralkum,Uzbekistan
克孜勒库姆沙漠,Kyzyl Kum,Turkmenistan
大鹽湖沙漠,Great Salt Lake Desert,United States of America
庫卜拉撞擊坑,Kebira Crater,Algeria
庫卜拉撞擊坑,Kebira Crater,Libya
阿拉伯沙漠,Arabian Desert,Jordan
辛普森沙漠,Simpson Desert,Australia
腾格里沙漠,Tengger Desert,People's Republic of China
阿拉伯沙漠,Arabian Desert,Oman
阿拉伯沙漠,Arabian Desert,Iraq
奇瓦瓦沙漠,Chihuahuan Desert,Mexico
安特洛普谷,Antelope Valley,United States of America
阿拉伯沙漠,Arabian Desert,Yemen
阿拉伯沙漠,Arabian Desert,United Arab Emirates
阿拉伯沙漠,Arabian Desert,Saudi Arabia
死亡谷,Death Valley,United States of America
塔尔沙漠,Thar Desert,Pakistan
塔尔沙漠,Thar Desert,India
巴塔哥尼亞沙漠,Patagonian Desert,Argentina
卡拉庫姆沙漠,Karakum Desert,Turkmenistan
瓜希拉沙漠,La Guajira Desert,Colombia
塔纳米沙漠,Tanami Desert,Australia
索诺兰沙漠,Sonoran Desert,Mexico
索诺兰沙漠,Sonoran Desert,United States of America
鲁卜哈利沙漠,Rub' al Khali,Oman
科羅拉多高原,Colorado Plateau,United States of America
鲁卜哈利沙漠,Rub' al Khali,Yemen
鲁卜哈利沙漠,Rub' al Khali,United Arab Emirates
鲁卜哈利沙漠,Rub' al Khali,Saudi Arabia
马皮米洼地,Bolsón de Mapimí,Mexico
跨撒哈拉贸易,Trans-Saharan trade,Algeria
內夫得沙漠,An Nafud,Saudi Arabia
尤马沙漠,Yuma Desert,Mexico
大沙沙漠,Great Sandy Desert,Australia
阿他加马沙漠,Atacama Desert,Chile
小沙沙漠,Little Sandy Desert,Australia
科罗拉多沙漠,Colorado Desert,United States of America
泰內雷沙漠,Ténéré,Niger
