label,cityLabel,countryLabel
2010年智利披市勒亩地震,2010 Pichilemu earthquake,Chile
1978年塔巴斯地震,1978 Tabas earthquake,Iran
1949年安巴托地震,1949 Pelileo earthquake,Ecuador
2012年缅甸地震,2012 Shwebo earthquake,Myanmar
2016年高雄地震,2016 Kaohsiung earthquake,Taiwan
2011年錫金地震,2011 Sikkim earthquake,Nepal
2011年錫金地震,2011 Sikkim earthquake,India
2011年錫金地震,2011 Sikkim earthquake,Bangladesh
1941年凡城-埃爾吉斯地震,1941 Van-Erciş earthquake,Turkey
1970年安卡什地震,1970 Ancash earthquake,Peru
2011年錫金地震,2011 Sikkim earthquake,People's Republic of China
2012年艾米利亞地震,2012 Northern Italy earthquakes,Italy
2012年危地马拉地震,2012 Guatemala earthquake,Guatemala
1908年墨西拿地震,1908 Messina earthquake,Italy
1848年马尔堡地震,1848 Marlborough earthquake,New Zealand
1868年阿里卡大地震,1868 Arica earthquake,Chile
1946年新化地震,1946 Hsinhua earthquake,Taiwan
關東大地震,1923 Great Kantō earthquake,Japan
2005年格什姆地震,2005 Qeshm earthquake,Iran
2008年阿巴斯港地震,2008 Bandar Abbas earthquake,Iran
1963年斯科普里地震,1963 Skopje earthquake,Republic of Macedonia
2011年錫金地震,2011 Sikkim earthquake,Bhutan
2012年艾米利亞地震,2012 Northern Italy earthquakes,Slovenia
1976年瓜地馬拉地震,1976 Guatemala earthquake,Guatemala
2009年拉奎拉地震,2009 L'Aquila earthquake,Italy
1906年厄瓜多地震,1906 Ecuador-Colombia earthquake,Colombia
八重山地震,1771 Great Yaeyama Tsunami,Japan
1918年南澳大地震,1918 Shantou earthquake,People's Republic of China
2012年扬州地震,2012 Yangzhou Earthquake,People's Republic of China
2006年夏威夷地震,2006 Hawaii earthquake,United States of America
1906年厄瓜多地震,1906 Ecuador-Colombia earthquake,Ecuador
1925年大理地震,1925 Dali earthquake,People's Republic of China
2011年基督城地震,February 2011 Christchurch earthquake,New Zealand
2016年新西兰南岛地震,2016 North Canterbury earthquake,New Zealand
1968年伊利诺伊州地震,1968 Illinois earthquake,United States of America
永蓋,Yungay,Peru
2008年巴基斯坦地震,2008 Pakistan earthquake,Pakistan
2011年費爾干納盆地地震,2011 Fergana Valley earthquake,Kyrgyzstan
1927年克里米亞地震,1927 Crimean earthquakes,Russia
1927年克里米亞地震,1927 Crimean earthquakes,Ukraine
2011年費爾干納盆地地震,2011 Fergana Valley earthquake,Uzbekistan
2007年安托法加斯塔地震,2007 Tocopilla earthquake,Chile
2017年1月意大利中部地震,January 2017 Central Italy earthquakes,Italy
2016福岛地震,2016 Fukushima earthquake,Japan
2006年5月爪哇地震,May 2006 Java earthquake,Indonesia
2003年布米爾達斯省地震,2003 Boumerdès earthquake,Algeria
2006年千岛群岛地震,2006 Kuril Islands earthquake,Russia
1934年尼泊爾-比哈爾地震,1934 Nepal-Bihar earthquake,Nepal
1934年尼泊爾-比哈爾地震,1934 Nepal-Bihar earthquake,India
1989年洛馬普列塔地震,1989 Loma Prieta earthquake,United States of America
1755年里斯本大地震,1755 Lisbon earthquake,Portugal
1963年千島群島地震,1963 Kuril Islands earthquake,Russia
嘉靖大地震,1556 Shaanxi earthquake,People's Republic of China
1872年Lone Pine地震,1872 Lone Pine earthquake,United States of America
1931年富蕴地震,1931 Fuyun earthquake,People's Republic of China
2005年九江地震,2005 Ruichang earthquake,People's Republic of China
2007年能登半島地震,2007 Noto earthquake,Japan
2007年9月蘇門答臘地震,September 2007 Sumatra earthquakes,Indonesia
2016年厄瓜多尔地震,Earthquake in Ecuador 2016,Ecuador
唐山大地震,1976 Tangshan earthquake,People's Republic of China
1138年阿勒颇大地震,1138 Aleppo earthquake,Turkey
1138年阿勒颇大地震,1138 Aleppo earthquake,Syria
2016年意大利中部地震,August 2016 Central Italy earthquake,Italy
2012年日本东北海域地震,2012 Kamaishi earthquake,Japan
日本地震,Earthquakes in Japan,Japan
2005年克什米尔大地震,2005 Pakistan earthquake,Pakistan
2005年克什米尔大地震,2005 Pakistan earthquake,India
耶穌受難日地震,1964 Alaska earthquake,United States of America
2011年缅甸地震,2011 Burma earthquake,Myanmar
2011年缅甸地震,2011 Burma earthquake,Vietnam
2012年佐罕地震,2012 Zohan earthquake,Iran
2005年克什米尔大地震,2005 Pakistan earthquake,Afghanistan
2007年安德烈亞諾夫群島地震,2007 Andreanof Islands earthquake,United States of America
2016年緬甸稍埠地震,2016 Chauk earthquake,Myanmar
2011年缅甸地震,2011 Burma earthquake,People's Republic of China
汶川大地震,2008 Sichuan earthquake,People's Republic of China
2011年4月宫城地震,April 2011 Miyagi earthquake,Japan
2012年伊朗东阿塞拜疆省地震,2012 East Azerbaijan earthquakes,Iran
2016 緬甸地震,2016 Myanmar earthquake,Myanmar
2008年冰島地震,2008 Iceland earthquake,Iceland
2010年智利大地震,2010 Chile earthquake,Chile
2011年巴基斯坦地震,2011 Pakistan earthquake,Pakistan
2011年缅甸地震,2011 Burma earthquake,Thailand
2011年缅甸地震,2011 Burma earthquake,Laos
阪神大地震,Great Hanshin earthquake,Japan
1944年東南海地震,1944 Tōnankai earthquake,Japan
2010年10月苏门答腊地震,October 2010 Sumatra earthquake and tsunami,Indonesia
利圖亞灣,Lituya Bay,United States of America
2011年洛尔卡地震,2011 Lorca earthquake,Spain
2016年慶州地震,2016 Gyeongju earthquake,South Korea
海城大地震,1975 Haicheng earthquake,People's Republic of China
1999年伊茲密特地震,1999 İzmit earthquake,Turkey
2011年凡城地震,2011 Van earthquake,Turkey
2011年凡城地震,2011 Van earthquake,Armenia
2011年凡城地震,2011 Van earthquake,Azerbaijan
2011年凡城地震,2011 Van earthquake,Iran
1906年梅山地震,1906 Meishan earthquake,Taiwan
2007年千島群島地震,2007 Kuril Islands earthquake,Russia
1904年斗六地震,1904 Douliu earthquake,Taiwan
1916年南投地震,1916–17 Nantou earthquakes,Taiwan
1894年東京地震,1894 Meiji Tokyo earthquake,Japan
2007至2008年纳兹科群震,2007–2008 Nazko earthquakes,Canada
2011年盈江地震,2011 Yunnan earthquake,Myanmar
2007年秘魯大地震,2007 Peru earthquake,Peru
2011年盈江地震,2011 Yunnan earthquake,People's Republic of China
堪察加地震,Kamchatka earthquakes,Russia
1509年君士坦丁堡地震,1509 Istanbul earthquake,Turkey
1994年北岭地震,1994 Northridge earthquake,United States of America
1707年寶永地震,1707 Hōei earthquake,Japan
2010年下加利福尼亚州地震,2010 Baja California earthquake,Mexico
1985年墨西哥城大地震,1985 Mexico City earthquake,Mexico
1972年尼加拉瓜地震,1972 Nicaragua earthquake,Nicaragua
2010年下加利福尼亚州地震,2010 Baja California earthquake,United States of America
明治三陸地震,1896 Sanriku earthquake,Japan
2010年紐西蘭南島地震,2010 Canterbury earthquake,New Zealand
1950年墨脫地震,1950 Assam – Tibet earthquake,India
1960年智利大地震,2017 Valdivia,Chile
明治三陸地震,1896 Sanriku earthquake,United States of America
1906年舊金山大地震,1906 San Francisco earthquake,United States of America
1950年墨脫地震,1950 Assam – Tibet earthquake,People's Republic of China
2011年日本东北地方太平洋近海地震,2011 Tōhoku earthquake and tsunami,Japan
2012年彝良地震,2012 Yunnan earthquakes,People's Republic of China
2016年熊本地震,2016 Kumamoto earthquakes,Japan
2010年尤里卡地震,2010 Eureka earthquake,United States of America
2008年攀枝花地震,2008 Panzhihua earthquake,People's Republic of China
2001年印度古吉拉特邦大地震,2001 Gujarat earthquake,India
921大地震,921 earthquake,Taiwan
2004年印度洋大地震,2004 Indian Ocean earthquake,Indonesia
2010年海地地震,2010 Haiti earthquake,Haiti
365年克里特大地震,365 Crete earthquake,Greece
2010年塞爾維亞地震,2010 Serbia earthquake,Serbia
2012年內格羅斯地震,2012 Visayas earthquake,Philippines
元祿大地震,1703 Genroku earthquake,Japan
2009年苏门答腊地震,2009 Sumatra earthquakes,Singapore
亞美尼亞大地震,1988 Spitak earthquake,Armenia
2009年苏门答腊地震,2009 Sumatra earthquakes,Indonesia
2009年苏门答腊地震,2009 Sumatra earthquakes,Malaysia
疊溪大地震,1933 Diexi earthquake,People's Republic of China
2003年巴姆大地震,2003 Bam earthquake,Iran
1946年多米尼加共和国地震,1946 Dominican Republic earthquake,Dominican Republic
869三陸地震,869 Jogan Sanriku earthquake,Japan
2012年4月蘇門答臘近海地震,2012 Indian Ocean earthquakes,India
2012年4月蘇門答臘近海地震,2012 Indian Ocean earthquakes,Indonesia
2012年4月蘇門答臘近海地震,2012 Indian Ocean earthquakes,Bangladesh
1575年瓦爾迪維亞大地震,1575 Valdivia earthquake,Chile
2016年亚齐地震,2016 Aceh earthquake,Indonesia
2016年奇洛埃地震,2016 Southern Chile earthquake,Chile
2010年玉樹地震,2010 Yushu earthquake,People's Republic of China
2010年高雄地震,2010 Kaohsiung earthquakes,People's Republic of China
2013年保和地震,2013 Philippines earthquake,Philippines
2011年4月福島地震,April 2011 Fukushima earthquake,Japan
2013年錫斯坦－俾路支斯坦省地震,2013 Sistan and Baluchestan earthquake,Pakistan
2013年錫斯坦－俾路支斯坦省地震,2013 Sistan and Baluchestan earthquake,Iran
2017年精河地震,2017 Jinghe earthquake,People's Republic of China
櫻島地震,1914 Sakurajima earthquake,Japan
2015年珠穆朗玛峰雪崩事故,2015 Mount Everest earthquake,Nepal
2014年南納帕地震,2014 South Napa earthquake,United States of America
2014年于田地震,2014 Yutian earthquake,People's Republic of China
2013年巴基斯坦地震,2013 Pakistan earthquake,Pakistan
2013年巴基斯坦地震,2013 Pakistan earthquake,Iran
2017年恰帕斯州地震,2017 Oaxaca and Chiapas Earthquake,Mexico
2013年鄂霍次克海地震,Okhotsk Sea earthquake,Russia
2015年5月尼泊爾地震,May 2015 Nepal earthquake,Nepal
1958年利圖亞灣大海嘯,1958 Lituya Bay megatsunami,United States of America
2015年智利伊亚佩尔地震,2015 Illapel earthquake,Chile
2014年智利地震,2014 Iquique earthquake,Peru
2014年智利地震,2014 Iquique earthquake,Chile
2014年智利地震,2014 Iquique earthquake,Bolivia
1946年南海道大地震,1946 Nankaidō earthquake,Japan
2013年亞齊地震,2013 Aceh earthquake,Indonesia
2015年興都庫什山脈地震,2015 Hindu Kush earthquake,Pakistan
2015年興都庫什山脈地震,2015 Hindu Kush earthquake,Afghanistan
2013年3月南投地震,March 2013 Nantou earthquake,Taiwan
2017年九寨沟地震,2017 Jiuzhaigou earthquake,People's Republic of China
1951年縱谷地震系列,1951 East Rift Valley earthquakes,Taiwan
2015年尼泊尔地震,April 2015 Nepal earthquake,Nepal
2015年尼泊尔地震,April 2015 Nepal earthquake,India
2013年雅安地震,2013 Lushan earthquake,People's Republic of China
2015年尼泊尔地震,April 2015 Nepal earthquake,Bangladesh
2014年鲁甸地震,2014 Ludian earthquake,People's Republic of China
2013年布什尔省地震,2013 Bushehr earthquake,Iran
2013年6月南投地震,June 2013 Nantou earthquake,Taiwan
