label,cityLabel
鐵鷹戰士 (1986年電影),Iron Eagle
驛馬車,Stagecoach
牛仔褲的夏天,The Sisterhood of the Traveling Pants
情歸紐澤西,Garden State
007大破天幕杀机,Skyfall
锦城春色,On the Town
星際大戰四部曲：曙光乍現,Star Wars Episode IV: A New Hope
烏龍密探擺黑幫,Married to the Mob
プロジェクトA子2 大徳寺財閥の陰謀,Project A-ko
暮光之城4：破曉,The Twilight Saga: Breaking Dawn – Part 1
泰坦尼克号,Titanic
火柴人,Matchstick Men
摩天悍將,Terminal Velocity
東京物語,Tokyo Story
熱血喪男,Warm Bodies
蒙提·派森之布莱恩的一生,Monty Python’s Life of Brian
愛情萬人迷,200 Cigarettes
校園風雲 (1992年電影),School Ties
满城尽带黄金甲,Curse of the Golden Flower
豬頭漢堡包3,A Very Harold & Kumar 3D Christmas
莫斯科不相信眼泪,Moscow Does Not Believe in Tears
感官解析,Anatomy of Hell
戀戀三季,Three Seasons
姐妹情仇,What Ever Happened to Baby Jane?
我心深處,Places in the Heart
人猿星球,Planet of the apes
國王與我,The King and I
刺客聯盟,Wanted
戰略迷魂,The Manchurian Candidate
意亂情迷 (1993年電影),Dazed and Confused
檔案風暴,City Hall
美國心玫瑰情,American Beauty
迴路殺手,Looper
人鬼情未了,Ghost
夜宴,The Banquet
從海底出擊,Das Boot
失恋33天,Love Is Not Blind
致命玩笑,Joy Ride
音乐之声,The Sound of Music
盜亦有道,Goodfellas
大巧局,Family Plot
天使威士忌,The Angels' Share
崔普家庭,The Trapp Family
驚心動魄撞死你,Maximum Overdrive
龐丘·維拉 (電影),Pancho Villa
凸槌大亨,Mr. Deeds
寂寞愛光臨,Not Here to Be Loved
泡菜拳霸,The Kick
E.T.外星人,E.T. the Extra-Terrestrial
計程車司機,Taxi Driver
女模煞,Domino
紐約迷幻,Delirious
海扁王,Kick-Ass
野貓出擊,Wildcats
妙想天开,Brazil
耶穌受難記,The Passion of the Christ
下女 (1960年電影),The Housemaid
少女天堂,Fat Girl
埃及艳后,Cleopatra
十二怒漢,12 Angry Men
鬼馬靚仔俏特務,Gotcha!
隨身變 (1996年電影),The Nutty Professor
三個臭皮匠 (2012年電影),The Three Stooges
疤面煞星,Scarface
第四十二街,42nd Street
逃离德黑兰,Argo
恐怖異形入侵,Alien Raiders
无法触碰,The Intouchables
星球大战：原力觉醒,Star Wars: The Force Awakens
叛艦喋血記,Mutiny on the Bounty
阿凡达,Avatar
BLEACH劇場版：地獄篇,Bleach: Hell Verse
蒙提·派森之人生七步曲,Monty Python's The Meaning of Life
悲惨世界,Les Misérables
地球末日戰,World War Z
星際大戰三部曲：西斯大帝的復仇,Star Wars: Episode III – Revenge of the Sith
王牌大騙子,Liar Liar
七人失心瘋,Seven Psychopaths
都會性男女,Secret Things
暮光之城：破曉 (下),The Twilight Saga: Breaking Dawn – Part 2
教父,The Godfather
魔王 (1996年法德合作電影),The Ogre
加勒比女海盗2：斯塔涅蒂的报复,Pirates II: Stagnetti's Revenge
8½,8½
大國民,Citizen Kane
我是殺人犯,Confession of Murder
聖杯傳奇,Monty Python and the Holy Grail
灵魂战车2：复仇时刻,Ghost Rider: Spirit of Vengeance
猜·情·尋,Chasing Amy
紐約我愛你,"New York, I Love You"
危險性遊戲3,Cruel Intentions 3
天使聖物：骸骨之城,The Mortal Instruments: City of Bones
忠犬小八,Hachi: A Dog's Tale
憤怒之上,The Upside of Anger
沉默之丘：啟示錄3D,Silent Hill: Revelation 3D
香料共和國,A Touch of Spice
V怪客,V for Vendetta
乱世佳人,Gone with the Wind
忽然奪網,Hackers
橡皮头,Eraserhead
最后的气宗,The Last Airbender
はじまりの冒険者たち レジェンド・オブ・クリスタニア,Legend of Crystania
奧菲斯的遺囑,Testament of Orpheus
平凡人生,People Like Us
後窗,Rear Window
揮灑烈愛,Frida
捕猎,The Hunt
月球,Moon
新世界,The New World
林肯,Lincoln
罪美女人,To Die like a Man
鐵金剛勇破黑魔黨,Live and Let Die
風雲男人幫,Gangster Squad
龍行天下,The Master
創世紀,Russian Ark
<刑事>,Duelist
和諧,Harmony
哈姆雷特,Hamlet
太空英雌巴巴麗娜,Barbarella
幽靈車神,Ghost Rider
怒犯天條,Dogma
戰國英豪,The Hidden Fortress
托斯卡纳艳阳下,Under the Tuscan Sun
歌舞青春3：畢業季,High School Musical 3: Senior Year
王的男人,King and the Clown
瓶中信 (電影),Message in a Bottle
畫皮,Painted Skin
終極警探4.0,Live Free or Die Hard
耍酷一族,Mallrats
觸電之旅,Forces of Nature
返家十萬里,Fly Away Home
週末夜狂熱,Saturday Night Fever
鐵娘IN工廠,Made in Dagenham
黃昏三鑣客,"The Good, the Bad and the Ugly"
101真狗,101 Dalmatians
盗梦空间,Inception
凶線第六感,In the Cut
天气预报员,The Weather Man
快餐車,Wheels on Meals
玻璃樽,Gorgeous
新少林寺,Shaolin
盜火線,Heat
末日救未來,Deep Impact
頂尖對決,The Prestige
爸爸的好儿子,That's My Boy
自古英雄多寂寞,Lonely Are the Brave
加勒比海盗：黑珍珠号的诅咒,Pirates of the Caribbean: The Curse of the Black Pearl
老千計狀元才,The Sting
魔法奇兵 (電影),Buffy the Vampire Slayer
安娜·卡列尼娜,Anna Karenina
迷踪：第9鹰团,The Eagle
玩命賭注13,13
活埋,Buried
藝伎回憶錄,Memoirs of a Geisha
俠影魔龍,Eragon
混蛋,Bad Ass
冰天血地,Whiteout
與狼共舞,Dances with Wolves
絕命殺陣,Sudden Death
臥底,Inside Man
特洛伊：木馬屠城,Troy
十全十美,10
安娜·克里斯蒂,Anna Christie
前所未有的表演,And Now for Something Completely Different
創：光速戰記,Tron: Legacy
卡比莉亞之夜,Nights of Cabiria
鲸骑士,Whale Rider
傷心同志俱樂部,The Broken Hearts Club: A Romantic Comedy
合夥人,The Company Men
愛上羅馬,To Rome with Love
雲圖,Cloud Atlas
迪亚戈 (电影),Django
失去的週末,The Lost Weekend
迈克尔·杰克逊：就是这样,Michael Jackson's This Is It
紅路,Red Road
荒野大鏢客,A Fistful of Dollars
血鑽,Blood Diamond
獨行鐵金剛,Coogan's Bluff
教父2,The Godfather Part II
黑色閃電 (2009年電影),Black Lightning
卡薩諾瓦 (電影),Fellini's Casanova
愛妳如詩美麗,The Tiger and the Snow
牛仔褲的夏天2,The Sisterhood of the Traveling Pants 2
2LDK (電影),2LDK
冒牌伴郎生擒姊妹團,Wedding Crashers
尽善尽美,As Good as It Gets
傑克：巨人戰紀,Jack the Giant Slayer
新邊緣人,To Live and Die in Tsimshatsui
科圖柯諾反叛,The Kautokeino Rebellion
太陽劇團：奇幻世界,Cirque du Soleil: Worlds Away
死因可疑,Illustrious Corpses
虎胆龙威5,A Good Day to Die Hard
舞力全開4 3D,Step Up Revolution
13猛鬼,Thirteen Ghosts
瘋狂野生秀,Strange Wilderness
瘋狂謀殺計劃,2 Days in the Valley
4个月3星期零2天,"4 Months, 3 Weeks and 2 Days"
田禹治,Jeon Woo Chi
野草莓,Wild Strawberries
两亩地,Do Bigha Zamin
大鏢客,Yojimbo
美麗人生,Life Is Beautiful
阿瑪柯德,Amarcord
驚婚計,Birthday Girl
驚爆星期四,Thursday
科尼 2012,Kony 2012
驚聲尖叫,Scream
Hey!Say!JUMPデビュ─＆ファ─ストコンサ─ト いきなり！in 東京ド─ム,Q11223320
血腥嘉莉,Carrie
午夜牛郎,Midnight Cowboy
第五區的女人,The Woman in the Fifth
英倫情人,The English Patient
醉拳III,Drunken Master III
再見鍾情,A Lot Like Love
和你在一起,Together
天國可人兒,Just like Heaven
校园威龙,Underclassman
極度空間,They Live
狼人遊戲 (2012電影),Lobos de Arga
第七傳人,The Seventh Son
遜咖日記,Diary of a Wimpy Kid
謝謝你的巧克力,Merci pour le chocolat
足球尤物,She's the Man
明日之後,The Day After Tomorrow
大路,La Strada
特種部隊 (電影),Basic
談情共舞,Shall We Dance?
黑客帝国,The Matrix
親密關係 (2001年電影),Intimacy
234說愛你,Married Life
不忠之劫,Trespass
变色龙,Zelig
時空悍將,Virtuosity
派恩少校,Major Payne
淑女本色,The Portrait of a Lady
當地球停止轉動,The Day the Earth Stood Still
聖戰奇兵,Indiana Jones and the Last Crusade
親密關係 (電影),Terms of Endearment
银翼杀手,Blade Runner
危險性遊戲,Cruel Intentions
野雁突擊隊,The Wild Geese
2012,2012
全面回忆,Total Recall
納尼亞傳奇：賈思潘王子,The Chronicles of Narnia: Prince Caspian
舊愛找麻煩,Ghosts of Girlfriends Past
城市之光,City Lights
大侦探福尔摩斯2：诡影游戏,Sherlock Holmes: A Game of Shadows
豪情四海,Bugsy
金甲部隊,Full Metal Jacket
電影,Captains Courageous
豪勇七蛟龍,The Magnificent Seven
巡邏驚很大,The Watch
屍變,Evil Dead
登峰造擊,Million Dollar Baby
紅色警戒,The Thin Red Line
加勒比海盗3：世界的尽头,Pirates of the Caribbean: At World's End
潮浪王子,The Prince of Tides
傾城佳話,It Could Happen to You
十三刺客 (2010年電影),13 Assassins
生死接觸,Hereafter
暴力特區,District 13
魔鬼手記,The Ninth Gate
锈与骨,Rust and Bone
女賊金絲貓,Cat Ballou
我的老婆是老大,My Wife Is a Gangster
瓦尔特保卫萨拉热窝,Walter Defends Sarajevo
霍比特人：意外旅程,The Hobbit: An Unexpected Journey
阿波羅18號,Apollo 18
天堂過客,Heart and Souls
弊傢伙…搞大咗,Knocked Up
星际旅行V：终极先锋,Star Trek V: The Final Frontier
忍者神龟,Teenage Mutant Ninja Turtles
天兆,Signs
賭城風情畫,Fear and Loathing in Las Vegas
屍人保姆,Mama
新鐵金剛之金眼睛,GoldenEye
甜蜜的生活,La Dolce Vita
黑超特警組,Men in Black
舞出真我2,Step Up 2: The Streets
杀手乔,Killer Joe
千你奇緣,Heartbreakers
孔雀夫人,Dodsworth
新鐵金剛之不日殺機,Die Another Day
落水狗,Reservoir Dogs
凸種高材生,National Lampoon's Van Wilder
戰火中的伊甸園,Aimée & Jaguar
判我有罪,Find Me Guilty
危險性遊戲2,Cruel Intentions 2
天地無倫,Ken Park
王的女人 (2006年電影),One Night with the King
留住最後一支舞,Save the Last Dance
聖誕快樂,Joyeux Noël
九霄雲外 (1981年電影),Outland
君子好逑,Marty
天堂窃情,Stealing Heaven
波拉特,Borat
点球成金,Moneyball
神秘之河,Mystic River
魔鬼特訓營,Heavyweights
拯救格蕾絲,Saving Grace
最佳伴侶,Best Friends
重擊防線,The Last Stand
来自地球的人,The Man from Earth
史密斯夫妇,Mr. & Mrs. Smith
熱情如火,Some Like It Hot
鬥陣俱樂部,Fight Club
情人節快樂,Valentine's Day
阿瑪迪斯,Amadeus
第一滴血,First Blood
穿著Prada的惡魔,The Devil Wears Prada
快閃殺手,The Ladykillers
不可能的任務3,Mission: Impossible III
罗宾汉,Robin Hood
摆渡人,The Ferryman
酷斯拉,Godzilla
幽浮魔點,The Blob
鐵金剛勇破神秘島,Dr. No
屍城30夜,30 Days of Night
狙殺狗仔隊,Paparazzi
极乐世界,Elysium
野战排,Platoon
美麗佳人歐蘭朵,Orlando
洛奇,Rocky
屍營旅舍,The Cabin in the Woods
康乃狄克鬼屋事件,The Haunting in Connecticut
絕命十二殺,12 Rounds
逃出克隆岛,The Island
刀见笑,"The Butcher, the Chef and the Swordsman"
女子十二不設防,Calendar Girls
情慾逗我心,Tear This Heart Out
梦比优斯奥特曼&奥特兄弟,Ultraman Mebius & Ultraman Brothers
