label,cityLabel,city
帕维尔·切尔尼,Pavel Černý,http://www.wikidata.org/entity/Q31370
伊莎贝尔·赫洛夫森,Isabell Herlovsen,http://www.wikidata.org/entity/Q26054
加尔·比吉里马纳,Gaël Bigirimana,http://www.wikidata.org/entity/Q26343
弗爾亨西奧·貝爾杜戈,Fulgencio Berdugo,http://www.wikidata.org/entity/Q31099
皮蒂,Francisco Medina Luna,http://www.wikidata.org/entity/Q26480
迈克尔·卡里克,Michael Carrick,http://www.wikidata.org/entity/Q29566
金柱成,Kim Ju-song,http://www.wikidata.org/entity/Q26981
雷纳托·迪尔内·弗洛伦西奥,Renato Dirnei Florêncio,http://www.wikidata.org/entity/Q29097
麥比耶利安,M'Baye Niang,http://www.wikidata.org/entity/Q26522
奥利弗·吉鲁,Olivier Giroud,http://www.wikidata.org/entity/Q1911
於爾根·盧卡達,Jürgen Locadia,http://www.wikidata.org/entity/Q1885
杰雷米·梅內,Jérémy Ménez,http://www.wikidata.org/entity/Q1923
羅倫特·白蘭斯,Laurent Blanc,http://www.wikidata.org/entity/Q1839
哈维·埃尔南德斯,Xavi,http://www.wikidata.org/entity/Q17500
肖恩·莫瑞,Sean Murray,http://www.wikidata.org/entity/Q10730
喬爾·埃克斯特蘭,Joel Ekstrand,http://www.wikidata.org/entity/Q10792
希達·希古臣,Heiðar Helguson,http://www.wikidata.org/entity/Q10556
弗雷德里克·永贝里,Freddie Ljungberg,http://www.wikidata.org/entity/Q10560
法拉·威廉姆斯,Fara Williams,http://www.wikidata.org/entity/Q10885
纽顿,Neuton,http://www.wikidata.org/entity/Q10720
肯尼·杰基特,Kenny Jackett,http://www.wikidata.org/entity/Q10601
于海,Yu Hai,http://www.wikidata.org/entity/Q28801
亚历山德罗·德尔·皮耶罗,Alessandro Del Piero,http://www.wikidata.org/entity/Q624
亞歷山德羅·費爾南德茲,Álex Fernández Cuno,http://www.wikidata.org/entity/Q26536
史蒂文·卡尔科勒,Steven Caulker,http://www.wikidata.org/entity/Q26192
弗洛里安·托萬,Florian Thauvin,http://www.wikidata.org/entity/Q27476
迭戈·马拉多纳,Diego Maradona,http://www.wikidata.org/entity/Q17515
馬里耶·東古,Jean Marie Dongou,http://www.wikidata.org/entity/Q17490
塞巴斯蒂安·斯奎拉奇,Sébastien Squillaci,http://www.wikidata.org/entity/Q1942
尼尔斯·玻尔,Niels Bohr,http://www.wikidata.org/entity/Q7085
弗洛朗·马卢达,Florent Malouda,http://www.wikidata.org/entity/Q1913
帕特里斯·埃夫拉,Patrice Evra,http://www.wikidata.org/entity/Q1916
拉甘比,Bernard Lacombe,http://www.wikidata.org/entity/Q4232
斯特弗·芒当达,Steve Mandanda,http://www.wikidata.org/entity/Q1924
萨米尔·纳斯里,Samir Nasri,http://www.wikidata.org/entity/Q1920
阿迪尔·拉米,Adil Rami,http://www.wikidata.org/entity/Q1909
马修·德比希,Mathieu Debuchy,http://www.wikidata.org/entity/Q1908
艾美路·布達堅奴,Emilio Butragueño,http://www.wikidata.org/entity/Q41235
安德烈·舍甫琴科,Andriy Shevchenko,http://www.wikidata.org/entity/Q41244
何塞·曼努埃尔·平托,José Manuel Pinto,http://www.wikidata.org/entity/Q17508
卡爾·亨利,Karl Henry,http://www.wikidata.org/entity/Q19350
吉恩-阿梅爾·卡納-拜伊克,Jean-Armel Kana-Biyik,http://www.wikidata.org/entity/Q17491
塞斯克·法比加斯,Cesc Fàbregas,http://www.wikidata.org/entity/Q17499
奈伦·诺斯沃西,Nyron Nosworthy,http://www.wikidata.org/entity/Q10667
布拉克·耶勒马兹,Burak Yılmaz,http://www.wikidata.org/entity/Q18765
斯蒂芬·麥克金,Stephen McGinn,http://www.wikidata.org/entity/Q10729
格拉咸·泰萊,Graham Taylor,http://www.wikidata.org/entity/Q9486
納撒尼爾·查洛巴,Nathaniel Chalobah,http://www.wikidata.org/entity/Q10788
羅拔·比治,Robert Page,http://www.wikidata.org/entity/Q10552
莊拿芬·杜斯山度士,Jonathan dos Santos,http://www.wikidata.org/entity/Q17492
蒂亚戈·阿尔坎塔拉,Thiago Alcântara,http://www.wikidata.org/entity/Q17493
赫拉德·皮克,Gerard Piqué,http://www.wikidata.org/entity/Q17507
热罗姆·罗滕,Jérôme Rothen,http://www.wikidata.org/entity/Q27649
泽里科·米利诺维奇,Željko Milinovič,http://www.wikidata.org/entity/Q26315
薩姆布·雅塔巴雷,Sambou Yatabaré,http://www.wikidata.org/entity/Q27528
阿米尔·卡里奇,Amir Karić,http://www.wikidata.org/entity/Q26309
利昂内尔·梅西,Lionel Messi,http://www.wikidata.org/entity/Q615
卡里姆·本泽马,Karim Benzema,http://www.wikidata.org/entity/Q1912
塞德里克·卡拉索,Cédric Carrasso,http://www.wikidata.org/entity/Q1931
巴卡雷·萨尼亚,Bacary Sagna,http://www.wikidata.org/entity/Q1938
孟菲斯·迪比,Memphis Depay,http://www.wikidata.org/entity/Q1894
弗朗茨·贝肯鲍尔,Franz Beckenbauer,http://www.wikidata.org/entity/Q4457
热雷米·图拉朗,Jérémy Toulalan,http://www.wikidata.org/entity/Q1944
羅倫·哥斯尼,Laurent Koscielny,http://www.wikidata.org/entity/Q1915
阿劳·迪亚拉,Alou Diarra,http://www.wikidata.org/entity/Q1926
丹尼爾·普蒂爾,Daniel Pudil,http://www.wikidata.org/entity/Q10732
佛朗西斯科·法拉洛,Francisco Varallo,http://www.wikidata.org/entity/Q10131
吉安弗蘭科·佐拉,Gianfranco Zola,http://www.wikidata.org/entity/Q9354
喬納森·邦德,Jonathan Bond,http://www.wikidata.org/entity/Q10764
大卫·贝克汉姆,David Beckham,http://www.wikidata.org/entity/Q10520
姬莉·史密芙,Kelly Smith,http://www.wikidata.org/entity/Q9675
托米·霍班,Tommie Hoban,http://www.wikidata.org/entity/Q10767
曼努埃尔·阿穆尼亚,Manuel Almunia,http://www.wikidata.org/entity/Q10711
李·霍德森,Lee Hodson,http://www.wikidata.org/entity/Q10715
汤姆·克莱维利,Tom Cleverley,http://www.wikidata.org/entity/Q10577
蒂姆·馬塔夫茲,Tim Matavž,http://www.wikidata.org/entity/Q11931
馬庫斯·蓋爾,Marcus Gayle,http://www.wikidata.org/entity/Q10592
约翰·克鲁伊夫,Johan Cruyff,http://www.wikidata.org/entity/Q17163
康納·史密斯,Connor Smith,http://www.wikidata.org/entity/Q10761
托米·史密斯,Tommy Smith,http://www.wikidata.org/entity/Q10581
馬克·耶迪斯,Mark Yeates,http://www.wikidata.org/entity/Q10723
大卫·詹姆斯,David James,http://www.wikidata.org/entity/Q10598
乔尼·埃文斯,Jonny Evans,http://www.wikidata.org/entity/Q29495
克里斯·斯莫林,Chris Smalling,http://www.wikidata.org/entity/Q29491
克拉斯-扬·亨特拉尔,Klaas-Jan Huntelaar,http://www.wikidata.org/entity/Q26069
博班·巴本斯基,Boban Babunski,http://www.wikidata.org/entity/Q26460
卡利文·拿域,Klemen Lavrič,http://www.wikidata.org/entity/Q26276
埃姆雷·詹,Emre Can,http://www.wikidata.org/entity/Q27694
奎西·阿皮亞,James Kwesi Appiah,http://www.wikidata.org/entity/Q28705
西奥·沃尔科特,Theo Walcott,http://www.wikidata.org/entity/Q29516
路爾斯·艾拔圖·蘇亞雷斯,Luis Suárez,http://www.wikidata.org/entity/Q26517
迈克尔·约翰逊,Michael Johnson,http://www.wikidata.org/entity/Q29456
马尼切,Maniche,http://www.wikidata.org/entity/Q29339
麥赫迪·莫斯提法,Mehdi Mostefa,http://www.wikidata.org/entity/Q27523
阿當·米拿,Adam Miller,http://www.wikidata.org/entity/Q19177
约翰·巴恩斯,John Barnes,http://www.wikidata.org/entity/Q10536
哈特姆·本阿尔法,Hatem Ben Arfa,http://www.wikidata.org/entity/Q1928
安东尼·雷维耶,Anthony Réveillère,http://www.wikidata.org/entity/Q1922
安德雷·皮埃爾·吉尼亞克,André-Pierre Gignac,http://www.wikidata.org/entity/Q1940
弗兰克·里贝里,Franck Ribéry,http://www.wikidata.org/entity/Q1918
盖尔·克利希,Gaël Clichy,http://www.wikidata.org/entity/Q1929
西德尼·戈武,Sidney Govou,http://www.wikidata.org/entity/Q1934
馬文·馬丁,Marvin Martin,http://www.wikidata.org/entity/Q1927
约翰·尤斯塔斯,John Eustace,http://www.wikidata.org/entity/Q10718
賓·科士打,Ben Foster,http://www.wikidata.org/entity/Q10585
克里斯·埃维鲁莫,Chris Iwelumo,http://www.wikidata.org/entity/Q10726
克里斯蒂安·巴托基奧,Cristian Battocchio,http://www.wikidata.org/entity/Q10785
卡莱斯·普约尔,Carles Puyol,http://www.wikidata.org/entity/Q17158
喬納森·霍格,Jonathan Hogg,http://www.wikidata.org/entity/Q10724
埃莱·西索科,Aly Cissokho,http://www.wikidata.org/entity/Q18881
安迪·保夫萊特,Aidy Boothroyd,http://www.wikidata.org/entity/Q10611
奥兰多·恩格拉尔,Orlando Engelaar,http://www.wikidata.org/entity/Q11944
特罗伊·德尼,Troy Deeney,http://www.wikidata.org/entity/Q10725
瑞恩·吉格斯,Ryan Giggs,http://www.wikidata.org/entity/Q10524
費爾南多·弗雷斯蒂耶里,Fernando Forestieri,http://www.wikidata.org/entity/Q10709
阿德里安·馬里亞柏,Adrian Mariappa,http://www.wikidata.org/entity/Q10572
馬龍·京治,Marlon King,http://www.wikidata.org/entity/Q10588
埃里克·阿比达尔,Éric Abidal,http://www.wikidata.org/entity/Q1935
布莱瑟·马图伊迪,Blaise Matuidi,http://www.wikidata.org/entity/Q1921
尼古拉·阿内尔卡,Nicolas Anelka,http://www.wikidata.org/entity/Q1939
威廉·加拉斯,William Gallas,http://www.wikidata.org/entity/Q1937
扬·姆维拉,Yann M'Vila,http://www.wikidata.org/entity/Q1925
贾布里勒·西塞,Djibril Cissé,http://www.wikidata.org/entity/Q1936
阿布·迪亚比,Abou Diaby,http://www.wikidata.org/entity/Q1943
约翰·卡巴耶,Yohan Cabaye,http://www.wikidata.org/entity/Q1910
菲利普·梅克斯,Philippe Mexès,http://www.wikidata.org/entity/Q1917
雨果·洛里斯,Hugo Lloris,http://www.wikidata.org/entity/Q1907
馬修·華貝拿,Mathieu Valbuena,http://www.wikidata.org/entity/Q1919
齐内丁·齐达内,Zinedine Zidane,http://www.wikidata.org/entity/Q1835
安東尼奧·孔蒂,Antonio Conte,http://www.wikidata.org/entity/Q26580
伊阿古·阿斯帕斯,Iago Aspas,http://www.wikidata.org/entity/Q26380
佛朗哥·祖库利尼,Franco Zuculini,http://www.wikidata.org/entity/Q27525
卡尔·詹金森,Carl Jenkinson,http://www.wikidata.org/entity/Q29497
夏迪·沙高,Hadi Sacko,http://www.wikidata.org/entity/Q31443
托马什·罗西基,Tomáš Rosický,http://www.wikidata.org/entity/Q29162
羅曼·諾伊施泰特,Roman Neustädter,http://www.wikidata.org/entity/Q26233
史葛·路治,Scott Loach,http://www.wikidata.org/entity/Q10666
塞日·基耶薩,Serge Chiesa,http://www.wikidata.org/entity/Q4240
米歇尔·普拉蒂尼,Michel Platini,http://www.wikidata.org/entity/Q4261
罗宾·范佩西,Robin van Persie,http://www.wikidata.org/entity/Q2339
肖恩·戴彻,Sean Dyche,http://www.wikidata.org/entity/Q10599
馬爾科·卡塞蒂,Marco Cassetti,http://www.wikidata.org/entity/Q10758
马尔文·索德尔,Marvin Sordell,http://www.wikidata.org/entity/Q10603
马泰伊·维德拉,Matěj Vydra,http://www.wikidata.org/entity/Q10735
艾殊利·楊格,Ashley Young,http://www.wikidata.org/entity/Q10602
丹尼·格拉咸,Danny Graham,http://www.wikidata.org/entity/Q10569
堤迪,Adenor Leonardo Bacchi,http://www.wikidata.org/entity/Q40652
基蘭·基比斯,Kieran Gibbs,http://www.wikidata.org/entity/Q40604
阿爾弗雷·芬博加森,Alfreð Finnbogason,http://www.wikidata.org/entity/Q40771
阿倫·迪沙哥耶夫,Alan Dzagoev,http://www.wikidata.org/entity/Q20469
馬里安奴,Mariano Ferreira Filho,http://www.wikidata.org/entity/Q31766
劳尔·冈萨雷斯·布兰科,Raúl,http://www.wikidata.org/entity/Q11576
伊祖沙·古爾,Idrissa Gueye,http://www.wikidata.org/entity/Q46679
兹拉坦·伊布拉希莫维奇,Zlatan Ibrahimović,http://www.wikidata.org/entity/Q46896
哈米德·阿尔滕托普,Hamit Altıntop,http://www.wikidata.org/entity/Q44118
堅尼·米拿,Kenny Miller,http://www.wikidata.org/entity/Q41895
德拉吉萨·比尼奇,Dragiša Binić,http://www.wikidata.org/entity/Q47517
東川昌典,Yoshinori Higashikawa,http://www.wikidata.org/entity/Q47367
法蘭·林柏特,Frank Lampard,http://www.wikidata.org/entity/Q41533
罗比·布拉迪,Robbie Brady,http://www.wikidata.org/entity/Q45538
胡安·塞巴斯蒂安·贝隆,Juan Sebastián Verón,http://www.wikidata.org/entity/Q46502
費蘭度·托利斯,Fernando Torres,http://www.wikidata.org/entity/Q42731
費蘭度·摩連迪斯,Fernando Morientes,http://www.wikidata.org/entity/Q45567
奧斯卡·塔巴雷斯,Óscar Tabárez,http://www.wikidata.org/entity/Q15149
斯蒂凡·艾尔·沙拉维,Stephan El Shaarawy,http://www.wikidata.org/entity/Q12984
菲利普·科库,Phillip Cocu,http://www.wikidata.org/entity/Q11958
雷米·加迪,Rémi Garde,http://www.wikidata.org/entity/Q12160
奥斯卡·多斯桑托斯·埃姆博阿巴·儒尼奥尔,Oscar,http://www.wikidata.org/entity/Q19497
卡米爾·格里克,Kamil Glik,http://www.wikidata.org/entity/Q63180
埃克·伊梅尔,Eike Immel,http://www.wikidata.org/entity/Q62193
拉夫·朗尼克,Ralf Rangnick,http://www.wikidata.org/entity/Q57902
蒂莫·希尔德布兰,Timo Hildebrand,http://www.wikidata.org/entity/Q57142
贊斯·基拿,Jens Keller,http://www.wikidata.org/entity/Q63028
阿當·拉爾拉拿,Adam Lallana,http://www.wikidata.org/entity/Q59719
马蒂亚斯·萨默尔,Matthias Sammer,http://www.wikidata.org/entity/Q57183
克斯汀·斯特格曼,Kerstin Stegemann,http://www.wikidata.org/entity/Q65548
斯文·席普洛克,Sven Schipplock,http://www.wikidata.org/entity/Q65801
弗朗切斯科·托蒂,Francesco Totti,http://www.wikidata.org/entity/Q20110
弗朗切斯科·蒙坦尼斯,Francisco Montañés,http://www.wikidata.org/entity/Q27748
查維亞·柏利迪斯,Javier Paredes,http://www.wikidata.org/entity/Q27688
連斯頓,Edward Linskens,http://www.wikidata.org/entity/Q24294
阿爾貝托·布埃諾,Alberto Bueno,http://www.wikidata.org/entity/Q27691
齊藤浩史,Hiroshi Saito,http://www.wikidata.org/entity/Q47396
卡考,Cacau,http://www.wikidata.org/entity/Q57148
盖德·穆勒,Gerd Müller,http://www.wikidata.org/entity/Q43744
伊拿斯奧·甘馬曹,Ignacio Camacho,http://www.wikidata.org/entity/Q47487
安德雷斯·瓜尔达多,Andrés Guardado,http://www.wikidata.org/entity/Q19364
奥勒·居纳尔·索尔斯克亚,Ole Gunnar Solskjær,http://www.wikidata.org/entity/Q18976
李光川,Ri Kwang-chon,http://www.wikidata.org/entity/Q14135
沙治奧·簡拿利斯,Sergio Canales,http://www.wikidata.org/entity/Q19422
湯馬士·恩斯,Tom Ince,http://www.wikidata.org/entity/Q18982
米夏埃尔·巴拉克,Michael Ballack,http://www.wikidata.org/entity/Q11948
維辛迪·古艾達,Vicente Guaita Panadero,http://www.wikidata.org/entity/Q19365
达尼埃尔·帕萨雷拉,Daniel Passarella,http://www.wikidata.org/entity/Q15802
安德烈·阿尔沙文,Andrei Arshavin,http://www.wikidata.org/entity/Q47230
弗蘭克·奧爾德內維茨,Frank Ordenewitz,http://www.wikidata.org/entity/Q47330
本吉剛,Takeshi Motoyoshi,http://www.wikidata.org/entity/Q47309
莱昂纳多·弗朗戈,Leo Franco,http://www.wikidata.org/entity/Q47503
路德·范尼斯特鲁伊,Ruud van Nistelrooy,http://www.wikidata.org/entity/Q45626
奧班·維克多,Viktor Orbán,http://www.wikidata.org/entity/Q57641
尤尔根·克林斯曼,Jürgen Klinsmann,http://www.wikidata.org/entity/Q57079
托马斯·希策尔斯佩格,Thomas Hitzlsperger,http://www.wikidata.org/entity/Q57152
羅伯托·希爾伯特,Roberto Hilbert,http://www.wikidata.org/entity/Q60191
亞當·平特爾,Ádám Pintér,http://www.wikidata.org/entity/Q27744
伊万·哈谢克,Ivan Hašek,http://www.wikidata.org/entity/Q31376
伊萬·奧布拉多維奇,Ivan Obradović,http://www.wikidata.org/entity/Q27680
帕保路加西亞,Jussiê,http://www.wikidata.org/entity/Q31760
帕维尔·霍瓦特,Pavel Horváth,http://www.wikidata.org/entity/Q31377
约阿希姆·勒夫,Joachim Löw,http://www.wikidata.org/entity/Q4462
魯爾·艾比奧爾,Raúl Albiol,http://www.wikidata.org/entity/Q4599
保罗·加斯科因,Paul Gascoigne,http://www.wikidata.org/entity/Q13002
奧拉·杜禾倫,Ola Toivonen,http://www.wikidata.org/entity/Q11956
杰克·威尔希尔,Jack Wilshere,http://www.wikidata.org/entity/Q15199
格雷戈里·库佩,Grégory Coupet,http://www.wikidata.org/entity/Q13488
烏迪迪,Samuel Umtiti,http://www.wikidata.org/entity/Q13308
让-皮埃尔·帕潘,Jean-Pierre Papin,http://www.wikidata.org/entity/Q13494
三上明紀,Akinori Mikami,http://www.wikidata.org/entity/Q47509
乌维·拉恩,Uwe Rahn,http://www.wikidata.org/entity/Q47470
卡林·張伯斯,Calum Chambers,http://www.wikidata.org/entity/Q46522
加藤善之,Yoshiyuki Kato,http://www.wikidata.org/entity/Q47357
吉田昭義,Akiyoshi Yoshida,http://www.wikidata.org/entity/Q47310
大卫·吉诺拉,David Ginola,http://www.wikidata.org/entity/Q42601
比森特·利扎拉祖,Bixente Lizarazu,http://www.wikidata.org/entity/Q44073
維克多·漢默斯,Victor Hermans,http://www.wikidata.org/entity/Q43988
莱昂纳多·阿劳若,Leonardo Araújo,http://www.wikidata.org/entity/Q46741
菲利普·拉姆,Philipp Lahm,http://www.wikidata.org/entity/Q43682
乾貴士,Takashi Inui,http://www.wikidata.org/entity/Q61886
毕碧安娜·施泰因豪斯,Bibiana Steinhaus,http://www.wikidata.org/entity/Q60321
米爾科·斯洛姆卡,Mirko Slomka,http://www.wikidata.org/entity/Q61646
羅伯托·馬克,Róbert Mak,http://www.wikidata.org/entity/Q59786
西班牙王國 (1874年–1931年),Jörg Berger,http://www.wikidata.org/entity/Q65482
赫尔穆特·哈勒,Helmut Haller,http://www.wikidata.org/entity/Q57375
阿尼斯·本-哈提拉,Änis Ben-Hatira,http://www.wikidata.org/entity/Q62082
霍斯特·赫德特,Horst Heldt,http://www.wikidata.org/entity/Q63088
比利,Pelé,http://www.wikidata.org/entity/Q12897
丹尼尔·帕雷霍,Daniel Parejo,http://www.wikidata.org/entity/Q19388
埃沃·巴内加,Éver Banega,http://www.wikidata.org/entity/Q19392
马默·比莱姆·迪乌夫,Mame Biram Diouf,http://www.wikidata.org/entity/Q19051
尤根·波兰斯基,Eugen Polanski,http://www.wikidata.org/entity/Q5117
列圖·薛基拿,Reto Ziegler,http://www.wikidata.org/entity/Q31664
安德烈亚·皮尔洛,Andrea Pirlo,http://www.wikidata.org/entity/Q43926
安德烈斯·伊涅斯塔,Andrés Iniesta,http://www.wikidata.org/entity/Q43729
帕特里克·维埃拉,Patrick Vieira,http://www.wikidata.org/entity/Q46347
拉明·薩內,Ludovic Sané,http://www.wikidata.org/entity/Q31803
格雷戈里·塞爾蒂奇,Grégory Sertic,http://www.wikidata.org/entity/Q31783
法比奧·哥利亞列拿,Fabio Quagliarella,http://www.wikidata.org/entity/Q45900
谢赫·迪亚巴特,Cheick Diabaté,http://www.wikidata.org/entity/Q31744
马尔科·博列洛,Marco Borriello,http://www.wikidata.org/entity/Q44097
克里斯蒂安·本特克,Christian Benteke,http://www.wikidata.org/entity/Q60326
克里斯蒂安·特雷施,Christian Träsch,http://www.wikidata.org/entity/Q60122
博伊科·鲍里索夫,Boyko Borisov,http://www.wikidata.org/entity/Q57775
安原成泰,Nariyasu Yasuhara,http://www.wikidata.org/entity/Q47363
皮埃尔·利特巴尔斯基,Pierre Littbarski,http://www.wikidata.org/entity/Q47516
斯蒂德·马尔布兰克,Steed Malbranque,http://www.wikidata.org/entity/Q13054
胡安·贝尔纳特,Juan Bernat,http://www.wikidata.org/entity/Q19367
加埃塔諾·莫納凱洛,Gaetano Monachello,http://www.wikidata.org/entity/Q24012
卡洛斯·羅梅羅,Carlos Romero,http://www.wikidata.org/entity/Q29763
朗迪·恩古埃莫,Landry N'Guémo,http://www.wikidata.org/entity/Q31792
格拉漢姆·祖西,Graham Zusi,http://www.wikidata.org/entity/Q29708
阿夫拉姆·米內羅,Abraham Minero,http://www.wikidata.org/entity/Q27741
馬些路·比爾沙,Marcelo Bielsa,http://www.wikidata.org/entity/Q31575
马诺洛·希门尼斯,Manuel Jiménez Jiménez,http://www.wikidata.org/entity/Q27687
伊克尔·卡西利亚斯,Iker Casillas,http://www.wikidata.org/entity/Q11584
阿米特哈辛,Ahmed Hassan,http://www.wikidata.org/entity/Q42231
保羅·史高斯,Paul Scholes,http://www.wikidata.org/entity/Q45613
小椋哲也,Tetsuya Ogura,http://www.wikidata.org/entity/Q47395
蒂埃里·亨利,Thierry Henry,http://www.wikidata.org/entity/Q45901
贾米尼亚,Djalminha,http://www.wikidata.org/entity/Q47489
阿尔扬·罗本,Arjen Robben,http://www.wikidata.org/entity/Q43913
阿纳托利·季莫什丘克,Anatoliy Tymoshchuk,http://www.wikidata.org/entity/Q44181
马鲁万·沙马赫,Marouane Chamak,http://www.wikidata.org/entity/Q42010
马里奥·戈麦斯,Mario Gómez,http://www.wikidata.org/entity/Q45766
安德烈亚斯·欣克尔,Andreas Hinkel,http://www.wikidata.org/entity/Q57217
塞巴斯蒂安·魯迪,Sebastian Rudy,http://www.wikidata.org/entity/Q60315
延斯·莱曼,Jens Lehmann,http://www.wikidata.org/entity/Q57114
皮特羅·安拿達斯,Pietro Anastasi,http://www.wikidata.org/entity/Q62252
