label,riverLabel,countryLabel
科爾維爾國家森林,Colville National Forest,United States of America
艾坪森林,Epping Forest,United Kingdom
吉福德·平肖國家森林,Gifford Pinchot National Forest,United States of America
威勒爾半島,Wirral Peninsula,United Kingdom
比亞沃維耶扎原始森林,Białowieża Forest,Belarus
紐格威國家公園,Nyungwe Forest,Rwanda
比亞沃維耶扎原始森林,Białowieża Forest,Poland
萨隆加国家公园,Salonga National Park,Democratic Republic of the Congo
春日山原始林,Kasugayama Primeval Forest,Japan
温莎大公园,Windsor Great Park,United Kingdom
米吉肯达圣林,Sacred Mijikenda Kaya Forests,Kenya
斯卡魯斯科根國家公園,Skuleskogen National Park,Sweden
洛杉磯國家森林,Los Padres National Forest,United States of America
条顿堡森林,Teutoburg Forest,Germany
雪伍德森林,Sherwood Forest,United Kingdom
布里德－蒂頓國家森林公園,Bridger-Teton National Forest,United States of America
安吉丽娜国家森林,Angelina National Forest,United States of America
獭头-鹿栈国家森林,Beaverhead-Deerlodge National Forest,United States of America
貝克山-斯諾誇爾米國家森林,Mount Baker-Snoqualmie National Forest,United States of America
尤馬蒂拉國家森林,Umatilla National Forest,United States of America
迪恩森林,Forest of Dean,United Kingdom
奧林匹克國定森林,Olympic National Forest,United States of America
伍德斯托克,Woodstock,United Kingdom
阿钦安阿纳雨林,Rainforests of the Atsinanana,Madagascar
贡比涅森林,Forest of Compiègne,France
云南三江并流保护区,Three Parallel Rivers of Yunnan Protected Areas,People's Republic of China
埃克斯穆爾國家公園,Exmoor,United Kingdom
朗德森林,Landes forest,France
中苏里南自然保护区,Central Suriname Nature Reserve,Suriname
雅頓 (瓦立克郡),"Arden, Warwickshire",United Kingdom
青木原,Aokigahara,Japan
斯諾誇爾米國家森林,Snoqualmie National Forest,United States of America
亞馬遜雨林,Amazon rainforest,Peru
亞馬遜雨林,Amazon rainforest,Colombia
亞馬遜雨林,Amazon rainforest,Mongolia
亞馬遜雨林,Amazon rainforest,Suriname
亞馬遜雨林,Amazon rainforest,Venezuela
亞馬遜雨林,Amazon rainforest,Bolivia
亞馬遜雨林,Amazon rainforest,Ecuador
大西洋东南热带雨林保护区,Atlantic Forest South-East Reserves,Brazil
亞馬遜雨林,Amazon rainforest,Guyana
蝴蝶巨杉林,Mariposa Grove,United States of America
六花之森,Rokka Forest,Japan
新森林国家公园,New Forest,United Kingdom
黑森林,Black Forest,Germany
燃木森林,Bernwood Forest,United Kingdom
韋納奇國家森林,Wenatchee National Forest,United States of America
尚蒂伊森林,Chantilly Forest,France
桑加跨三国保护区,Sangha Trinational,Cameroon
文森森林,bois de Vincennes,France
桑加跨三国保护区,Sangha Trinational,Central African Republic
桑加跨三国保护区,Sangha Trinational,Republic of the Congo
加里東林,Caledonian Forest,United Kingdom
糺之森,Tadasu no Mori,Japan
