label,cityLabel,countryLabel
五陵,Q1453193,People's Republic of China
普尼克斯,Pnyx,Greece
角塚古墳,Q11630689,Japan
白佛山,Baifo Hill,People's Republic of China
乘場古墳,Q18338784,Japan
擔杆山,Tam Kon Shan,People's Republic of China
南朗山,Nam Long Shan,People's Republic of China
Côte de Bohissau,Côte de Bohissau,Belgium
聖盧卡斯山脈,Serranía de San Lucas,Colombia
电报山,Telegraph Hill,United States of America
石舞台古墳,Ishibutai Kofun,Japan
四獸山,Q9672686,People's Republic of China
莫雷,Moreh,Israel
西爾布利山,Silbury Hill,United Kingdom
觀音山,Kwun Yam Shan,People's Republic of China
阿文提诺山,Aventine Hill,Italy
嘎拉綠洲,Qara Oasis,Egypt
寶馬山,Braemar Hill,People's Republic of China
座堂山,Toompea,Estonia
善藏塚古墳,Q17995346,Japan
观象山,Guanxiang Shan,People's Republic of China
九逕山,Kau Keng Shan,People's Republic of China
缸爿山,Gangpan Shan,People's Republic of China
卡尔蒙,Calmont,Germany
馬薩比特火山,Mount Marsabit,Kenya
维米那勒山,Viminal Hill,Italy
红十字山,La Croix-Rousse,France
炮台山,Fortress Hill,People's Republic of China
天马山,Tianma Mountain,People's Republic of China
埃斯奎利诺山,Esquiline Hill,Italy
裝飾古墳,Decorated kofun,Japan
馬塞峰,Macey Cone,Australia
信號山,"Signal Hill, St. John's",Canada
白屏山,Baekbyeongsan,South Korea
斧山,Hammer Hill,People's Republic of China
奎利那雷山,Quirinal Hill,Italy
小丘月圓,Lantern Hill,United States of America
信号山,Xinhao Shan,People's Republic of China
三城古墳,Q11354003,Japan
上石津御陵古墳,Q11359978,Japan
五條貓塚古墳,Q11372490,Japan
作山古墳,Q11385355,Japan
會津大塚山古墳,Q11381233,Japan
細山,Sai Shan,People's Republic of China
照鏡環山,Chiu Keng Wan Shan,People's Republic of China
大上托,Tai Sheung Tok,People's Republic of China
科莱特法瓦,Colletto Fava,Italy
贾尼科洛山,Janiculum,Italy
圌山,Chuishan,People's Republic of China
克拉庫斯丘,Krakus Mound,Poland
大堤權現塚古墳,Q11433867,Japan
金馬倫山 (香港),Mount Cameron,People's Republic of China
高松塚古墳,Takamatsuzuka Tomb,Japan
鱷魚山,Crocodile Hill,People's Republic of China
政府山,Government Hill,People's Republic of China
焦山,Jiaoshan,People's Republic of China
圣殿山,Temple Mount,Israel
畢拿山,Mount Butler,People's Republic of China
大仙陵古墳,Daisenryō Kofun,Japan
稻荷山古墳 (高島市),Q17193420,Japan
马马耶夫山岗,Mamayev Kurgan,Russia
稻荷山古墳 (行田市),Inariyama Kofun,Japan
伊厄辛山,Eosin Hill,United Kingdom
朗德山,Round Hill,Australia
卡比托利欧山,Capitoline Hill,Italy
大鶴卷古墳,Q17227935,Japan
法華山古墳,Q11337664,Japan
奧伯特魯埃山,Mount Aubert de la Rue,Australia
斯卡利特山,Scarlet Hill,Australia
科奎內華達山,Sierra Nevada del Cocuy,Colombia
45號沙丘,Dune 45,Namibia
蝙蝠塚古墳,Kōmori-zuka Burial Mound,Japan
譽田御廟山古墳,Q11631432,Japan
野毛大塚古墳,Q11645747,Japan
高尾山古墳,Q11638291,Japan
姊崎二子塚古墳,Q11447258,Japan
山寶姬塚古墳,Q11467730,Japan
江田船山古墳,Q11259227,Japan
西里欧山,Caelian Hill,Italy
Côte de Cherave,Côte de Cherave,Belgium
大石磨,Tai Shek Mo,People's Republic of China
黑塚古墳,Q1793171,Japan
淡輪御陵古墳,Q11559835,Japan
若宮八幡古墳,Q11616248,Japan
皇家山,Mount Royal,Canada
比拉霍拉,Q1019541,Czech Republic
景山,Jingshan Hill,People's Republic of China
基南戈普山,Mount Kinangop,Kenya
造山古墳,Tsukuriyama Ancient Burial Mound,Japan
岩屋古墳,Q11474377,Japan
岩屋山古墳,Q11474389,Japan
岩戶山古墳,Q11474582,Japan
鋨山,Osmic Hill,United Kingdom
恰姆勒加山,Camlica Hill,Turkey
塔丘,Tower Hill,United Kingdom
筆架山,Beacon Hill,People's Republic of China
裕廊山,Jurong Hill,Singapore
五社神古墳,Gosashi tomb,Japan
观海山,Guanhai Shan,People's Republic of China
淺間山古墳 (榮町),Q11557461,Japan
淺間山古墳 (高崎市),Q11557462,Japan
澀谷向山古墳,Q11561706,Japan
澀野丸山古墳,Q11561790,Japan
西殿塚古墳,Q11628944,Japan
西陵古墳,Q11629965,Japan
北條塚古墳,Hōjōzuka Kofun,Japan
樱草花山,Primrose Hill,United Kingdom
龙庙山,Longmiao Shan,People's Republic of China
大头山,Q17023642,People's Republic of China
北极阁,Beiji Ge,People's Republic of China
蛇山,Q17060044,People's Republic of China
大潭山,Taipa Grande,People's Republic of China
念佛寺山古墳,Q22119913,Japan
勺子塚古墳,Q11269068,Japan
月山 (晋宁县),Q11091925,People's Republic of China
索爾墓,Savur-Mohyla,Ukraine
巧克力山,Chocolate Hills,Philippines
圓崗,"Flagstaff Hill, Tai Po",People's Republic of China
武吉知马,Bukit Timah,Singapore
前塚古墳,Q11397093,Japan
安土瓢簞山古墳,Q11450459,Japan
處女塚古墳,Q11395455,Japan
茶臼山古墳 (大津市),Q27926911,Japan
竹束古墳,Q17210329,Japan
二塚古墳,Q11371432,Japan
稻荷塚古墳,Q11596855,Japan
稻荷森古墳,Q11596873,Japan
小圓頂,Little Round Top,United States of America
鑽石山,Diamond Hill,People's Republic of China
土師御陵古墳,Q11423449,Japan
塚穴古墳 (羽曳野市),Q11428560,Japan
姊崎天神山古墳,Q11447263,Japan
寶來山古墳,Q11452574,Japan
亚略巴古,Areopagus,Greece
