label,cityLabel,city
班夫温泉酒店,Banff Springs Hotel,http://www.wikidata.org/entity/Q806429
凱薩宮酒店,Caesars Palace,http://www.wikidata.org/entity/Q569978
大西洋城,The Borgata,http://www.wikidata.org/entity/Q2910840
拉斯維加斯馬戲團大酒店,Circus Circus Las Vegas,http://www.wikidata.org/entity/Q1092961
美岸宫酒店,Beau-Rivage Palace,http://www.wikidata.org/entity/Q1660479
北京华彬费尔蒙酒店,Fairmont Beijing,http://www.wikidata.org/entity/Q5430583
丹佛四季酒店,Four Seasons Hotel Denver,http://www.wikidata.org/entity/Q5475508
W酒店,W Barcelona,http://www.wikidata.org/entity/Q2648632
莫斯科都市酒店,Hotel Metropol,http://www.wikidata.org/entity/Q2034313
柳京飯店,Ryugyong Hotel,http://www.wikidata.org/entity/Q29272
百老汇大厦,Broadway Mansions,http://www.wikidata.org/entity/Q23804
澳門金沙,Sands Macao,http://www.wikidata.org/entity/Q3041578
迪士尼度假俱樂部,Disney Vacation Club,http://www.wikidata.org/entity/Q3030485
和平饭店,Peace Hotel,http://www.wikidata.org/entity/Q377875
阿方索十三世酒店,Hotel Alfonso XIII,http://www.wikidata.org/entity/Q1108879
迪士尼樂園飯店,Disneyland Hotel,http://www.wikidata.org/entity/Q1055872
柯提茲酒店 (聖地牙哥),El Cortez Apartment Hotel,http://www.wikidata.org/entity/Q3049820
半島酒店,The Peninsula Hong Kong,http://www.wikidata.org/entity/Q1757744
卡爾頓戛納洲際酒店,Carlton Cannes,http://www.wikidata.org/entity/Q2524370
蕾佳娜皇宫酒店,Q3061807,http://www.wikidata.org/entity/Q3061807
萨沃伊饭店,Savoy Hotel,http://www.wikidata.org/entity/Q746639
伊甸豪海角酒店,Hotel du Cap,http://www.wikidata.org/entity/Q1631094
巴黎里兹酒店,Hôtel Ritz Paris,http://www.wikidata.org/entity/Q656054
托爾尼酒店,Hotel Torni,http://www.wikidata.org/entity/Q646339
汤浩斯嘉乐利饭店,Town House Galleria,http://www.wikidata.org/entity/Q667974
紐約凱悅大飯店,Grand Hyatt New York,http://www.wikidata.org/entity/Q5594659
臺北君悅大飯店,Grand Hyatt Taipei,http://www.wikidata.org/entity/Q5594666
皇后酒店 (维多利亚),The Empress,http://www.wikidata.org/entity/Q1139845
普普大饭店,Grandhotel Pupp,http://www.wikidata.org/entity/Q1091149
杜恩斯賭場,Dunes,http://www.wikidata.org/entity/Q1347033
莫宏克山莊,Mohonk Mountain House,http://www.wikidata.org/entity/Q1942904
摩打城賭場,MotorCity Casino Hotel,http://www.wikidata.org/entity/Q520432
Fairmont旅館,Fairmont San Jose,http://www.wikidata.org/entity/Q5430607
莫里斯酒店,Hôtel Meurice,http://www.wikidata.org/entity/Q3145596
国际饭店,Park Hotel,http://www.wikidata.org/entity/Q23812
半人馬座酒店,The Centaurus,http://www.wikidata.org/entity/Q1768749
疯狂屋,Hằng Nga guesthouse,http://www.wikidata.org/entity/Q1171693
中国大酒店,China Hotel,http://www.wikidata.org/entity/Q700526
羊角島國際飯店,Yanggakdo International Hotel,http://www.wikidata.org/entity/Q700636
高麗飯店,Koryo Hotel,http://www.wikidata.org/entity/Q702322
金沙飯店,Sands Hotel and Casino,http://www.wikidata.org/entity/Q1107391
比佛利山酒店,Beverly Hills Hotel,http://www.wikidata.org/entity/Q2021533
科勒尔盖布尔斯比尔特莫酒店,Biltmore Hotel,http://www.wikidata.org/entity/Q2293021
阿斯托里亞酒店,Hotel Astoria,http://www.wikidata.org/entity/Q2633715
日式旅館,ryokan,http://www.wikidata.org/entity/Q562930
烏克蘭酒店,Hotel Ukrayina,http://www.wikidata.org/entity/Q633737
盧滕西亞酒店,Hôtel Lutetia,http://www.wikidata.org/entity/Q1515595
銀座西洋酒店,Q1631032,http://www.wikidata.org/entity/Q1631032
萨赫酒店,Hotel Sacher,http://www.wikidata.org/entity/Q279260
皇家拉迪森酒店,Radisson Royal Hotel,http://www.wikidata.org/entity/Q2570624
W酒店,W Hong Kong,http://www.wikidata.org/entity/Q2647652
莫斯科四季酒店,Hotel Moskva,http://www.wikidata.org/entity/Q1350689
圓山大飯店,Grand Hotel,http://www.wikidata.org/entity/Q712865
凱賓斯基飯店,Grand Hotel Heiligendamm,http://www.wikidata.org/entity/Q5594634
傑佛遜旅館,Jefferson Hotel,http://www.wikidata.org/entity/Q6175505
朗廷酒店,Langham Hotel,http://www.wikidata.org/entity/Q768935
隆堡丽景酒店,Hotel Panorama,http://www.wikidata.org/entity/Q5911809
大陆饭店,"Hotel Continental, Ho Chi Minh City",http://www.wikidata.org/entity/Q5911405
東京迪士尼海洋觀海景大飯店,Tokyo DisneySea Hotel MiraCosta,http://www.wikidata.org/entity/Q195432
瑟特阿斯宫,Seteais Palace,http://www.wikidata.org/entity/Q1108996
亞特蘭提斯酒店,"Atlantis, The Palm",http://www.wikidata.org/entity/Q756690
天主教双王酒店,Hospital de los Reyes Católicos,http://www.wikidata.org/entity/Q155443
克拉瑞芝酒店,Claridge's,http://www.wikidata.org/entity/Q2748565
北京东方君悦大酒店,Grand Hyatt Beijing,http://www.wikidata.org/entity/Q1812590
巴黎酒店,Paris Las Vegas,http://www.wikidata.org/entity/Q691491
米納飯店,Mena House,http://www.wikidata.org/entity/Q1355271
塔森伯格宫,Taschenbergpalais Dresden,http://www.wikidata.org/entity/Q267390
马尔丹宫殿,Mardan Palace,http://www.wikidata.org/entity/Q1975806
广州白天鹅宾馆,White Swan Hotel,http://www.wikidata.org/entity/Q986382
歐羅普斯基酒店,Hotel Europejski,http://www.wikidata.org/entity/Q1324986
布拉格國際酒店,Hotel International Prague,http://www.wikidata.org/entity/Q1874734
大都會人壽保險大樓,Metropolitan Life Insurance Company Tower,http://www.wikidata.org/entity/Q652452
东方酒店,"Mandarin Oriental, Bangkok",http://www.wikidata.org/entity/Q1631000
莫諾普爾酒店,Monopol Hotel,http://www.wikidata.org/entity/Q1630974
切尔西旅馆,Hotel Chelsea,http://www.wikidata.org/entity/Q240711
馬爾蒙城堡酒店,Chateau Marmont Hotel,http://www.wikidata.org/entity/Q741123
东京椿山庄大酒店,Hotel Chinzanso Tokyo,http://www.wikidata.org/entity/Q5911367
吳哥萊佛仕酒店,Grand Hotel d'Angkor,http://www.wikidata.org/entity/Q1057610
比爾賭場,The Cromwell Las Vegas,http://www.wikidata.org/entity/Q2903098
大酒店,Grand Hôtel,http://www.wikidata.org/entity/Q1221513
芳堤娜城堡,Château Frontenac,http://www.wikidata.org/entity/Q745964
帝國飯店,Imperial Hotel,http://www.wikidata.org/entity/Q712476
古巴國民酒店,Hotel Nacional de Cuba,http://www.wikidata.org/entity/Q2915936
皇家賭場,Casino Royale Hotel & Casino,http://www.wikidata.org/entity/Q2941108
