label,cityLabel,countryLabel
京町家,Machiya in Kyoto,Japan
總統府,Presidential Mansion,Greece
太平天国忠王府,Q2145666,People's Republic of China
崇礼住宅,Q2145657,People's Republic of China
卡梅泽尔府邸,Kammerzell House,France
赫弗城堡,Hever Castle,United Kingdom
“黑暗后的光芒”之窗,Q1404836,France
雲石別墅,Marble House,United States of America
比特摩爾莊園,Biltmore Estate,United States of America
阿爾布雷希特·杜勒之家,Albrecht Dürer's House,Germany
方塊屋,Cube house,Netherlands
雲石堂,Marble Hall,People's Republic of China
肯伍德,"Kenwood, St. George's Hill",United Kingdom
布拉莫爾會堂,Bramall Hall,United Kingdom
瘦樓 (波士頓),Skinny House,United States of America
梧玖莊園,Clos de Vougeot,France
巴迪斯萊·克林頓,Baddesley Clinton,United Kingdom
科隆比耶府邸,Q3279991,France
莫里斯-瑞梅爾大宅,Morris-Jumel Mansion,United States of America
济慈-雪莱故居,Keats-Shelley Memorial House,Italy
巴斯爾登莊園,Basildon Park,United Kingdom
大不列顛島最細的屋,Smallest House in Great Britain,United Kingdom
克利韋爾城堡,Clearwell Castle,United Kingdom
布卢瓦城堡,Château de Blois,France
希頓公園,Heaton Park,United Kingdom
沃德斯登莊園,Waddesdon Manor,United Kingdom
倫勃朗之家博物館,Rembrandt House Museum,Netherlands
沃德利大屋,Wardley Hall,United Kingdom
卡特屋,Carter House,United States of America
卡爾故居,Carr House,United Kingdom
奈特歇尔斯法院,Knightshayes Court,United Kingdom
海德堡城堡,Heidelberg Castle,Germany
貝爾維尤宮,Bellevue Palace,Germany
馬爾梅松城堡,Château de Malmaison,France
臺北賓館,Taipei Guest House,Taiwan
亚当之家,Q3279136,France
密码四大楼,Q3280016,France
豪斯登堡宮,Huis ten Bosch,Netherlands
玫瑰宮,Schloss Rosenau,Germany
范·艾特菲尔德公馆,Hôtel van Eetvelde,Belgium
蒙特摩爾塔樓,Mentmore Towers,United Kingdom
新天鹅堡,Neuschwanstein Castle,Germany
水师提督府,Admiralty House,Australia
會議大宅,Conference House,United States of America
維雷希斯宮,Vileišis Palace,Lithuania
紐西蘭駐俄羅斯大使館,Mindovsky House,Russia
奥塔博物馆,Horta Museum,Belgium
總理大臣官邸,Prime Minister's Official Residence,Japan
