label,cityLabel,countryLabel
巴芬島,Baffin Island,Canada
厄尔巴岛,Elba,Italy
爪哇岛,Java,Indonesia
艾拉島,Islay,United Kingdom
貝爾納謝克島,Bernaschek-Insel,Austria
朱拉島,Jura,United Kingdom
努库希瓦岛,Nuku Hiva,France
马萨葡萄园岛,Martha's Vineyard,United States of America
斯匹次卑尔根岛,Spitsbergen,Norway
布韦岛,Bouvet Island,Norway
尼姆巴島,Mnemba Island,Tanzania
馬爾島,Isle of Mull,United Kingdom
新不列顛,New Britain,Papua New Guinea
斯圖爾特島,Stewart Island / Rakiura,New Zealand
聰島,Tunø,Denmark
伊尼希爾島,Inisheer,Ireland
卡爾王子島,Prins Karls Forland,Norway
德文島,Devon Island,Canada
圣安唐岛,Santo Antão,Cape Verde
撒尔塞特岛,Salsetteön,India
奧索尼島,Othonoi,Greece
圣尤斯特歇斯,Sint Eustatius,Netherlands
金岛,King Island,United States of America
圣维森特岛,São Vicente,Cape Verde
奧斯特雷島,Ostryj Island,Russia
貝卡島,Beqa,Fiji
貝克島,Baker Island,United States of America
北島,North Island,New Zealand
拉納爾島,Rennell Island,Solomon Islands
洛格島,Lågøya,Norway
豪蘭島,Howland Island,United States of America
库页岛,Sakhalin,Russia
栗島,Awashima,Japan
海獅島,Sea Lion Island,United Kingdom
阿魯巴,Aruba,Kingdom of the Netherlands
库页岛,Sakhalin,Russian Empire
爱莲·朵娜,Eilean Donan,United Kingdom
曼島,Mandø,Denmark
象岛,Elephanta Island,India
飛島,Tobishima,Japan
科斯岛,Kos,Greece
小拉帕島,Rapa Iti,France
安德羅斯島,Andros,Greece
維澤島,Viðey,Iceland
敘爾特塞,Surtsey,Iceland
埃達克島,Adak Island,United States of America
大溪地,Tahiti,France
見付島,Mitsukejima,Japan
北极群岛,Canadian Arctic Archipelago,Canada
西兰岛,Zealand,Denmark
卡尼奧島,Isla del Caño,Costa Rica
赫塔島,Hirta,United Kingdom
苏拉威西岛,Sulawesi,Indonesia
纽芬兰岛,Newfoundland,Canada
戈佐岛,Gozo,Malta
拉奈島,Lanai,United States of America
帝汶,Timor,Indonesia
呂宋,Luzon,Philippines
薩拉戈麥斯島,Isla Salas y Gómez,Chile
北凱科斯島,North Caicos,Turks and Caicos Islands
大凱馬達島,Ilha da Queimada Grande,Brazil
帝汶,Timor,East Timor
因什默里島,Inchmurrin,United Kingdom
青年岛,Isla de la Juventud,Cuba
多巴哥岛,Tobago,Trinidad and Tobago
卡普里岛,Capri,Italy
棉兰老岛,Mindanao,Philippines
龙目岛,Lombok,Indonesia
夏威夷島,Hawaii,United States of America
优卑亚岛,Euboea,Greece
提洛岛,Delos,Greece
薩巴,Saba,Netherlands
勒姆島,Rømø,Denmark
艾爾島,Ærø,Denmark
馬卡斯金島,Island Macaskin,United Kingdom
法克湖島,Faaker-See-Insel,Austria
克瓦爾島,Kvaløya,Norway
撒丁岛,Sardinia,Italy
奧蘭主島,Fasta Åland,Finland
兰皮奥内岛,Lampione,Italy
朱代卡岛,Giudecca,Italy
薩爾島,Sal,Cape Verde
布拉奇岛,Brač,Croatia
麦夸里岛,Macquarie Island,Australia
叙尔特岛,Sylt,Germany
蘇門答臘,Sumatra,Indonesia
珊迪島,Sandy Island,France
伊良部島,Irabu Island,Japan
澤西島,Jersey,Jersey
博阿維斯塔島,"Boa Vista, Cape Verde",Cape Verde
布魯特斯島,Brutus Island,United Kingdom
阿森松岛,Ascension Island,United Kingdom
巴蒂基島,Batiki,Fiji
斯霍克兰,Schokland,Netherlands
南島,South Island,New Zealand
珠澳口岸人工島,Q28796013,People's Republic of China
小康沃利斯島,Little Cornwallis Island,Canada
溫哥華島,Vancouver Island,Canada
塔拉瓦环礁,Tarawa,Kiribati
薩馬爾加島,Samalga Island,United States of America
兰萨罗特岛,Lanzarote,Spain
大不列顛島,Great Britain,United Kingdom
爱尔兰岛,Ireland,United Kingdom
爱尔兰岛,Ireland,Ireland
臺灣,Taiwan Island,Taiwan
沃爾特島,Wörth,Austria
奇茲姆盧島,Chizumulu Island,Malawi
北日德蘭島,North Jutlandic Island,Denmark
圣港岛,Porto Santo Island,Portugal
科薩米爾群島,Ksamil Islands,Albania
猿島,Sarushima,Japan
愛奧那島,Iona,United Kingdom
菲英島,Funen,Denmark
波内赫,Bonaire,Netherlands
梅诺卡岛,Minorca,Spain
乌瑟多姆岛,Usedom,Germany
乌瑟多姆岛,Usedom,Poland
凯法利尼亚岛,Kefalonia,Greece
西歸浦市,Seogwipo,South Korea
西西亞島,Cicia,Fiji
罗得岛,Rhodes,Greece
因什法德島,Inchfad,United Kingdom
因奇馬諾克島,Inchmarnock,United Kingdom
塞班岛,Saipan,United States of America
恩高島,Gau Island,Fiji
伊维萨岛,Ibiza,Spain
福门特拉岛,Formentera,Spain
南塔克特,Nantucket,United States of America
弗爾,Föhr,Germany
克爾克島,Krk,Croatia
馬卡泰阿島,Makatea,France
茲拉林島,Zlarin,Croatia
布勒德島,Brøde Island,United Kingdom
布雷恩島,Brain Island,United Kingdom
漂流島 (斐濟),Castaway Island,Fiji
卡夫雷拉島,"Cabrera, Balearic Islands",Spain
歐胡島,Oahu,United States of America
賴克斯島,Rikers Island,United States of America
基塔瓦島,Kitava,Papua New Guinea
伊斯帕尼奥拉岛,Hispaniola,Haiti
凡島,Fanø,Denmark
北島,Cayo Norte,United States of America
馬格耶斯島,Isla Magueyes,United States of America
聖喬治·馬焦雷島,San Giorgio Maggiore,Italy
伯尼島,Birnie Island,Kiribati
曼拉島,Manra Island,Kiribati
布拉諾島,Burano,Italy
拉米雷茲島,Ramírez Island,Chile
伊斯帕尼奥拉岛,Hispaniola,Dominican Republic
松巴島,Sumba,Indonesia
九州,Kyushu,Japan
科爾丘拉島,Korčula,Croatia
錫爾巴島,Silba,Croatia
怀特岛郡,Isle of Wight,United Kingdom
科迪亚克岛,Kodiak Island,United States of America
羅本島,Robben Island,South Africa
米洛斯岛,Milos,Greece
萨拉米斯岛,Salamis Island,Greece
茂宜島,Maui,United States of America
聖安德烈斯島,San Andrés,Colombia
加韋勒赫群島,Garvellachs,United Kingdom
库拉索,Curaçao,Kingdom of the Netherlands
布鲁尼岛,Bruny Island,Australia
拔摩岛,Patmos,Greece
莫爾斯比島,Moresby Island,Canada
馬爾他島,Malta,Malta
萊桑環礁,Laysan,United States of America
丹尼斯島,Denis Island,Seychelles
弗雷澤島,Fraser Island,Australia
萊夫卡斯州,Lefkada,Greece
泰爾斯海靈島,Terschelling,Netherlands
巴貝島,Babe Island,United Kingdom
艾萊西瑙伊姆赫島,Eileach an Naoimh,United Kingdom
科莫多島,Komodo,Indonesia
沖永良部島,Okinoerabujima,Japan
基日島,Kizhi,Russia
富埃特文图拉岛,Fuerteventura,Spain
馬德拉島,Madeira Island,Portugal
塞爾夫島,Cerf Island,Seychelles
伊薩基島,Ithaca,Greece
大公主島,Princess Royal Island,Canada
梅恩蘭島,Mainland,United Kingdom
馬累,Malé,Maldives
貝阿塔島,Beata Island,Dominican Republic
櫻島,Sakura Island,Japan
济州岛,Jeju Island,South Korea
圣马丁岛,Saint Martin,France
圣马丁岛,Saint Martin,Kingdom of the Netherlands
坎納島,Canna,United Kingdom
瓜达尔卡纳尔岛,Guadalcanal,Solomon Islands
新幾內亞,New Guinea,Indonesia
座间味岛,Zamami Island,Japan
魁北克鸟岛,Bonaventure Island,Canada
新幾內亞,New Guinea,Papua New Guinea
西兰公国,Principality of Sealand,United Kingdom
四國,Shikoku,Japan
茨雷斯島,Cres,Croatia
揚馬延島,Jan Mayen,Norway
馬略卡島,Majorca,Spain
伊莎貝拉島,Isabela Island,Ecuador
吉廖島,Giglio,Italy
米西切利翁島,Eilean Mhic Chrion,United Kingdom
納弗沙島,Navassa Island,United States of America
