克爾克島,Krk,
弗爾,Föhr,
納弗沙島,Navassa Island,
貝爾納謝克島,Bernaschek-Insel,
聰島,Tunø,
維澤島,Viðey,
薩拉戈麥斯島,Isla Salas y Gómez,
伊良部島,Irabu Island,
曾卜拉島,Zembra,
阿爾馬夏島,Armathia,
阿魯巴,Aruba,
撒丁岛,Sardinia,
大不列顛島,Great Britain,
愛奧那島,Iona,
西西亞島,Cicia,
凡島,Fanø,
圣安唐岛,Santo Antão,
圣尤斯特歇斯,Sint Eustatius,
库页岛,Sakhalin,
安德羅斯島,Andros,
戈佐岛,Gozo,
布拉諾島,Burano,
提洛岛,Delos,
薩爾島,Sal,
努库希瓦岛,Nuku Hiva,
四國,Shikoku,
西兰公国,Principality of Sealand,
布韦岛,Bouvet Island,
尼姆巴島,Mnemba Island,
泰雷斯島,Thérèse Island,
海獅島,Sea Lion Island,
奧斯特雷島,Ostryj Island,
貝卡島,Beqa,
棉兰老岛,Mindanao,
青年岛,Isla de la Juventud,
兰皮奥内岛,Lampione,
溫哥華島,Vancouver Island,
奇茲姆盧島,Chizumulu Island,
小康沃利斯島,Little Cornwallis Island,
布雷顿角岛,Cape Breton Island,
羅伯特島,Robert Island,
薩馬爾加島,Samalga Island,
馬略卡島,Majorca,
艾拉島,Islay,
爪哇岛,Java,
栗島,Awashima,
龙目岛,Lombok,
苏拉威西岛,Sulawesi,
巴厘岛,Bali,
班克斯島,Banks Island,
澤西島,Jersey,
茂宜島,Maui,
布拉奇岛,Brač,
馬雷島,Maré,
北日德蘭島,North Jutlandic Island,
塞爾夫島,Cerf Island,
圣港岛,Porto Santo Island,
聖喬治·馬焦雷島,San Giorgio Maggiore,
布勒德島,Brøde Island,
布雷恩島,Brain Island,
漂流島 (斐濟),Castaway Island,
卡夫雷拉島,"Cabrera, Balearic Islands",
曼拉島,Manra Island,
科斯岛,Kos,
北凱科斯島,North Caicos,
埃達克島,Adak Island,
庫爾曼島,Coulman Island,
敘爾特塞,Surtsey,
大凱馬達島,Ilha da Queimada Grande,
纳克索斯岛,Naxos Island,
難以形容島,Inexpressible Island,
博阿維斯塔島,"Boa Vista, Cape Verde",
叙尔特岛,Sylt,
塔拉瓦环礁,Tarawa,
赫瓦爾島,Hvar,
蘇門答臘,Sumatra,
九州,Kyushu,
大卡里蒙島,Karimun,
錫爾巴島,Silba,
库拉索,Curaçao,
波内赫,Bonaire,
沃爾特島,Wörth,
爱尔兰岛,Ireland,
菲英島,Funen,
臺灣,Taiwan Island,
南塔克特,Nantucket,
因什法德島,Inchfad,
因奇馬諾克島,Inchmarnock,
恩高島,Gau Island,
朱拉島,Jura,
克基拉島,Corfu,
圣维森特岛,São Vicente,
拉吉德島,Rugged Island,
撒尔塞特岛,Salsetteön,
金岛,King Island,
馬爾島,Isle of Mull,
北島,North Island,
聖尼古拉斯島,San Nicolas Island,
卡尼奧島,Isla del Caño,
多巴哥岛,Tobago,
斯兰岛,Seram Island,
象岛,Elephanta Island,
赫塔島,Hirta,
陶爾島,Tower Island,
杰尔巴岛,Djerba,
松巴哇島,Sumbawa,
曼島,Mandø,
南島,South Island,
斯匹次卑尔根岛,Spitsbergen,
呂宋,Luzon,
纽芬兰岛,Newfoundland,
卡普里岛,Capri,
优卑亚岛,Euboea,
迪戈加西亚岛,Diego Garcia,
拉布島,Rab,
拔摩岛,Patmos,
塞班岛,Saipan,
伊斯帕尼奥拉岛,Hispaniola,
小拉帕島,Rapa Iti,
拉奈島,Lanai,
因什默里島,Inchmurrin,
基塔瓦島,Kitava,
乌瑟多姆岛,Usedom,
勒姆島,Rømø,
奧蘭主島,Fasta Åland,
法克湖島,Faaker-See-Insel,
艾爾島,Ærø,
布魯特斯島,Brutus Island,
阿森松岛,Ascension Island,
巴蒂基島,Batiki,
茲拉林島,Zlarin,
賴克斯島,Rikers Island,
馬卡泰阿島,Makatea,
櫻島,Sakura Island,
伊尼希爾島,Inisheer,
卡爾王子島,Prins Karls Forland,
德文島,Devon Island,
薩巴,Saba,
飛島,Tobishima,
貝克島,Baker Island,
特塞尔,Texel,
麦夸里岛,Macquarie Island,
朱代卡岛,Giudecca,
兰萨罗特岛,Lanzarote,
凯法利尼亚岛,Kefalonia,
梅诺卡岛,Minorca,
奧爾德尼島,Alderney,
马萨葡萄园岛,Martha's Vineyard,
大加那利岛,Gran Canaria,
馬拉若島,Marajó,
新幾內亞,New Guinea,
帕纳雷阿岛,Panarea,
長島,Long Island,
法維尼亞納島,Favignana,
凱爾島,Caher Island,
大島,Oshima,
克瓦爾島,Kvaløya,
大溪地,Tahiti,
中島,Moyenne Island,
圣马丁岛,Saint Martin,
新不列顛,New Britain,
斯通波利島,Stromboli,
弗雷澤島,Fraser Island,
聖安德烈斯島,San Andrés,
大公主島,Princess Royal Island,
馬提尼克,Martinique,
夏威夷島,Hawaii,
欧罗巴岛,Europa Island,
道格斯島,Isle of Dogs,
诺福克岛,Norfolk Island,
馬卡斯金島,Island Macaskin,
猿島,Sarushima,
科薩米爾群島,Ksamil Islands,
沖永良部島,Okinoerabujima,
歐胡島,Oahu,
魁北克鸟岛,Bonaventure Island,
佩雷希爾島,Perejil Island,
摩洛凱島,Molokaʻi,
邦加島,Bangka Island,
阿爾巴特羅斯島,Albatross Island,
喀拉喀托火山,Krakatau,
瓦恩島,Vanna,
埃伊納島,Aegina,
斯霍克兰,Schokland,
亚历山大一世岛,Alexander Island,
富埃特文图拉岛,Fuerteventura,
獨島,Liancourt Rocks,
怀特岛郡,Isle of Wight,
圣赫勒拿岛,Saint Helena,
索科特拉岛,Socotra,
沃林島,Wolin,
希乌马岛,Hiiumaa,
科米诺岛,Comino,
西兰岛,Zealand,
阿爾卡特拉斯島,Alcatraz Island,
長洲,Cheung Chau,
復活節島,Easter Island,
坎納島,Canna,
佐渡岛,Sado,
米西切利翁島,Eilean Mhic Chrion,
阿巴里靈阿環礁,Kanton Island,
斯圖爾特島,Stewart Island / Rakiura,
奧索尼島,Othonoi,
拉納爾島,Rennell Island,
富國島,Phú Quốc,
洛格島,Lågøya,
諏訪之瀨島,Swanosejima,
塞克勒特里島,Secretary Island,
豪勳爵島,Lord Howe Island,
打拉根島,Tarakan Island,
瀨底島,Sesoko Island,
莱斯博斯岛,Lesbos,
馬尼圖林島,Manitoulin Island,
史泰登岛,Staten Island,
克里特,Crete,
帝汶,Timor,
朗厄蘭島,Langeland,
科爾島,Coll,
馬累,Malé,
揚馬延島,Jan Mayen,
茨雷斯島,Cres,
莫羅泰島,Morotai,
安年科夫島,Annenkov Island,
恩德伯里島,Enderbury Island,
瓦西里岛,Vasilyevsky Island,
北极群岛,Canadian Arctic Archipelago,
爱莲·朵娜,Eilean Donan,
于特岛,Utøya,
與論島,Yoron Island,
見付島,Mitsukejima,
計吐夷島,Ketoy,
沖南岩,Okinominamiiwa,
羅本島,Robben Island,
萨拉米斯岛,Salamis Island,
蒲台,Po Toi,
朱美拉棕櫚島,Palm Jumeirah,
布阿里基島,Buariki,
諾丁漢島,Nottingham Island,
多瑙島,Donauinsel,
伯德島,Bird Island,
寶島 (鹿兒島縣),Takarajima,
梅尔维尔岛,Melville Island,
特立尼达岛,Trinidad,
婆罗洲,Borneo,
珊迪島,Sandy Island,
弗洛勒斯岛,Flores,
萊夫卡斯州,Lefkada,
馬爾他島,Malta,
伊薩基島,Ithaca,
本州,Honshu,
詹努特里島,Giannutri,
關島,Guam,
香港島,Hong Kong Island,
巴貝島,Babe Island,
济州岛,Jeju Island,
艾萊西瑙伊姆赫島,Eileach an Naoimh,
馬德拉島,Madeira Island,
瓜达尔卡纳尔岛,Guadalcanal,
伯尼島,Birnie Island,
貝阿塔島,Beata Island,
拉米雷茲島,Ramírez Island,
圣托里尼,Santorini,
拉托爾圖加島,La Tortuga Island,
豪蘭島,Howland Island,
博雷島,Boreray,
柏爾的金字塔,Ball's Pyramid,
白令岛,Bering Island,
米科诺斯岛,Mykonos,
硫磺岛,Iwo Jima,
埃梅利斯島,Q655458,
福莫薩島,Formosa,
弗雷格特島,Frégate Island,
科爾丘拉島,Korčula,
丹尼斯島,Denis Island,
布鲁尼岛,Bruny Island,
戈爾戈納島,Gorgona,
莫爾斯比島,Moresby Island,
加韋勒赫群島,Garvellachs,
萊桑環礁,Laysan,
伊维萨岛,Ibiza,
北島,Cayo Norte,
帕洛米洛斯島,Isla Palominos,
福门特拉岛,Formentera,
馬格耶斯島,Isla Magueyes,
巴芬島,Baffin Island,
伊莎貝拉島,Isabela Island,
巴斯特尔岛,Basse-Terre Island,
利姆诺斯岛,Lemnos,
北海道,Hokkaidō,
哈马黑拉岛,Halmahera Island,
圣诞岛,Christmas Island,
圣诞岛,Kiritimati,
斯特莱默岛,Streymoy,
東龍洲,Tung Lung Chau,
熊岛,Bear Island,
瓦胡卡島,Ua Huka,
阿加萊加群島,Agaléga,
阿姆斯特丹岛,Île Amsterdam,
赫姆島,Herm,
鬱陵島,Ulleungdo,
莫納島,Isla de Mona,
庫尤島,Kuiu Island,
克利珀頓島,Clipperton Island,
考艾岛,Kauai,
格鲁特岛,Groote Eylandt,
瓦伊加奇岛,Vaygach Island,
科迪亚克岛,Kodiak Island,
维提岛,Viti Levu,
马都拉岛,Madura Island,
博福特島,Beaufort Island,
天鹅岛 (巴黎),île aux Cygnes,
布里亞斯島,Burias,
富圖納島,Futuna,
格鲁伊纳岛,Gruinard Island,
里斯安斯基島,Lisianski Island,
泰梅爾島,Taymyr Island,
阿爾基島,Arkoi,
卡里亞固島,Carriacou Island,
阿兹阿克岛,Aziak Island,
