label,cityLabel,city
特奥多尔·蒙森,Theodor Mommsen,http://www.wikidata.org/entity/Q25351
皮埃尔·保罗·帕索里尼,Pier Paolo Pasolini,http://www.wikidata.org/entity/Q25120
麦尔威·杜威,Melvil Dewey,http://www.wikidata.org/entity/Q26879
切萨雷·帕韦塞,Cesare Pavese,http://www.wikidata.org/entity/Q2022
列宁,Vladimir Lenin,http://www.wikidata.org/entity/Q1394
米哈伊尔·布尔加科夫,Mikhail Bulgakov,http://www.wikidata.org/entity/Q835
路易·阿拉贡,Louis Aragon,http://www.wikidata.org/entity/Q4128
丹尼尔·笛福,Daniel Defoe,http://www.wikidata.org/entity/Q40946
T·S·艾略特,T. S. Eliot,http://www.wikidata.org/entity/Q37767
安野夢洋子,Moyoco Anno,http://www.wikidata.org/entity/Q38842
布莱姆·斯托克,Bram Stoker,http://www.wikidata.org/entity/Q36184
帝奇亞諾·坦尚尼,Tiziano Terzani,http://www.wikidata.org/entity/Q44534
珍·古德曼,Jane Goldman,http://www.wikidata.org/entity/Q32661
理查·佐爾格,Richard Sorge,http://www.wikidata.org/entity/Q44580
理查德·科里斯,Richard Corliss,http://www.wikidata.org/entity/Q38670
理查德·大卫·普雷希特,Richard David Precht,http://www.wikidata.org/entity/Q44040
石原慎太郎,Shintarō Ishihara,http://www.wikidata.org/entity/Q38849
阿尔贝·加缪,Albert Camus,http://www.wikidata.org/entity/Q34670
金大中,Kim Dae-jung,http://www.wikidata.org/entity/Q45785
弗兰茨·梅林,Franz Mehring,http://www.wikidata.org/entity/Q18806
約翰·麥肯羅,John McEnroe,http://www.wikidata.org/entity/Q16474
胡安·卡洛斯·奥内蒂,Juan Carlos Onetti,http://www.wikidata.org/entity/Q16873
莱昂·布鲁姆,Léon Blum,http://www.wikidata.org/entity/Q18434
讓-巴蒂斯特·賽伊,Jean-Baptiste Say,http://www.wikidata.org/entity/Q13513
杰里·斯普林格,Jerry Springer,http://www.wikidata.org/entity/Q27214
羅莎·盧森堡,Rosa Luxemburg,http://www.wikidata.org/entity/Q7231
戈登·布朗,Gordon Brown,http://www.wikidata.org/entity/Q10648
拉多斯瓦夫·西科尔斯基,Radosław Sikorski,http://www.wikidata.org/entity/Q58085
漢夫丹格,Ernst Hanfstaengl,http://www.wikidata.org/entity/Q58051
霍斯特·辛德曼,Horst Sindermann,http://www.wikidata.org/entity/Q57896
本傑明·富蘭克林,Benjamin Franklin,http://www.wikidata.org/entity/Q34969
二葉亭四迷,Futabatei Shimei,http://www.wikidata.org/entity/Q22665
寶拉·布羅維爾,Paula Broadwell,http://www.wikidata.org/entity/Q24225
朗·車諾,Ron Chernow,http://www.wikidata.org/entity/Q24302
约阿希姆·高克,Joachim Gauck,http://www.wikidata.org/entity/Q2538
让-吕克·梅朗雄,Jean-Luc Mélenchon,http://www.wikidata.org/entity/Q5829
鮑希斯·維昂,Boris Vian,http://www.wikidata.org/entity/Q7833
卡尔·马克思,Karl Marx,http://www.wikidata.org/entity/Q9061
何塞·巴特列-奥多涅斯,José Batlle y Ordóñez,http://www.wikidata.org/entity/Q15145
埃内斯托·泰奥多罗·莫内塔,Ernesto Teodoro Moneta,http://www.wikidata.org/entity/Q12086
彼得·弗拉基米洛夫,Peter Vladimirov,http://www.wikidata.org/entity/Q15784
柏納·韋柏,Bernard Werber,http://www.wikidata.org/entity/Q12054
莱奥·廷德曼斯,Leo Tindemans,http://www.wikidata.org/entity/Q15002
阿久斯廷·克魯爾,Agustín Edwards Mac-Clure,http://www.wikidata.org/entity/Q11952
阿纳托利·卢那察尔斯基,Anatoly Lunacharsky,http://www.wikidata.org/entity/Q18809
马娅·安杰卢,Maya Angelou,http://www.wikidata.org/entity/Q19526
V·S·奈波爾,V. S. Naipaul,http://www.wikidata.org/entity/Q44593
弗拉基米爾·納博可夫,Vladimir Nabokov,http://www.wikidata.org/entity/Q36591
焦苏埃·卡尔杜奇,Giosuè Carducci,http://www.wikidata.org/entity/Q43440
艾萨克·阿西莫夫,Isaac Asimov,http://www.wikidata.org/entity/Q34981
安徒生,Hans Christian Andersen,http://www.wikidata.org/entity/Q5673
西奥多·赫茨尔,Theodor Herzl,http://www.wikidata.org/entity/Q44003
马克·吐温,Mark Twain,http://www.wikidata.org/entity/Q7245
威廉·肯尼迪,William Kennedy,http://www.wikidata.org/entity/Q31984
