label,riverLabel,countryLabel
抚仙湖,Fuxian Lake,People's Republic of China
薩里耶爾維撞擊坑,Saarijärvi crater,Finland
奎采奥湖,Lake Cuitzeo,Mexico
孔吉利奧湖,Conguillío Lake,Chile
科赫爾湖,Kochelsee,Germany
艾布湖,Eibsee,Germany
洱海,Erhai Lake,People's Republic of China
滇池,Dian Lake,People's Republic of China
奥赫里德湖,Lake Ohrid,Albania
查莫湖,Lake Chamo,Ethiopia
科卡水庫,Koka Reservoir,Ethiopia
惠州抽水蓄能電站,Huizhou Pumped Storage Power Station,People's Republic of China
奧伊湖,Oijärvi,Finland
布爾杜爾湖,Lake Burdur,Turkey
戈普沃湖,Gopło,Poland
卡馬拉水壩,Camará Dam,Brazil
斯圖爾湖 (耶斯特里克蘭),Storsjön,Sweden
柘林水库,Zhelin Reservoir,People's Republic of China
科蘇湖,Lake Kossou,Ivory Coast
伊曼德拉湖,Lake Imandra,Russia
休伦湖,Lake Huron,Canada
卡利拉亞湖,Lake Caliraya,Philippines
巴賓湖,Babine Lake,Canada
卡因迪湖,Lake Kaindy,Kazakhstan
基姆湖,Chiemsee,Germany
哈爾湖 (扎布汗省),Khar Lake,Mongolia
翁多澤羅湖,Q1634873,Russia
布倫納湖,Lake Brunner,New Zealand
梦莲湖,Moraine Lake,Canada
奥赫里德湖,Lake Ohrid,Republic of Macedonia
拉蒙灣,Lamon Bay,Philippines
扎布耶茶卡,Zabuye lake,People's Republic of China
休伦湖,Lake Huron,United States of America
凡湖,Lake Van,Turkey
琉森湖,Lake Lucerne,Switzerland
斯雷伯爾納自然保護區,Srebarna Nature Reserve,Bulgaria
沃爾維湖,Lake Volvi,Greece
謝苗諾夫斯科耶湖,Lake Semyonovskoye,Russia
中海,Nakaumi,Japan
丘塔湖,Lake Chiuta,Malawi
斯努德湖,Lake Snudy,Belarus
艾伯特湖,Lake Albert,Democratic Republic of the Congo
艾伯特湖,Lake Albert,Uganda
阿邦特湖,Lake Abant Nature Park,Turkey
辛姆湖,Simssee,Germany
布法羅湖,Buffalo Lake,Canada
部亞達礁湖,Buada Lagoon,Nauru
比于克切克梅傑湖,Lake Büyükçekmece,Turkey
卡里克科塞里卡湖,Karikkoselkä,Finland
苏打湖,Soda Lake,United States of America
馬斯湖,Maschsee,Germany
德科帕韋火山,Copahue,Argentina
薩雷卡梅什湖,Sarygamysh Lake,Uzbekistan
奇爾科湖,Chilko Lake,Canada
梅拉伦湖,Mälaren,Sweden
波特里特里湖,Lake Poteriteri,New Zealand
科爾里奇湖,Lake Coleridge,New Zealand
薩雷卡梅什湖,Sarygamysh Lake,Turkmenistan
贝加尔湖,Lake Baikal,Russia
摩爾蒙湖,Mormon Lake,United States of America
香槟池,Champagne Pool,New Zealand
薩普紹湖,Lake Sapsho,Russia
霞浦,Lake Kasumigaura,Japan
紹托澤羅湖,Q117036,Russia
巢湖,Chao Lake,People's Republic of China
瓦卡蒂普湖,Lake Wakatipu,New Zealand
Chirkey水壩,Chirkey Dam,Russia
納馬克湖,Namak Lake,Iran
阿特托林湖,Atlin Lake,Canada
阿薩巴斯卡湖,Lake Athabasca,Canada
弗濟澤湖,Wdzydze Lake,Poland
羅根湖,Rogen,Norway
羅根湖,Rogen,Sweden
苏黎世湖,Lake Zurich,Switzerland
皮海湖,Pyhäjärvi,Finland
伊利湖,Lake Erie,Canada
施坦贝尔格湖,Lake Starnberg,Germany
伊薩瓦爾湖,Lake Izabal,Guatemala
伊利湖,Lake Erie,United States of America
馬焦雷湖,Lake Maggiore,Italy
馬焦雷湖,Lake Maggiore,Switzerland
帕拉瓦尼湖,Paravani Lake,Georgia
烏雷格湖,Üüreg Lake,Mongolia
国王湖,Königssee,Germany
萊芒湖,Lake Geneva,France
維什蒂蒂斯湖,Lake Vištytis,Russia
米里茨湖,Müritz,Germany
萊芒湖,Lake Geneva,Switzerland
維什蒂蒂斯湖,Lake Vištytis,Lithuania
多伊蘭湖,Dojran Lake,Greece
紅湖,Red Lake,Romania
克烈季湖,Lake Keret,Russia
錫達湖 (曼尼托巴省),Cedar Lake,Canada
麥凱湖,MacKay Lake,Canada
徹爾德爾湖,Lake Çıldır,Turkey
寺池,Teragaike,Japan
馬那瓜湖,Lake Managua,Nicaragua
瓊加拉湖,Chungará Lake,Chile
默里湖,Lake Murray,Papua New Guinea
阿默湖,Ammersee,Germany
亞當斯湖,Adams Lake,Canada
爱德华湖,Lake Edward,Uganda
多伊蘭湖,Dojran Lake,Republic of Macedonia
烏朋巴湖,Lake Upemba,Democratic Republic of the Congo
巴特米爾湖,Buttermere,United Kingdom
普列謝耶沃湖,Lake Pleshcheyevo,Russia
約阿湖,Lake Yoa,Chad
安大略湖,Lake Ontario,Canada
基利金斯科耶湖,Lake Kildinskoye,Russia
塞凡湖,Lake Sevan,Armenia
小川原湖,Lake Ogawara,Japan
格里姆火山,Grímsvötn,Iceland
加里波第湖,Garibaldi Lake,Canada
山羅水壩,Sơn La Dam,Vietnam
瑪麗公主湖,Princess Mary Lake,Canada
劳里科查湖,Lauricocha Lake,Peru
塔納湖,Lake Tana,Ethiopia
安大略湖,Lake Ontario,United States of America
喀拉库勒湖,Karakul,People's Republic of China
什未林湖,Schweriner See,Germany
法尼亞諾湖,Lake Fagnano,Argentina
法尼亞諾湖,Lake Fagnano,Chile
巴托湖,Lake Bato,Philippines
奥涅加湖,Lake Onega,Russia
施泰因胡德湖,Steinhuder Meer,Germany
因古里水壩,Inguri Dam,Georgia
布爾特內克斯湖,Lake Burtnieks,Latvia
中禪寺湖,Lake Chūzenji,Japan
程海,Chenghai Zhen,People's Republic of China
密歇根湖,Lake Michigan,United States of America
查哥加哥文程加哥朮巴根加馬古,Lake Chaubunagungamaug,United States of America
懷卡雷莫阿納湖,Lake Waikaremoana,New Zealand
維多利亞湖,Lake Victoria,Uganda
布希湖,Lake Buhi,Philippines
博登湖,Lake Constance,Austria
博登湖,Lake Constance,Germany
博登湖,Lake Constance,Switzerland
大熊湖,Great Bear Lake,Canada
溫尼伯湖,Lake Winnipeg,Canada
維多利亞湖,Lake Victoria,Tanzania
維多利亞湖,Lake Victoria,Kenya
大萊湖,Stora Le,Norway
基里庫梅埃湖,Lake Kirikumäe,Estonia
策爾湖,Lake Zell,Austria
大萊湖,Stora Le,Sweden
特格尔恩湖,Tegernsee,Germany
馬拉開波湖,Lake Maracaibo,Venezuela
维纳恩湖,Vänern,Sweden
太湖,Tai Lake,People's Republic of China
弗格森湖,Ferguson Lake,Canada
庞多雷湖,Lake Pend Oreille,United States of America
桑達爾湖,Q1115661,Russia
伊兹尼克湖,Lake İznik,Turkey
馬勒里湖,Mallery Lake,Canada
科罗拉达湖,Laguna Colorada,Bolivia
察尔汗盐湖,Q1644517,People's Republic of China
庞恰特雷恩湖,Lake Pontchartrain,United States of America
蒂貝斯朱瓦克湖,Tebesjuak Lake,Canada
普拉韋西湖,Puula,Finland
鄱阳湖,Poyang Lake,People's Republic of China
伊塞奧湖,Lake Iseo,Italy
盧加諾湖,Lake Lugano,Italy
楚格湖,Lake Zug,Switzerland
法菲克湖,Pfäffikersee,Switzerland
盧加諾湖,Lake Lugano,Switzerland
穆尔滕湖,Lake Murten,Switzerland
克羅諾基湖,Lake Kronotskoye,Russia
埃利通湖,Lake Elton,Russia
弗謝盧格湖,Lake Vselug,Russia
金庫尼湖,Lake Kinkony,Madagascar
