label,cityLabel,countryLabel
锡伯语,Xibe,People's Republic of China
烏俄語,Surzhyk,Moldova
莫克沙語,Moksha,Russia
罗曼什语,Romansh,Switzerland
庫梅克語,Kumyk,Russia
圖法語,Tofa language,Russia
尼夫赫語,Nivkh,Russia
恩加納桑語,Nganasan,Russia
拉克語,Lak,Russia
拉迪諾語,Ladino,Israel
喀克其奎語,Kaqchikel,Guatemala
祖尼語,Zuni,United States of America
科伊科伊語,Khoekhoe,South Africa
挪威俄语,Russenorsk,Norway
馬格里布阿拉伯語,Maghrebi Arabic,Algeria
馬格里布阿拉伯語,Maghrebi Arabic,United Kingdom
馬格里布阿拉伯語,Maghrebi Arabic,Libya
馬格里布阿拉伯語,Maghrebi Arabic,Mauritania
奥斯曼土耳其语,Ottoman Turkish,Ottoman Empire
翁果塔語,Ongota language,Ethiopia
馬格里布阿拉伯語,Maghrebi Arabic,Tunisia
馬格里布阿拉伯語,Maghrebi Arabic,Western Sahara
馬格里布阿拉伯語,Maghrebi Arabic,Morocco
斯科爾特薩米語,Skolt Sami,Russia
斯科爾特薩米語,Skolt Sami,Finland
日本手语,Japanese Sign Language,Japan
米南佳保語,Minangkabau,Indonesia
米其夫語,Michif,Canada
乌鲁姆语,Urum,Ukraine
卢森堡语,Luxembourgish,Belgium
卢森堡语,Luxembourgish,France
下索布语,Lower Sorbian,Germany
卢森堡语,Luxembourgish,Germany
密卡蘇奇語,Mikasuki,United States of America
巴布亚皮钦语,Tok Pisin,Papua New Guinea
乌鲁姆语,Urum,Greece
米其夫語,Michif,United States of America
卢森堡语,Luxembourgish,Luxembourg
扎扎其語,Zazaki,Turkey
阿伊努語,Ainu languages,Japan
桑达韦语,Sandawe,Tanzania
桑戈语,Sango,Chad
桑戈语,Sango,Democratic Republic of the Congo
桑戈语,Sango,Central African Republic
印度斯坦语,Hindi-Urdu,Pakistan
印度斯坦语,Hindi-Urdu,India
印度斯坦语,Hindi-Urdu,Fiji
南方薩米語,Southern Sami,Norway
印度斯坦语,Hindi-Urdu,Suriname
南方薩米語,Southern Sami,Sweden
印度斯坦语,Hindi-Urdu,Malaysia
印度斯坦语,Hindi-Urdu,Guyana
中國手語,Chinese Sign Language,People's Republic of China
希里摩圖語,Hiri Motu,Papua New Guinea
印度斯坦语,Hindi-Urdu,Trinidad and Tobago
帕皮阿门托语,Papiamento,Bonaire
帕皮阿门托语,Papiamento,Curaçao
基切語,K’iche’,Mexico
魯馬尼語,Scandoromani,Norway
魯馬尼語,Scandoromani,Sweden
基切語,K’iche’,Guatemala
帕皮阿门托语,Papiamento,Aruba
愛爾蘭手語,Irish Sign Language,Ireland
烏爾奇語,Ulch,Russia
低地蘇格蘭語,Scots,United Kingdom
低地蘇格蘭語,Scots,Ireland
科里亚克语,Koryak,Russia
察合台語,Chagatai,Mughal Empire
察合台語,Chagatai,Timurid dynasty
海地克里奧爾語,Haitian Creole,Haiti
五屯話,Wutun language,People's Republic of China
毛利语,Māori,New Zealand
契維語,Twi,Ghana
德宏傣语,Tai Nüa,Myanmar
德宏傣语,Tai Nüa,Vietnam
摩爾多瓦語,Moldovan,Moldova
特薩米語,Ter Sami,Russia
坎皮达诺方言,Campidanese,Italy
马拉雅拉姆语,Malayalam,India
壮语,Zhuang,People's Republic of China
摩爾多瓦語,Moldovan,Soviet Union
摩爾多瓦語,Moldovan,Moldavia
摩爾多瓦語,Moldovan,Transnistria
孟文,Mon,Myanmar
冰岛语,Icelandic,Denmark
德宏傣语,Tai Nüa,People's Republic of China
比斯拉马语,Bislama,Vanuatu
老国音,Old National Pronunciation,Republic of China (1912–49)
冰岛语,Icelandic,Canada
冰岛语,Icelandic,Iceland
上索布语,Upper Sorbian,Germany
乌克兰语,Ukrainian,Kazakhstan
乌克兰语,Ukrainian,Russia
乌克兰语,Ukrainian,Ukraine
乌克兰语,Ukrainian,Belarus
乌克兰语,Ukrainian,Canada
乌克兰语,Ukrainian,Hungary
乌克兰语,Ukrainian,Poland
意第緒語,Yiddish,Costa Rica
意第緒語,Yiddish,Panama
波斯语,Persian,Kuwait
波斯语,Persian,Pakistan
波斯语,Persian,Tajik
乌克兰语,Ukrainian,Slovakia
意第緒語,Yiddish,Israel
意第緒語,Yiddish,Argentina
波斯语,Persian,Iran
波斯语,Persian,Dari
羅托卡特語,Rotokas,Papua New Guinea
波斯语,Persian,Bahrain
波斯语,Persian,Tajikistan
冰岛语,Icelandic,United States of America
比斯拉马语,Bislama,New Caledonia
德宏傣语,Tai Nüa,Laos
孟文,Mon,Thailand
古波斯語,Old Persian,Achaemenid Empire
乌克兰语,Ukrainian,Serbia
乌克兰语,Ukrainian,Czech Republic
乌克兰语,Ukrainian,Romania
波斯语,Persian,Afghanistan
波斯语,Persian,Iraq
乌克兰语,Ukrainian,United States of America
烏德蓋語,Udege,Russia
布列塔尼语,Breton,France
托尔讷河谷芬兰语,Meänkieli,Sweden
孟加拉语,Bengali,Bangladesh
烏俄語,Surzhyk,Russia
烏俄語,Surzhyk,Ukraine
斯洛文尼亚语,Slovene,Croatia
斯洛文尼亚语,Slovene,Argentina
斯洛文尼亚语,Slovene,Canada
斯洛文尼亚语,Slovene,Hungary
斯洛文尼亚语,Slovene,South Africa
卡羅方言,Batak Karo,Indonesia
卡舒比语,Kashubian,Canada
北索托語,Northern Sotho,South Africa
卡舒比语,Kashubian,Poland
摩揭陀語,Magahi,Cameroon
葡萄牙语,Portuguese,Portugal
托斯卡納語,Tuscan,Italy
葡萄牙语,Portuguese,Spain
葡萄牙语,Portuguese,Brazil
斯洛文尼亚语,Slovene,United States of America
斯洛文尼亚语,Slovene,Slovenia
卡舒比语,Kashubian,United States of America
奧塞梯語,Ossetian,South Ossetia-Alania
卢森尼亚语,Rusyn,Ukraine
卢森尼亚语,Rusyn,Croatia
阿巴扎语,Abaza,Turkey
阿巴扎语,Abaza,Russia
卢森尼亚语,Rusyn,Hungary
泰米尔语,Tamil,India
卢森尼亚语,Rusyn,Poland
卢森尼亚语,Rusyn,Slovakia
卢森尼亚语,Rusyn,Serbia
卢森尼亚语,Rusyn,Romania
阿喬利語,Acholi dialect,South Sudan
阿喬利語,Acholi dialect,Uganda
伊瓦加語,Iwaidja,Australia
薩薩克語,Sasak,Indonesia
奥克语,Occitan,France
奥克语,Occitan,Italy
奥克语,Occitan,Spain
奥克语,Occitan,Monaco
盧迪茨語,Ludic language,Russia
奇奧蒂語,Ch’orti’ language,Honduras
蘇利南湯加語,Sranan Tongo,Suriname
中古波斯语,Middle Persian,Sassanian Empire
奇奧蒂語,Ch’orti’ language,Guatemala
盧迪茨語,Ludic language,Finland
陶希洛語,Taushiro,Peru
中阿拉斯加尤皮克语,Central Alaskan Yup'ik,United States of America
亞述新亞蘭語,Assyrian Neo-Aramaic,Turkey
