label,cityLabel
上海少年儿童图书馆,Q10867806
新川沙图书馆,Q11082385
埼玉市立圖書館,Q11267442
佐賀縣立圖書館,Q11384741
西雅圖中央圖書館,Seattle Central Library
和平宫图书馆,Peace Palace Library
日佛會館,Q3280212
京都府立圖書館,Kyoto Prefectural Library
京都府立綜合資料館,Kyoto Prefectural Library and Achives
埼玉縣立圖書館,Saitama Prefectural Library
大宅壯一文庫,Oya Soichi Bunko
日比谷圖書文化館,Hibiya Library&Museum
日本點字圖書館,Japan Braille Library
斯特拉霍夫修道院圖書館,Strahov Library
飞驒市神冈图书馆,Q28057815
臺北市立圖書館總館,Q28412193
襄阳市图书馆,Q28412836
福州大学世界文明研究中心,Q15913341
臺南市立圖書館,Q15915052
虹口区图书馆,Q15930353
高雄市立圖書館,Q15900287
钱学森图书馆 (上海交通大学),Qian Xuesen Library & Museum
梅爾克修道院圖書館,Q1589808
智慧之家,House of Wisdom
宜昌市图书馆,Q10948960
尊經閣文庫,Q11458670
景堂圖書館,Jingtang Library
千葉縣立東部圖書館,Chiba Prefectural East Library
千葉縣立西部圖書館,Chiba Prefectural West Library
萊登大學圖書館,Leiden University Library
奧斯特公爵圖書館,Herzog August Library
巴登州立博物館,Baden State Library
拜内克古籍善本图书馆,Beinecke Rare Book & Manuscript Library
苗栗縣立圖書館,Q15944324
马鞍山市图书馆,Q15931562
高雄市立圖書館左新分館,Q15915684
國家兩廳院表演藝術圖書館,Q16321484
北區立中央圖書館,Q17210909
北區立圖書館,Q17210917
耶魯大學圖書館,Yale University Library
图尔市立图书馆,Library of Tours
哈羅德·華盛頓圖書館,Harold Washington Library
大衛沙遜圖書館,David Sassoon Library
國立公共資訊圖書館中興分館,Q10926996
中野區立中央圖書館,Q11367496
中野區立圖書館,Q11367502
加藤文太郎紀念圖書館,Q11399242
加須市立圖書館,Q11399786
川崎市立圖書館,Q11478433
新宿區立圖書館,Q11501826
安娜·阿玛利亚公爵夫人图书馆,Duchess Anna Amalia Library
拿戈瑪第經集,Nag Hammadi library
奥地利国家图书馆,Austrian National Library
切斯特·比替图书馆,Chester Beatty Library
屋崙公立圖書館,Oakland Public Library
聖日內維耶圖書館,Sainte-Geneviève Library
人民大學習堂,Grand People's Study House
塞尔苏斯图书馆,Library of Celsus
盎博罗削图书馆,Biblioteca Ambrosiana
帕伽馬圖書館,Library of Pergamum
東海大學圖書館,Q15914963
淡江大學覺生紀念圖書館,Q15908175
國立聯合大學圖書館,Q15928433
聖荷西圖書館,San José Public Library
白宮圖書館,Library
函館市中央圖書館,Q17217345
華沙大學圖書館,Warsaw University Library
國立臺灣大學圖書館,National Taiwan University Library
杭州图书馆,Hangzhou Public Library
浦东图书馆,PuDong Library
千葉縣立中央圖書館,Chiba Prefectural Central Library
奈良縣立圖書情報館,Nara Prefectural Library and Information Center
华中科技大学图书馆,Q28413162
武汉市少年儿童图书馆,Q28412894
西里西亚图书馆,Silesian Library
多倫多公立圖書館,Toronto Public Library
旧金山公共图书馆,San Francisco Public Library
哈佛大学图书馆,Harvard University Library
費城圖書館公司,Library Company of Philadelphia
高雄市立圖書館總館,Kaohsiung Main Public Library
Raczyński庫,Raczyński Library
纽约公共图书馆,New York Public Library
巴伐利亞國家圖書館,Bavarian State Library
阿德蒙特修道院圖書館,Admont Abbey Library
黄浦区图书馆,Q11177932
上尾市圖書館,Q11358814
川越市立圖書館,Q11479229
德島縣立圖書館,Q11489912
上海圖書館,Shanghai Library
古蘭經之屋,Beit Al Quran
斯特拉斯堡国家和大学图书馆,Bibliothèque nationale et universitaire
中南财经大学图书馆,Q28412898
開放美工圖庫,Open Clip Art Library
懷德納圖書館,Widener Library
國會圖書館 (加拿大),Library of Parliament
维多利亚州立图书馆,State Library of Victoria
斯圖加特市立圖書館,Stadtbibliothek Stuttgart
皇后圖書館,Queens Library
宁波大学园区图书馆,Q2901544
亨廷頓圖書館,Huntington Library
令希图书馆,Q15910912
台灣藝術大學圖書館,Library of the National Taiwan University Of Art
國立交通大學圖書館,National Chiao Tung University Library
浙江图书馆,Zhejiang Library
板橋波隆那兒童繪本館,Q17193183
费城自由图书馆,Free Library of Philadelphia
雅蓋隆圖書館,Jagiellonian Library
塞内约基市图书馆,Seinäjoki Town Library
德国国家经济学图书馆,German National Library of Economics
香港理工大學包玉剛圖書館,Pao Yue-Kong Library
金大中圖書館,Kim Dae-Jung Presidential Library and Museum
比利時皇家圖書館,Royal Library of Belgium
波士頓圖書館,Boston Athenæum
新亚历山大图书馆,Bibliotheca Alexandrina
亞述巴尼拔圖書館,Library of Ashurbanipal
天理大學附屬天理圖書館,Tenri Central Library
北仑区图书馆,Q10902483
台州市图书馆,Q10914509
泰达图书馆,Q11145200
東京廣告博物館,Q11284141
和光市圖書館,Q11417170
四街道市立圖書館,Q11420114
島根縣立圖書館,Q11476480
溫哥華公共圖書館,Vancouver Public Library
哈德良圖書館,Hadrian's Library
喬治·布希總統圖書館,George Bush Presidential Library
阿姆斯特丹大学图书馆,Amsterdam University Library
天一阁,Tian Yi Ge
嘉业堂藏书楼,Jiaye Library
國立公共資訊圖書館黎明分館,"Li-Ming Branch Library, National Library of Public Information"
新北市立圖書館,New Taipei City Library
聖塔克拉拉郡圖書館,Santa Clara County Library
圖書館,Uppsala University Library
新竹縣竹東鎮立圖書館,Q15911418
臺中市清水區圖書館,Q15924740
武汉图书馆,Q17028232
J.亨利·梅爾紀念圖書館,J. Henry Meyer Memorial Library
斯特林纪念图书馆,Sterling Memorial Library
东洋文库,Tōyō Bunko
摩根圖書館與博物館,The Morgan Library & Museum
佩里-卡斯塔涅达图书馆,Perry–Castañeda Library
蘇格蘭國家圖書館,National Library of Scotland
肯尼迪总统图书馆暨博物馆,John F. Kennedy Presidential Library and Museum
葛飾區立圖書館,Q11621060
鳥取縣立圖書館,Q11674572
徐家汇藏书楼,Bibliotheca Zi-Ka-Wei
北葵涌公共圖書館,North Kwai Chung Public Library
將軍澳公共圖書館,Tseung Kwan O Public Library
新蒲崗公共圖書館,San Po Kong Public Library
柴灣公共圖書館,Chai Wan Public Library
武汉大学图书馆,Wuhan University Library
秋田縣立圖書館,Akita Prefectural Library
練馬區立圖書館,Nerima City Public Library
東京都立中央圖書館,Tokyo Metropolitan Central Library
班克羅夫特圖書館,Bancroft Library
馬丁路德金博士圖書館,"Dr. Martin Luther King, Jr. Library"
喬治皮博迪圖書館,George Peabody Library
格拉斯哥大學圖書館,Glasgow University Library
广州图书馆,Guangzhou Library
國立臺中教育大學圖書館,Q18111328
