label,cityLabel,countryLabel
二十世紀報,Le Petit Vingtième,Belgium
側面 (雜誌),Profil,Austria
晚報 (瑞典),Aftonbladet,Sweden
阿西莫夫科幻小说,Asimov's Science Fiction,United States of America
新共和,The New Republic,United States of America
加拿大RPM單曲排行榜,RPM,Canada
高尔夫大师,Golf Digest,United States of America
天文學,Astronomy,United States of America
工程新闻纪录,Engineering News-Record,United States of America
Oz (雜誌),Oz,Australia
國家新聞週刊,News Weekly,Australia
次世代,Next Generation,United States of America
Edge,Edge,Spain
亨明斯汽車新聞,Hemmings Motor News,United States of America
Metal hurlant,Métal Hurlant,Spain
美信,Maxim,United States of America
男性健美,Men's Fitness,United States of America
驚駭科幻小說,Analog Science Fiction and Fact,United States of America
新青年 (日本),Shinseinen,Japan
Kiss,Kiss,Japan
Animedia,Q10846446,Japan
奇幻與科幻雜誌,The Magazine of Fantasy & Science Fiction,United States of America
出版者周刊,Publishers Weekly,United States of America
新天地 (杂志),New Land,Australia
KINFOLK,Kinfolk,United States of America
荷里活報道,The Hollywood Reporter,United States of America
時代雜誌,Time,United States of America
花花公子,Playboy,United States of America
人車誌,Car and Driver,United States of America
當今時代,In These Times,United States of America
美國退休人員協會雜誌,AARP The Magazine,United States of America
明镜,Der Spiegel,Germany
文学界,Bungakukai,Japan
告示牌,Billboard,United States of America
社会主义抵抗,Socialist Resistance,United Kingdom
GamePro,GamePro,United States of America
滾石,Rolling Stone,United States of America
十年最佳球員,Sporting News,United States of America
外交,Foreign Affairs,United States of America
连线,Wired,United States of America
华中科技大学学报 (医学版),Huazhong University of Science and Technology,People's Republic of China
新政治家,New Statesman,United Kingdom
圣经考古学评论,Biblical Archaeology Review,United States of America
今日心理學,Psychology Today,United States of America
浙江大学学术期刊,Q11148619,People's Republic of China
立體劍,Stereogum,United States of America
荷兰风格派运动,De Stijl,Netherlands
Granta文學雜誌,Granta,Spain
Chart雜誌,Chart,Canada
查理周刊,Charlie Hebdo,France
The Sneaker,The Sneaker,Japan
福布斯,Forbes,United States of America
时尚,Vogue,United States of America
Paste (雜誌),Paste,United States of America
新闻周刊,Newsweek,United States of America
外交政策,Foreign Policy,United States of America
GQ,GQ,United States of America
洛杉磯雜誌,Los Angeles,United States of America
漫畫卷,The Comics Journal,United States of America
嚮導雜誌,Wizard,United States of America
Glamour雜誌,Glamour,United States of America
娱乐周刊,Entertainment Weekly,United States of America
《美國科學家》,American Scientist,United States of America
國家評論,National Review,United States of America
本能雜誌,Instinct,United States of America
人事,Human Events,United States of America
光华报,Kwong Wah Po,Cuba
美國保守派,The American Conservative,United States of America
官方任天堂杂志,Official Nintendo Magazine,Australia
運動週報,Sports Weekly,United States of America
史密森尼 (雜誌),Smithsonian,United States of America
Comic Earth Star,Comic Earth Star,Japan
Vice,Vice,Canada
哈泼斯,Harper's Magazine,United States of America
经济学人,The Economist,United Kingdom
Future plc,Future plc,United Kingdom
PlayStation官方杂志,PlayStation: The Official Magazine,United States of America
《Niva》,Niva,Russia
党派评论,Partisan Review,United States of America
哈佛商業評論,Harvard Business Review,United States of America
Maclean’s,Maclean's,Canada
計算機世界,Computerworld,United States of America
綜藝,Variety,United States of America
快公司,Fast Company,United States of America
心理牙線,Mental floss,United States of America
Non-no,Non-no,Japan
現代電子,Modern Electrics,United States of America
Game Informer,Game Informer,United States of America
科学美国人,Scientific American,United States of America
4格Nano Ace,4-Koma Nano Ace,Japan
巴黎月刊,The Paris Review,United States of America
閣樓,Penthouse,United States of America
紐約客,The New Yorker,United States of America
啷噹!,Kerrang!,United Kingdom
柯夢波丹,Cosmopolitan,United States of America
誘惑力 (雜誌),Allure,United States of America
Inc. (雜誌),Inc.,United States of America
Pitchfork Media,Pitchfork Media,United States of America
美國消費者報導,Consumer Reports,United States of America
Story (雜誌),Story,Austria
《Aardschok》,Q301100,Netherlands
化学化工新闻,Chemical & Engineering News,United States of America
原子科學家公報,Bulletin of the Atomic Scientists,United States of America
豪言與血拳,Brave Words & Bloody Knuckles,Canada
紐約時代雜誌,The New York Times Magazine,United States of America
