label,cityLabel,countryLabel
華盛頓紀念碑,Washington Monument,United States of America
清东陵,Eastern Qing Tombs,People's Republic of China
乾陵無字碑,Q8255157,People's Republic of China
宽容纪念碑,Tolerance Monument,Israel
列宁墓,Lenin's Mausoleum,Russia
佩鲁门,Porte du Peyrou,France
克蘭芝陣亡戰士公墳,Kranji War Memorial,Singapore
奥古斯都陵墓,Mausoleum of Augustus,Italy
麦伦普塔赫石碑,Merneptah Stele,Egypt
吐虎鲁克·铁木尔汗麻扎,Tughluq Timur Mausoleum,People's Republic of China
好太王碑,Gwanggaeto Stele,People's Republic of China
阿莱曼喷泉,El Alamein Fountain,Australia
雅努斯拱門,Arch of Janus,Italy
提爾頓紀念門,Memorial Arch of Tilton,United States of America
墨爾本戰爭紀念館,Shrine of Remembrance,Australia
大禹陵,Yu the greart mausoleum,People's Republic of China
巴爾瑙爾傑米多夫柱,"Demidovsky Pillar, Barnaul",Russia
狄奥多里克陵墓,Mausoleum of Theodoric,Italy
印度门,Gateway of India,India
瑞鳳殿,Zuihōden,Japan
印度门,India Gate,India
爨龙颜碑,Q145104,People's Republic of China
檀君陵,Mausoleum of Tangun,North Korea
卡鲁索凯旋门,arc de triomphe du Carrousel,France
凯旋门 (巴塞罗那),Arc de Triomf,Spain
錦繡山太陽宮,Kumsusan Palace of the Sun,North Korea
加拉·普拉西提阿陵墓,Mausoleum of Galla Placidia,Italy
莫斯科凱旋門,Triumphal Arch of Moscow,Russia
涅磐變相碑,Q11151682,People's Republic of China
紀念門 (亨廷頓),Memorial Arch,United States of America
凯旋门,Triumphpforte,Austria
大理石拱门,Marble Arch,United Kingdom
布加勒斯特凱旋門,Arcul de Triumf Bucharest,Romania
紐波特紐斯勝利門,Newport News Victory Arch,United States of America
泰姬陵,Taj Mahal,India
門寧門,Menin Gate,Belgium
大金得胜陀颂碑,Q15127620,People's Republic of China
阿尔卡拉门,Puerta de Alcalá,Spain
俾斯麦塔,Szczecin Bismarck tower,Poland
塞爾吉烏斯凱旋門,Arch of the Sergii,Croatia
北漢山新羅真興王巡狩碑,Bukhansan Monument,South Korea
中山陵,Sun Yat-sen Mausoleum,People's Republic of China
塞维鲁凯旋门,Arch of Septimius Severus,Italy
納爾瓦凱旋門,Narva Triumphal Arch,Russia
馬其頓凱旋門,Porta Macedonia,Republic of Macedonia
阿尔勒方尖碑,Obélisque d'Arles,France
記夢碑,Dream Stele,Egypt
慈湖陵寢,Cihu Mausoleum,Taiwan
盧克索方尖碑,Luxor Obelisk,France
罗奇代尔纪念碑,Rochdale Cenotaph,United Kingdom
五月金字塔,Pirámide de Mayo,Argentina
西汉南越王博物馆,Museum of the Mausoleum of the Nanyue King,People's Republic of China
爨宝子碑,Q1142813,People's Republic of China
聖丹尼門,Porte Saint-Denis,France
高敞、和顺、江华支石墓遗址,"Gochang, Hwasun and Ganghwa Dolmen Sites",South Korea
克麗歐佩特拉方尖碑,Cleopatra's Needle,United Kingdom
安妮·弗兰克之家,Anne Frank House,Netherlands
