label,riverLabel,countryLabel
布来特峰,Breithorn,Italy
布来特峰,Breithorn,Switzerland
庫克山,Mount Cook,New Zealand
埃尔皮塔尔山,Cerro,El Salvador
钦博拉索山,Chimborazo,Ecuador
佛谷山,Bulgoksan,South Korea
仁王山,Inwangsan,South Korea
加里山,Garisan,South Korea
伊尼揚加尼山,Mount Nyangani,Zimbabwe
維佐峰,Viso,Italy
戈爾比亞山脈,Gorbea,Spain
塔乌玛塔法卡塔尼哈娜可阿乌阿乌欧塔玛提亚坡凯费努啊奇塔娜塔胡,Taumatawhakatangihangakoauauotamateapokaiwhenuakitanatahu,New Zealand
珠穆隆索峰,Chomo Lonzo,People's Republic of China
勃朗杜塔库峰,Mont Blanc du Tacul,France
大乔拉斯峰,Grandes Jorasses,France
大乔拉斯峰,Grandes Jorasses,Italy
莫希峰,Mönch,Switzerland
卡尔蒙,Calmont,Germany
埃爾吉耶斯山,Mount Erciyes,Turkey
哈伯德山,Mount Hubbard,Canada
塔拉加博達斯火山,Gunung Telagabodas,Indonesia
阿空加瓜山,Aconcagua,Argentina
泰德峰,Teide,Spain
加德山,Gadeoksan,South Korea
阿空加瓜山,Aconcagua,Chile
圣托里尼,Santorini,Greece
皮纳图博火山,Pinatubo,Philippines
于特利贝格,Üetliberg,Switzerland
哈伯德山,Mount Hubbard,United States of America
冒纳凯阿火山,Mauna Kea,United States of America
博雷島,Boreray,United Kingdom
昆圖里里山,Kunturiri (Bolivia-Chile),Chile
柴滕火山,Chaité,Chile
昆圖里里山,Kunturiri (Bolivia-Chile),Bolivia
特里格拉夫峰,Triglav,Slovenia
德馬峰,Damavand,Iran
島峰,Imja Tse,Nepal
奧拉夫峰,Olavtoppen,Norway
王座山,Königstuhl,Germany
科马佩德罗萨山,Coma Pedrosa,Andorra
罗赖马山,Mount Roraima,Venezuela
哈查庫諾科庫柳山,Jachacunocollo,Bolivia
罗赖马山,Mount Roraima,Brazil
大帕拉迪索山,Gran Paradiso,Italy
罗赖马山,Mount Roraima,Guyana
大孔班山,Grand Combin,Switzerland
大温特盖伦峰,Gross Windgällen,Switzerland
森蒂斯峰,Säntis,Switzerland
布尔根施托克,Bürgenstock,Switzerland
伊斯梅尔·索莫尼峰,Ismoil Somoni Peak,Tajikistan
埃亚菲亚德拉冰盖,Eyjafjallajökull,Iceland
云吉山,Ungilsan,South Korea
唐娜胡安娜火山,Doña Juana,Colombia
穆哈武拉火山,Mount Muhabura,Rwanda
瑙魯霍伊火山,Mount Ngauruhoe,New Zealand
費爾南迪納島,Fernandina Island,Ecuador
喀拉喀托火山,Krakatau,Indonesia
亚当峰,Sri Padaya,Sri Lanka
大格洛克納山,Grossglockner,Austria
喬戈里峰,K2,Pakistan
喬戈里峰,K2,India
比加拉什峰,Pic de Bugarach,France
