label,cityLabel,countryLabel
国宴厅,Banqueting House,United Kingdom
微縮景觀世界,Miniatur Wunderland,Germany
施韋芩根宮,Schwetzingen Castle,Germany
國立技術博物館,National Technical Museum,Czech Republic
巴黎地下墓穴,Catacombs of Paris,France
愛沙尼亞航海博物館,Estonian Maritime Museum,Estonia
爱丁堡城堡,Edinburgh Castle,United Kingdom
自然科學比利時皇家學院,Museum for Natural Sciences of Belgium,Belgium
古蘭經之屋,Beit Al Quran,Bahrain
弗洛伊德博物馆,Sigmund Freud Museum,Austria
历代大师画廊,"Old Masters Gallery, Dresden",Germany
無聲對話工作坊,Dialogue in Silence,Germany
羅馬-日耳曼博物館,Romano-Germanic Museum,Germany
自然史博物馆,Museum of Natural History,Austria
国王门,King's Gate,Russia
国立网球场现代美术馆,Galerie nationale du Jeu de Paume,France
日本科學未來館,Miraikan,Japan
应用艺术博物馆,Austrian Museum of Applied Arts,Austria
汇流博物馆,Musée des Confluences,France
修道院長宮,Abbot's Palace (Oliwa),Poland
阁楼上的吾主博物馆,Ons' Lieve Heer op Solder,Netherlands
威廉·哈克博物館,Wilhelm-Hack-Museum,Germany
布登布洛克之屋,Buddenbrookhaus,Germany
貝多芬之家,Beethoven House,Germany
柏林博物館,Berlin State Museums,Germany
考古博物馆,Musée archéologique,France
瑪斯馬克城堡,Masmak fort,Saudi Arabia
大英博物馆,British Museum,United Kingdom
德国历史博物馆,Deutsches Historisches Museum,Germany
香水博物館,Fragrance Museum,Germany
烏特勒支中央博物館,Centraal Museum,Netherlands
布達佩斯歷史博物館,Budapest History Museum,Hungary
庫斯科沃,Kuskovo,Russia
先农坛,Temple of Agriculture,People's Republic of China
圣血圣殿,Basilica of the Holy Blood,Belgium
莫伊兰德城堡,Moyland Castle,Germany
圣若望医院,Old St. John's Hospital,Belgium
博纳罗蒂之家,Casa Buonarroti,Italy
柳州博物馆,Liuzhou Museum,People's Republic of China
林登·詹森總統圖書館暨博物館,Lyndon Baines Johnson Library and Museum,United States of America
澳洲博物馆,Australian Museum,Australia
長崎歷史文化博物館,Nagasaki Museum of History and Culture,Japan
貝爾福博物館,BELvue Museum,Belgium
皇家城堡,Royal Castle,Poland
卑爾根博物館,Bergen Museum,Norway
以色列博物館,Israel Museum,Israel
維也納科技博物館,Technisches Museum Wien,Austria
法國郵政博物館,Musée de La Poste,France
萊比錫現代史博物館,Zeitgeschichtliches Forum Leipzig,Germany
人体博物馆,Corpus,Netherlands
杜塞爾多夫美術館,Kunsthalle Düsseldorf,Germany
警隊博物館,Hong Kong Police Museum,People's Republic of China
克格勃博物館,Museum of Genocide Victims,Lithuania
居里博物館,Musée Curie,France
猶太歷史博物館,Jewish Historic Museum,Netherlands
克洛斯特新堡修道院,Klosterneuburg Monastery,Austria
禾夫斯堡汽車城,Autostadt,Germany
古爾本基安美術館,Calouste Gulbenkian Museum,Portugal
国际网球名人堂,International Tennis Hall of Fame,United States of America
朗伍德府,Longwood House,"Saint Helena, Ascension and Tristan da Cunha"
霍夫堡皇宮,Hofburg Palace,Austria
克拉科夫犹太社区活动中心,Jewish Community Centre of Krakow,Poland
薩爾茨堡現代藝術美術館,Museum der Moderne Salzburg,Austria
小泉八雲紀念館,Lafcadio Hearn Memorial Museum,Japan
恐怖之屋,House of Terror,Hungary
尼古拉·特斯拉博物館,Nikola Tesla Museum,Serbia
黑暗中對話體驗館,Dialogue in the Dark,Germany
奥地利国家图书馆,Austrian National Library,Austria
淚宮,Tränenpalast,Germany
亞洲公會,The Asiatic Society,India
圣保罗人博物馆,Museu Paulista,Brazil
瓦尔哈拉神殿,Walhalla memorial,Germany
聖天使城堡,Castel Sant'Angelo,Italy
帕尔马国家美术馆,Galleria nazionale di Parma,Italy
圖根哈特別墅,Villa Tugendhat,Czech Republic
莱顿美国清教徒前辈移民博物馆,Leiden American Pilgrim Museum,Netherlands
不萊梅海外博物館,Übersee-Museum Bremen,Germany
