label,cityLabel,city
列奥纳多·达·芬奇,Leonardo da Vinci,http://www.wikidata.org/entity/Q762
詹妮特·麥柯迪,Jannette MaCurdy,http://www.wikidata.org/entity/Q4473
恩尼奥·莫里科内,Ennio Morricone,http://www.wikidata.org/entity/Q23848
瑞吉·葛文,Ricky Gervais,http://www.wikidata.org/entity/Q23517
蒂姆·明钦,Tim Minchin,http://www.wikidata.org/entity/Q23527
贾斯汀·比伯,Justin Bieber,http://www.wikidata.org/entity/Q34086
佩蒂·拉貝爾,Patti LaBelle,http://www.wikidata.org/entity/Q31013
席德·维瑟斯,Sid Vicious,http://www.wikidata.org/entity/Q47878
丹尼爾·盧皮,Daniele Luppi,http://www.wikidata.org/entity/Q25178
弗雷德·阿米森,Fred Armisen,http://www.wikidata.org/entity/Q14535
路易莎·索布拉尔,Luísa Sobral,http://www.wikidata.org/entity/Q24995
碧昂絲·諾利斯,Beyoncé,http://www.wikidata.org/entity/Q36153
休·劳瑞,Hugh Laurie,http://www.wikidata.org/entity/Q49017
安德烈·波伽利,Andrea Bocelli,http://www.wikidata.org/entity/Q42402
威斯·波爾蘭,Wes Borland,http://www.wikidata.org/entity/Q44721
特雷·帕克,Trey Parker,http://www.wikidata.org/entity/Q44414
詹妮娜·加萬卡,Janina Gavankar,http://www.wikidata.org/entity/Q39986
费利克斯·门德尔松·巴托尔迪,Felix Mendelssohn Bartholdy,http://www.wikidata.org/entity/Q46096
帕維爾·庫季茲,Paweł Kukiz,http://www.wikidata.org/entity/Q55390
克里斯·伍德,Chris Wood,http://www.wikidata.org/entity/Q26099
黛咪·洛瓦特,Demi Lovato,http://www.wikidata.org/entity/Q41173
克里斯多夫·施耐德,Christoph Schneider,http://www.wikidata.org/entity/Q57168
大卫·林奇,David Lynch,http://www.wikidata.org/entity/Q2071
迈克尔·杰克逊,Michael Jackson,http://www.wikidata.org/entity/Q2831
克莱夫·邓恩,Clive Dunn,http://www.wikidata.org/entity/Q46053
基努·里维斯,Keanu Reeves,http://www.wikidata.org/entity/Q43416
約翰傳奇,John Legend,http://www.wikidata.org/entity/Q44857
傑奇·傑克森,Jackie Jackson,http://www.wikidata.org/entity/Q44855
姬蒂·佩芮,Katy Perry,http://www.wikidata.org/entity/Q42493
赫尔曼·舍尔兴,Hermann Scherchen,http://www.wikidata.org/entity/Q60174
王子,Prince,http://www.wikidata.org/entity/Q7542
吉姆·莫里森,Jim Morrison,http://www.wikidata.org/entity/Q44301
本傑明·富蘭克林,Benjamin Franklin,http://www.wikidata.org/entity/Q34969
伊凡·李布洛夫,Ivan Rebroff,http://www.wikidata.org/entity/Q57396
傑夫·丹尼爾,Jeff Daniels,http://www.wikidata.org/entity/Q53680
保羅·欣德米特,Paul Hindemith,http://www.wikidata.org/entity/Q57244
特倫特·洛特,Trent Lott,http://www.wikidata.org/entity/Q50608
薩謬埃爾·威特沃,Sam Witwer,http://www.wikidata.org/entity/Q18918
山姆·瑞佛斯,Sam Rivers,http://www.wikidata.org/entity/Q44841
弗拉基米尔·维索茨基,Vladimir Vysotsky,http://www.wikidata.org/entity/Q512
