label,riverLabel,countryLabel
韋特里諾市,Vetrino Municipality,Bulgaria
伊瓦諾沃市,Ivanovo Municipality,Bulgaria
扎韋特市,Zavet Municipality,Bulgaria
洛茲尼察市,Loznitsa Municipality,Bulgaria
萊特尼察市,Letnitsa Municipality,Bulgaria
上奧里亞霍維察市,Gorna Oryahovitsa Municipality,Bulgaria
圖特拉坎市,Tutrakan Municipality,Bulgaria
比亞拉市,Byala Municipality,Bulgaria
科泰爾市,Kotel Municipality,Bulgaria
埃倫娜市,Elena Municipality,Bulgaria
桑丹斯基市,Sandanski Municipality,Bulgaria
佩特里奇市,Petrich Municipality,Bulgaria
奧里亞霍沃市,Oryahovo Municipality,Bulgaria
普列文市,Pleven Municipality,Bulgaria
奇斯托波爾州,Q4516514,Soviet Union
阿克薩科沃市,Aksakovo Municipality,Bulgaria
阿夫倫市,Avren Municipality,Bulgaria
巴尼特市,Banite Municipality,Bulgaria
安通市,Anton Municipality,Bulgaria
索佐波爾市,Sozopol Municipality,Bulgaria
博博舍沃市,Boboshevo Municipality,Bulgaria
斯利夫尼察市,Slivnitsa Municipality,Bulgaria
西美昂諾夫格勒市,Simeonovgrad Municipality,Bulgaria
日托米爾州,Zhytomyr Oblast,Ukraine
季米特洛夫格勒市,Dimitrovgrad Municipality,Bulgaria
代夫尼亞市,Devnya Municipality,Bulgaria
克內扎市,Knezha Municipality,Bulgaria
哈吉迪莫沃市,Hadzhidimovo Municipality,Bulgaria
多斯帕特市,Dospat Municipality,Bulgaria
亞布拉尼察市,Yablanitsa Municipality,Bulgaria
波爾迪姆市,Pordim Municipality,Bulgaria
迪莫沃市,Dimovo Municipality,Bulgaria
馬克雷什市,Makresh Municipality,Bulgaria
魯任齊市,Ruzhintsi Municipality,Bulgaria
韋托沃市,Vetovo Municipality,Bulgaria
庫布拉特市,Kubrat Municipality,Bulgaria
阿普里爾齊市,Apriltsi Municipality,Bulgaria
伊尔库茨克州,Irkutsk Oblast,Russia
科斯特罗马州,Kostroma Oblast,Russia
諾夫哥羅德州,Novgorod Oblast,Russia
雅羅斯拉夫爾州,Yaroslavl Oblast,Russia
下诺夫哥罗德州,Nizhny Novgorod Oblast,Russia
列宁格勒州,Leningrad Oblast,Russia
白斯拉蒂納市,Byala Slatina Municipality,Bulgaria
薩莫科夫市,Samokov Municipality,Bulgaria
代溫市,Devin Municipality,Bulgaria
博茹里什泰市,Bozhurishte Municipality,Bulgaria
科麦罗沃州,Kemerovo Oblast,Russia
阿穆尔州,Amur Oblast,Russia
克魯沙里市,Krushari Municipality,Bulgaria
列夫斯基市,Levski Municipality,Bulgaria
戈采代爾切夫市,Gotse Delchev Municipality,Bulgaria
烏格爾欽市,Ugarchin Municipality,Bulgaria
卡爾洛沃市,Karlovo Municipality,Bulgaria
普拉韋茨市,Pravets Municipality,Bulgaria
