label,cityLabel,countryLabel
阿根廷国会宫,Congressional Palace of Argentina,Argentina
溫德拉敏宮,Ca' Vendramin Calergi,Italy
瑪麗亞宮,Mariyinsky Palace,Ukraine
伊斯特别墅,Villa d'Este,Italy
哈拉赫宫,Palais Harrach,Austria
圣费利切宫,Palazzo San Felice,Italy
巴勒莫人宫,Palazzo del Panormita,Italy
多爾瑪巴赫切宮,Dolmabahçe Palace,Turkey
涅斯维日城堡,Nesvizh Castle,Belarus
克拉姆-葛拉斯宫,Clam-Gallas Palace,Czech Republic
卡塞塔王宮,Palace of Caserta,Italy
塞琪琳霍夫宫,Cecilienhof,Germany
貝爾維尤宮,Bellevue Palace,Germany
菲斯提蒂茲宮,Festetics Palace,Hungary
維拉諾宮,Wilanów Palace,Poland
大明宫,Daming Palace,People's Republic of China
摩德纳宫,Palais Modena,Austria
大公宮,Grand Ducal Palace,Luxembourg
國家宮,National Palace,Haiti
阿喀琉斯宫,Achilleion,Greece
四十柱宮,Chehel Sotoun,Iran
烏爾比諾總督府,Palazzo Ducale,Italy
京都御所,Kyoto Imperial Palace,Japan
佩萨罗宫,Ca' Pesaro,Italy
豪斯登堡宮,Huis ten Bosch,Netherlands
布魯塞爾王宮,Royal Palace of Brussels,Belgium
瓦津基宮,Łazienki Palace,Poland
羅宮,Het Loo Palace,Netherlands
贝伦宫,Belém Palace,Portugal
大教长宫,Palace of the Grand Master of the Knights of Rhodes,Greece
斯杜皮尼吉行宮,Palazzina di caccia of Stupinigi,Italy
新天鹅堡,Neuschwanstein Castle,Germany
斯特罗齐宫,Palazzo Strozzi,Italy
辛特拉宫,Sintra National Palace,Portugal
戴克里先宫,Diocletian's Palace,Croatia
赫内拉利费宫,Generalife,Spain
彼得霍夫宮,Peterhof Palace,Russia
麻坦切里宫,Mattancherry Palace,India
达万扎蒂宫,Palazzo Davanzati,Italy
执政官宫,Q964943,Italy
南京中国近代史遗址博物馆,Presidential Palace,People's Republic of China
貝爾福博物館,BELvue Museum,Belgium
帕拉迪奧巴西利卡,Basilica Palladiana,Italy
皇家城堡,Royal Castle,Poland
世袭王子宫,Arvfurstens palats,Sweden
提耶內宮,Palazzo Thiene,Italy
阿兰布拉宫,Alhambra,Spain
基佑宮,Kew Palace,United Kingdom
列支敦士登城市宫殿,Stadtpalais Liechtenstein,Austria
诺特基兴宫,Schloss Nordkirchen,Germany
马林斯基宫,Mariinsky Palace,Russia
巴甫洛夫斯克宮,Pavlovsk Palace,Russia
威廉宫,Wilhelm Palais,Germany
斯德哥爾摩王宮,Stockholm Palace,Sweden
懷特霍爾宮,Palace of Whitehall,United Kingdom
斯齐法诺亚宫,Palazzo Schifanoia,Italy
克里斯蒂安堡宫,Christiansborg Palace,Denmark
洛美里尼-多里亚·兰巴宫,Q3890351,Italy
加特契納宮,Gatchina Palace,Russia
金邊王宮,Royal Palace,Cambodia
霍夫堡皇宮,Hofburg Palace,Austria
弗羅茨瓦夫皇宮,Wrocław Palace,Poland
莫拉尔-克拉里宫,Palais Mollard-Clary,Austria
溫莎城堡,Windsor Castle,United Kingdom
科布倫茨選帝侯宮,Electoral Palace,Germany
莱茵宫,Palais du Rhin,France
美景宮,Belweder,Poland
美第奇-里卡迪宫,Palazzo Medici Riccardi,Italy
琥珀堡,Amer Fort,India
聖克盧城堡,Château de Saint-Cloud,France
大理石宫,Marble Palace,Russia
埃弗吕西宫,Palais Ephrussi,Austria
克里姆林宮元老院,Kremlin Senate,Russia
金斯基宫,Kinsky Palace,Czech Republic
白金汉宫,Buckingham Palace,United Kingdom
克里姆林宮兵工廠,Kremlin Arsenal,Russia
新宮,Neues Palais in Potsdam,Germany
佛斯卡利大學,Ca' Foscari,Italy
波茨坦城市宮,City Palace,Germany
