label,cityLabel,countryLabel
古伊那爾多公園,Parc del Guinardó,Spain
后湾沼泽,The Fens,United States of America
公路花園,Q10893013,Taiwan
井之頭恩賜公園,Inokashira Park,Japan
丸龜城,Marugame Castle,Japan
悉尼禁苑,The Domain,Australia
巴尔波亚公园,Balboa Park,United States of America
全俄展览中心,Exhibition of achievements of national economy,Russia
万博纪念公园,Expo '70 Commemorative Park,Japan
肌肉海滩,Muscle Beach,United States of America
格里斐斯公園,Griffith Park,United States of America
河濱公園,Riverside Park,United States of America
寶池公園,Q10956279,Japan
山下公園,Yamashita Park,Japan
二二八和平紀念公園,228 Peace Memorial Park,Taiwan
伊比拉布埃拉公园,Ibirapuera Park,Brazil
綠堡公園,Grüneburgpark,Germany
瑞鳳殿,Zuihōden,Japan
偕樂園,Kairaku-en,Japan
秋瀨公園,Akigase Park,Japan
林肯公園 (芝加哥),Lincoln Park,United States of America
喷泉广场 (辛辛那提),"Fountain Square, Cincinnati",United States of America
基輔水公園,Hidropark,Ukraine
多摩動物公園,Tama Zoological Park,Japan
坎布爾之森,Bois de la Cambre,Belgium
阿邁厄海灘公園,Amager Strandpark,Denmark
香山公园,Fragrant Hills,People's Republic of China
大濠公園,Ōhori Park,Japan
林肯公園 (舊金山),Lincoln Park,United States of America
弗洛伊德·班尼特機場,Floyd Bennett Field,United States of America
新宿御苑,Shinjuku Gyoen,Japan
宋王臺,Sung Wong Toi,People's Republic of China
高松城,Takamatsu Castle,Japan
Kooipark,Kooipark,Netherlands
英国花园,Englischer Garten,Germany
奧林匹克公園,Queen Elizabeth Olympic Park,United Kingdom
格林威治公園,Greenwich Park,United Kingdom
芬斯伯里公園,Finsbury Park,United Kingdom
徐福公園,Q11070871,Japan
飛鳥山公園,Asukayama Park,Japan
漢堡城市公園,Hamburg Stadtpark,Germany
後樂園,Kōraku-en,Japan
日比谷公園,Hibiya Park,Japan
伯尔尼玫瑰园,Rose Garden Bern,Switzerland
識名園,Shikina-en,Japan
喜士定馬場,Hastings Racecourse,Canada
歐斯特萊安藍格公園,Østre Anlæg,Denmark
無憂宮公園,Sanssouci Park,Germany
威斯巴登疗养公园,Kurpark,United Kingdom
王宫花园,Hofgarten,Germany
千禧公園,Millennium Park,United States of America
察里津公園,Tsaritsyno Park,Russia
腓特烈堡公園,Frederiksberg Park,Denmark
彰化景觀公園,Q11070031,Taiwan
氹仔市政花園,Q11132887,People's Republic of China
播磨中部丘陵縣立自然公園,Harima Chūbu Kyūryō Prefectural Natural Park,Japan
特倫特公園,Trent Park,United Kingdom
古爾哈尼公園,Gülhane Park,Turkey
林肯公园,Lincoln Park,United States of America
薩克森花園,Saxon Garden,Poland
中央公園,Central Park,Finland
葛西海濱公園,Kasai Rinkai Park,Japan
兼六園,Kenroku-en,Japan
里士满公园,Richmond Park,United Kingdom
伊洱榭公园,Irchelpark,Switzerland
普蘭提公園,Planty Park,Poland
森林公園,Forest Park,United States of America
伊利沙伯王后公園,"Queen Elizabeth Park, British Columbia",Canada
黎剎公園,Rizal Park,Philippines
中南海,Zhongnanhai,People's Republic of China
爱德华七世公园,Eduardo VII Park,Portugal
駒澤奧林匹克公園,Komazawa Olympic Park,Japan
吉野里遺址,Yoshinogari site,Japan
独立公园,Independence Park,Israel
布萊恩特公園,Bryant Park,United States of America
斯卡伊茨維斯基公園,Skaryszewski Park,Poland
漢普斯特德荒野,Hampstead Heath,United Kingdom
法拉盛草原可乐娜公园,Flushing Meadows–Corona Park,United States of America
Huijgenspark,Huijgenspark,Netherlands
北之丸公園,Kitanomaru Kōen,Japan
摩尔人花园,Campo del Moro,Spain
凡尔赛花园,Park of Versailles,France
21世紀之森與廣場,Forest and Park for the 21st Century,Japan
國營常陸海濱公園,Hitachi Seaside Park,Japan
梵蒂岡花園,Gardens of Vatican City,Vatican City
兵庫縣立明石公園,Akashi Park Stadium,Japan
巴特錫公園,Battersea Park,United Kingdom
瓦斯坎納中心,Wascana Centre,Canada
田园之家,Casa de Campo,Spain
肯辛頓公園 (本那比),Kensington Park,Canada
金头公园,parc de la Tête d'Or,France
圓山公園,Maruyama Park,Japan
舊金山麗景公園,Buena Vista Park,United States of America
藝園,Garden of the Arts,People's Republic of China
普拉特公园,Prater,Austria
王子大街花園,Princes Street Gardens,United Kingdom
海恩豪森王家花园,Herrenhausen Gardens,Germany
馮德爾公園,Vondelpark,Netherlands
金门公园,Golden Gate Park,United States of America
家中,Kyu-Furukawa Gardens,Japan
广岛和平纪念公园,Hiroshima Peace Memorial Park,Japan
碧山公園,Bishan-Ang Mo Kio Park,Singapore
丽池公园,Buen Retiro park,Spain
城堡山,Schlossberg,Austria
是樂園,Lumphini Park,Thailand
什刹海,Shichahai,People's Republic of China
縮景園,Shukkei-en,Japan
惠山道立自然公園,Esan Prefectural Natural Park,Japan
大通公園,Odori Park,Japan
洛根圆环,Logan Circle,United States of America
美麗印度尼西亞紀念公園,Taman Mini Indonesia Indah,Indonesia
卡萊梅格丹公園,Kalemegdan Park,Serbia
莫斯科森林公园,Bitsa Park,Russia
奈良公園,Nara Park,Japan
芳草地花園,Yerba Buena Gardens,United States of America
玛丽亚路易莎公园,Maria Luisa Park,Spain
桂尔公园,Park Güell,Spain
英伍德山公園,Inwood Hill Park,United States of America
莫埃來沼公園,Moerenuma Park,Japan
華盛頓廣場公園,Washington Square Park,United States of America
小蒂尔加滕公园,Kleiner Tiergarten,Germany
本那比湖區公園,Burnaby Lake Regional Park,Canada
夢幻樂園,Neverland Ranch valley,United States of America
夏园,Summer Garden,Russia
代代木公园,Yoyogi Park,Japan
大泉公園,Big Spring Park,United States of America
博雷利公園,Parc Borély,France
奧斯特公園,Ørstedsparken,Denmark
赫拉斯特勞公園,Herăstrău Park,Romania
小石川后乐园,Koishikawa Kōrakuen Garden,Japan
