label,cityLabel,countryLabel
古比奥主教座堂,Q594678,Italy
曼托瓦大教堂,Mantua Cathedral,Italy
马格德堡主教座堂,Cathedral of Magdeburg,Germany
锡永圣母座堂,Sion Cathedral,Switzerland
亞歷山大涅夫斯基大教堂,"Alexander Nevsky Cathedral, Novosibirsk",Russia
加的斯主教座堂,Cádiz Cathedral,Spain
墨西哥城主教座堂,Mexico City Metropolitan Cathedral,Mexico
札格瑞布大教堂,Zagreb Cathedral,Croatia
天使长大教堂,Cathedral of the Archangel,Russia
埃夫里主教座堂,Évry Cathedral,France
皮内罗洛圣多拿狄主教座堂,Cathedral San Donato,Italy
圣友尔苏士主教座堂,Solothurn Cathedral,Switzerland
洛桑大教堂,Lausanne Cathedral,Switzerland
波德里查基督復活主教座堂,Cathedral of the Resurrection of Christ,Montenegro
扎達爾主教座堂,Zadar Cathedral,Croatia
里加圣雅各伯主教座堂,"St. James's Cathedral, Riga",Latvia
聖基爾斯主教座堂,Graz Cathedral,Austria
萨尔茨堡主教座堂,Salzburg Cathedral,Austria
圣奥尔本斯座堂,St Albans Cathedral,United Kingdom
聖救主主教座堂,Fulda Cathedral,Germany
都灵主教座堂,Turin Cathedral,Italy
布宜诺斯艾利斯主教座堂,Buenos Aires Metropolitan Cathedral,Argentina
聖母無原罪主教座堂 (莫斯科),Cathedral of the Immaculate Conception,Russia
圣萨瓦寺,Cathedral of Saint Sava,Serbia
布林迪西主教座堂,Brindisi cathedral,Italy
聖布里厄主教座堂,Saint-Brieuc Cathedral,France
费拉拉主教座堂,Ferrara Cathedral,Italy
班贝格主教座堂,Bamberg Cathedral,Germany
圣弥额尔圣古都勒主教座堂,St. Michael and St. Gudula Cathedral,Belgium
聖梅爾主教座堂,"St Mel's cathedral, Longford",Ireland
紐波特座堂,Newport Cathedral,United Kingdom
圣雅各伯圣殿总主教座堂,Cathedral Basilica of St. James the Apostle,Poland
发艳主教座堂,Phat Diem Cathedral,Vietnam
聖母安息主教座堂,"Dormition Cathedral, Vladimir",Russia
因斯布鲁克主教座堂,Innsbruck Cathedral,Austria
圣斯德望主教座堂,"St. Stephan's Cathedral, Passau",Germany
三一大教堂,Trinity Cathedral,Russia
伯明翰座堂,St Philip's Cathedral,United Kingdom
聖約翰大教堂,St John's Cathedral,Ireland
巴塞罗那主教座堂,Cathedral of the Holy Cross and Saint Eulalia,Spain
马萨主教座堂,Massa Cathedral,Italy
圣雅各伯主教座堂,Šibenik Cathedral,Croatia
特里爾主教座堂,Cathedral of Trier,Germany
聖尼各老主教座堂,Noto Cathedral,Italy
皮拉尔圣母圣殿主教座堂,Basilica of Our Lady of the Pillar,Spain
诺里奇座堂,Norwich Cathedral,United Kingdom
阿穆德納聖母主教座堂,Almudena Cathedral,Spain
乌普萨拉主教座堂,Uppsala Cathedral,Sweden
蘭達夫座堂,Llandaff Cathedral,United Kingdom
聖卡尼斯座堂,St Canice's Cathedral,Ireland
摩德纳主教座堂,Modena Cathedral,Italy
聖伯多祿聖保祿主教座堂,Klagenfurt Cathedral,Austria
戈里齐亚主教座堂,Q768130,Italy
马尼拉圣母无原罪圣殿主教座堂,Manila Cathedral,Philippines
邁森主教座堂,Meissen Cathedral,Germany
塞格德還願教堂,Votive Church of Szeged,Hungary
圣雅各座堂 (多伦多),Cathedral Church of St. James,Canada
松博特海伊主教座堂,Cathedral of the Visitation,Hungary
圣索菲亚大教堂,Saint Sophia Cathedral,Ukraine
索爾茲伯里大教堂,Salisbury Cathedral,United Kingdom
圣德望主教座堂,"Cathedral of St Stephen, Brisbane",Australia
卑爾根主教座堂,Bergen Cathedral,Norway
弗罗茨瓦夫主教座堂,Wrocław Cathedral,Poland
聖索菲亞教堂 (諾夫哥羅德),Saint Sophia Cathedral,Russia
黑教堂,Biserica Neagră,Romania
帕德伯恩主教座堂,Paderborn Cathedral,Germany
波熱加主教座堂,Požega Cathedral,Croatia
多爾諾克大教堂,Dornoch Cathedral,United Kingdom
科托爾主教座堂,Kotor Cathedral,Montenegro
科英布拉新主教座堂,New Cathedral of Coimbra,Portugal
圣名主教座堂,Cathedral of the Holy Name,India
雅典大都會教堂,Metropolitan Cathedral of Athens,Greece
美因茨主教座堂,Mainz Cathedral,Germany
埃武拉主教座堂,Cathedral of Évora,Portugal
圣彼得大教堂,St. Pierre Cathedral,Switzerland
紐約聖約翰神明大教堂,Cathedral of Saint John the Divine,United States of America
維斯比主教座堂,Visby Cathedral,Sweden
抹大拉的馬利亞主教座堂,Cathedral of St. Mary Magdalene,Poland
华盛顿国家座堂,Washington National Cathedral,United States of America
潘普洛纳主教座堂,Pamplona Cathedral,Spain
巴斯特尔瓜达露佩圣母圣殿主教座堂,Basse-Terre Cathedral,France
艾斯特根大殿,Esztergom Basilica,Hungary
克雷莫纳主教座堂,Cremona Cathedral,Italy
聖瑪麗主教座堂,Cathedral Church of St Marie,United Kingdom
聖馬爾定主教座堂,Eisenstadt Cathedral,Austria
菲耶索莱圣罗穆鲁斯主教座堂,Fiesole Cathedral,Italy
塔拉哥納主教座堂,Tarragona Cathedral,Spain
圣母主教座堂,Tournai Cathedral,Belgium
克萊蒙費朗主教座堂,Clermont-Ferrand Cathedral,France
伦敦圣乔治主教座堂,St George's Cathedral,United Kingdom
摩加迪沙主教座堂,Mogadishu Cathedral,Somalia
马萨马里蒂马主教座堂,Massa Marittima Cathedral,Italy
圣母主教座堂,"St Mary's Cathedral, Sydney",Australia
格洛斯特大教堂,Gloucester Cathedral,United Kingdom
不倫瑞克大教堂,Brunswick Cathedral,Germany
曼彻斯特座堂,Manchester Cathedral,United Kingdom
