label,cityLabel,city
马克尔,Aemilius Macer,http://www.wikidata.org/entity/Q8797
海纳·穆勒,Heiner Müller,http://www.wikidata.org/entity/Q57426
夏尔·波德莱尔,Charles Baudelaire,http://www.wikidata.org/entity/Q501
关汉卿,Guan Hanqing,http://www.wikidata.org/entity/Q28777
米洛斯·希爾加斯基,Miloš Crnjanski,http://www.wikidata.org/entity/Q31215
约翰·阿什伯里,John Ashbery,http://www.wikidata.org/entity/Q29418
豪尔赫·路易斯·博尔赫斯,Jorge Luis Borges,http://www.wikidata.org/entity/Q909
路易·德賈梅士,Luís de Camões,http://www.wikidata.org/entity/Q590
赛日·甘斯布,Serge Gainsbourg,http://www.wikidata.org/entity/Q1698
鮑里斯·帕斯捷爾納克,Boris Pasternak,http://www.wikidata.org/entity/Q41223
卓斯坦·查拉,Tristan Tzara,http://www.wikidata.org/entity/Q16409
唐德宗,Emperor Dezong of Tang,http://www.wikidata.org/entity/Q9755
愛達·勒芙蕾絲,Ada Lovelace,http://www.wikidata.org/entity/Q7259
多丽丝·莱辛,Doris Lessing,http://www.wikidata.org/entity/Q40874
威廉·巴特勒·叶芝,William Butler Yeats,http://www.wikidata.org/entity/Q40213
朴景利,Park Kyung-ni,http://www.wikidata.org/entity/Q39963
渥雷·索因卡,Wole Soyinka,http://www.wikidata.org/entity/Q41488
米哈伊爾·亞歷山大羅維奇·肖洛霍夫,Michail Sholokhov,http://www.wikidata.org/entity/Q42398
保罗·毛杭,Paul Morand,http://www.wikidata.org/entity/Q272
阿蒂尔·兰波,Arthur Rimbaud,http://www.wikidata.org/entity/Q493
鲍勃·迪伦,Bob Dylan,http://www.wikidata.org/entity/Q392
维永,François Villon,http://www.wikidata.org/entity/Q849
杨卡·库巴拉,Yanka Kupala,http://www.wikidata.org/entity/Q377
馬拉美,Stéphane Mallarmé,http://www.wikidata.org/entity/Q767
克里斯托弗·馬洛,Christopher Marlowe,http://www.wikidata.org/entity/Q28975
