label,riverLabel,countryLabel
索索貢省,Sorsogon,Philippines
滨海省,Coast Province,Kenya
布拉干省,Bulacan,Philippines
阿克兰省,Aklan,Philippines
西部省,Western Province,Kenya
苏佩尔加山,Superga,Italy
比利兰省,Biliran,Philippines
瑪雅貝克省,Mayabeque Province,Cuba
阿爾特米薩省,Artemisa Province,Cuba
盧森堡省,Luxembourg,Belgium
马坦萨斯省,Matanzas Province,Cuba
甘烹碧府,Kamphaeng Phet,Thailand
春蓬府,Chumphon,Thailand
安特衛普省,Antwerp,Belgium
巴西兰省,Basilan,Philippines
瓦隆-布拉班特省,Walloon Brabant,Belgium
阿布拉省,Abra,Philippines
中爪哇省,Central Java Province,Indonesia
南苏门答腊省,South Sumatra,Indonesia
哥伦打洛省,Gorontalo Province,Indonesia
巴布亚省,Papua Province,Indonesia
厄德尔省,Iğdır Province,Turkey
阿尔特温省,Artvin Province,Turkey
阿德亚曼省,Adıyaman Province,Turkey
阿达纳省,Adana Province,Turkey
西弗兰德省,West Flanders,Belgium
上艾瑟尔省,Overijssel,Netherlands
海尔德兰省,Gelderland,Netherlands
三描礼士省,Zambales,Philippines
佛丕府,Phetchaburi,Thailand
南伊羅戈省,Ilocos Sur,Philippines
南苏里高省,Surigao del Sur,Philippines
帕府,Phrae,Thailand
塔威塔威省,Tawi-Tawi,Philippines
昆卡省,Cuenca Province,Spain
比提尼亞,Bithynia,ancient Rome
万丹省,Banten Province,Indonesia
中加里曼丹省,Kalimantan Tengah,Indonesia
东南苏拉威西省,Southeast Sulawesi Province,Indonesia
北苏拉威西省,North Sulawesi Province,Indonesia
北马鲁古省,North Maluku Province,Indonesia
南加里曼丹省,Kalimantan Selatan,Indonesia
北荷兰省,North Holland,Netherlands
呵叻府,Nakhon Ratchasima,Thailand
素攀武里府,Suphanburi,Thailand
布尔杜尔省,Burdur Province,Turkey
科尼亚省,Konya Province,Turkey
阿尔达汉省,Ardahan Province,Turkey
日惹特区,Special Region of Yogyakarta,Indonesia
亞齊,Aceh,Indonesia
凱恩州,Ayn,Somalia
蘇丹庫達拉省,Sultan Kudarat,Philippines
直隶,Zhili,Republic of China (1912–49)
恰纳卡莱省,Çanakkale Province,Turkey
阿爾瓦塞特省,Albacete Province,Spain
北苏门答腊省,North Sumatra Province,Indonesia
邦加-勿里洞省,Bangka Belitung Islands,Indonesia
西巴布亞省,West Papua Province,Indonesia
奥尔金省,Holguín Province,Cuba
博卢省,Bolu Province,Turkey
巴勒克埃西尔省,Balıkesir Province,Turkey
陶公府,Narathiwat,Thailand
三寶顏錫布格省,Zamboanga Sibugay,Philippines
丹轆省,Tarlac,Philippines
北苏里高省,Surigao del Norte,Philippines
南萊特省,Southern Leyte,Philippines
北三寶顏省,Zamboanga del Norte,Philippines
南三寶顏省,Zamboanga del Sur,Philippines
蘇祿省,Sulu,Philippines
埃迪尔内省,Edirne Province,Turkey
阿克萨赖省,Aksaray Province,Turkey
廖内群岛省,Kepulauan Riau,Indonesia
阿爾扎赫,Artsakh,Kingdom of Armenia
圣斯皮里图斯省,Sancti Spíritus Province,Cuba
比亚克拉拉省,Villa Clara Province,Cuba
卡尔斯省,Kars Province,Turkey
巴特曼省,Batman Province,Turkey
比特利斯省,Bitlis Province,Turkey
约兹加特省,Yozgat Province,Turkey
萨卡里亚省,Sakarya Province,Turkey
东弗兰德省,East Flanders,Belgium
北布拉班特省,North Brabant,Netherlands
中苏拉威西省,Central Sulawesi Province,Indonesia
北加里曼丹省,North Kalimantan,Indonesia
占碑省,Jambi Province,Indonesia
廖內省,Riau Province,Indonesia
楠榜省,Lampung Province,Indonesia
西努沙登加拉省,West Nusa Tenggara,Indonesia
雅加达,Jakarta,Indonesia
班武里府,Prachuap Khiri Khan,Thailand
安塔利亚省,Antalya Province,Turkey
阿菲永卡拉希萨尔省,Afyonkarahisar Province,Turkey
西加里曼丹省,Kalimantan Barat,Indonesia
裂谷省,Rift Valley Province,Kenya
列日省,Liège,Belgium
阿尔拜省,Albay,Philippines
那慕爾省,Namur,Belgium
泽兰省,Zeeland,Netherlands
俾路支斯坦省,Baluchistan,Pakistan
猜也奔府,Chaiyaphum,Thailand
南荷蘭省,South Holland,Netherlands
南哥打巴托省,South Cotabato,Philippines
程逸府,Uttaradit,Thailand
湖广,Huguang Province,People's Republic of China
卡加延省,Cagayan,Philippines
甲米府,Krabi,Thailand
代尼兹利省,Denizli Province,Turkey
凡城省,Van Province,Turkey
哈塔伊省,Hatay Province,Turkey
宾格尔省,Bingöl Province,Turkey
科贾埃利省,Kocaeli Province,Turkey
阿勒省,Ağrı Province,Turkey
迪亚巴克尔省,Diyarbakır Province,Turkey
阿马西亚省,Amasya Province,Turkey
德伦特省,Drenthe,Netherlands
廊磨喃蒲府,Nong Bua Lam Phu,Thailand
錫基霍爾省,Siquijor,Philippines
布尔萨省,Bursa Province,Turkey
比莱吉克省,Bilecik Province,Turkey
弗拉芒-布拉班特省,Flemish Brabant,Belgium
弗莱福兰省,Flevoland,Netherlands
乌得勒支省,Utrecht,Netherlands
弗里斯兰省,Friesland,Netherlands
尼扬扎省,Nyanza Province,Kenya
关塔那摩省,Guantánamo Province,Cuba
拉斯图纳斯省,Las Tunas Province,Cuba
格拉玛省,Granma Province,Cuba
西恩富戈斯省,Cienfuegos Province,Cuba
林堡省,Limburg,Belgium
奥罗拉省,Aurora,Philippines
黄金海岸,Costa Daurada,Spain
攀牙府,Phang Nga,Thailand
湄宏順府,Mae Hong Son,Thailand
拉里奥哈,La Rioja,Spain
赫羅納省,Girona Province,Spain
东爪哇省,East Java,Indonesia
南苏拉威西省,South Sulawesi,Indonesia
明古魯省,Bengkulu Province,Indonesia
東努沙登加拉省,East Nusa Tenggara Province,Indonesia
東加里曼丹省,Kalimantan Timur,Indonesia
西爪哇省,West Java Province,Indonesia
西苏拉威西省,West Sulawesi,Indonesia
西苏门答腊省,West Sumatra,Indonesia
马鲁古省,Maluku Province,Indonesia
埃諾省,Hainaut,Belgium
格罗宁根省,Groningen,Netherlands
艾登省,Aydın Province,Turkey
楠府,Nan,Thailand
烏泰他尼府,Uthai Thani,Thailand
哈卡里省,Hakkâri Province,Turkey
諾曼底,Normandy,France
諾曼底,Normandy,Guernsey
莱里达省,Lleida Province,Spain
諾曼底,Normandy,Jersey
八打雁省,Batangas,Philippines
北甘馬粦省,Camarines Norte,Philippines
南甘馬粦省,Camarines Sur,Philippines
北拉瑙省,Lanao del Norte,Philippines
北薩馬省,Northern Samar,Philippines
吉馬拉斯省,Guimaras,Philippines
奎松省,Quezon,Philippines
布基农省,Bukidnon,Philippines
新比斯開省,Nueva Vizcaya,Philippines
西內格羅省,Negros Occidental,Philippines
阿巴尧省,Apayao,Philippines
邦阿西楠省,Pangasinan,Philippines
高山省,Mountain Province,Philippines
黎剎省,Rizal,Philippines
北欖府,Samut Prakan,Thailand
北伊羅戈省,Ilocos Norte,Philippines
艾因迪夫拉省,Aïn Defla Province,Algeria
巴丹群島省,Batanes,Philippines
西達沃省,Davao Occidental,Philippines
內爾徹,Närke,Sweden
哥打巴托省,Cotabato,Philippines
聯合省,La Union,Philippines
克尔克拉雷利省,Kırklareli Province,Turkey
马拉蒂亚省,Malatya Province,Turkey
阿尔萨斯,Alsace,France
耶姆特蘭,Jämtland,Sweden
佛統府,Nakhon Pathom,Thailand
南芬兰省,Southern Finland Province,Finland
盖尔达耶省,Ghardaïa Province,Algeria
烏隆府,Udon Thani,Thailand
东部省,Eastern Province,Kenya
龍仔厝府,Samut Sakhon,Thailand
巴真府,Prachin Buri,Thailand
廊開府,Nong Khai,Thailand
北達沃省,Davao del Norte,Philippines
本格特省,Benguet,Philippines
東內格羅省,Negros Oriental,Philippines
瓜達拉哈拉省,Guadalajara Province,Spain
薩拉戈薩省,Zaragoza Province,Spain
