label,cityLabel,countryLabel
冰島國家廣播,RÚV,Iceland
WQBU-FM,WQBU-FM,United States of America
NHK廣播第1頻率,NHK Radio 1,Japan
自由亚洲电台,Radio Free Asia,United States of America
BBC奧克尼群島廣播,BBC Radio Orkney,United Kingdom
特殊廣播服務,Special Broadcasting Service,Australia
亚洲真理电台,Radio Veritas Asia,Philippines
小西貢電台,KVNR,United States of America
KGU (AM廣播),KGU,United States of America
宣言电台,Al-Bayan (radio station),Iraq
WATN,WATN,United States of America
蒙特卡洛中东电台,Monte Carlo Doualiya,France
瓦尔贝里广播电台,Grimeton VLF transmitter,Sweden
中国国际广播电台珀斯分台,CRI Perth,People's Republic of China
威爾斯語BBC廣播,BBC Radio Cymru,United Kingdom
荷兰国际广播电台,Radio Netherlands Worldwide,Netherlands
WFRS,WFRS,United States of America
TEA FM,TEA FM,Malaysia
迪士尼電臺,Radio Disney,United States of America
馬來西亞之聲,Voice of Malaysia,Malaysia
新西蘭國際廣播電台,Radio New Zealand International,New Zealand
BBC 6 Music,BBC Radio 6 Music,United Kingdom
WALK (AM),WALK,United States of America
WFRY-FM,WFRY-FM,United States of America
WNER,WNER,United States of America
WRVJ,WRVJ,United States of America
WDDM,WPDI,United States of America
加拿大国际广播电台,Radio Canada International,Canada
KRSI,KPXP,United States of America
自由欧洲电台,Radio Free Europe/Radio Liberty,United States of America
阿根廷公共对外广播电台,Radiodifusión Argentina al Exterior,Argentina
塞爾維亞國際廣播電台,International Radio of Serbia,Serbia
文化廣播,Munhwa Broadcasting Corporation,South Korea
韓國放送公社,Korean Broadcasting System,South Korea
韩国国际广播电台,KBS World Radio,South Korea
HIT FM (中國),Hit FM,People's Republic of China
WYPR,WYPR,United States of America
底特律,WXYT,United States of America
KFRS,KFRS,United States of America
WBZO,WBZO,United States of America
WIGX,WWSK,United States of America
BBC設得蘭群島廣播,BBC Radio Shetland,United Kingdom
WLIM,WLIM,United States of America
華僑之聲,CHMB,Canada
英國三軍廣播服務,British Forces Broadcasting Service,United Kingdom
阿萨迪电台,Radio Free Afghanistan,Afghanistan
2CH,2CH,Australia
FM 103.2,2CBA,Australia
BBC廣播一台,BBC Radio 1,United Kingdom
NHK廣播第2頻率,NHK Radio 2,Japan
迪士尼巴西電臺,Radio Disney Brasil,Brazil
883 家FM,883JiaFM,Singapore
德国之声,Deutsche Welle,Germany
美国之音,Voice of America,United States of America
柔佛FM,Johor FM,Malaysia
WHPC,WHPC,United States of America
中国国际广播电台,China Radio International,People's Republic of China
搖滾星球,Planet Rock,United Kingdom
俄罗斯广播电台,Radio Rossii,Russia
俄罗斯广播电台,Radio Rossii,Soviet Union
KSTO,KSTO,United States of America
Easy FM,Easy FM,People's Republic of China
KBS第2FM,KBS Cool FM,South Korea
KFRY,KFRY,United States of America
柏林国际广播电台,Radio Berlin International,East Germany
BBC蘇格蘭廣播,BBC Radio Scotland,United Kingdom
BBC蘇格蘭蓋爾語廣播,BBC Radio nan Gàidheal,United Kingdom
伏尔加广播电台,Radio Wolga,Germany
朝鲜之声,Voice of Korea,North Korea
法国国际广播电台,Radio France Internationale,France
2GB,2GB,Australia
迈阿密国际广播电台,WRMI,United States of America
墨爾本,3ZZZ,Australia
KJAL,KJAL,United States of America
KUFR,KUFR,United States of America
KZMI,KZMI,United States of America
加拿大中文電台FM96.1,CHKG-FM,Canada
WYFR,WYFR,United States of America
WANG,WANG,United States of America
WFTI-FM,WFTI-FM,United States of America
WTNY,WTNY,United States of America
加拿大中文電台AM1470,CJVB,Canada
希腊广播电视公司,Hellenic Broadcasting Corporation,Greece
全印广播电台,All India Radio,India
莫斯科迴聲,Echo of Moscow,Russia
WCIZ-FM,WCIZ-FM,United States of America
WKJY,WKJY,United States of America
WDFH,WQXW,United States of America
梵蒂岡廣播電台,Vatican Radio,Vatican City
BBC威爾士廣播,BBC Radio Wales,United Kingdom
BBC Radio 5直播,BBC Radio 5 Live,United Kingdom
90十一,90elf,Germany
芬兰广播电视台,"Yle, the Finnish Broadcasting Company",Finland
KQFE,KQFE,United States of America
KZGZ,KZGZ,United States of America
WEFX,WEFX,United States of America
BBC第4頻道,BBC Radio 4,United Kingdom
全国公共广播电台,NPR,United States of America
強盜搖滾獎,Bandit Rock,Sweden
第54演播室電台聯播網,Radio Studio 54 Network,Italy
