label,riverLabel,countryLabel
希洛卡河,Jiloca,Spain
諾格拉帕利亞雷薩河,Noguera Pallaresa,Spain
烏拉圭河,Uruguay River,Uruguay
烏拉圭河,Uruguay River,Brazil
瓜達盧佩河,Guadalupe,Spain
奧廖克馬河,Olyokma River,Russia
薩爾索河,Salso,Italy
力拓河,Tinto,Spain
旺德爾河,River Wandle,United Kingdom
罗纳河,Rhône,France
罗纳河,Rhône,Switzerland
瓜迪亞羅河,Guadiaro,Spain
波河,Po,Italy
喀布尔河,Kabul River,Pakistan
尼日尔河,Niger River,Niger
尼日尔河,Niger River,Nigeria
哥班德河,Ghorband River,Afghanistan
喀布尔河,Kabul River,Afghanistan
阿肯色河,Arkansas River,United States of America
阿爾加河,Arga,Spain
安達連河,Andalién River,Chile
穆爾加布河,Morghab River,Turkmenistan
泰晤士河,River Thames,United Kingdom
奧得河,Oder,Germany
尼日尔河,Niger River,Mali
易北河,Elbe,Germany
奧得河,Oder,Poland
尼日尔河,Niger River,Benin
密西西比河,Mississippi River,United States of America
尼日尔河,Niger River,Guinea
奧得河,Oder,Czech Republic
易北河,Elbe,Czech Republic
奧列傑日河,Oredezh River,Russia
弗賴貝格穆爾德河,Freiberger Mulde,Germany
科羅拉多河,Colorado River,United States of America
哈隆河,Jalón,Spain
埃斯拉河,Esla river,Spain
瓜代拉河,Guadaíra,Spain
皮苏埃加河,Pisuerga river,Spain
錫達科斯河,Cidacos,Spain
鐵塔爾河,Tiétar,Spain
韋夫拉河,Huebra River,Spain
古馬勒河,Gomal River,Pakistan
天龍川,Tenryū River,Japan
弗賴貝格穆爾德河,Freiberger Mulde,Czech Republic
古馬勒河,Gomal River,Afghanistan
哈里河,Hari River,Turkmenistan
頓河,Don,Russia
利河 (英格蘭),River Lea,United Kingdom
伏尔加河,Volga,Russia
厄尔河,Eure,France
阿爾蒙特河,Almonte,Spain
塞格雷河,Segre,France
塞格雷河,Segre,Spain
盧加河,Luga River,Russia
斯派爾巴赫河,Speyerbach,Germany
蒙德古河,Mondego River,Portugal
塔胡尼亞河,Tajuña,Spain
安達拉斯河,Andarax,Spain
瓜達爾費奧河,Guadalfeo,Spain
瓜達萊特河,Guadalete,Spain
納赫里利亞河,Najerilla,Spain
諾格拉里瓦戈薩納河,Noguera Ribagorzana,Spain
阿爾韋奇河,Alberche,Spain
馬塔拉尼亞河,Matarranya River,Spain
曼薩納雷斯河,Manzanares,Spain
台伯河,Tiber,Italy
班恩河,River Bann,United Kingdom
洛索亞河,Lozoya,Spain
恒河,Ganges,India
恒河,Ganges,Bangladesh
庫納河,Kunar River,Pakistan
奧迪埃爾河,Odiel,Spain
庫納河,Kunar River,Afghanistan
哈拉馬河,Jarama,Spain
特伦特,River Trent,United Kingdom
雅芳河,River Avon,United Kingdom
刚果河,Congo River,Cameroon
莱茵河,Rhine,France
莱茵河,Rhine,Liechtenstein
莱茵河,Rhine,Netherlands
莱茵河,Rhine,Austria
莱茵河,Rhine,Germany
莱茵河,Rhine,Switzerland
刚果河,Congo River,Rwanda
塞古拉,Segura,Spain
赫爾曼德河,Helmand River,Iran
噴赤河,Panj River,Tajikistan
赫爾曼德河,Helmand River,Afghanistan
威悉河,Weser,Germany
阿圭達河,Águeda River,Portugal
塞阿河,Cea River,Spain
奧爾維戈河,Órbigo River,Spain
瓜迪亞納梅諾爾河,Guadiana Menor,Spain
瓜達洛塞河,Guadalhorce,Spain
瓜達爾麥迪娜河,Guadalmedina,Spain
阿圭達河,Águeda River,Spain
城門河,Shing Mun River,People's Republic of China
埃納雷斯河,Henares,Spain
涅瓦河,Neva,Russia
貝齊布卡河,Betsiboka River,Madagascar
阿爾斯特河,Alster,Germany
米拉河,Mira River,Portugal
伊德尔河,Ider River,Mongolia
加列戈河,Gállego,Spain
普魯斯河,Purus River,Brazil
蒙多河,Mundo,Spain
伊利诺伊河,Illinois River,United States of America
特雷訥河,Treene,Germany
维斯瓦河,Vistula,Poland
瓦赫什河,Vakhsh River,Kyrgyzstan
塞内加尔河,Senegal river,Mauritania
帕米爾河,Pamir River,Tajikistan
瓦赫什河,Vakhsh River,Tajikistan
阿姆河,Amu Darya,Tajikistan
塞内加尔河,Senegal river,Mali
阿姆河,Amu Darya,Afghanistan
俄亥俄河,Ohio River,United States of America
阿姆河,Amu Darya,Turkmenistan
韋利卡亞河,Velikaya River,Russia
韋利卡亞河,Velikaya River,Belarus
塞内加尔河,Senegal river,Senegal
托爾梅斯河,Tormes River,Spain
大烏茲河,River Great Ouse,United Kingdom
沃爾霍夫河,Volkhov River,Russia
阿迪杰河,Adige,Italy
卡里翁河,Carrión river,Spain
埃布羅河,Ebro,Spain
桑卡拉河,Záncara,Spain
瓜達倫廷河,Guadalentín,Spain
瓜達洛佩河,Guadalope,Spain
西圭拉河,Cigüela,Spain
辛卡河,Cinca River,Spain
赫尼爾河,Genil,Spain
阿拉貢河 (西班牙),Alagón River,Spain
阿拉贡河,Aragón,Spain
韋爾瓦河,Huerva River,Spain
洛加尔省,Logar River,Afghanistan
潘吉謝爾河,Panjshir River,Afghanistan
瓦罕河,Wakhan River,Afghanistan
鄂畢河,Ob,Russia
阿列日河,Ariège,France
薩多河,Sado River,Portugal
烏拉圭河,Uruguay River,Argentina
埃加河,Ega river,Spain
埃塞拉河,Ésera,Spain
富尔达河,Fulda,Germany
利馬特河,Limmat,Switzerland
烏茲河,Ouse,United Kingdom
额尔古纳河,Argun River,Russia
薩瓦河,Sava,Turkey
薩瓦河,Sava,Armenia
薩瓦河,Sava,Croatia
薩瓦河,Sava,Bosnia and Herzegovina
薩斯奎哈納河,Susquehanna River,United States of America
鴨川,Kamo River,Japan
额尔古纳河,Argun River,People's Republic of China
略夫雷加特河,Llobregat,Spain
薩瓦河,Sava,Serbia
塔霍河,Tagus,Portugal
塔霍河,Tagus,Spain
薩瓦河,Sava,Slovenia
賀拉茲丹河,Hrazdan River,Armenia
卢瓦尔河,Loire,France
普列戈利亚河,Pregolya River,Russia
皮薩河,Pissa River,Russia
多瑙河,Danube,Ukraine
多瑙河,Danube,Austria
多瑙河,Danube,Germany
多瑙河,Danube,Croatia
密苏里河,Missouri River,United States of America
多瑙河,Danube,Hungary
多瑙河,Danube,Moldova
多瑙河,Danube,Slovakia
多瑙河,Danube,Bulgaria
怒江,Salween River,Myanmar
多瑙河,Danube,Romania
多瑙河,Danube,Serbia
怒江,Salween River,People's Republic of China
黑龙江,Amur,Russia
杜河,Doubs,France
杜河,Doubs,Switzerland
特爾河,Ter,Spain
比埃什河,Buëch,France
比達索阿河,Bidasoa,France
林特河,Linth,Switzerland
卡夫列爾河,Cabriel,Spain
比達索阿河,Bidasoa,Spain
萊雷斯河,Lérez river,Spain
黑龙江,Amur,People's Republic of China
怒江,Salween River,Thailand
因斯特魯奇河,Instruch River,Russia
葉姆察河,Yemtsa River,Russia
尼萨河,Lusatian Neisse,Germany
尼萨河,Lusatian Neisse,Poland
尼萨河,Lusatian Neisse,Czech Republic
塞利亞河,Sella,Spain
伊洛瓦底江,Irrawaddy River,Myanmar
大涅瓦河,Bolshaya Neva River,Russia
小涅瓦河,Malaya Neva River,Russia
維柳伊河,Vilyuy River,Russia
阿纳德尔河,Anadyr River,Russia
帕利亞河,Paglia,Italy
卡爾德內爾河,Cardener,Spain
拉格朗德河,La Grande River,Canada
下通古斯河,Nizhnyaya Tunguska River,Russia
奧列尼奧克河,Olenyok River,Russia
科圖伊河,Kotuy River,Russia
沃佩斯河,Vaupés River,Colombia
伊拜薩巴河,Ibaizabal,Spain
胡卡爾河,Júcar,Spain
沃佩斯河,Vaupés River,Brazil
中國河流列表,List of rivers of China,People's Republic of China
大汶河,Dawen River,People's Republic of China
瓜地亞納河,Guadiana,Portugal
瓜地亞納河,Guadiana,Spain
长江,Yangtze,People's Republic of China
底格里斯河,Tigris,Turkey
底格里斯河,Tigris,Syria
格里哈爾瓦河,Grijalva River,Mexico
弗盧維亞河,Fluvià,Spain
弗蘭科利河,Francolí River,Spain
托爾德拉河,Tordera,Spain
底格里斯河,Tigris,Iraq
帕斯河 (西班牙),Pas,Spain
斯佩河,Spey,United Kingdom
佩格尼茨河,Pegnitz,Germany
比爾斯河,Birs,Switzerland
韋澤尼茨河,Wesenitz,Germany
卡邦波河,Kabompo River,Zambia
幼发拉底河,Euphrates,Turkey
幼发拉底河,Euphrates,Syria
舍舒佩河,Šešupė River,Russia
道加瓦河,Daugava River,Russia
道加瓦河,Daugava River,Belarus
舍舒佩河,Šešupė River,Poland
道加瓦河,Daugava River,Latvia
舍舒佩河,Šešupė River,Lithuania
幼发拉底河,Euphrates,Iraq
韋拉河,Werra,Germany
加龍河,Garonne,France
加龍河,Garonne,Spain
內維翁河,Nervión,Spain
阿斯克河,River Usk,United Kingdom
恩茨河,Enz,Germany
埃姆斯河,Ems,Netherlands
埃姆斯河,Ems,Germany
克萊德河,Clyde,United Kingdom
維京河,Vitim River,Russia
通古斯河,Podkamennaya Tunguska River,Russia
代曼河,River Daymán,Uruguay
阿拉伯河,Shatt al-Arab,Iraq
約里河,Iori River,Azerbaijan
約里河,Iori River,Georgia
薩哈河,Saja,Spain
摩澤爾河,Moselle,France
摩澤爾河,Moselle,Germany
亚马逊河,Amazon,Peru
尼曼河,Neman River,Russia
皮涅加河,Pinega River,Russia
維納河,Łyna River,Russia
亚马逊河,Amazon,Colombia
尼曼河,Neman River,Belarus
羅伊斯河,Reuss,Switzerland
奧尼河,Aulne,France
阿爾布拉河,Albula,Switzerland
杜罗河,Douro,Portugal
維納河,Łyna River,Poland
亚马逊河,Amazon,Brazil
尼曼河,Neman River,Lithuania
杜罗河,Douro,Spain
亚马逊河,Amazon,Ecuador
摩澤爾河,Moselle,Luxembourg
安格拉普河,Angrapa River,Russia
特龍托河,Tronto,Italy
圖爾河,Thur,Switzerland
瓜达尔基维尔河,Guadalquivir,Spain
安格拉普河,Angrapa River,Poland
威河,River Wye,United Kingdom
梅西河,Mersey,United Kingdom
泰河,Tay,United Kingdom
提契诺河,Ticino,Italy
魏瑟里茨河,Weißeritz,Germany
塔梅加河,Tâmega River,Portugal
提契诺河,Ticino,Switzerland
圖里亞河,Turia,Spain
塔梅加河,Tâmega River,Spain
德瓦河,Deva,Spain
米哈雷斯河,Mijares River,Spain
阿松河,Asón River,Spain
因河,Inn,Austria
因河,Inn,Germany
因河,Inn,Switzerland
钱塘江,Qiantang River,People's Republic of China
塞文河,Severn,United Kingdom
米紐河,Minho River,Spain
旗山溪,Cishan River,Taiwan
瓦尔达尔河,Vardar,Republic of Macedonia
穆納河,Muna River,Russia
烏利亞河 (西班牙),Ulla,Spain
阿姆斯特爾河,Amstel,Netherlands
德里纳河,Drina,Bosnia and Herzegovina
穆西河,Air Musi,Indonesia
德里纳河,Drina,Serbia
哥倫比亞河,Columbia River,Canada
奧斯特河,Oste,Germany
漢江,Han River,South Korea
哥倫比亞河,Columbia River,United States of America
恰多別茨河,Q372099,Russia
薩扎瓦河,Sázava,Czech Republic
斯海尔德河,Scheldt,Belgium
斯海尔德河,Scheldt,France
索姆河,River Somme,France
斯海尔德河,Scheldt,Netherlands
阿羅斯河,Arros,France
哈弗爾河,Havel,Germany
卢瓦河,Loir,France
伯朝拉河,Pechora River,Russia
伊佐拉河,Izhora River,Russia
奧隆卡河,Olonka River,Russia
達特河,River Dart,United Kingdom
烏代河,Uday River,Ukraine
沃洛格達河,Vologda River,Russia
阿列河,Allier,France
南萨斯喀彻温河,South Saskatchewan River,Canada
高屏溪,Gaoping River,Taiwan
烏夫秋加河,Uftyuga,Russia
鸭绿江,Yalu River,People's Republic of China
鲁尔河,Ruhr,Germany
烏薩河,Usa River (Komi Republic),Russia
納維亞河,Navia,Spain
納爾塞阿河,Narcea River,Spain
納雷夫河,Narew,Belarus
