label,riverLabel,countryLabel
12號國道,N12 road,South Africa
110国道,China National Highway 110,People's Republic of China
7號國道,N7 road,South Africa
德国555号高速公路,Bundesautobahn 555,Germany
康诺特广场,Connaught Square,United Kingdom
縣道121號,City Road 121,Taiwan
52号加利福尼亚州州道,California State Route 52,United States of America
57号加利福尼亚州州道,California State Route 57,United States of America
67号加利福尼亚州州道,California State Route 67,United States of America
78号加利福尼亚州州道,California State Route 78,United States of America
英國M67高速公路,M67 motorway,United Kingdom
85號州際公路,Interstate 85,United States of America
90號州際公路,Interstate 90,United States of America
95號州際公路,Interstate 95,United States of America
2號高速公路,M2 motorway,Pakistan
北京五环路,5th Ring Road,People's Republic of China
德国5号高速公路,Bundesautobahn 5,Germany
欧洲E38公路,European route E38,Kazakhstan
欧洲E38公路,European route E38,Russia
欧洲E38公路,European route E38,Ukraine
欧洲E806公路,European route E806,Portugal
斯圖爾特公路,Stuart Highway,Australia
3號國道,N3 road,South Africa
泛美公路,Pan-American Highway,Peru
泛美公路,Pan-American Highway,Argentina
泛美公路,Pan-American Highway,Mexico
泛美公路,Pan-American Highway,Uruguay
泛美公路,Pan-American Highway,Venezuela
泛美公路,Pan-American Highway,Canada
泛美公路,Pan-American Highway,Chile
泛美公路,Pan-American Highway,Brazil
泛美公路,Pan-American Highway,United States of America
欧洲E35公路,European route E35,Netherlands
欧洲E35公路,European route E35,Germany
欧洲E35公路,European route E35,Italy
欧洲E35公路,European route E35,Switzerland
東京灣橫斷道路,Tokyo Bay Aqua-Line,Japan
央街,Yonge Street,Canada
德国10号高速公路,Bundesautobahn 10,Germany
德国11号高速公路,Bundesautobahn 11,Germany
德国1号高速公路,Bundesautobahn 1,Germany
德国7号高速公路,Bundesautobahn 7,Germany
國道23號,Main road 23,Finland
A90公路,A90 road,United Kingdom
大幹道,Grand Trunk Road,Pakistan
88號州際公路 (東段),Interstate 88,United States of America
圖爾斯山,Tulse Hill,United Kingdom
74號州際公路,Interstate 74,United States of America
78号州际公路,Interstate 78,United States of America
79号州际公路,Interstate 79,United States of America
80號州際公路,Interstate 80,United States of America
87號州際公路,Interstate 87,United States of America
88号州际公路,Interstate 88,United States of America
96号州际公路,Interstate 96,United States of America
99号州际公路,Interstate 99,United States of America
唐寧街,Downing Street,United Kingdom
M1高速公路,M1 motorway,United Kingdom
238號州際公路,Interstate 238,United States of America
75號州際公路,Interstate 75,United States of America
76号州际公路,Interstate 76,United States of America
81號州際公路,Interstate 81,United States of America
97号州际公路,Interstate 97,United States of America
梅達谷區,Maida Vale,United Kingdom
霍爾本,Holborn,United Kingdom
沪宁高速公路,Shanghai–Nanjing Expressway,People's Republic of China
欧洲E805公路,European route E805,Portugal
A1公路,A1 road,United Kingdom
205国道,China National Highway 205,People's Republic of China
10號國道,N10 road,South Africa
皮卡迪利圓環,Piccadilly Circus,United Kingdom
牛津街,Oxford Street,United Kingdom
A9公路 (蘇格蘭),A9 road,United Kingdom
國道1號 (澳大利亞),Highway 1,Australia
4號國道,N4 road,South Africa
5號國道,N5 road,South Africa
欧洲E60公路,European route E60,Tajikistan
欧洲E36公路,European route E36,Germany
欧洲E60公路,European route E60,Turkmenistan
8號國道,N8 road,South Africa
49里观光径,49-Mile Scenic Drive,United States of America
86号州际公路,Interstate 86,United States of America
86号州际公路 (爱达荷州),Interstate 86,United States of America
93號州際公路,Interstate 93,United States of America
94號州際公路,Interstate 94,United States of America
73号州际公路,Interstate 73,United States of America
77号州际公路,Interstate 77,United States of America
82号州际公路,Interstate 82,United States of America
83號州際公路,Interstate 83,United States of America
89號州際公路,Interstate 89,United States of America
91號州際公路,Interstate 91,United States of America
11號國道,N11 road,South Africa
老街,Old Street,United Kingdom
縣道120號,County Road 120,Taiwan
14號國道,N14 road,South Africa
1號省道,Prince Edward Island Route 1,Canada
8號州際公路,Interstate 8,United States of America
德国12号高速公路,Bundesautobahn 12,Germany
德国13号高速公路,Bundesautobahn 13,Germany
德国8号高速公路,Bundesautobahn 8,Germany
215国道,China National Highway 215,People's Republic of China
湖濱大道,Lake Shore Boulevard,Canada
18號國道,N18 road,South Africa
格拉夫顿街,Grafton Street,Ireland
304国道,China National Highway 304,People's Republic of China
84号州际公路,Interstate 84,United States of America
欧洲E55公路,European route E55,Denmark
欧洲E55公路,European route E55,Austria
欧洲E28公路,European route E28,Germany
欧洲E55公路,European route E55,Germany
欧洲E55公路,European route E55,Italy
欧洲E28公路,European route E28,Belarus
欧洲E55公路,European route E55,Sweden
欧洲E28公路,European route E28,Poland
欧洲E28公路,European route E28,Lithuania
欧洲E55公路,European route E55,Czech Republic
欧洲E55公路,European route E55,Greece
欧洲E58公路,European route E58,Russia
欧洲E58公路,European route E58,Ukraine
欧洲E58公路,European route E58,Austria
欧洲E58公路,European route E58,Moldova
欧洲E58公路,European route E58,Slovakia
美国国道6,U.S. Route 6,United States of America
國道6號,National Highway 6,India
欧洲E58公路,European route E58,Romania
德国3号高速公路,Bundesautobahn 3,Germany
伯克利广场,Berkeley Square,United Kingdom
330国道,China National Highway 330,People's Republic of China
17號國道,N17 road,South Africa
開源道,Hoi Yuen Road,People's Republic of China
A107公路,Russian route A107,Russia
9號國道,N9 road,South Africa
德国14号高速公路,Bundesautobahn 14,Germany
德国15号高速公路,Bundesautobahn 15,Germany
德国2号高速公路,Bundesautobahn 2,Germany
德国4号高速公路,Bundesautobahn 4,Germany
德国6号高速公路,Bundesautobahn 6,Germany
德国9号高速公路,Bundesautobahn 9,Germany
德國24號高速公路,Bundesautobahn 24,Germany
縣道123號,County Road 123,Taiwan
白廳,Whitehall,United Kingdom
80号州际公路加利福尼亚州段,Interstate 80 in California,United States of America
56号加利福尼亚州州道,California State Route 56,United States of America
226国道,China National Highway 226,People's Republic of China
15號州際公路,Interstate 15,United States of America
280號州際公路,Interstate 280,United States of America
10號州際公路,Interstate 10,United States of America
17號州際公路,Interstate 17,United States of America
27号州际公路,Interstate 27,United States of America
