label,cityLabel,city
艾爾伯圖斯·麥格努斯,Albertus Magnus,http://www.wikidata.org/entity/Q60059
丹尼斯·加博尔,Dennis Gabor,http://www.wikidata.org/entity/Q155786
柯奈尔·海门斯,Corneille Heymans,http://www.wikidata.org/entity/Q156482
丹尼尔·卡尔顿·盖杜谢克,Daniel Carleton Gajdusek,http://www.wikidata.org/entity/Q108576
哈里森·施密特,Harrison Schmitt,http://www.wikidata.org/entity/Q108886
威廉·汤姆森，第一代开尔文男爵,"William Thomson, 1st Baron Kelvin",http://www.wikidata.org/entity/Q122701
朱利叶斯·阿克塞尔罗德,Julius Axelrod,http://www.wikidata.org/entity/Q110106
罗莎琳·萨斯曼·耶洛,Rosalyn Sussman Yalow,http://www.wikidata.org/entity/Q107402
塞麦尔维斯,Ignaz Semmelweis,http://www.wikidata.org/entity/Q59736
尼克拉斯·卢曼,Niklas Luhmann,http://www.wikidata.org/entity/Q57238
库尔特·谭克,Kurt Tank,http://www.wikidata.org/entity/Q61497
艾伦·佩利,Alan Perlis,http://www.wikidata.org/entity/Q62861
克里斯蒂安·玻尔,Christian Bohr,http://www.wikidata.org/entity/Q135503
匝加利·亞-卡茲維尼,Zakariya al-Qazwini,http://www.wikidata.org/entity/Q144639
查哈里亞斯·楊森,Sacharias Jansen,http://www.wikidata.org/entity/Q139518
讓-巴蒂斯特·杜馬,Jean-Baptiste Dumas,http://www.wikidata.org/entity/Q164824
喬治·居維葉,Georges Cuvier,http://www.wikidata.org/entity/Q171969
谢尔盖·帕夫洛维奇·科罗廖夫,Sergei Korolev,http://www.wikidata.org/entity/Q170842
卡爾·博施,Carl Bosch,http://www.wikidata.org/entity/Q76606
布莱恩·科比尔卡,Brian Kobilka,http://www.wikidata.org/entity/Q80907
米列娃·馬利奇,Mileva Marić,http://www.wikidata.org/entity/Q76346
費迪南·馮·李希霍芬,Ferdinand von Richthofen,http://www.wikidata.org/entity/Q76791
里夏德·阿道夫·席格蒙迪,Richard Adolf Zsigmondy,http://www.wikidata.org/entity/Q78481
安東尼·范·列文虎克,Antonie van Leeuwenhoek,http://www.wikidata.org/entity/Q43522
马克斯·泰累尔,Max Theiler,http://www.wikidata.org/entity/Q46928
威廉·哈密頓,William Rowan Hamilton,http://www.wikidata.org/entity/Q11887
约翰·阿摩司·夸美纽斯,Johann Amos Comenius,http://www.wikidata.org/entity/Q12735
高錕,Charles K. Kao,http://www.wikidata.org/entity/Q16389
克里斯蒂安·多普勒,Christian Doppler,http://www.wikidata.org/entity/Q84284
约翰·霍兰德,John Henry Holland,http://www.wikidata.org/entity/Q92646
亚历山大·冯·洪堡,Alexander von Humboldt,http://www.wikidata.org/entity/Q6694
尤里·米哈伊洛维奇·卢日科夫,Yury Luzhkov,http://www.wikidata.org/entity/Q156379
弗朗索瓦·阿拉戈,François Arago,http://www.wikidata.org/entity/Q154353
彼得·西蒙·帕拉斯,Peter Simon Pallas,http://www.wikidata.org/entity/Q155914
保羅·奧特勒,Paul Otlet,http://www.wikidata.org/entity/Q1868
弗朗西斯·蒲福,Francis Beaufort,http://www.wikidata.org/entity/Q21186
約翰內斯·彼得·繆勒,Johannes Peter Müller,http://www.wikidata.org/entity/Q57992
马塞兰·贝特洛,Marcellin Berthelot,http://www.wikidata.org/entity/Q18425
布鲁斯·博伊特勒,Bruce Beutler,http://www.wikidata.org/entity/Q104592
塔德乌什·赖希施泰因,Tadeusz Reichstein,http://www.wikidata.org/entity/Q115490
本華·曼德博,Benoit Mandelbrot,http://www.wikidata.org/entity/Q101740
彼得·德拜,Peter Debye,http://www.wikidata.org/entity/Q103835
白川英树,Hideki Shirakawa,http://www.wikidata.org/entity/Q110916
理查德·斯莫利,Richard Smalley,http://www.wikidata.org/entity/Q106746
赫伯特·豪普特曼,Herbert A. Hauptman,http://www.wikidata.org/entity/Q107422
拉齐,Muhammad ibn Zakariya al-Razi,http://www.wikidata.org/entity/Q169234
伊本·西那,Avicenna,http://www.wikidata.org/entity/Q8011
霍華德·弗洛里，弗洛里男爵,Howard Florey,http://www.wikidata.org/entity/Q137106
凱瑟琳·強森,Katherine Johnson,http://www.wikidata.org/entity/Q11740
约瑟夫·斯特凡,Joseph Stefan,http://www.wikidata.org/entity/Q16581
阿卜杜尔·卡拉姆,A. P. J. Abdul Kalam,http://www.wikidata.org/entity/Q9513
尤利乌斯·普吕克,Julius Plücker,http://www.wikidata.org/entity/Q57561
