label,cityLabel,countryLabel
小王子,Little Prince,United States of America
特萊維噴泉,Trevi Fountain,Italy
狒狒喷泉,Babuino,Italy
华尔街铜牛,Charging Bull,United States of America
尿尿小童,Manneken Pis,Belgium
宋庆龄巨型雕像,Q10947515,People's Republic of China
哈拉和林石,Kharkhorin Rock,Mongolia
成吉思汗馬術雕像,Genghis Khan Equestrian Statue,Mongolia
阿塞洛米塔爾軌道塔,ArcelorMittal Orbit,United Kingdom
曼努埃尔·贝尔格拉诺雕像,Manuel Belgrano equestrian monument,Argentina
斯旺纪念喷泉,Swann Memorial Fountain,United States of America
科西莫一世雕塑,Statue of Cosimo I,Italy
帕斯魁诺,Pasquino,Italy
第二次世界大戰婦女紀念碑,Monument to the Women of World War II,United Kingdom
巴貝里尼法翁,Barberini Faun,Germany
垂死狮子像,Lion Monument,Switzerland
沙皇解放者紀念碑,Monument to the Tsar Liberator,Bulgaria
奥洛穆茨圣三柱,Holy Trinity Column in Olomouc,Czech Republic
布拉格節拍器,Prague Metronome,Czech Republic
科西莫一世骑马雕像,Equestrian Monument of Cosimo I,Italy
阿雷佐的喀迈拉,Chimera of Arezzo,Italy
马达拉骑士浮雕,Madara Rider,Bulgaria
炳靈寺石窟,Bingling Temple,People's Republic of China
羅得島太陽神銅像,Colossus of Rhodes,Greece
明信片纪念碑,Postcards,United States of America
哀悼基督 (米开朗琪罗),Pietà,Vatican City
仲門,Gate of Wisdom,People's Republic of China
皇冠噴泉,Crown Fountain,United States of America
共產主義受難者紀念碑,victims of Communism Memorial,United States of America
自由女神像,Statue of Liberty,United States of America
巴米揚大佛,Buddhas of Bamiyan,Afghanistan
自由之火,Flame of Liberty,France
鹰门,Eagle Gate,United States of America
克里普托斯,Kryptos,United States of America
拉美西斯二世巨像,Statue of Ramesses II,Egypt
斯特拉斯堡死难者纪念碑,Q3323304,France
罗伯特·李纪念柱 (新奥尔良),Robert E. Lee Monument,United States of America
我们是我们的山,We Are Our Mountains,Azerbaijan
圣马尔谷之马,Horses of Saint Mark,Italy
鹽罐,Cellini Salt Cellar,Austria
纳粹时期欧洲受害辛提人和罗姆人纪念碑,Memorial to the Sinti and Roma victims of National Socialism,Germany
二戰日裔美軍紀念碑,Go For Broke Monument,United States of America
威尔第纪念碑,Giuseppe Verdi Monument,United States of America
我们是我们的山,We Are Our Mountains,Republic of Artsakh
皇泽寺摩崖造像,Q1404412,People's Republic of China
特里同喷泉,Triton Fountain,Italy
歐洲塑像,Statue of Europe,Belgium
行走的人,The Walking Man,Netherlands
奥洛穆茨圣母柱,Maria column (Olomouc),Czech Republic
深渊中的基督,Christ of the Abyss,Italy
真理之口,Bocca della Verità,Italy
何尊,He zun,People's Republic of China
蘭松,Lanzón,Peru
哨兵,Sentinel,United Kingdom
支點,Fulcrum,United Kingdom
核能源 (雕塑),Nuclear Energy,United States of America
國家警察紀念碑,National Police Memorial,United Kingdom
里約熱內盧基督像,Christ the Redeemer,Brazil
下维斯特尼采的维纳斯,Venus of Dolní Věstonice,Czech Republic
不萊梅的羅蘭像,Bremen Roland,Germany
卡洛·费利切雕像,Q3497573,France
路易十六纪念柱,colonne Louis-XVI,France
北方天使,Angel of the North,United Kingdom
里斯本大耶穌像,Christ the King statue,Portugal
反对世界恐怖主义斗争纪念碑,To the Struggle Against World Terrorism,United States of America
贝托尔德喷泉,Bertoldsbrunnen,Germany
麦伦普塔赫石碑,Merneptah Stele,Egypt
阿齐保喷泉,Archibald Fountain,Australia
海鸥纪念碑,Seagull Monument,United States of America
拉奥孔与儿子们,Laocoön and His Sons,Italy
被擄掠的珀耳塞福涅,The Rape of Proserpina,Italy
和平紀念碑 (華盛頓特區),Peace Monument,United States of America
偽教宗約翰二十三世墳墓,Tomb of Antipope John XXIII,Italy
雅典娜·帕德嫩,Athena Parthenos,Greece
大船觀音寺,Ōfuna Kannon,Japan
美國本土地理中心,geographic center of the contiguous United States,United States of America
奧林匹亞宙斯神像,Statue of Zeus at Olympia,Greece
松果喷泉,Fontana della Pigna,Italy
科莱特法瓦,Hase,Italy
马可·奥勒留骑马像,Equestrian Statue of Marcus Aurelius,Italy
都柏林尖塔,Spire of Dublin,Ireland
印刷马,Q1746087,Germany
柏林城市记忆,Memoria Urbana Berlin,Germany
新英格兰犹太人大屠杀纪念碑,New England Holocaust Memorial,United States of America
路西法之舌,Q2343303,Netherlands
鼠疫柱 (布尔诺),Q6648218,Czech Republic
加萊義民,The Burghers of Calais,France
駛向生、駛向死,Trains to Life – Trains to Death,Germany
阿波羅與黛芙妮,Apollo and Daphne,Italy
沧州铁狮子,Iron Lion of Cangzhou,People's Republic of China
祖國母親雕像,Mother Motherland,Ukraine
史達林紀念碑,Stalin Monument,Czech Republic
基辅列宁雕像倒塌事件,Monument to Lenin,Ukraine
安德烈·马塞纳元帅雕像,Q3497588,France
国会大厦廊柱,National Capitol Columns,United States of America
勒托喷泉,Latona Fountain,France
牛久大佛,Ushiku Daibutsu,Japan
中原大佛,Spring Temple Buddha,People's Republic of China
大同與西安寶寶,Da Tung and Xi'an Bao Bao,United States of America
十字苦像(米開朗基羅),Crucifix,Italy
蒂班耶什圣玛尔定修道院,Monastery of São Martinho de Tibães,Portugal
布达佩斯斯大林雕像,Stalin Monument,Hungary
五羊石像,Q10882084,People's Republic of China
祖国母亲在召唤,The Motherland Calls,Russia
胡斯雕像,Jan Hus Memorial,Czech Republic
天堂之门,Gates of Paradise,Italy
貝比之夢,Babe's Dream,United States of America
狮身人面像,The Great Sphinx,Egypt
布兰卡奇枢机墓,Tomb of Cardinal Rainaldo Brancacci,Italy
第二師紀念碑,Second Division Memorial,United States of America
大拇指,The Thumb,France
落基山圣母像,Our Lady of the Rockies,United States of America
圣体钟,Corpus Clock,United Kingdom
铜奔马,Gansu Flying Horse,People's Republic of China
蛇柱,Serpent Column,Turkey
共和国雕像,Statue of the Republic,United States of America
羅伯斯庇爾紀念碑,Robespierre Monument,Soviet Russia
加里波第纪念碑,Monument to Giuseppe Garibaldi,Argentina
成功佛,พระพุทธชินราช,Thailand
乐山大佛,Leshan Giant Buddha,People's Republic of China
四帝像,Portrait of the Four Tetrarchs,Italy
西貝流士雕像,Sibelius Monument,Finland
雲門,Cloud Gate,United States of America
時間噴泉,Fountain of Time,United States of America
大衛像,David,Italy
巴特勒迪喷泉,Fontaine Bartholdi,France
丹達臘黃道帶,Dendera zodiac,France
蒙得维的亚方尖碑,Obelisk of Montevideo,Uruguay
天坛大佛,Tian Tan Buddha,People's Republic of China
埴轮,Haniwa,Japan
旺多姆圆柱,Colonne Vendôme,France
尿尿小妹,Jeanneke Pis,Belgium
法國聖母,Statue de Notre-Dame de France,France
象和方尖碑,Elephant and Obelisk,Italy
州立傑佛遜戴維斯歷史古蹟,Jefferson Davis State Historic Site,United States of America
四摩尔人纪念碑,Monument of the Four Moors,Italy
胜利纪念碑,Victory Monument,United States of America
美人魚雕像,The Little Mermaid,Denmark
阿尔伯特纪念亭,Albert Memorial,United Kingdom
金色骑士,Golden Rider,Germany
泰坦尼克号纪念碑,"Titanic Memorial, Belfast",United Kingdom
维基百科纪念雕像,Wikipedia Monument,Poland
第一门的奥古斯都像,Augustus of Prima Porta,Vatican City
大理石十字架,Q3003360,France
灯火基督像,Christ of the Lanterns,Spain
長靴紀念碑,Boot Monument,United States of America
吉伦特派纪念碑,Monument aux Girondins,France
南山海上观音圣像,Guanyin of Nanshan,People's Republic of China
拉什莫尔山,Mount Rushmore,United States of America
翡翠玉佛,Emerald Buddha,Thailand
非洲復興紀念碑,African Renaissance Monument,Senegal
彼得大帝青铜骑士像,Bronze Horseman,Russia
工人和集体农庄女庄员,Worker and Kolkhoz Woman,Russia
勝利紀念碑,Pobednik,Serbia
