label,cityLabel,countryLabel
阿巴薩爾體育場,Abbasiyyin Stadium,Syria
薩拉科格魯球場,Fenerbahce Sukru Saracoglu Stadium,Turkey
卡雲農舍球場,Craven Cottage,United Kingdom
光明球場,Stadium of Light,United Kingdom
亞瑟·艾許球場,Arthur Ashe Stadium,United States of America
國家體育場,Kaohsiung National Stadium,Taiwan
大连金州体育场,Jinzhou Stadium,People's Republic of China
名古屋巨蛋,Nagoya Dome,Japan
臺北田徑場,Taipei Municipal Stadium,Taiwan
瑞斯-埃克爾斯體育場,Rice-Eccles Stadium,United States of America
蘇帕查拉賽體育場,National Stadium,Thailand
利維夫球場,Arena Lviv,Ukraine
地球體育場,Globe Arena,United Kingdom
阿什哈巴德體育場,Ashgabat Stadium,Turkmenistan
拿羅沙里達球場,La Rosaleda Stadium,Spain
悉尼娛樂中心,Sydney Entertainment Centre,Australia
墨爾本板球場,Melbourne Cricket Ground,Australia
多明戈·保爾基諾體育場,Estadio Domingo Burgueño,Uruguay
史丹福體育場,Stanford Stadium,United States of America
紅牛球場,Red Bull Arena,United States of America
巴西利亞國家體育場,Estádio Nacional de Brasília,Brazil
三角洲體育場,Delta Stadium,Indonesia
臺中市洲際棒球場,Taichung Intercontinental Baseball Stadium,Taiwan
馬科西米爾體育場,Stadion Maksimir,Croatia
尼尔球场,The Den,United Kingdom
波爾塔達體育場,Estadio La Portada,Chile
安联竞技场,Allianz Arena,Germany
大阪市長居陸上競技場,Nagai Stadium,Japan
高通体育场,Qualcomm Stadium,United States of America
長野奧林匹克體育場,Nagano Olympic Stadium,Japan
海狸大球场,Beaver Stadium,United States of America
金属工人球場,Metalist Stadium,Ukraine
福克斯堡球場,Foxboro Stadium,United States of America
瀋陽五里河體育場,Wulihe Stadium,People's Republic of China
穆罕默德·本·扎耶德體育場,Mohammed Bin Zayed Stadium,United Arab Emirates
圣马梅斯体育场,San Mamés Stadium,Spain
國家室內體育館,Barclaycard Arena,United Kingdom
孟加拉國家體育場,Bangabandhu National Stadium,Bangladesh
莫伦比体育场,Estádio do Morumbi,Brazil
哈里发国际体育场,Khalifa International Stadium,Qatar
十三陵水库,"Triathlon Venue, Beijing",People's Republic of China
伊德洛茨球場,Idrottsparken,Sweden
鳳凰城大學體育館,University of Phoenix Stadium,United States of America
羊角島競技場,Yanggakdo Stadium,North Korea
東大門棒球場,Dongdaemun Baseball Stadium,South Korea
土耳其电信竞技场,Türk Telekom Arena,Turkey
奧運曲棍球中心,Riverbank Arena,United Kingdom
巴黎貝爾西體育館,AccorHotels Arena,France
海林尼克奥林匹克棒球场,Hellinikon Stadium,Greece
拉素達球場,Råsunda Stadium,Sweden
斯德哥爾摩奧林匹克體育場,Stockholm Olympic Stadium,Sweden
贺龙体育文化中心,Helong Stadium,People's Republic of China
米底捷斯基球場,Madejski Stadium,United Kingdom
東京體育場,Ajinomoto Stadium,Japan
罗马雷达体育场,La Romareda,Spain
飛燕諾球場,De Kuip,Netherlands
國立霞丘陸上競技場,National Olympic Stadium,Japan
奧利爾公園球場,Oriel Park,Ireland
戴爾鑽石,Dell Diamond,United States of America
洛杉磯會議中心,Los Angeles Convention Center,United States of America
莫斯科體育館,Olympiysky Sports Complex,Russia
斯特拉斯克萊德院體育館,Dumbarton Football Stadium,United Kingdom
法蘭西體育場,Stade de France,France
謝文碧加市政府體育場,Estadio Municipal Germán Becker,Chile
泛色萨利体育场,Panthessaliko Stadium,Greece
札幌巨蛋,Sapporo Dome,Japan
广州大学城中心区体育场,Guangzhou University City Stadium,People's Republic of China
天河体育中心,Tianhe Stadium,People's Republic of China
查科保衛者體育場,Estadio Defensores del Chaco,Paraguay
美拿奧球場,Stade de la Meinau,France
黎剎紀念體育場,Rizal Memorial Stadium,Philippines
吉列体育场,Gillette Stadium,United States of America
明治神宮棒球場,Meiji Jingu Stadium,Japan
旺角大球場,Mong Kok Stadium,People's Republic of China
韋爾特湖球場,Hypo-Arena,Austria
亞馬遜體育場,Arena Amazônia,Brazil
潘特納爾體育場,Arena Pantanal,Brazil
水原棒球場,Suwon Baseball Stadium,South Korea
大邱體育場,Daegu Stadium,South Korea
昌原運動公園,Changwon Civic Stadium,South Korea
阿柏達納體育場,Rah Ahan Stadium,Iran
米内罗体育场,Mineirão,Brazil
中岸球場,Central Coast Stadium,Australia
阿古斯丁·托瓦爾體育場,Estadio Agustín Tovar,Venezuela
康塞普西翁市政體育場,Estadio Municipal de Concepción,Chile
卡斯特勞體育場,Castelão,Brazil
炭川綜合運動場,Tancheon Sports Complex,South Korea
安那罕天使球場,Angel Stadium of Anaheim,United States of America
箭頭體育場,Arrowhead Stadium,United States of America
曼希奇體育場,Estadio Mansiche,Peru
那也烏里普球場,Ullevi,Sweden
泰國-日本體育場,Thai-Japanese Stadium,Thailand
克羅體育場,Croke Park,Ireland
莫里斯-杜法臣體育場,Stade Maurice Dufrasne,Belgium
曼努埃爾·馬丁內斯·瓦萊羅體育場,Estadio Manuel Martínez Valero,Spain
西考德威爾,Estadio El Teniente,Chile
首爾奧林匹克主競技場,Seoul Olympic Stadium,South Korea
聖雅各布球場,St. Jakob Stadium,Switzerland
大田湾体育场,Datianwan Stadium,People's Republic of China
大阪巨蛋,Osaka Dome,Japan
莫利農球場,El Molinón,Spain
新潟體育場,Tohoku Electric Power Big Swan Stadium,Japan
塞門·艾梅體育場,Samen Al-Aeme Stadium,Iran
大綠體育場,Verdão,Brazil
奧林匹克百週年體育場,Centennial Olympic Stadium,United States of America
巴圖體育場,Bahtoo Stadium,Myanmar
阪神甲子園球場,Koshien Stadium,Japan
橫濱國際綜合競技場,International Stadium Yokohama,Japan
何塞·利戈·佩雷斯球場,Estadio José Rico Pérez,Spain
吉隆坡足球協會球場,KLFA Stadium,Malaysia
高陽體育園區,Goyang Stadium,South Korea
博蘇爾球場,Bosuilstadion,Belgium
珀西瓦爾·莫爾森體育場,Percival Molson Memorial Stadium,Canada
濟南奧林匹克體育中心體育場,Jinan Olympic Sports Center Stadium,People's Republic of China
温布利球场,Wembley Stadium,United Kingdom
日内瓦体育场,Stade de Genève,Switzerland
广东省人民体育场,Guangdong Provincial People's Stadium,People's Republic of China
深水埗運動場,Sham Shui Po Sports Ground,People's Republic of China
勞森·塔瑪體育場,Lawson Tama Stadium,Solomon Islands
奧林匹亞球場,Olympia,Sweden
BB&T中心,BB&T Center,United States of America
俄亥俄体育场,Ohio Stadium,United States of America
熱爾蘭球場,Stade de Gerland,France
联合中心,United Center,United States of America
仁川亞運主體育場,Incheon Asiad Main Stadium,South Korea
梅多蘭茲體育中心,Meadowlands Sports Complex,United States of America
安托法加斯塔地區體育場,Estadio Regional de Antofagasta,Chile
玫瑰碗,Rose Bowl,United States of America
美國銀行球場,Bank of America Stadium,United States of America
維卡拉格路體育場,Vicarage Road,United Kingdom
聯邦快遞體育場,FedExField,United States of America
摩亞球場,Turf Moor,United Kingdom
新加坡室内体育馆,Singapore Indoor Stadium,Singapore
約靈體育場,Hjørring Stadium,Denmark
卑詩體育館,BC Place,Canada
莫祖錫奧林匹克體育場,Estadi Olímpic Lluís Companys,Spain
拜沙達體育場,Arena da Baixada,Brazil
安菲尔德球场,Anfield,United Kingdom
里亞索球場,Estadio Municipal de abanca Riazor,Spain
阿维兰热奥林匹克体育场,Estádio Nilton Santos,Brazil
火龍球場,Estádio do Dragão,Portugal
阿爾諾斯谷體育場,Arnos Vale Stadium,Saint Vincent and the Grenadines
新莊體育場棒球場,Xinzhuang Baseball Stadium,Taiwan
越秀山体育场,Yuexiushan Stadium,People's Republic of China
石橋路運動場,Stonebridge Road,United Kingdom
老特拉福德球场,Old Trafford,United Kingdom
法蘭西球場 (密蘇里州),Francis Field,United States of America
自由邦球場,Free State Stadium,South Africa
名古屋市瑞穗公園陸上競技場,Mizuho Athletic Stadium,Japan
新新加坡國家體育場,National Stadium,Singapore
信安球場,Principal Park,United States of America
平塚競技場,Shonan BMW Stadium Hiratsuka,Japan
哥倫布機員體育場,Mapfre Stadium,United States of America
北京五棵松体育中心棒球场,Q1195502,People's Republic of China
沛可公園球場,Petco Park,United States of America
菲什特奧林匹克體育場,Fisht Olympic Stadium,Russia
畢斯雷特體育場,Bislett Stadion,Norway
恩斯特·哈佩尔球场,Ernst-Happel-Stadion,Austria
頓巴斯球場,Donbass Arena,Ukraine
姆博貝拉球場,Mbombela Stadium,South Africa
洛夫托斯球場,Loftus Versfeld Stadium,South Africa
納爾遜·曼德拉海灣球場,Nelson Mandela Bay Stadium,South Africa
桃園縣立體育場,Taoyuan County Stadium,Taiwan
卡達競技體育場,Qatar SC Stadium,Qatar
洛杉磯紀念體育場,Los Angeles Memorial Coliseum,United States of America
民园体育场,Minyuan Stadium,People's Republic of China
穆納什球場,Munayshy Stadium,Kazakhstan
加查恩納球場,Gajayana Stadium,Indonesia
沃克拉球場,Al-Wakrah Stadium,Qatar
烏弗埃-博瓦尼球場,Stade Félix Houphouët-Boigny,Ivory Coast
萊耶華倫球場,Borås Arena,Sweden
武里南体育场,i-mobile Stadium,Thailand
拉克哈特體育場,Lockhart Stadium,United States of America
新營運動公園田徑場,Tainan County Stadium,Taiwan
