label,cityLabel,countryLabel
清潭站,Cheongdam Station,South Korea
金泉站,Gimcheon Station,South Korea
阿姆斯特丹南站,Amsterdam Zuid,Netherlands
光明四叉路口站,Gwangmyeongsageori Station,South Korea
寿进站,Sujin Station,South Korea
鹤洞站,Hak-dong Station,South Korea
首爾站,Seoul Station,South Korea
賓夕法尼亞車站,Pennsylvania Station,United States of America
铁山站,Cheolsan Station,South Korea
大田站,Daejeon Station,South Korea
仁川站,Incheon Station,South Korea
柏林南十字车站,Berlin Südkreuz,Germany
南春川站,Namchuncheon Station,South Korea
大成里站,Daeseong-ri Station,South Korea
江村站,Gangchon Station,South Korea
舍堂站,Sadang Station,South Korea
聯合車站,Union Station,United States of America
成寿寺站,Chengshousi Station,People's Republic of China
九里站,Guri Station,South Korea
中和站,Junghwa Station,South Korea
中谷站,Junggok Station,South Korea
南城站,Namseong Station,South Korea
天安牙山站,Cheonan-Asan Station,South Korea
德沼站,Deokso Station,South Korea
東大邱站,Dongdaegu Station,South Korea
木浦站,Mokpo Station,South Korea
杨坪站,Yangpyeong Station,South Korea
猎鹰站,Boramae Station,South Korea
西大田站,Seodaejeon Station,South Korea
陶深站,Dosim Station,South Korea
竹田站,Jukjeon Station,South Korea
慕尼黑火车总站,Munich Central Station,Germany
有明站,Ariake Station,Japan
布希站,Bushey railway station,United Kingdom
二軒茶屋車站,Nikenchaya Station,Japan
岩寺站,Amsa Station,South Korea
沃特福德交匯站,Watford Junction railway station,United Kingdom
科隆中央車站,Cologne Central Station,Germany
宣陵站,Seolleung Station,South Korea
波士頓北站,North Station,United States of America
吹田站 (JR西日本),Suita Station,Japan
綠地公園站,Ryokuchi-kōen Station,Japan
新營車站,Xinying Station,Taiwan
富士見丘站,Fujimigaoka Station,Japan
法蘭克福中央車站,Frankfurt (Main) Hauptbahnhof,Germany
南站,South Station,United States of America
教大站,Seoul National University of Education Station,South Korea
上凤站,Sangbong Station,South Korea
回基站,Hoegi Station,South Korea
堂岭站,Danggogae Station,South Korea
大邱站,Daegu Station,South Korea
弘大入口站,Hongik University Station,South Korea
数码媒体城站,Digital Media City Station,South Korea
思陵站,Sareung Station,South Korea
新炭里站,Sintan-ri Station,South Korea
新院站,Sinwon Station,South Korea
杨平站,Yangpyeong Station (Jungang Line),South Korea
警察医院站,National Police Hospital Station,South Korea
金谷站,Geumgok Station,South Korea
