label,cityLabel,countryLabel
格拉本大街,Graben,Austria
布雷斯特街,rue de Brest,France
绅士街,Q613954,Austria
維托沙大道,Vitosha Boulevard,Bulgaria
大格洛克纳阿尔卑斯高山公路,Grossglockner High Alpine Road,Austria
自由大道,Avenida da Liberdade,Portugal
羅滕比樂街,Q1251213,Hungary
諾門蒂娜道,Via Nomentana,Italy
城堡街,Pilies Street,Lithuania
绅士街,Herrengasse,Austria
格兰大道,Gran Vía,Spain
环形林荫大道,Viali di Circonvallazione,Italy
科隆环城路,Cologne Ring,Germany
拉斯帕伊大道,boulevard Raspail,France
蒙帕纳斯大道,boulevard du Montparnasse,France
夏巴大道,"Charbagh, Isfahan",Iran
卡尔·马克思大道,Karl-Marx-Allee,Germany
粮食胡同,Getreidegasse,Austria
車站大街,Bahnhofstrasse,Switzerland
布林纳街,Brienner Straße,Germany
圣殿大道,boulevard du Temple,France
市场街,Marktgasse,Switzerland
戒指路,Ringstraße,Austria
华尔街,Wall Street,United States of America
皇后街 (奧克蘭),"Queen Street, Auckland",New Zealand
Labicana街,Via Labicana,Italy
佩雷爾大道,boulevard Pereire,France
博马舍大道,boulevard Beaumarchais,France
马德莱娜大道,boulevard de la Madeleine,France
对角线大道,Avinguda Diagonal,Spain
十月初五日大馬路,Q9639643,Portugal
莫尼旺大道,Monivong Boulevard,Cambodia
沃斯大街,Voßstraße,Germany
陶恩沁恩大街,Tauentzienstraße,Germany
克恩滕大街,Kärntner Straße,Austria
圣雅克路,"Rue Saint-Jacques, Paris",France
交易所街,rue de la Bourse,France
弗赖永广场,Freyung,Austria
新康德大街,Q1979586,Germany
素坤逸路,Sukhumvit Road,Thailand
拉丁道,Via Latina,Italy
七月九日大道,9 de Julio Avenue,Argentina
塔拉斯·舍甫琴科大道 (基輔),Q3406815,Ukraine
七月十八日大道,18 de Julio Avenue,Uruguay
长街,Long Lane,Poland
光明大道,Water Green Boulevard,Kazakhstan
玛利亚希尔夫大街,Mariahilfer Straße,Austria
德国童话之路,German Fairy Tale Route,Germany
犹太巷,Q897225,Germany
格林威治街,Greenwich Street,United States of America
圣日耳曼大道,boulevard Saint-Germain,France
摩羅街,Lascar Row,People's Republic of China
雅寶路,Yabaolu,People's Republic of China
伏尔泰大道,boulevard Voltaire,France
马勒塞尔布大道,boulevard Malesherbes,France
賭城大道,Las Vegas Strip,United States of America
牛仔街,Soi Cowboy,Thailand
大环路,Grand Boulevard,Hungary
兰布拉大道,La Rambla,Spain
莫茨街,Motzstraße,Germany
奥斯曼大道,boulevard Haussmann,France
马克西米利安街,Maximilianstraße,Germany
鮑德溫街,Baldwin Street,New Zealand
麥迪遜大道,Madison Avenue,United States of America
皇家一英里,Royal Mile,United Kingdom
東邊街,Eastern Street,People's Republic of China
弗里德里希大街,Friedrichstraße,Germany
畢打街,Pedder Street,People's Republic of China
圣保罗人大道,Paulista Avenue,Brazil
卡斯亞道,Via Cassia,Italy
塞瓦斯托波尔大道,boulevard de Sébastopol,France
莫斯科林蔭環路,Boulevard Ring,Russia
蒂爾加滕街,Tiergartenstraße,Germany
