label,cityLabel,countryLabel
伍爾維奇 (新南威爾斯州),Woolwich,Australia
伊斯特利區,"Eastleigh, Nairobi",Kenya
禧市,Haymarket,Australia
克利夫頓 (布里斯托),Clifton,United Kingdom
高登 (新南威爾斯州),Gordon,Australia
阿斯科特溪谷,Ascot Vale,Australia
帕茲角,Potts Point,Australia
貝爾維尤山,Bellevue Hill,Australia
代希瓦勒-芒特拉维尼,Dehiwala-Mount Lavinia,Sri Lanka
帕拉玛塔市,Parramatta,Australia
邦代匯,Bondi Junction,Australia
库里奇,Kurichi,India
佛羅里爾特,Floreat,Australia
马杜拉沃耶尔,Maduravoyal,India
阿斯科特區,Ascot,Australia
坎伯當,Camperdown,Australia
波西尔城,Bossier City,United States of America
費茲羅伊瀑布,Fitzroy Falls,Australia
卡爾敦,Carlton,Australia
莎莉山,Surry Hills,Australia
塔拉梅林,Tullamarine,Australia
德寶灣,Double Bay,Australia
格利伯,Glebe,Australia
阿比恩区 (昆士兰州),Albion,Australia
摩爾公園,Moore Park,Australia
派珀角,Point Piper,Australia
奥克帕克,Oak Park,United States of America
威廉斯頓,Williamstown,Australia
維多利亞州阿爾托納區,Altona,Australia
工業市,Industry,United States of America
奇托德,Chithode,India
墨爾本,Prahran,Australia
基菲夏,Kifisia,Greece
威勒比,Werribee,Australia
格林威治 (新南威爾斯州),Greenwich,Australia
摩庫拉,Marcoola,Australia
首都山,Capital Hill,Australia
瑞比那,Rhiwbina,United Kingdom
Robina區,Robina,Australia
阿德雷得中央商業區,Adelaide,Australia
墨爾本中央商業區,Melbourne,Australia
埃普索姆,Epsom,Australia
本茲鎮,Bankstown,Australia
科廷,Curtin,Australia
伊灵,Ealing,United Kingdom
彭南特山,Pennant Hills,Australia
聖彼得斯 (新南威爾士州),St Peters,Australia
紐敦阿比,Newtownabbey,United Kingdom
蒙摩拉湖 (新南威爾斯省),Lake Munmorah,Australia
伊士活,Eastwood,Australia
卡克福斯特斯,Cockfosters,United Kingdom
格拉迪斯維爾,Gladesville,Australia
玫瑰灣,Rose Bay,Australia
唐卡斯特,Doncaster,Australia
商波爾,Chembur,India
海伊漢姆斯公園,Highams Park,United Kingdom
埃蒂马代,Ettimadai,India
查特韋爾希斯,Chadwell Heath,United Kingdom
戈羅芙代爾,Grovedale,Australia
布里斯本中央商業區,Brisbane City,Australia
宝活,Burwood,Australia
坎納塔,Kanata,Canada
亚拉伦拉,Yarralumla,Australia
摩士曼自治市,Mosman,Australia
森尼班克,Sunnybank,Australia
默多克,Murdoch,Australia
艾坪北,North Epping,Australia
邦迪海灘,Bondi Beach,Australia
道斯角,Dawes Point,Australia
Coolangatta,Coolangatta,Australia
徹姆賽德區,Chermside,Australia
纽马克特 (昆士兰州),Newmarket,Australia
科特斯洛,Cottesloe,Australia
日落洞,"Jelutong, Penang",Malaysia
米勒角,Millers Point,Australia
布里斯本港,Port of Brisbane,Australia
那威,Narwee,Australia
阿罗奥尔,Aroor,India
漢普斯提得花園郊區,Hampstead Garden Suburb,United Kingdom
沃森灣（澳大利亞）,Watsons Bay,Australia
江景 (新南威爾斯州),Riverview,Australia
坎培拉,Acton,Australia
霍斯,Howth,Ireland
基贝拉贫民窟,Kibera,Kenya
科堡（維多利亞省）,Coburg,Australia
瑞熙卡爾特灣,Rushcutters Bay,Australia
派蒙,Pyrmont,Australia
德拉姆科德拉 (都柏林),Drumcondra,Ireland
賴德,Ryde,Australia
帕克斯,Parkes,Australia
達令赫斯特,Darlinghurst,Australia
鷹場區,Eagle Farm,Australia
森林山,Forest Hill,United Kingdom
瓦達拉,Wadala,India
博德山區 (昆士蘭州),Bald Hills,Australia
尼德蘭茲 (西澳洲),Nedlands,Australia
米多班克,Meadowbank,Australia
新镇 (新南威尔士),Newtown,Australia
马迪帕卡姆,Madipakkam,India
波茲山 (新南威爾斯州),Potts Hill,Australia
南布里斯本,South Brisbane,Australia
櫻桃小溪,Cherrybrook,Australia
芒格奥,Mango,India
威路比,Willoughby,Australia
切爾滕納姆 (新南威爾斯州,Cheltenham,Australia
威廉斯敦,Williamtown,Australia
羅茲,Rhodes,Australia
北萊德,North Ryde,Australia
迪肯,Deakin,Australia
悉尼奧林匹克公園,Sydney Olympic Park,Australia
阿得萊德港,Port Adelaide,Australia
堪培拉市中心,Civic,Australia
新南威爾士州博塔尼區,Botany,Australia
棕櫚海灘,Palm Beach,Australia
肯辛頓,Kensington,Australia
墨爾本港,Port Melbourne,Australia
伍尔卢莫卢,Woolloomooloo,Australia
南墨爾本足球會,South Melbourne,Australia
伊麗莎白灣 (新南威爾士州),Elizabeth Bay,Australia
海德堡,Heidelberg,Australia
多佛高地,Dover Heights,Australia
達林角,Darling Point,Australia
胡拉勒,Woollahra,Australia
斯卡波羅,Scarborough,Australia
聖倫納德斯,St Leonards,Australia
黑鎮,Blacktown,Australia
埃平,Epping,Australia
奥本市,Auburn,Australia
班約區,Banyo,Australia
迦太基,Carthage,Tunisia
百年公園 (新南威爾士州),Centennial Park,Australia
艾斯比力区 (昆士兰州),Aspley,Australia
劉易舍姆 (新南威爾士),Lewisham,Australia
布赖顿,Brighton,Australia
約胡,Juhu,India
莱沃顿,Laverton,Australia
北墨尔本,North Melbourne,Australia
維多利亞山 (新南威爾斯省),Mount Victoria,Australia
毅力谷區,Fortitude Valley,Australia
亞依淡,Air Itam,Malaysia
南岸,Southbank,Australia
库吉镇,Coogee,Australia
