label,cityLabel,countryLabel
IE瀏覽器,Internet Explorer,
火狐浏览器,Mozilla Firefox,
刀劍神域,Sword Art Online,
哥薩克：歐洲戰爭,Cossacks: European Wars,
哥薩克II：拿破崙戰爭,Cossacks II: Napoleonic Wars,
地球帝国,Empire Earth,
德軍總部3D,Wolfenstein 3D,
秘境探險2：盜亦有道,Uncharted 2: Among Thieves,
魔幻卡牌,Spectromancer,
世紀帝國II：帝王世紀,Age of Empires II: The Age of Kings,
憤怒的小鳥星球大戰版,Angry Birds Star Wars,
异形战机,R-Type,
星球大战 前线,Star Wars Battlefront,
功夫 (遊戲),Yie Ar Kung-Fu,
汽车总动员2,Cars 2,
泡泡龙,Bubble Bobble,
騎士精神：中世紀戰爭,Chivalry: Medieval Warfare,
捣蛋猪,Bad Piggies,
異形大進擊,Zak McKracken and the Alien Mindbenders,
戀曲寫真,Photo Kano,
Opera Devices,Nintendo DS & DSi Browser,
Internet Explorer 5,Internet Explorer 5,
K-Meleon,K-Meleon,
Internet Explorer 10,Internet Explorer 10,
纸片马里奥,Paper Mario,
Midori,Midori,
秘境探險：黃金城秘寶,Uncharted: Drake's Fortune,
要塞：十字军增强版,Stronghold: Crusader Extreme,
世紀帝國III,Age of Empires III,
失忆症：黑暗后裔,Amnesia: The Dark Descent,
恶名昭彰2,Infamous 2,
星球大戰 絕地武士：西斯之謎,Star Wars Jedi Knight: Mysteries of the Sith,
樂高星際大戰III：複製人戰爭,Lego Star Wars III: The Clone Wars,
猫里奥,Syobon Action,
蠢蠢的死法,Dumb Ways to Die,
刺客教條III：自由使命,Assassin's Creed III: Liberation,
星球大戰：原力釋放 II,Star Wars: The Force Unleashed II,
Camino,Camino,
俠盜獵車手：中國城風雲,Grand Theft Auto: Chinatown Wars,
俠盜獵車手：罪惡城市,Grand Theft Auto: Vice City,
俠盜獵車手IV：失落與詛咒,Grand Theft Auto: The Lost and Damned,
秋之回憶：打勾勾的記憶,Memories Off: Yubikiri no Kioku,
FIFA 12,FIFA 12,
俠盜獵車手III,Grand Theft Auto III,
1080°滑雪,1080° Snowboarding,
模擬市民3：春夏秋冬,The Sims 3: Seasons,
極地戰嚎2,Far Cry 2,
网景导航者,Netscape Navigator,
W3m,w3m,
完美世界,Perfect World,
QupZilla,QupZilla,
Lunascape,Lunascape,
XeroBank Browser,xB Browser,
IEs4Linux,IEs4Linux,
Internet Explorer 6,Internet Explorer 6,
Shiira,Shiira,
絕招,Q176854,
真人快打,Mortal Kombat,
谷歌瀏覽器,Google Chrome,
魔法门之英雄无敌V,Heroes of Might and Magic V,
我的世界,Minecraft,
俠盜獵車手V,Grand Theft Auto V,
Wind: A Breath of Heart,Wind: A Breath of Heart,
刺猬索尼克,Sonic the Hedgehog,
4x4越野赛车,4x4 Off-Road Racing,
星球大战旧共和国武士II：西斯领主,Star Wars: Knights of the Old Republic II – The Sith Lords,
深淵傳奇,Tales of the Abyss,
FIFA 13,FIFA 13,
灰鷹世界：邪惡元素的神殿,The Temple of Elemental Evil,
越野机车,Excitebike,
初雪櫻,Hatsuyuki Sakura,
遊魂 -Kiss on my Deity-,Tayutama: Kiss on my Deity,
Mosaic,Mosaic,
Arachne (網路套件),Arachne,
吉他英雄,Guitar Hero,
Internet Explorer 8,Windows Internet Explorer 8,
Internet Explorer 9,Windows Internet Explorer 9,
地铁2033,Metro 2033,
Internet Explorer for UNIX,Internet Explorer for UNIX,
SRWare Iron,SRWare Iron,
VVVVVV,VVVVVV,
文明III,Civilization III,
文明IV,Civilization IV,
文明V,Civilization V,
俠盜獵車手：倫敦1961,"Grand Theft Auto: London, 1961",
俠盜獵車手：倫敦1969,"Grand Theft Auto: London, 1969",
大金刚,Donkey Kong,
戰慄時空2首部曲：浩劫重生,Half-Life 2: Episode One,
辐射,Fallout,
火焰之纹章：新·纹章之谜 ～光与影的英雄～,Fire Emblem: Shin Monshō no Nazo: Hikari to Kage no Eiyū,
Chromium,Chromium,
Opera,Opera,
最後一戰4,Halo 4,
星球大戰 絕地武士II：絕地放逐者,Star Wars Jedi Knight II: Jedi Outcast,
洛克人X：指令任務,Mega Man X: Command Mission,
生化奇兵,BioShock,
精英 (電子遊戲),Elite,
铁甲飞龙 RPG,Panzer Dragoon Saga,
俠盜獵車手：罪惡城市傳奇,Grand Theft Auto: Vice City Stories,
俠盜獵車手：自由城故事,Grand Theft Auto: Liberty City Stories,
俠盜獵車手II,Grand Theft Auto 2,
俠盜獵車手IV,Grand Theft Auto IV,
快打磚塊,Arkanoid,
秋之回忆6～T-wave～,Memories Off 6: T-wave,
俠盜獵車手,Grand Theft Auto,
魔兽世界,World of Warcraft,
007：傳奇,007 Legends,
刺猬索尼克 缤纷色彩,Sonic Colors,
堡垒,Fortress,
