label,cityLabel,countryLabel
蒙特維多大廈,Montevideo,Netherlands
彭佳嶼燈塔,Pengjia Lighthouse,Taiwan
埃库莱斯塔,Tower of Hercules,Spain
市民塔,Torre della Ghirlandina,Italy
普洛霍羅夫卡戰地勝利紀念鐘樓,Q4189689,Russia
托倫斜塔,Leaning Tower of Toruń,Poland
黑塔,Black Tower,Czech Republic
平安名埼燈塔,Q11060860,Japan
圣奥尔本门,Gate of Saint Alban,Switzerland
加拉塔石塔,Galata Tower,Turkey
巴耶济德塔,Beyazıt Tower,Turkey
少女塔,Maiden's Tower,Turkey
江埼燈塔,Esaki Lighthouse,Japan
岳阳楼,Yueyang Tower,People's Republic of China
阿米岱塔楼,Torre degli Amidei,Italy
德拉贝拉塔,Torre dei Della Bella,Italy
亚历山大灯塔,Lighthouse of Alexandria,ancient Egypt
鶴咀燈塔,Cape D'Aguilar Lighthouse,People's Republic of China
拉丁頓燈塔,Ludington Light,United States of America
洲埼灯塔,Sunosaki Lighthouse,Japan
伊麗莎白瞭望台,Belvedere Tower in the Buda Hills,Hungary
安托内利尖塔,Mole Antonelliana,Italy
曼海姆水塔,Q1890718,Germany
蒙托克角燈塔,Montauk Point Light,United States of America
苏达塔,Q3573250,Spain
日和山燈塔,Q11086107,Japan
基尔电视塔,Kiel Transmission Tower,Germany
池間島燈塔,Q11135855,Japan
里加广播电视塔,Riga Radio and TV Tower,Latvia
开罗塔,Cairo Tower,Egypt
开平碉楼,Kaiping Diaolou,People's Republic of China
貢巴德·卡武斯高塔,Gonbad-e Qabus (tower),Iran
波特蘭燈塔,Portland Head Light,United States of America
曼内里塔楼,Torre dei Mannelli,Italy
市政厅钟楼 (克拉科夫),"Town Hall Tower, Kraków",Poland
维斯多米尼塔,Q3995397,Italy
蘇哈列夫塔,Sukharev Tower,Russia
彭塔卡雷尼亚灯塔,Punta Carena Lighthouse,Italy
納沙布岬燈塔,Nosappumisaki Lighthouse,Japan
鑄幣塔,Munttoren,Netherlands
和田岬燈塔,Q11417984,Japan
吉布士山燈塔,Gibbs Hill Lighthouse,United Kingdom
風之塔,Tower of the Winds,Greece
佩贝朗塔,Tour Pey Berland,France
飯岡燈塔,Q11666309,Japan
伊萨尔门,Isartor,Germany
畢曉普巖,"Bishop Rock, Isles of Scilly",United Kingdom
芝加哥港灯塔,Chicago Harbor Light,United States of America
火药塔,Powder Tower,Czech Republic
空氣島燈塔,Illa de l'Aire Lighthouse,Spain
图尔钟楼,Q17332992,France
窺視廚房塔,Kiek in de Kök,Estonia
铸币厂塔,Q3995503,Italy
圣雅各伯塔,Saint-Jacques Tower,France
赫爾曼塔,Pikk Hermann,Estonia
费斯嘉灯塔,Fisgard Lighthouse,Canada
維斯瓦河口要塞,Wisłoujście Fortress,Poland
火药塔,"Powder Tower, Riga",Latvia
小城桥塔,Malá Strana Bridge Tower,Czech Republic
民兵塔,Torre delle Milizie,Italy
浮屠,Q6761682,People's Republic of China
