label,cityLabel,countryLabel
瓦莱塔,Valletta,Malta
瑙索里,Nausori,Fiji
梅普尔斯维尔,Maplesville,United States of America
欧德威尔,Odenville,United States of America
希洛,Shiloh,United States of America
特兰,Courtland,United States of America
戴利水域 (北領地),Daly Waters,Australia
瑙堡,Qala i Naw,Afghanistan
胡富夫,Hofuf,Saudi Arabia
班布里奇,Banbridge,United Kingdom
杜爾馬,Dhurma,Saudi Arabia
沃季赫,Al Wajh,Saudi Arabia
漢密爾頓,Hamilton,United Kingdom
阿羅薩,Arosa,Switzerland
卡尔斯克鲁纳,Karlskrona,Sweden
洛士利,Loxley,United States of America
新格拉迪什卡,Nova Gradiška,Croatia
卡特琳娜霍尔姆,Katrineholm,Sweden
伊魁特,Iqaluit,Canada
海威科姆,High Wycombe,United Kingdom
沃韦上科尔西耶,Corsier-sur-Vevey,Switzerland
薩爾嫩,Sarnen,Switzerland
卡里亞曼加,Cariamanga,Ecuador
利斯曼,Lisman,United States of America
新赛德,New Site,United States of America
盖恩斯维尔,Gainesville,United States of America
肖特,Shorter,United States of America
西尔泉,Sylvan Springs,United States of America
道奇城,Dodge City,United States of America
赫默爾亨普斯特德,Hemel Hempstead,United Kingdom
新戈里察,Nova Gorica,Slovenia
莱武卡,Levuka,Fiji
库乔韦,Kuçovë,Albania
拉奇,Laç,Albania
策里克,Cërrik,Albania
Kulgera車站,Kulgera,Australia
迪基希,Diekirch,Luxembourg
德拉赫滕,Drachten,Netherlands
馬奇,Mudgee,Australia
多布日什,Dobříš,Czech Republic
奥哈治,Ohatchee,United States of America
方斯代尔,Faunsdale,United States of America
杰米森,Jemison,United States of America
海恩维尔,Hayneville,United States of America
珀勒阿德,Pollard,United States of America
诺塔萨尔加,Notasulga,United States of America
車站,Tennant Creek,Australia
利伯蒂维尔,Libertyville,United States of America
斯托克波特,Stockport,United Kingdom
萊奇沃思,Letchworth Garden City,United Kingdom
斯特龙戈利,Strongoli,Italy
兰斯顿,Langston,United States of America
哈尔斯塔,Harstad,Norway
富尔顿,Fulton,United States of America
堪萨斯,Kansas,United States of America
西点,West Point,United States of America
汉普斯特得,Hampstead,United Kingdom
茲加爾塔,Zgharta,Lebanon
勒申,Rrëshen,Albania
贾姆讷格尔,Jamnagar,India
埃德尔,Ider,United States of America
杜瓦達米,Dawadmi,Saudi Arabia
礼顿,Leighton,United States of America
巴恩斯利,Barnsley,United Kingdom
青松岭,Pine Ridge,United States of America
赤级,Red Level,United States of America
圣弗洛里安,St. Florian,United States of America
黑茨特,Hettstedt,Germany
埃施韦格,Eschwege,Germany
道格拉斯,Douglas,United Kingdom
金斯顿,Kinston,United States of America
比沙堡,Bisha,Saudi Arabia
骆克,Lockhart,United States of America
桑威治,Sandwich,United Kingdom
因特拉肯,Interlaken,Switzerland
紐倫拜,Nhulunbuy,Australia
萊拉,Layla,Saudi Arabia
哈珀斯威尔,Harpersville,United States of America
莱沃普兰斯,Level Plains,United States of America
迈林根,Meiringen,Switzerland
纳府,Nauvoo,United States of America
什圖羅沃,Štúrovo,Slovakia
文森特,Vincent,United States of America
皮兰,Piran,Slovenia
锡耶纳,Siena,Italy
沃韦,Vevey,Switzerland
迪岑巴赫,Dietzenbach,Germany
戈登斯维尔,Gordonville,United States of America
杰克逊口,Jacksons' Gap,United States of America
罗刹皮卡,Loachapoka,United States of America
迪波西特堡,Fort Deposit,United States of America
里斯市,Reece City,United States of America
锡普西,Sipsey,United States of America
纽维尔,Newville,United States of America
韦弗利,Waverly,United States of America
戴利河 (北領地),Daly River,Australia
維斯比,Visby,Sweden
唐卡斯特,Doncaster,United Kingdom
皮肯斯韦尔,Pickensville,United States of America
埃斯特角城,Punta del Este,Uruguay
森特勒利亞 (安大略),South Huron,Canada
班夫,Banff,Canada
萨默维尔,Somerville,United States of America
瓦赫寧恩 (蘇里南),Wageningen,Suriname
莱斯特,Lester,United States of America
肯尼迪,Kennedy,United States of America
利博霍瓦,Libohovë,Albania
基伦,Killen,United States of America
拜德爾侯奈因,Badr,Saudi Arabia
代明,Demmin,Germany
希思,Heath,United States of America
牛顿,Newton,United States of America
拉恰亞,Rashaya,Lebanon
路易斯维尔,Louisville,United States of America
朗伊爾城,Longyearbyen,Norway
胡苏姆,Husum,Germany
巴依拉姆楚里城,Bajram Curri,Albania
梅馬利艾,Memaliaj,Albania
布里茨,Brits,South Africa
奥马鲁,Oamaru,New Zealand
沃特福德 (赫特福德郡),Watford,United Kingdom
吕嫩,Lünen,Germany
普拉,Pula,Croatia
纽马克特,Newmarket,Canada
欧尼查,Onycha,United States of America
希欽,Hitchin,United Kingdom
吉尔伯敦,Gilbertown,United States of America
波利卡尼,Poliçan,Albania
施坦斯,Stans,Switzerland
帕圖斯,Patos,Albania
奥克曼,Oakman,United States of America
畢曉普斯托福德,Bishop's Stortford,United Kingdom
兰佩尔泰姆,Lampertheim,Germany
科尼斯波尔,Konispol,Albania
阿维利亚诺,Avigliano,Italy
万夫里德,Wanfried,Germany
倫納泉,Renner Springs,Australia
帕潘亞,Papunya,Australia
黑托普,Hytop,United States of America
伊斯卓,Elstree,United Kingdom
艾姆雲,Amioun,Lebanon
阿列伊,Aley,Lebanon
里亞格,Rayak,Lebanon
利布拉什德,Librazhd,Albania
羅斯科韋茨,Roskovec,Albania
紐卡素沃塔斯,Newcastle Waters,Australia
巴爾代約夫,Bardejov,Slovakia
凱庫拉,Kaikoura,New Zealand
蒙通,Mentone,United States of America
谷头,Valley Head,United States of America
德沃普拉耶格,Devprayag,India
鲁容贝罗克,Ružomberok,Slovakia
罗德高,Rodgau,Germany
海斯廷斯,Hastings,United Kingdom
苏珊·摩尔,Susan Moore,United States of America
海登,Hayden,United States of America
韋林花園市,Welwyn Garden City,United Kingdom
聖拉菲爾德爾莫漢,San Rafael de El Moján,Venezuela
阿洛菲,Alofi,Niue
乌德瓦拉,Uddevalla,Sweden
卡斯泰尔焦尔焦,Castel Giorgio,Italy
布赖顿,Brighton,United Kingdom
拉格兰德,Ragland,United States of America
赫瓦爾,Hvar,Croatia
泰勒,Taylor,United States of America
上奧里亞霍維察,Gorna Oryahovitsa,Bulgaria
蒂爾,Tiel,Netherlands
热诺利耶,Genolier,Switzerland
門德里西奧,Mendrisio,Switzerland
罗特魏尔,Rottweil,Germany
菲利普斯堡,Philipsburg,Kingdom of the Netherlands
利特尔维尔,Littleville,United States of America
哈蒙德维尔,Hammondville,United States of America
弗洛马顿,Flomaton,United States of America
托马斯顿,Thomaston,United States of America
甘水,Sweet Water,United States of America
霍布森市,Hobson City,United States of America
霍恩山,Horn Hill,United States of America
高原湖,Highland Lake,United States of America
愛爾塞克,Ersekë,Albania
雷普顿,Repton,United States of America
马尔文,Malvern,United States of America
科皮根,Koppigen,Switzerland
盖格,Geiger,United States of America
