label,cityLabel,countryLabel
渼沙大橋,Misa Bridge,South Korea
A3高速公路 (葡萄牙),A3 motorway,Portugal
A2高速公路 (葡萄牙),A2 motorway,Portugal
A12高速公路,Autostrada A12,Italy
A1高速公路 (葡萄牙),A1 motorway,Portugal
A25高速公路 (葡萄牙),A25 motorway,Portugal
A3高速公路,Autostrada A3,Italy
哈勒火车总站,Halle Central Station,Germany
菲尔特火车总站,Fürth Hauptbahnhof,Germany
東十字車站,Ostkreuz,Germany
A33高速公路 (葡萄牙),A33 motorway,Portugal
柏林－利希滕贝格车站,Berlin-Lichtenberg station,Germany
福州绕城高速公路,G1501 Fuzhou Ring Expressway,People's Republic of China
阿尔滕贝肯车站,Altenbeken station,Germany
京沪高速公路,G2 Beijing–Shanghai Expressway,People's Republic of China
厦蓉高速公路,G76 Xiamen–Chengdu Expressway,People's Republic of China
合安高速公路,G4212 Hefei–Anqing Expressway,People's Republic of China
吉黑高速公路,G1211 Jilin–Heihe Expressway,People's Republic of China
奎塔高速公路,G3015 Kuytun–Tacheng Expressway,People's Republic of China
宁洛高速公路,G36 Nanjing–Luoyang Expressway,People's Republic of China
定武高速公路,G2012 Dingbian–Wuwei Expressway,People's Republic of China
昆磨高速公路,G8511 Kunming–Mohan Expressway,People's Republic of China
柳格高速公路,G3011 Liuyuan–Golmud Expressway,People's Republic of China
沪蓉高速公路,G42 Shanghai–Chengdu Expressway,People's Republic of China
淮徐高速公路,G2513 Huai'an–Xuzhou Expressway,People's Republic of China
龙河高速公路,G4511 Longnan–Heyuan Expressway,People's Republic of China
A27高速公路,A27 motorway,Portugal
A12高速公路 (葡萄牙),A12 motorway,Portugal
A15高速公路 (葡萄牙),A15 motorway,Portugal
A30高速公路,A30 motorway,Portugal
京釜高速公路,Gyeongbu Expressway,South Korea
包茂高速公路,G65 Baotou–Maoming Expressway,People's Republic of China
京新高速公路,G7 Beijing–Ürümqi Expressway,People's Republic of China
京藏高速公路,G6 Beijing–Lhasa Expressway,People's Republic of China
宁上高速公路,G1514 Ningde–Shangrao Expressway,People's Republic of China
新鲁高速公路,G2511 Xinmin–Lubei Expressway,People's Republic of China
日兰高速公路,G1511 Rizhao–Lankao Expressway,People's Republic of China
昆明绕城高速公路,G5601 Kunming Ring Expressway,People's Republic of China
杭瑞高速公路,G56 Hangzhou–Ruili Expressway,People's Republic of China
泉南高速公路,G72 Quanzhou–Nanning Expressway,People's Republic of China
绥满高速公路,G10 Suifenhe–Manzhouli Expressway,People's Republic of China
连霍高速公路,G30 Lianyungang–Khorgas Expressway,People's Republic of China
阜锦高速公路,G2512 Fuxin–Jinzhou Expressway,People's Republic of China
集阿高速公路,G5511 Jining–Arun Expressway,People's Republic of China
青新高速公路,G2011 Qingdao–Xinhe Expressway,People's Republic of China
鹤大高速公路,G11 Hegang–Dalian Expressway,People's Republic of China
黄石高速公路,G1811 Huanghua–Shijiazhuang Expressway,People's Republic of China
希腊1号高速公路,Motorway 1,Greece
福银高速公路,G70 Fuzhou–Yinchuan Expressway,People's Republic of China
比勒费尔德火车总站,Bielefeld Central Station,Germany
英國M67高速公路,M67 motorway,United Kingdom
A11高速公路 (葡萄牙),A11 motorway,Portugal
塞哥维亚输水道,Aqueduct of Segovia,Spain
尤勒斯·韦登博斯大桥,Jules Wijdenbosch Bridge,Suriname
器兴站,Giheung Station,South Korea
京昆高速公路,G5 Beijing–Kunming Expressway,People's Republic of China
京港澳高速公路,G4 Beijing–Hong Kong–Macau Expressway,People's Republic of China
兰海高速公路,G75 Lanzhou–Haikou Expressway,People's Republic of China
十天高速公路,G7011 Shiyan–Tianshui Expressway,People's Republic of China
广澳高速公路,G4W Guangzhou–Macau Expressway,People's Republic of China
晋新高速公路,G5512 Jincheng–Xinxiang Expressway,People's Republic of China
武汉绕城高速公路,G4201 Wuhan Ring Expressway,People's Republic of China
汕昆高速公路,G78 Shantou–Kunming Expressway,People's Republic of China
