label,cityLabel,countryLabel
伯尼條約,Burney Treaty,Thailand
世界版权公约,Universal Copyright Convention,Vatican City
巴黎宣言,Paris Declaration Respecting Maritime Law,Vatican City
蘇俄-立陶宛和平條約,Soviet–Lithuanian Peace Treaty,Russian Soviet Federative Socialist Republic
1973年越美巴黎协定,Paris Peace Accords,France
秦土协定,Chin–Doihara Agreement,Empire of Japan
特里帕拉迪蘇斯分封協議,Partition of Triparadisus,Achaemenid Empire
秦土协定,Chin–Doihara Agreement,Republic of China (1912–49)
塔爾圖和約,Treaty of Tartu,Russian Soviet Federative Socialist Republic
1801年教務專約,Concordat of 1801,Vatican City
精神药物公约,Convention on Psychotropic Substances,Vatican City
伯爾尼條約,Treaty of Bern,Vatican City
拉巴洛条约,Treaty of Rapallo,Russian Soviet Federative Socialist Republic
格林維爾條約,Treaty of Greenville,United States of America
里加和约,Peace of Riga (1921),Poland
里加和约,Peace of Riga (1921),Soviet Union
拉巴洛条约,Treaty of Rapallo,Weimar Republic
蓋茲登購地,Gadsden Purchase,Mexico
歐洲野生物及自然棲地保育公約,Convention on the Conservation of European Wildlife and Natural Habitats,Switzerland
蓋茲登購地,Gadsden Purchase,United States of America
日内瓦第四公约,Fourth Geneva Convention,Vatican City
第二次贡比涅停战协定,Second Armistice at Compiègne,France
特定常规武器公约,Convention on Certain Conventional Weapons,Vatican City
亞當斯-奧尼斯條約,Adams–Onís Treaty,United States of America
恰克圖界約,Treaty of Kyakhta,Russia
消除一切形式种族歧视国际公约,Convention on the Elimination of All Forms of Racial Discrimination,Vatican City
日內瓦議定書,Geneva Protocol,Vatican City
比利牛斯條約,treaty of the Pyrenees,France
贝尔法斯特协议,Good Friday Agreement,United Kingdom
比利牛斯條約,treaty of the Pyrenees,Spain
1386年溫莎條約,Treaty of Windsor,United Kingdom
蘇薩條約,Treaty of Suza,United Kingdom
禁止生物武器公約,Biological Weapons Convention,Vatican City
罗加诺公约,Locarno Treaties,Switzerland
中澳自由贸易区,Australia–China Free Trade Agreement,Australia
拉特兰条约,Lateran Treaty,Vatican City
拉巴洛條約,Treaty of Rapallo,Kingdom of Italy
康边停战协定,Armistice of Compiègne,France
塔尔图和约,Treaty of Tartu,Russian Soviet Federative Socialist Republic
1878年柏林條約,Treaty of Berlin of 1878,Germany
托尔德西里亚斯条约,Treaty of Tordesillas,Portugal
托尔德西里亚斯条约,Treaty of Tordesillas,Spain
香波爾條約,Treaty of Chambord,France
新埃科塔條約,Treaty of New Echota,United States of America
埃及-以色列和平條約,Egypt–Israel Peace Treaty,Egypt
弗雷德里克港條約,Treaty of Fredrikshamn,Sweden
瓜达卢佩-伊达尔戈条约,Treaty of Guadalupe Hidalgo,Mexico
切普拉諾協議,Treaty of Ceprano,Vatican City
弗雷德里克港條約,Treaty of Fredrikshamn,Russian Empire
哈馬堡條約,Treaty of Fort Harmar,United States of America
瓜达卢佩-伊达尔戈条约,Treaty of Guadalupe Hidalgo,United States of America
禁止化学武器公约,Chemical Weapons Convention,Vatican City
中韩自由贸易区,China–South Korea Free Trade Agreement,People's Republic of China
不扩散核武器条约,Treaty on the Non-Proliferation of Nuclear Weapons,Germany
五只眼,UKUSA Agreement,United States of America
不扩散核武器条约,Treaty on the Non-Proliferation of Nuclear Weapons,Vatican City
法蘭克福條約,Treaty of Frankfurt,Germany
尼斯塔德條約,Treaty of Nystad,Sweden
宝宁条约,Bowring Treaty,United Kingdom
麻醉品单一公约,Single Convention on Narcotic Drugs,Vatican City
拉脫維亞-蘇俄和平條約,Latvian–Soviet Peace Treaty (1920),Russian Soviet Federative Socialist Republic
拉脫維亞-蘇俄和平條約,Latvian–Soviet Peace Treaty (1920),Latvia
伯尼條約,Burney Treaty,United Kingdom
美國－瑞典友好通商條約,Treaty of Amity and Commerce,United States of America
宝宁条约,Bowring Treaty,Thailand
白拉維拉協議,Belavezha Accords,Soviet Union
