label,cityLabel,countryLabel
英法海底隧道,Channel Tunnel,France
英法海底隧道,Channel Tunnel,United Kingdom
東區海底隧道,Eastern Harbour Crossing,People's Republic of China
布魯克林-砲台公園隧道,Brooklyn–Battery Tunnel,United States of America
林肯隧道,Lincoln Tunnel,United States of America
啟德隧道,Kai Tak Tunnel,People's Republic of China
金井隧道,Q12586561,South Korea
貝塚隧道,Kaizuka Tunnel,Japan
西康铁路秦岭隧道,Q15928132,People's Republic of China
南灣隧道,Nam Wan Tunnel,People's Republic of China
郭亮村,Guoliang Tunnel,People's Republic of China
斯泰博本德隧道,Staple Bend Tunnel,United States of America
達特福德跨河道路,Dartford Crossing,United Kingdom
青函隧道,Seikan Tunnel,Japan
福斯特隧道,Q2459954,Germany
清水隧道,Daishimizu Tunnel,Japan
施勒恩隧道,Q2239160,Italy
珠江隧道,Q14947269,People's Republic of China
泰晤士隧道,Thames Tunnel,United Kingdom
西秦岭隧道,West Qinling Tunnel,People's Republic of China
上海郊环隧道,Q10868086,People's Republic of China
青之洞門,Aonodōmon,Japan
新關門隧道,Shin-Kanmon Tunnel,Japan
沃伊沃伊隧道,Woy Woy Tunnel,Australia
香港第四條過海鐵路,Q15916485,People's Republic of China
施瓦茨科普夫隧道,Q2254292,Germany
荷蘭隧道,Holland Tunnel,United States of America
關越隧道,Q4000488,Japan
大欖隧道,Tai Lam Tunnel,People's Republic of China
首都圈外郭放水路,Metropolitan Area Outer Underground Discharge Channel,Japan
雷特斯巴赫隧道,Q15218445,Germany
托文隧道,Toven Tunnel,Norway
萨摩斯隧道,Tunnel of Eupalinos,Greece
弗雷瑞斯公路隧道,Fréjus Road Tunnel,France
弗雷瑞斯公路隧道,Fréjus Road Tunnel,Italy
西雅圖市中心公交隧道,Downtown Seattle Transit Tunnel,United States of America
精明隧道,SMART Tunnel,Malaysia
上海外滩观光隧道,Bund Sightseeing Tunnel,People's Republic of China
大连-烟台海底隧道,Bohai Strait tunnel,People's Republic of China
將軍澳—藍田隧道,Tseung Kwan O - Lam Tin Tunnel,People's Republic of China
海底隧道,Cross-Harbour Tunnel,People's Republic of China
筆架山隧道,Beacon Hill Tunnel,People's Republic of China
德森隧道,Q2459942,Germany
2004年8月莫斯科地铁爆炸事件,August 2004 Moscow Metro bombing,Russia
小繋隧道,Q11463483,Japan
飛驒隧道,Hida Tunnel,Japan
愉景灣隧道,Discovery Bay Tunnel,People's Republic of China
晓月隧道,Xiaoyue Tunnel,People's Republic of China
東京港隧道,Q11525000,Japan
津輕蓬田隧道,Q11556433,Japan
津輕隧道,Q11556391,Japan
二郎山隧道,Mount Erlang Tunnel,People's Republic of China
贺兰山隧道,Q10537672,People's Republic of China
福康寧隧道,Fort Canning Tunnel,Singapore
上海长江隧桥,Shanghai Yangtze River Tunnel and Bridge,People's Republic of China
五里峰隧道,Gorigamine Tunnel,Japan
豐濱隧道,Q11633922,Japan
太行山特长隧道,Taihang Tunnel,People's Republic of China
笹子隧道,Sasago Tunnel,Japan
福克斯通白马,Folkestone White Horse,United Kingdom
齊默爾貝格基線隧道,Zimmerberg Base Tunnel,Switzerland
井荻隧道,Q11373760,Japan
大阪港咲洲隧道,Q11441514,Japan
武广客运专线浏阳河隧道,Q11124201,People's Republic of China
川崎航路隧道,Q11478566,Japan
城門隧道,Shing Mun Tunnels,People's Republic of China
杉坂隧道,Q11521805,Japan
西蒙斯魏因加滕隧道,Q2288237,Germany
中央幹線地下化,Big Dig,United States of America
皇后區中城隧道,Queens–Midtown Tunnel,United States of America
香港仔隧道,Aberdeen Tunnel,People's Republic of China
洛瓦里隧道,Lowari Tunnel,Pakistan
冰川隧道,Q11549594,Japan
福島隧道,Q11593002,Japan
稻荷山隧道 (京都府),Q11596862,Japan
六甲隧道,Q11392446,Japan
千代田隧道,Q11405281,Japan
塞拉耶佛隧道,Sarajevo Tunnel,Bosnia and Herzegovina
费马恩海峡大桥,Fehmarn Belt Fixed Link,Denmark
西區海底隧道,Western Harbour Crossing,People's Republic of China
飛鳥山隧道,Q11665961,Japan
傑拉雷曼街隧道,Joralemon Street Tunnel,United States of America
長青隧道,Cheung Tsing Tunnel,People's Republic of China
生駒隧道,Ikoma Tunnel,Japan
雙峰隧道,Twin Peaks Tunnel,United States of America
日韩海底隧道,Japan–Korea Undersea Tunnel,Japan
A102公路,Blackwall Tunnel,United Kingdom
PATH (多倫多),PATH,Canada
仙山隧道,Q10884274,Japan
笹谷隧道,Q11602658,Japan
釜隧道,Q11648053,Japan
西貢河隧道,Thu Thiem Tunnel,Vietnam
北極機廠,North Pole depot,United Kingdom
率安隧道,Q15507586,South Korea
台湾海峡隧道,Taiwan Strait Tunnel Project,People's Republic of China
萨朗隧道,Salang Tunnel,Afghanistan
將軍澳隧道,Tseung Kwan O Tunnel,People's Republic of China
日韩海底隧道,Japan–Korea Undersea Tunnel,South Korea
阿默里希隧道,Ammerichtunnel,Germany
科普夫勒隧道,Q15824820,Germany
常紋隧道,Q11481611,Japan
