label,cityLabel,countryLabel
英国广播公司新闻频道,BBC News,United Kingdom
ABS-CBN公司,ABS-CBN Corporation,Philippines
Showtime電視網,Showtime,United States of America
人生頻道,Lifetime,United States of America
波士尼亞與赫塞哥維納廣播電視,Radio and Television of Bosnia and Herzegovina,Bosnia and Herzegovina
國家地理頻道 (加拿大),National Geographic Channel,Canada
中国新华新闻电视网英语电视台,CNC World,People's Republic of China
CNN國際新聞網絡,CNN International,United States of America
魯斯塔維2,Rustavi 2,Georgia
國家地理悠人頻道,National Geographic People,Romania
CNN 土耳其,CNN Türk,United States of America
全国广播公司,NBC,United States of America
第五電視台,Telecinco,Spain
CNN,CNN,United States of America
N24,N24,Germany
探索頻道,Discovery Channel,Germany
MSNBC,MSNBC,United States of America
英國廣播公司世界新聞頻道,BBC World News,United Kingdom
俄羅斯-1,Russia-1,Russia
N-tv,n-tv,Germany
今日新聞24,Tagesschau24,Germany
芬兰广播电视台,"Yle, the Finnish Broadcasting Company",Finland
欧洲新闻台,Euronews,France
俄羅斯-1,Russia-1,Soviet Union
阿拉伯卫星电视台,Al Arabiya,United Arab Emirates
SUN電視台,Sun Television,Japan
印尼共和国电视台,TVRI,Indonesia
澳門廣播電視股份有限公司,TDM,People's Republic of China
歷史頻道,History,Germany
音樂電視網,MTV,United States of America
動物星球頻道,Animal Planet,Germany
Rai 1,Rai 1,Italy
Eurosport,Eurosport,Germany
福斯體育電視網,Fox Sports Networks,United States of America
日本電視台,Nippon Television,Japan
南方電視台,TeleSUR,Venezuela
德国电视一台,Das Erste,Germany
RTL電視台,RTL Television,Germany
RTL第二頻道,RTL II,Germany
英国广播公司波斯语频道,BBC Persian Television,Iran
伊朗伊斯蘭共和國新聞網絡,Islamic Republic of Iran News Network (IRINN),Iran
日本同性戀,RTÉ One,Ireland
英国广播公司波斯语频道,BBC Persian Television,Afghanistan
Animax,Animax,Germany
RTL電視台,RTL Television,Luxembourg
HBO,HBO,United States of America
Press TV,Press TV,Iran
人物傳記頻道,The Biography Channel,Germany
英國獨立電視台,ITV,United Kingdom
BBC加拿大,BBC Canada,Canada
QVC公司,QVC,United States of America
TV5Monde,TV5Monde,France
天空新闻台,Sky News,United Kingdom
英國廣播公司第二台,BBC Two,United Kingdom
迴旋鏢,Boomerang,Germany
CNN西語電視臺,CNN en Español,United States of America
阿札得電視臺,Azad Azerbaijan TV,Azerbaijan
美國半島電視臺,Al Jazeera America,United States of America
Here!,HereTV,United States of America
大美國鄉村頻道,Great American Country,United States of America
現實國王,Reality Kings,United States of America
喜劇中心,Comedy Central,United States of America
波蘭,TVN,Poland
阿雷纳电视台,Arena,Germany
DOGTV,DOGTV,United States of America
頭條新聞台,HLN,United States of America
國家地理野生頻道,Nat Geo Wild,Singapore
Arte,Arte,Germany
旅遊頻道,Travel Channel,United States of America
迪士尼卡通,Toon Disney,United States of America
文化廣播,Munhwa Broadcasting Corporation,South Korea
十三频道,Canal 13,Chile
迪士尼樂園頻道,Playhouse Disney,Germany
法国24,France 24,France
彭博電視,Bloomberg Television,United States of America
全國教育電視臺,National Educational Television,United States of America
德国体育一台,Sport1,Germany
福克斯廣播公司,Fox Broadcasting Company,United States of America
G4,G4,United States of America
第一頻道,Channel One Russia,Russia
迪士尼XD,Disney XD,United States of America
英國三軍廣播服務,British Forces Broadcasting Service,United Kingdom
極速電視網,Speed,United States of America
ESPN,ESPN,United States of America
國家地理頻道,National Geographic Channel,United States of America
日本放送協會,NHK,Japan
十大聯盟電視網,Big Ten Network,United States of America
AXN,AXN,Romania
CBeebies,CBeebies,United Kingdom
哥倫比亞廣播公司,CBS,United States of America
迪士尼頻道,Disney Channel,United States of America
英國廣播公司第一台,BBC One,United Kingdom
科索沃廣播電視台,Radio Television of Kosovo,Kosovo
福斯新聞頻道,Fox News,United States of America
德国之声,Deutsche Welle,Germany
CTV新聞網,CTV News Channel,Canada
迪士尼少年頻道,Disney Junior,Germany
CBS體育,CBS Sports,United States of America
環球影劇頻道,Universal Channel,Germany
Cloo頻道,Cloo,United States of America
標誌電視臺,Logo TV,United States of America
NTV,NTV,Russia
迪士尼魔法劇場頻道,Disney Cinemagic,Germany
NBCSN,NBC Sports Network,United States of America
VH1,VH1,United States of America
泰國第5電視台,Royal Thai Army Radio and Television Channel 5,Thailand
伊朗国家广播电视台,National Iranian Radio & Television,Iran
Film4,Film4,United Kingdom
美国广播公司,American Broadcasting Company,United States of America
民主德国电视台,Deutscher Fernsehfunk,East Germany
ITV2,ITV2,United Kingdom
今日俄罗斯,RT,Russia
法國電視四台,France 4,France
ITV,iTV,Thailand
FOX土耳其,Fox,Turkey
IFC (電視網),IFC,United States of America
馬爾默競技場,1FLTV,Liechtenstein
尼克通,Nicktoons,United States of America
俄亥俄體育時間頻道,SportsTime Ohio,United States of America
阿尔法电视,Alpha TV,Greece
A+E頻道,A&E,United States of America
東京都會電視台,Tokyo Metropolitan Television,Japan
瞬間看地球,EarthTV,Germany
特纳经典电影频道,Turner Classic Movies,United States of America
3sat,3sat,Germany
俄罗斯24,Russia-24,Russia
YES電視網,YES Network,United States of America
NBC新聞,NBC News,United States of America
蒙地卡羅電視台,TMC,Monaco
委內瑞拉電視,Venevisión,Venezuela
Channel櫻,Japanese Culture Channel Sakura,Japan
立陶宛國家廣播電視台,Lithuanian National Radio and Television,Lithuania
克羅埃西亞廣播電視,Croatian Radiotelevision,Croatia
TVA (加拿大),TVA,Canada
保罗·尼普科夫电视台,Fernsehsender Paul Nipkow,Germany
CBS運動網,CBS Sports Network,United States of America
阿尔巴尼亚广播电视台,Radio Televizioni Shqiptar,Albania
英國廣播公司第四台,BBC Four,United Kingdom
環球電視,Global Television Network,Canada
俄罗斯环球频道,RTR-Planeta,Russia
I24news,i24news,Israel
8頻道,Channel 8 (Thailand),Thailand
KUSA (電視節目),KUSA,United States of America
法国电视二台,France 2,France
大愛衛星電視,Da Ai TV,Indonesia
韓國放送公社,Korean Broadcasting System,South Korea
加拿大,Food Network,United States of America
高清探索頻道,Discovery HD,Germany
亞洲電視,Asia Television,Hong Kong
保加利亞國家電視台,Bulgarian National Television,Bulgaria
TV3,TV3,Ireland
泰國第3電視台,Channel 3 (Thailand),Thailand
FOX德國,Fox Channel,Germany
CNBC歐洲台,CNBC Europe,Germany
聯合電視,Univision,United States of America
時尚先生電視網,Style Network,United States of America
芝加哥,WGN-TV,United States of America
毛利電視臺,Māori Television,New Zealand
加拿大國營頻道,CBC Television,Canada
福斯財經網,Fox Business Network,United States of America
Canal+,Canal+,Finland
美軍軍聞社,Pentagon Channel,United States of America
国际斯拉夫频道,Slavonic Channel International,Ukraine
中心电视台,TV Tsentr,Russia
TV4 (瑞典),TV4,Sweden
葡萄牙廣播電視公司,Rádio e Televisão de Portugal,Portugal
KSL電視,KSL-TV,United States of America
ABC News,ABC News,Albania
围棋TV,Badook TV,South Korea
三立電視,Sanlih E-Television,Taiwan
米高梅電視網公司,MGM Networks,Germany
Fuse電視網,Fuse,United States of America
E4,E4,United Kingdom
西南廣播公司,Südwestrundfunk,Germany
