label,entityLabel,countryLabel
斯塔尼齊亞盧甘西卡區,Stanytsia-Luhanska Raion,Ukraine
馬希夫卡區,Mashivka Raion,Ukraine
波德蓋齊區,Pidhaitsi Raion,Ukraine
科佐瓦區,Kozova Raion,Ukraine
羅基特涅區,Rokytne Raion,Ukraine
斯科列區,Skole Raion,Ukraine
日達喬夫區,Zhydachiv Raion,Ukraine
斯特雷區,Stryi Raion,Ukraine
桑博爾區,Sambir Raion,Ukraine
斯米拉區,Smila Raion,Ukraine
薩爾內區,Sarny Raion,Ukraine
黑海區,Chornomorske Raion,Russia
黑海區,Chornomorske Raion,Ukraine
茲巴拉日區,Zbarazh Raion,Ukraine
別爾江斯克區,Berdiansk Raion,Ukraine
茲納緬卡區,Znamianka Raion,Ukraine
亞歷山德里亞區,Oleksandriia Raion,Ukraine
烏里揚諾夫卡區,Blahovishchenske Raion,Ukraine
新烏克蘭卡區,Novoukrainka Raion,Ukraine
亞沃里夫區,Yavoriv Raion,Ukraine
布斯克区,Busk Raion,Ukraine
普斯托梅特區,Pustomyty Raion,Ukraine
大諾沃西爾卡區,Velyka Novosilka Raion,Ukraine
莫吉利夫-波季利西基區,Mohyliv-Podilskyi Raion,Ukraine
霍京區,Khotyn Raion,Ukraine
古西亞京區,Husiatyn Raion,Ukraine
比洛庫拉基涅區,Bilokurakyne Raion,Ukraine
安德魯紹夫卡區,Andrushivka Raion,Ukraine
基洛沃格勒區,Kirovohrad Raion,Ukraine
新沃龍措夫卡區,Novovorontsovka Raion,Ukraine
新米爾霍羅德區,Novomyrhorod Raion,Ukraine
察里昌卡區,Tsarychanka Raion,Ukraine
文尼察區,Vinnytsia Raion,Ukraine
索菲伊夫卡區,Sofiyivka Raion,Ukraine
維什戈羅德區,Vyshhorod Raion,Ukraine
莫納斯特里斯卡區,Monastyryska Raion,Ukraine
薩基區,Saky Raion,Russia
赫里斯季諾夫卡區,Khrystynivka Raion,Ukraine
薩基區,Saky Raion,Ukraine
巴赫奇萨赖区,Bakhchysarai Raion,Russia
巴赫奇萨赖区,Bakhchysarai Raion,Ukraine
大羅加奇克區,Verkhniy Rohachyk Raion,Ukraine
比洛澤爾卡區,Bilozerka Raion,Ukraine
佐洛喬夫區,Zolochiv Raion,Ukraine
沃洛達爾西克區,Nikolske Raion,Ukraine
克拉斯內溺谷區,Lyman Raion,Ukraine
斯塔維謝區,Stavyshche Raion,Ukraine
阿爾布津卡區,Arbuzynka District,Ukraine
普里阿佐夫西克區,Pryazovske Raion,Ukraine
溫基夫齊區,Vinkivtsi Raion,Ukraine
沃洛季米列齊區,Volodymyrets Raion,Ukraine
切切利尼克區,Chechelnyk Raion,Ukraine
亞西努瓦塔區,Yasynuvata Raion,Ukraine
普里莫爾斯克區,Prymorsk Raion,Ukraine
科別利亞基區,Kobeliaky Raion,Ukraine
佩特羅拉夫利夫卡區,Petropavlivka Raion,Ukraine
卡哈爾雷克區,Kaharlyk Raion,Ukraine
基輔-斯維亞托申區,Kiev-Sviatoshyn Raion,Ukraine
日梅林卡區,Zhmerynka Raion,Ukraine
阿姆夫罗西耶夫卡区,Amvrosiivka Raion,Ukraine
科斯托皮爾區,Kostopil Raion,Ukraine
科羅斯特舍夫區,Korostyshiv Raion,Ukraine
馬卡里夫區,Makariv Raion,Ukraine
扎列希基區,Zalishchyky Raion,Ukraine
拉希夫區,Rakhiv Raion,Ukraine
大別列茲尼區,Velykyi Bereznyi Raion,Ukraine
斯瓦利亞瓦區,Svaliava Raion,Ukraine
佩列梅什利亞內區,Peremyshliany Raion,Ukraine
卡緬卡-布濟卡區,Kamianka-Buzka Raion,Ukraine
索卡爾區,Sokal Raion,Ukraine
莫斯季斯卡區,Mostyska Raion,Ukraine
奧恰基夫區,Ochakiv Raion,Ukraine
巴什坦卡區,Bashtanka Raion,Ukraine
巴里希夫卡區,Baryshivka Raion,Ukraine
戈羅德尼亞區,Horodnia Raion,Ukraine
新亞速斯克區,Novoazovsk Raion,Ukraine
馬林卡區,Marinka Raion,Ukraine
卡利尼夫卡區,Kalynivka Raion,Ukraine
巴赫馬奇區,Bakhmach Raion,Ukraine
科羅普區,Korop Raion,Ukraine
羅基特涅區,"Rokytne Raion, Kiev Oblast",Ukraine
科索夫區,Kosiv Raion,Ukraine
茲博羅夫區,Zboriv Raion,Ukraine
切爾尼亞希夫區,Cherniakhiv Raion,Ukraine
巴拉尼夫卡區,Baranivka Raion,Ukraine
白采爾科維區,Bila Tserkva Raion,Ukraine
納羅季奇區,Narodychi Raion,Ukraine
塔拉夏區,Tarashcha Raion,Ukraine
德沃里奇納區,Dvorichna Raion,Ukraine
斯維爾德洛夫斯克區,Sverdlovsk Raion,Ukraine
波爾塔瓦區,Poltava Raion,Ukraine
科洛馬克區,Kolomak Raion,Ukraine
赫梅利尼茨基區,Khmelnytskyi Raion,Ukraine
馬爾基夫卡區,Markivka Raion,Ukraine
丘古耶夫區,Chuhuiv Raion,Ukraine
安特拉齊特區,Antratsyt Raion,Ukraine
古利艾波列區,Huliaipole Raion,Ukraine
斯洛維亞諾謝爾布西基區,Slovianoserbsk Raion,Ukraine
博布里涅茨區,Bobrynets Raion,Ukraine
新阿爾漢格利西克區,Novoarkhanhelsk Raion,Ukraine
諾夫戈羅德卡區,Novhorodka Raion,Ukraine
克利緬齊區,Kelmentsi Raion,Ukraine
克拉斯諾赫拉德區,Krasnohrad Raion,Ukraine
克拉斯諾頓區,Sorokyne Raion,Ukraine
盧圖吉諾區,Lutuhyne Raion,Ukraine
扎切皮利夫卡區,Zachepylivka Raion,Ukraine
舊康斯坦丁諾夫區,Starokostiantyniv Raion,Ukraine
季斯梅尼齊亞區,Tysmenytsia Raion,Ukraine
佩特羅韋區,Petrove Raion,Ukraine
辛菲罗波尔区,Simferopol Raion,Russia
辛菲罗波尔区,Simferopol Raion,Ukraine
奧拉季夫區,Orativ Raion,Ukraine
拉多梅什利區,Radomyshl Raion,Ukraine
戈羅多克區,Horodok Raion,Ukraine
布罗德区,Brody Raion,Ukraine
拉傑霍夫區,Radekhiv Raion,Ukraine
舊桑博爾區,Staryi Sambir Raion,Ukraine
佩列欽區,Perechyn Raion,Ukraine
尼科波爾區,Nikopol Raion,Ukraine
