label,cityLabel,countryLabel
地拉那大学,University of Tirana,Albania
阿伯丁大学,University of Aberdeen,United Kingdom
新潟大学,Niigata University,Japan
洛桑联邦理工学院,École polytechnique fédérale de Lausanne,Switzerland
圆光大学,Wonkwang University,South Korea
智利大学,University of Chile,Chile
江陵原州大學,Gangneung–Wonju National University,South Korea
聖菲濱海國立大學,National University of the Littoral,Argentina
清华大学,Tsinghua University,People's Republic of China
密西根理工大學,Michigan Technological University,United States of America
卫奇塔州立大学,Wichita State University,United States of America
布里斯托尔大学,University of Bristol,United Kingdom
关西外国语大学,Kansai Gaidai University,Japan
尼可罗库萨诺大学,Università degli Studi Niccolò Cusano,Italy
萨尔茨堡大学,University of Salzburg,Austria
布拉迪斯拉發誇美紐斯大學,Comenius University in Bratislava,Slovakia
東方大學,University of the East,Philippines
乌特勒支大学,Utrecht University,Netherlands
中密歇根大学,Central Michigan University,United States of America
哥本哈根資訊科技大學,IT University of Copenhagen,Denmark
斯图加特大学,University of Stuttgart,Germany
亚琛工业大学,RWTH Aachen University,Germany
溫尼泊大學,University of Winnipeg,Canada
阿伯里斯特威斯大學,Aberystwyth University,United Kingdom
曼海姆大学,University of Mannheim,Germany
臺拉維夫大學,Tel Aviv University,Israel
墨尔本大学,University of Melbourne,Australia
兰实大学,Rangsit University,Thailand
北曼谷國王科技大學,King Mongkut's University of Technology Thonburi,Thailand
吕贝克大学,University of Lübeck,Germany
弗羅茨瓦夫大學,University of Wrocław,Poland
国家核子研究大学,National Research Nuclear University,Russia
柏林工业大学,Technical University of Berlin,Germany
啟明大學,Keimyung University,South Korea
京都大学,Kyoto University,Japan
兰卡斯特大学,University of Lancaster,United Kingdom
协和大学,Concordia University,Canada
國立臺灣大學,National Taiwan University,Taiwan
莫斯科國立國際關係學院,Moscow State Institute of International Relations,Russia
阿基狄亞大學,Acadia University,Canada
浙江中医药大学,Zhejiang Chinese Medical University,People's Republic of China
克萊蒙研究大學,Claremont Graduate University,United States of America
伦斯勒理工学院,Rensselaer Polytechnic Institute,United States of America
堪萨斯大学,University of Kansas,United States of America
洛克菲勒大學,Rockefeller University,United States of America
福乐神学院,Fuller Theological Seminary,United States of America
堪薩斯州立大學,Kansas State University,United States of America
曼彻斯特大学,University of Manchester,United Kingdom
圣心天主教大学,Università Cattolica del Sacro Cuore,Italy
福林德斯大學,Flinders University,Australia
马凯雷雷大学,Makerere University,Uganda
敬爱大学,Keiai University,Japan
衛斯理學院,Wellesley College,United States of America
國立中山大學,National Sun Yat-sen University,Taiwan
圣彼得堡国立大学,Saint Petersburg State University,Russia
南开大学,Nankai University,People's Republic of China
马来西亚工艺大学,University of Technology Malaysia,Malaysia
上海海事大学,Shanghai Maritime University,People's Republic of China
聖塔芭芭拉加利福尼亞大學#物理系,"University of California, Santa Barbara",United States of America
阿拉斯加大學東南分校,University of Alaska Southeast,United States of America
拉德克利夫学院,Radcliffe College,United States of America
乌克兰国立造船大学,Admiral Makarov National University of Shipbuilding,Ukraine
马耳他大学,University of Malta,Malta
法兰克福大学,Goethe University Frankfurt,Germany
莫斯科国立大学,Moscow State University,Russia
南澳大学,University of South Australia,Australia
佛罗里达大西洋大学,Florida Atlantic University,United States of America
吉森大学,University of Giessen,Germany
德國柏林赫爾梯行政學院,Hertie School of Governance,Germany
敖德萨国立大学,Odessa University,Ukraine
德州農工大學,Texas A&M University,United States of America
伯明翰大学,University of Birmingham,United Kingdom
阿爾圖瓦大學,Artois University,France
苏黎世音乐与戏剧大学,Zurich University of the Arts,Switzerland
马萨诸塞大学阿默斯特分校,University of Massachusetts Amherst,United States of America
墨西哥国立自治大学,National Autonomous University of Mexico,Mexico
斯德哥尔摩大学,Stockholm University,Sweden
巴庫音樂學院,Baku Academy of Music,Azerbaijan
波尔多大学,University of Bordeaux,France
名古屋市立大學,Nagoya City University,Japan
北京第二外国语学院,Beijing International Studies University,People's Republic of China
福州大学,Fuzhou University,People's Republic of China
贵州大学,Guizhou University,People's Republic of China
南京航空航天大学,Nanjing University of Aeronautics and Astronautics,People's Republic of China
宗座聖多瑪斯大學,Pontifical University of Saint Thomas Aquinas,Italy
兵庫教育大學,Hyogo University of Teacher Education,Japan
赫爾岑大學,Herzen University,Russia
