label,cityLabel,countryLabel
比利時號 (1884年),RV Belgica,Norway
科本級潛艇,Kobben-class submarine,Germany
科本級潛艇,Kobben-class submarine,Norway
喬氏喙鱸號潛艦,USS Baya,United States of America
流星號輔助巡洋艦,SMS Meteor,German Empire
阿克倫號飛船,USS Akron,United States of America
伽玛射线轻型探测器,AGILE,Italy
月球车2号,Lunokhod 2,Soviet Union
約翰·布朗號貨輪,SS John W. Brown,United States of America
紐約地鐵R62A型列車,R62A,Canada
毛奇號戰鬥巡洋艦,SMS Moltke,German Empire
伊号第十九潜水舰,Japanese submarine I-19,Japan
澳大利亚号战列巡洋舰,HMAS Australia,United Kingdom
法国高速列车,TGV,France
陸奧號戰艦,Japanese battleship Mutsu,Empire of Japan
大阪高速鐵道1000系電車,Osaka Monorail 1000 series,Canada
萨克森号战列舰,Q325811,German Empire
澳大利亞號,HMAS Australia,United Kingdom
X級潛艇,German Type X submarine,Germany
海鯽號潛艇,USS Darter,United States of America
甘比爾灣,USS Gambier Bay,United States of America
城际特快列车,InterCityExpress,Germany
星座號戰艦 (1854年),USS Constellation,United States of America
富山海輪,MV Fu Shan Hai,Denmark
荷蘭一號潛艇,HMS Holland 1,United Kingdom
量子科学实验卫星,QUESS,People's Republic of China
格奈森瑙號戰艦 (1879),SMS Gneisenau,German Empire
傑森號,Jason,Norway
加拿大航空143號班機事故,Gimli Glider,Canada
黃花魚號潛艇,USS Croaker,United States of America
天空实验室计划,Skylab,United States of America
IX級潛艇,Type IX submarine,Nazi Germany
慕尼黑號巡洋艦,SMS München,German Empire
荷兰皇家海军比费尔号,HNLMS Buffel,Netherlands
长征二号F运载火箭,Long March 2F,People's Republic of China
ED4型电力动车组,ED4,Russia
U-12潛艇,SM U-12,German Empire
LK登月器,LK,Soviet Union
竹莢魚號潛艇,USS Cavalla,United States of America
ЭД2Т,Q4529429,Russia
格倫迪亞號USS Grenadier (SS-210),USS Grenadier,United States of America
TG21型柴油机车,TG21 and TG22,Russia
米蒂亞號,Medea,United States of America
相鐵11000系電聯車,Sotetsu 11000 series,Japan
石號護衛艦,SMS Stein,German Empire
麗娜,Q11323871,Japan
VII級潛艇,Type VII,Germany
XXI級潛艇,Type XXI submarine,Germany
Kingfish（SS-234）,USS Kingfish,United States of America
錦䲁號潛艦,USS Gunnel,United States of America
