label,cityLabel,countryLabel,population
卡萨斯德米拉韦特,Casas de Miravete,Spain,144
佩斯库埃萨,Pescueza,Spain,160
阿尔德亚努埃瓦德尔卡米诺,Aldeanueva del Camino,Spain,791
卡乔里利亚,Cachorrilla,Spain,90
巴勒特市,Bartlett,United States of America,41208
哈塞克,Al-Hasakah,Syria,188160
里奥洛沃斯,Riolobos,Spain,1301
埃尔托尔诺,El Torno,Spain,908
蒙特埃尔莫索,Montehermoso,Spain,5817
布里爾 (白金漢郡),Brill,United Kingdom,1141
雷沃利亚尔,Rebollar,Spain,214
蘭利修道院,Abbots Langley,United Kingdom,10472
塞易斯,Sais,Egypt,20568
拉格兰奇,La Grange,United States of America,15550
溫內特卡,Winnetka,United States of America,12188
奥特霍伦,Uithoorn,Netherlands,29168
鳩帖列庫欣列路易,Giurtelecu Șimleului,Romania,935
新科普,Nieuwkoop,Netherlands,27437
古賽爾,Al-Qusayr,Syria,29818
斯派克尼瑟,Spijkenisse,Netherlands,72740
格爾門,Garmen,Bulgaria,1846
多纳,Dohna,Germany,6140
马尔帕尔蒂达德卡塞雷斯,Malpartida de Cáceres,Spain,4268
卡尔卡沃索,Carcaboso,Spain,1123
米西姆纳,Mithymna,Greece,1399
皮诺夫兰克阿多,Pinofranqueado,Spain,1838
阿莫利亞尼島,Ammouliani,Greece,529
阿穆達,Amoudah,Syria,26821
哈夫雷,Jafre,Spain,386
瓦卡奇納,Huacachina,Peru,115
Birgitz,Birgitz,Austria,1385
阿布西爾,Busiris,Egypt,22214
科圖什,Cotuș,Romania,480
吉斯爾舒古爾,Jisr al-Shughur,Syria,44322
阿布考德,Abcoude,Netherlands,8657
小库里尔斯克,Malokurilskoye,Russia,1873
耶靈,Jelling,Denmark,3370
莫托利,Motal,Belarus,3998
瓦丁斯芬,Waddinxveen,Netherlands,26066
卡西利亚斯德科里亚,Casillas de Coria,Spain,400
斯托克·曼德維爾,Stoke Mandeville,United Kingdom,5825
拉斯坦,Al-Rastan,Syria,61176
