label,cityLabel,countryLabel
慶長琉球之役,Invasion of Ryukyu,Ryukyu Kingdom
俄羅斯入侵克里米亞,2014–16 Russian military intervention in Ukraine,Ukraine
索马里内战,Somali Civil War,Somalia
尼泊尔内战,Nepalese Civil War,Nepal
中原大戰,Central Plains War,Republic of China (1912–49)
旺代戰爭,War in the Vendée,France
塞拉利昂内战,Sierra Leone Civil War,Sierra Leone
阿尔比十字军,Albigensian Crusade,France
緬甸的內部衝突,internal conflict in Myanmar,Myanmar
柬越戰爭,Cambodian–Vietnamese War,Vietnam
柬越戰爭,Cambodian–Vietnamese War,People's Republic of Kampuchea
柬越戰爭,Cambodian–Vietnamese War,Democratic Kampuchea
拉米亞戰爭,Lamian War,Greece
護國戰爭,National Protection War,Republic of China (1912–49)
顿巴斯战争,War in Donbass,Ukraine
Comuneros起義,Revolt of the Comuneros,Crown of Castile
埃索帕斯戰爭,Esopus Wars,United States of America
叙利亚内战,Syrian Civil War,Syria
阿富汗戰爭,War in Afghanistan,Afghanistan
伊拉克戰爭 (2014年至今),Iraqi Civil War (2014–present),Iraq
猶他戰爭,Utah War,United States of America
壬申之亂,Jinshin War,Japan
巴基斯坦西北部战争,War in North-West Pakistan,Pakistan
2015年也门内战,Yemeni Civil War,Yemen
伊拉克战争,Iraq War,United Kingdom
伊拉克战争,Iraq War,Dominican Republic
伊拉克战争,Iraq War,Australia
伊拉克战争,Iraq War,Spain
伊拉克战争,Iraq War,Poland
印度民族起义,Indian Rebellion of 1857,India
伊拉克战争,Iraq War,Ecuador
伊拉克战争,Iraq War,Iraq
希腊内战,Greek Civil War,Greece
伊拉克战争,Iraq War,United States of America
普丹战争,Second Schleswig War,Denmark
普丹战争,Second Schleswig War,Prussia
希特戰役,Hīt offensive,Iraq
克里特戰爭 (1645–1669),Cretan War,Republic of Venice
1848年匈牙利革命,Hungarian Revolution of 1848,Hungary
卡斯特羅戰爭,Wars of Castro,Italy
克里特戰爭 (1645–1669),Cretan War,Ottoman Empire
利刀之戰,War of Knives,Haiti
南北战争,American Civil War,United States of America
慶長琉球之役,Invasion of Ryukyu,Japan
西班牙内战,Spanish Civil War,Spain
斯里兰卡内战,Sri Lankan Civil War,Sri Lanka
北也门内战,North Yemen Civil War,Yemen Arab Republic
阿帕契戰爭,Apache Wars,United States of America
第三次中东战争,Six-Day War,Egypt
第三次中东战争,Six-Day War,Syria
第三次中东战争,Six-Day War,Israel
第三次中东战争,Six-Day War,Jordan
美墨戰爭,Mexican–American War,United States of America
北也门内战,North Yemen Civil War,Mutawakkilite Kingdom of Yemen
2013年南蘇丹政變,South Sudanese conflict,South Sudan
