label,cityLabel,countryLabel
今日大马,Malaysia Today,
Nupedia,Nupedia,
eBay,eBay,
Vkontakte,VK,
互联网档案馆,Internet Archive,
Google雲端硬碟,Google Drive,
民族語,Ethnologue,
百老匯網路資料庫,Internet Broadway Database,
GameRankings,GameRankings,
Google Play,Google Play,
Knol,Knol,
维基导游,Wikivoyage,
Engadget,Engadget,
IGN,IGN,
Wolfram Alpha,Wolfram Alpha,
ITunes Store,iTunes Store,
Panoramio,Panoramio,
Bit.ly,Bitly,
噗浪,Plurk,
ArchINFORM,ArchINFORM,
Airbnb,Airbnb,
Slashdot,Slashdot,
Freedb,Freedb,
StudiVZ,StudiVZ,
Omegle,Omegle,
高登討論區,Hong Kong Golden Forum,
RapidShare,RapidShare,
Coursera,Coursera,
Google街景,Google Street View,
LinkedIn,LinkedIn,
動畫新聞網,Anime News Network,
盆景貓,Bonsai Kitten,
Pixiv,Pixiv,
商业内幕,Business Insider,
Pottermore,Pottermore,
百萬美元首頁,The Million Dollar Homepage,
Technorati,Technorati,
GameFAQs,GameFAQs,
NICONICO動畫,Nico Nico Douga,
Airliners.net,Airliners.net,
Google實驗室,Google Labs,
Acid3,Acid3,
Udacity,Udacity,
Hangame,Hangame,
Rock,"Rock, Paper, Shotgun",
Scholarpedia,Scholarpedia,
百度贴吧,Baidu Tieba,
雅虎7,Yahoo!7,
Google图片搜索,Google Images,
Hacker News,Hacker News,
Kotaku,Kotaku,
每日一天文圖,Astronomy Picture of the Day,
聊天轮盘,Chatroulette,
Google網上論壇,Google Groups,
Photobucket,Photobucket,
RubyForge,RubyForge,
互动百科,Baike.com,
巨人炸彈,Giant Bomb,
Megaupload,Megaupload,
Allgame,AllGame,
Google新闻,Google News,
Kickstarter,Kickstarter,
SETI@home,SETI@home,
WikiMapia,WikiMapia,
海盜灣,The Pirate Bay,
Google日曆,Google Calendar,
Google视频,Google Videos,
Digg,Digg,
Xda-developers,Xda-developers,
EHow,eHow,
WikiHow,wikiHow,
Anarkismo.net,Anarkismo.net,
ARKive,ARKive,
Google App Engine,Google App Engine,
Discogs,Discogs,
Nate,Nate,
DistroWatch,DistroWatch,
Mister Wong,Mister Wong,
尼奧寵物,Neopets,
Google代码搜索,Google Code Search,
科學日報,Science Daily,
Zooomr,Zooomr,
战网,Battle.net,
我的國家,Naenara,
维基语录,Wikiquote,
Livestation,LiveStation,
英國廣播公司網站,BBC Online,
Geocaching,Geocaching,
Natalie,Natalie,
TV.com,TV.com,
BrettSpielWelt,BrettspielWelt,
Netflix,Netflix,
Google Goggles,Google Goggles,
爛番茄,Rotten Tomatoes,
Google AdSense,AdSense,
PubMed,PubMed,
長舌網,Blabbermouth.net,
Instagram,Instagram,
Box Office Mojo,Box Office Mojo,
TOM在线,TOM Online,
公共科學圖書館,Public Library of Science,
CodePlex,CodePlex,
WoWWiki,WoWWiki,
1UP.com,1UP.com,
Eurogamer,Eurogamer,
Freedesktop.org,freedesktop.org,
GameZone,GameZone,
Disqus,Disqus,
VEVO,Vevo,
Tatoeba,Tatoeba,
阿尔法记忆,Memory Alpha,
Tom's 硬體指南,Tom's Hardware,
VideoGamer.com,VideoGamer.com,
論文撤回觀察,Retraction Watch,
MUBI,MUBI,
天體物理數據系統,Astrophysics Data System,
绿色四步,Four Green Steps,
Badoo,Badoo,
百度百科,Baidu Baike,
Kartoo,Kartoo,
必应,Bing,
梳化旅行,CouchSurfing,
维客旅行,Wikitravel,
保守百科,Conservapedia,
Identi.ca,identi.ca,
GameSpot,GameSpot,
Travis CI,Travis CI,
Flickr,Flickr,
Google圖書,Google Books,
2ch,2channel,
Google分析,Google Analytics,
梨俱吠陀维基,Rigveda Wiki,
Pinterest,Pinterest,
谷歌网站管理员工具,Google Search Console,
馬卡報,Marca,
MacTutor数学史档案,MacTutor History of Mathematics archive,
MedlinePlus,MedlinePlus,
Yahoo! Babel Fish,Yahoo! Babel Fish,
Ars Technica,Ars Technica,
斜線電影公司,/Film,
GameTrailers,GameTrailers,
我們民族之間,Uriminzokkiri,
Ashley Madison,Ashley Madison,
使命召唤:精英,Call of Duty: Elite,
YouPorn,YouPorn,
波音波音,Boing Boing,
Pornhub,Pornhub,
黃頁,Zap Dapey Zahav,
IAFD,Internet Adult Film Database,
Mixi,Mixi,
WikiTree,WikiTree,
Netlog,Netlog,
Google财经,Google Finance,
国际贸易网站,GlobalTrade.net,
Megavideo,Q3304411,
MyFonts,MyFonts,
Phoronix,Phoronix,
滄者極限,AnandTech,
百度知道,Baidu Knows,
大構思,Big Think,
CSDN,CSDN,
豆瓣,Douban,
Deadline.com,Deadline.com,
Linux.com,Linux.com,
Yahoo!財經,Yahoo! Finance,
布賴特巴特新聞網,Breitbart.com,
牛博网,Bullog.cn,
香港影庫,Hong Kong Movie DataBase,
可汗學院,Khan Academy,
新浪微博,Sina Weibo,
Metacritic,Metacritic,
Lernu!,lernu!,
VirusTotal.com,VirusTotal,
iGoogle,iGoogle,
Google阅读器,Google Reader,
4Gamer.net,4Gamer.net,
Mozilla Add-ons,Mozilla Add-ons,
人人网,Renren,
WorldCat,WorldCat,
UniProt,UniProt,
Yahoo! Mail,Yahoo Mail,
星系動物園,Galaxy Zoo,
谷姐网,Goojje,
Google代码,Google Developers,
Google星空,Google Sky,
Joystiq,Joystiq,
國際鯊魚攻擊檔案,International Shark Attack File,
開放美工圖庫,Open Clip Art Library,
唱針雜誌,Stylus Magazine,
Google新聞檔案,Google News Archive,
CozyCot,CozyCot,
Crunchyroll,Crunchyroll,
世界足球ELO排名,World Football Elo Ratings,
量化生活,Quantified Self,
Techmeme,Techmeme,
Machinima (公司),Machinima.com,
RPGamer,RPGamer,
瑞士歷史辭典,Historical Dictionary of Switzerland,
黑莓行動電話應用程式世界,BlackBerry World,
Vimeo,Vimeo,
优酷网,Youku,
Delicious,Delicious,
Live Search,Q1146863,
elgooG,elgooG,
SugarSync,SugarSync,
500px,500px,
edmodo,Edmodo,
Everything引擎,Everything2,
法國法律資訊系統,Légifrance,
FastMail,FastMail.FM,
The Linux Game Tome,The Linux Game Tome,
谷歌中国,Google China,
Cut-the-Knot,Cut-the-Knot,
查查搜索,ChaCha,
航空安全网,Aviation Safety Network,
国际人类基因组单体型图计划,International HapMap Project,
世界鱼类数据库,FishBase,
Google趨勢,Google Trends,
Path,Path,
每日科斯,Daily Kos,
Netvibes,Netvibes,
科学引文索引,Science Citation Index,
TechCrunch,TechCrunch,
开心网,Kaixin001,
微軟學術搜索,Microsoft Academic Search,
Ustream,Ustream,
Jamendo,Jamendo,
